Purpose,TAZID,All,Walk,Bike,NonM
All,1.0,0.0,0.0,0.0,0.0
HBW,1.0,0.0,0.0,0.0,0.0
HBO,1.0,0.0,0.0,0.0,0.0
NHB,1.0,0.0,0.0,0.0,0.0
HBC,1.0,0.0,0.0,0.0,0.0
HBSch,1.0,0.0,0.0,0.0,0.0
All,2.0,167.03,5.45,0.66,6.11
HBW,2.0,22.36,0.0,0.04,0.04
HBO,2.0,114.97,5.31,0.6,5.91
NHB,2.0,7.38,0.14,0.02,0.15
HBC,2.0,0.0,0.0,0.0,0.0
HBSch,2.0,22.31,0.0,0.0,0.0
All,3.0,152.11,4.75,0.79,5.55
HBW,3.0,20.87,0.03,0.1,0.13
HBO,3.0,104.4,4.59,0.67,5.27
NHB,3.0,7.81,0.13,0.02,0.15
HBC,3.0,0.0,0.0,0.0,0.0
HBSch,3.0,19.02,0.0,0.0,0.0
All,4.0,23.36,0.55,0.09,0.64
HBW,4.0,3.16,0.0,0.01,0.01
HBO,4.0,15.88,0.53,0.08,0.61
NHB,4.0,1.26,0.01,0.0,0.02
HBC,4.0,0.0,0.0,0.0,0.0
HBSch,4.0,3.07,0.0,0.0,0.0
All,5.0,449.47,15.52,3.25,18.76
HBW,5.0,78.85,0.32,0.55,0.86
HBO,5.0,285.11,14.57,2.59,17.16
NHB,5.0,38.5,0.63,0.11,0.74
HBC,5.0,6.0,0.0,0.0,0.0
HBSch,5.0,41.0,0.0,0.0,0.0
All,6.0,34.54,0.93,0.22,1.16
HBW,6.0,5.11,0.04,0.03,0.07
HBO,6.0,21.57,0.84,0.18,1.02
NHB,6.0,4.05,0.05,0.01,0.06
HBC,6.0,0.0,0.0,0.0,0.0
HBSch,6.0,3.82,0.0,0.0,0.0
All,7.0,394.55,22.2,3.1,25.31
HBW,7.0,62.55,3.18,0.86,4.04
HBO,7.0,233.24,17.43,2.07,19.49
NHB,7.0,65.97,1.6,0.17,1.77
HBC,7.0,0.0,0.0,0.0,0.0
HBSch,7.0,32.79,0.0,0.0,0.0
All,8.0,542.67,10.85,5.11,15.96
HBW,8.0,68.18,0.75,0.98,1.73
HBO,8.0,269.51,8.79,3.61,12.4
NHB,8.0,105.41,1.32,0.51,1.83
HBC,8.0,57.0,0.0,0.0,0.0
HBSch,8.0,42.56,0.0,0.0,0.0
All,9.0,41.13,0.96,0.19,1.15
HBW,9.0,1.59,0.05,0.02,0.07
HBO,9.0,5.79,0.43,0.08,0.51
NHB,9.0,33.32,0.47,0.1,0.57
HBC,9.0,0.0,0.0,0.0,0.0
HBSch,9.0,0.43,0.0,0.0,0.0
All,10.0,187.99,4.48,1.53,6.01
HBW,10.0,25.05,0.53,0.33,0.86
HBO,10.0,106.46,3.6,1.07,4.67
NHB,10.0,38.94,0.35,0.13,0.48
HBC,10.0,0.0,0.0,0.0,0.0
HBSch,10.0,17.54,0.0,0.0,0.0
All,11.0,22.23,0.12,0.15,0.27
HBW,11.0,4.15,0.0,0.03,0.04
HBO,11.0,14.36,0.12,0.11,0.23
NHB,11.0,1.36,0.0,0.0,0.01
HBC,11.0,0.0,0.0,0.0,0.0
HBSch,11.0,2.37,0.0,0.0,0.0
All,12.0,126.15,2.73,1.17,3.9
HBW,12.0,20.65,0.02,0.24,0.26
HBO,12.0,82.82,2.68,0.89,3.56
NHB,12.0,8.21,0.04,0.04,0.07
HBC,12.0,0.0,0.0,0.0,0.0
HBSch,12.0,14.48,0.0,0.0,0.0
All,13.0,0.0,0.0,0.0,0.0
HBW,13.0,0.0,0.0,0.0,0.0
HBO,13.0,0.0,0.0,0.0,0.0
NHB,13.0,0.0,0.0,0.0,0.0
HBC,13.0,0.0,0.0,0.0,0.0
HBSch,13.0,0.0,0.0,0.0,0.0
All,14.0,0.0,0.0,0.0,0.0
HBW,14.0,0.0,0.0,0.0,0.0
HBO,14.0,0.0,0.0,0.0,0.0
NHB,14.0,0.0,0.0,0.0,0.0
HBC,14.0,0.0,0.0,0.0,0.0
HBSch,14.0,0.0,0.0,0.0,0.0
All,15.0,83.23,0.38,0.28,0.65
HBW,15.0,1.58,0.03,0.02,0.05
HBO,15.0,4.13,0.04,0.03,0.07
NHB,15.0,76.77,0.31,0.22,0.53
HBC,15.0,0.0,0.0,0.0,0.0
HBSch,15.0,0.75,0.0,0.0,0.0
All,16.0,40.28,0.63,0.28,0.91
HBW,16.0,1.68,0.05,0.03,0.08
HBO,16.0,4.89,0.13,0.07,0.2
NHB,16.0,32.93,0.45,0.18,0.63
HBC,16.0,0.0,0.0,0.0,0.0
HBSch,16.0,0.77,0.0,0.0,0.0
All,17.0,54.24,0.74,0.51,1.25
HBW,17.0,6.96,0.06,0.09,0.15
HBO,17.0,37.19,0.66,0.41,1.07
NHB,17.0,2.3,0.02,0.01,0.03
HBC,17.0,0.0,0.0,0.0,0.0
HBSch,17.0,7.79,0.0,0.0,0.0
All,18.0,168.96,4.02,0.84,4.86
HBW,18.0,0.0,0.0,0.0,0.0
HBO,18.0,0.0,0.0,0.0,0.0
NHB,18.0,168.96,4.02,0.84,4.86
HBC,18.0,0.0,0.0,0.0,0.0
HBSch,18.0,0.0,0.0,0.0,0.0
All,19.0,1707.36,97.01,23.64,196.53
HBW,19.0,273.53,5.29,5.42,10.71
HBO,19.0,1085.96,84.78,16.95,101.73
NHB,19.0,182.77,6.18,1.07,7.25
HBC,19.0,0.0,0.0,0.0,0.0
HBSch,19.0,165.09,0.77,0.21,76.85
All,20.0,1113.25,77.46,16.39,125.8
HBW,20.0,206.33,5.59,4.41,10.0
HBO,20.0,674.46,64.33,10.92,75.25
NHB,20.0,162.89,7.22,0.96,8.19
HBC,20.0,0.0,0.0,0.0,0.0
HBSch,20.0,69.56,0.32,0.09,32.36
All,21.0,95.38,2.5,0.54,3.04
HBW,21.0,0.0,0.0,0.0,0.0
HBO,21.0,0.0,0.0,0.0,0.0
NHB,21.0,95.38,2.5,0.54,3.04
HBC,21.0,0.0,0.0,0.0,0.0
HBSch,21.0,0.0,0.0,0.0,0.0
All,22.0,17.71,0.65,0.23,0.88
HBW,22.0,2.56,0.1,0.05,0.15
HBO,22.0,10.55,0.46,0.16,0.62
NHB,22.0,2.99,0.08,0.02,0.11
HBC,22.0,0.0,0.0,0.0,0.0
HBSch,22.0,1.61,0.0,0.0,0.0
All,23.0,60.01,3.11,0.73,8.18
HBW,23.0,6.18,0.23,0.11,0.35
HBO,23.0,33.95,2.36,0.51,2.87
NHB,23.0,14.58,0.48,0.09,0.57
HBC,23.0,0.0,0.0,0.0,0.0
HBSch,23.0,5.29,0.04,0.01,4.39
All,24.0,1050.8,86.21,15.45,200.74
HBW,24.0,161.34,5.52,3.5,9.02
HBO,24.0,714.24,76.31,11.23,87.54
NHB,24.0,66.63,3.39,0.42,3.81
HBC,24.0,3.0,0.0,0.0,0.0
HBSch,24.0,105.6,1.0,0.3,100.38
All,25.0,2509.14,259.29,38.91,458.76
HBW,25.0,445.99,27.93,10.83,38.76
HBO,25.0,1558.99,208.66,25.61,234.27
NHB,25.0,325.97,21.08,1.98,23.06
HBC,25.0,7.0,0.0,0.0,0.0
HBSch,25.0,171.19,1.62,0.48,162.66
All,26.0,1161.79,133.36,19.27,182.49
HBW,26.0,209.51,17.86,5.98,23.85
HBO,26.0,603.35,93.14,11.36,104.5
NHB,26.0,305.94,22.06,1.84,23.9
HBC,26.0,2.0,0.0,0.0,0.0
HBSch,26.0,40.99,0.3,0.09,30.25
All,27.0,0.0,0.0,0.0,0.0
HBW,27.0,0.0,0.0,0.0,0.0
HBO,27.0,0.0,0.0,0.0,0.0
NHB,27.0,0.0,0.0,0.0,0.0
HBC,27.0,0.0,0.0,0.0,0.0
HBSch,27.0,0.0,0.0,0.0,0.0
All,28.0,35.17,1.98,0.43,2.7
HBW,28.0,4.08,0.3,0.11,0.41
HBO,28.0,11.26,0.93,0.2,1.13
NHB,28.0,18.84,0.74,0.12,0.86
