Purpose,TAZID,All,Walk,Bike,NonM
HBC,28.0,0.0,0.0,0.0,0.0
HBSch,28.0,0.99,0.0,0.0,0.3
All,29.0,1167.43,122.11,18.47,216.04
HBW,29.0,219.4,15.34,5.37,20.71
HBO,29.0,745.74,98.94,12.19,111.13
NHB,29.0,106.01,7.07,0.68,7.75
HBC,29.0,15.0,0.0,0.0,0.0
HBSch,29.0,81.27,0.76,0.23,76.45
All,30.0,2403.35,315.88,40.28,487.49
HBW,30.0,438.74,40.87,11.94,52.8
HBO,30.0,1493.93,246.22,25.93,272.15
NHB,30.0,325.75,27.46,2.02,29.48
HBC,30.0,3.0,0.0,0.0,0.0
HBSch,30.0,141.94,1.33,0.4,133.05
All,31.0,1688.69,217.98,25.53,314.33
HBW,31.0,258.99,26.94,7.07,34.01
HBO,31.0,872.23,147.52,15.32,162.84
NHB,31.0,480.84,42.8,2.93,45.73
HBC,31.0,0.0,0.0,0.0,0.0
HBSch,31.0,76.64,0.72,0.21,71.75
All,32.0,957.78,102.38,15.15,177.13
HBW,32.0,162.69,6.51,4.06,10.57
HBO,32.0,634.57,89.41,10.43,99.84
NHB,32.0,79.14,5.85,0.49,6.35
HBC,32.0,0.0,0.0,0.0,0.0
HBSch,32.0,81.38,0.6,0.17,60.37
All,33.0,1368.07,170.46,21.89,305.24
HBW,33.0,216.19,13.4,5.61,19.01
HBO,33.0,925.43,146.75,15.29,162.04
NHB,33.0,104.82,9.17,0.66,9.83
HBC,33.0,0.0,0.0,0.0,0.0
HBSch,33.0,121.63,1.14,0.34,114.37
All,34.0,1483.51,154.68,23.18,253.0
HBW,34.0,274.43,10.27,6.51,16.79
HBO,34.0,953.69,133.44,15.57,149.01
NHB,34.0,142.43,10.21,0.89,11.1
HBC,34.0,0.0,0.0,0.0,0.0
HBSch,34.0,112.96,0.76,0.22,76.11
All,35.0,2121.3,228.2,34.01,380.06
HBW,35.0,403.0,15.19,10.03,25.22
HBO,35.0,1361.4,197.38,22.41,219.79
NHB,35.0,195.93,14.44,1.22,15.66
HBC,35.0,13.01,0.0,0.0,0.0
HBSch,35.0,147.96,1.19,0.35,119.39
All,36.0,479.32,42.32,8.57,62.13
HBW,36.0,104.73,2.24,2.8,5.04
HBO,36.0,294.08,36.43,5.35,41.78
NHB,36.0,60.39,3.54,0.38,3.93
HBC,36.0,0.0,0.0,0.0,0.0
HBSch,36.0,20.12,0.11,0.03,11.39
All,37.0,7.06,0.22,0.07,0.29
HBW,37.0,0.74,0.02,0.01,0.04
HBO,37.0,3.62,0.13,0.04,0.18
NHB,37.0,2.45,0.06,0.02,0.08
HBC,37.0,0.0,0.0,0.0,0.0
HBSch,37.0,0.25,0.0,0.0,0.0
All,38.0,343.67,17.36,2.13,19.69
HBW,38.0,1.76,0.26,0.03,0.29
HBO,38.0,6.2,0.49,0.08,0.57
NHB,38.0,335.0,16.61,2.01,18.63
HBC,38.0,0.0,0.0,0.0,0.0
HBSch,38.0,0.7,0.0,0.0,0.2
All,39.0,560.81,72.51,7.97,106.03
HBW,39.0,81.77,11.73,2.12,13.85
HBO,39.0,281.86,46.31,4.65,50.96
NHB,39.0,167.19,14.21,1.12,15.33
HBC,39.0,0.0,0.0,0.0,0.0
HBSch,39.0,29.98,0.26,0.08,25.89
All,40.0,2460.48,398.89,41.76,533.19
HBW,40.0,424.95,70.0,12.47,82.47
HBO,40.0,1364.15,274.5,25.53,300.04
NHB,40.0,532.94,53.45,3.48,56.92
HBC,40.0,35.01,0.0,0.0,0.0
HBSch,40.0,103.43,0.93,0.28,93.76
All,41.0,1636.51,224.43,19.42,275.96
HBW,41.0,128.84,20.82,3.96,24.78
HBO,41.0,464.66,92.52,8.87,101.4
NHB,41.0,1006.38,110.76,6.49,117.26
HBC,41.0,1.0,0.0,0.0,0.0
HBSch,41.0,35.64,0.32,0.1,32.53
All,42.0,643.08,89.6,10.29,148.5
HBW,42.0,90.96,9.01,2.57,11.58
HBO,42.0,411.05,72.5,7.06,79.56
NHB,42.0,81.03,7.59,0.51,8.11
HBC,42.0,4.0,0.0,0.0,0.0
HBSch,42.0,56.04,0.49,0.15,49.26
All,43.0,1840.57,210.02,27.83,378.62
HBW,43.0,298.76,18.78,7.24,26.02
HBO,43.0,1190.09,175.83,19.0,194.82
NHB,43.0,186.35,13.99,1.17,15.16
HBC,43.0,7.0,0.0,0.0,0.0
HBSch,43.0,158.37,1.42,0.43,142.62
All,44.0,1030.09,94.03,15.29,135.16
HBW,44.0,186.88,5.26,4.13,9.39
HBO,44.0,667.63,83.23,10.53,93.75
NHB,44.0,86.47,5.28,0.55,5.83
HBC,44.0,0.0,0.0,0.0,0.0
HBSch,44.0,89.12,0.26,0.09,26.19
All,45.0,457.78,34.23,6.51,52.03
HBW,45.0,78.11,2.21,1.56,3.77
HBO,45.0,295.8,29.97,4.65,34.61
NHB,45.0,41.31,1.94,0.27,2.2
HBC,45.0,0.0,0.0,0.0,0.0
HBSch,45.0,42.55,0.11,0.04,11.44
All,46.0,0.0,0.0,0.0,0.0
HBW,46.0,0.0,0.0,0.0,0.0
HBO,46.0,0.0,0.0,0.0,0.0
NHB,46.0,0.0,0.0,0.0,0.0
HBC,46.0,0.0,0.0,0.0,0.0
HBSch,46.0,0.0,0.0,0.0,0.0
All,47.0,0.0,0.0,0.0,0.0
HBW,47.0,0.0,0.0,0.0,0.0
HBO,47.0,0.0,0.0,0.0,0.0
NHB,47.0,0.0,0.0,0.0,0.0
HBC,47.0,0.0,0.0,0.0,0.0
HBSch,47.0,0.0,0.0,0.0,0.0
All,48.0,40.52,0.54,0.28,0.82
HBW,48.0,6.18,0.0,0.04,0.04
HBO,48.0,26.96,0.53,0.23,0.76
NHB,48.0,2.23,0.01,0.01,0.01
HBC,48.0,0.0,0.0,0.0,0.0
HBSch,48.0,5.15,0.0,0.0,0.0
All,49.0,418.64,13.58,2.49,16.07
HBW,49.0,0.0,0.0,0.0,0.0
HBO,49.0,0.0,0.0,0.0,0.0
NHB,49.0,418.64,13.58,2.49,16.07
HBC,49.0,0.0,0.0,0.0,0.0
HBSch,49.0,0.0,0.0,0.0,0.0
All,50.0,148.21,7.84,1.13,9.66
HBW,50.0,4.47,0.4,0.09,0.49
HBO,50.0,16.9,1.73,0.24,1.97
NHB,50.0,124.68,5.69,0.8,6.49
HBC,50.0,0.0,0.0,0.0,0.0
HBSch,50.0,2.16,0.01,0.0,0.7
All,51.0,86.07,9.61,1.01,16.0
HBW,51.0,7.95,0.87,0.16,1.03
HBO,51.0,43.93,6.71,0.65,7.36
NHB,51.0,27.34,1.97,0.18,2.15
HBC,51.0,0.0,0.0,0.0,0.0
HBSch,51.0,6.85,0.05,0.02,5.46
All,52.0,1128.18,128.37,10.08,148.1
HBW,52.0,53.22,13.22,1.37,14.59
HBO,52.0,187.13,37.34,3.31,40.65
NHB,52.0,872.35,77.71,5.38,83.09
HBC,52.0,0.0,0.0,0.0,0.0
HBSch,52.0,15.48,0.1,0.03,9.77
All,53.0,3474.98,532.1,39.89,663.44
HBW,53.0,277.72,65.94,7.81,73.75
HBO,53.0,1024.47,228.59,18.4,246.99
NHB,53.0,2072.24,236.66,13.4,250.05
HBC,53.0,0.0,0.0,0.0,0.0
HBSch,53.0,100.54,0.92,0.28,92.65
All,54.0,1659.99,254.27,23.36,329.07
HBW,54.0,202.61,38.41,5.94,44.35
HBO,54.0,693.54,141.19,12.67,153.86
NHB,54.0,707.79,74.15,4.6,78.75
HBC,54.0,0.0,0.0,0.0,0.0
HBSch,54.0,56.05,0.52,0.15,52.11
All,55.0,1285.73,174.26,20.47,234.39
HBW,55.0,202.24,24.74,5.59,30.33
HBO,55.0,735.46,126.39,13.06,139.45
NHB,55.0,269.84,22.73,1.69,24.42
HBC,55.0,1.0,0.0,0.0,0.0
HBSch,55.0,77.19,0.4,0.13,40.2
All,56.0,214.03,23.21,3.3,31.55
HBW,56.0,43.62,2.61,0.98,3.6
HBO,56.0,134.91,18.97,2.16,21.12
NHB,56.0,21.78,1.58,0.14,1.72
HBC,56.0,0.0,0.0,0.0,0.0
HBSch,56.0,13.72,0.05,0.02,5.11
All,57.0,427.5,49.05,7.31,68.77
HBW,57.0,92.53,5.44,2.48,7.92
HBO,57.0,263.19,39.51,4.45,43.97
NHB,57.0,51.92,3.96,0.34,4.3
HBC,57.0,0.0,0.0,0.0,0.0
HBSch,57.0,19.85,0.13,0.04,12.58
All,58.0,0.0,0.0,0.0,0.0
HBW,58.0,0.0,0.0,0.0,0.0
HBO,58.0,0.0,0.0,0.0,0.0
NHB,58.0,0.0,0.0,0.0,0.0
HBC,58.0,0.0,0.0,0.0,0.0
HBSch,58.0,0.0,0.0,0.0,0.0
All,59.0,0.0,0.0,0.0,0.0
HBW,59.0,0.0,0.0,0.0,0.0
HBO,59.0,0.0,0.0,0.0,0.0
NHB,59.0,0.0,0.0,0.0,0.0
HBC,59.0,0.0,0.0,0.0,0.0
HBSch,59.0,0.0,0.0,0.0,0.0
All,60.0,0.0,0.0,0.0,0.0
HBW,60.0,0.0,0.0,0.0,0.0
HBO,60.0,0.0,0.0,0.0,0.0
NHB,60.0,0.0,0.0,0.0,0.0
HBC,60.0,0.0,0.0,0.0,0.0
HBSch,60.0,0.0,0.0,0.0,0.0
All,61.0,1574.73,190.36,26.38,314.77
HBW,61.0,287.4,22.48,7.67,30.15
HBO,61.0,1027.78,157.53,17.45,174.98
NHB,61.0,147.19,9.37,0.97,10.33
HBC,61.0,0.0,0.0,0.0,0.0
HBSch,61.0,112.36,0.99,0.29,99.31
All,62.0,1808.86,245.03,27.81,405.16
HBW,62.0,294.48,28.23,7.37,35.6
HBO,62.0,1184.77,203.45,19.06,222.51
NHB,62.0,153.06,12.01,0.99,13.0
HBC,62.0,24.0,0.0,0.0,0.0
HBSch,62.0,152.55,1.34,0.4,134.05
All,63.0,333.76,41.32,3.78,59.7
HBW,63.0,28.55,4.45,0.69,5.14
HBO,63.0,126.33,22.84,1.97,24.81
NHB,63.0,160.45,13.88,1.08,14.96
HBC,63.0,0.0,0.0,0.0,0.0
HBSch,63.0,18.43,0.15,0.04,14.79
All,64.0,2189.43,283.02,31.06,433.1
HBW,64.0,310.28,32.37,7.9,40.27
HBO,64.0,1190.56,203.67,19.4,223.06
NHB,64.0,543.0,45.78,3.4,49.18
HBC,64.0,0.0,0.0,0.0,0.0
HBSch,64.0,145.59,1.2,0.36,120.59
All,65.0,2285.58,343.91,36.92,505.76
HBW,65.0,389.01,52.8,10.56,63.36
HBO,65.0,1355.22,252.44,23.4,275.84
NHB,65.0,389.08,37.41,2.58,39.99
HBC,65.0,0.0,0.0,0.0,0.0
HBSch,65.0,152.27,1.26,0.38,126.57
All,66.0,1238.96,158.66,18.97,207.52
HBW,66.0,180.04,20.56,5.49,26.04
HBO,66.0,549.21,99.52,10.45,109.97
NHB,66.0,470.12,38.29,2.93,41.22
HBC,66.0,1.0,0.0,0.0,0.0
HBSch,66.0,38.59,0.3,0.09,30.28
All,67.0,1400.67,192.5,20.95,266.21
HBW,67.0,188.03,24.75,5.46,30.21
HBO,67.0,676.22,123.06,12.25,135.3
NHB,67.0,467.77,44.16,3.08,47.24
HBC,67.0,0.0,0.0,0.0,0.0
HBSch,67.0,68.64,0.53,0.16,53.45
All,68.0,1145.16,146.38,20.39,214.77
HBW,68.0,220.11,17.42,6.34,23.76
HBO,68.0,712.43,117.08,12.92,130.0
NHB,68.0,154.33,11.4,0.99,12.39
HBC,68.0,0.0,0.0,0.0,0.0
HBSch,68.0,58.28,0.48,0.15,48.63
All,69.0,281.83,34.43,4.11,55.19
HBW,69.0,38.44,3.15,0.97,4.11
HBO,69.0,184.73,28.76,2.9,31.66
NHB,69.0,28.97,2.35,0.19,2.54
HBC,69.0,1.0,0.0,0.0,0.0
HBSch,69.0,28.7,0.17,0.05,16.87
All,70.0,959.87,97.52,15.32,189.75
HBW,70.0,141.46,7.45,3.62,11.07
HBO,70.0,649.42,85.09,10.99,96.08
NHB,70.0,72.42,4.2,0.47,4.67
HBC,70.0,0.0,0.0,0.0,0.0
HBSch,70.0,96.58,0.78,0.23,77.92
All,71.0,0.0,0.0,0.0,0.0
HBW,71.0,0.0,0.0,0.0,0.0
HBO,71.0,0.0,0.0,0.0,0.0
NHB,71.0,0.0,0.0,0.0,0.0
HBC,71.0,0.0,0.0,0.0,0.0
HBSch,71.0,0.0,0.0,0.0,0.0
All,72.0,895.01,93.7,13.83,149.29
HBW,72.0,124.08,9.04,3.22,12.25
HBO,72.0,577.41,78.08,9.82,87.9
NHB,72.0,101.8,6.17,0.65,6.82
HBC,72.0,0.0,0.0,0.0,0.0
HBSch,72.0,91.73,0.42,0.14,42.32
All,73.0,35.73,1.84,0.47,4.76
HBW,73.0,6.19,0.08,0.09,0.17
HBO,73.0,23.65,1.67,0.34,2.02
NHB,73.0,2.77,0.06,0.02,0.08
HBC,73.0,0.0,0.0,0.0,0.0
HBSch,73.0,3.11,0.02,0.01,2.49
All,74.0,0.0,0.0,0.0,0.0
HBW,74.0,0.0,0.0,0.0,0.0
HBO,74.0,0.0,0.0,0.0,0.0
NHB,74.0,0.0,0.0,0.0,0.0
HBC,74.0,0.0,0.0,0.0,0.0
HBSch,74.0,0.0,0.0,0.0,0.0
All,75.0,1123.3,123.09,15.5,138.59
HBW,75.0,169.67,13.79,4.09,17.88
HBO,75.0,592.28,90.69,9.65,100.34
NHB,75.0,278.5,18.6,1.76,20.36
HBC,75.0,9.0,0.0,0.0,0.0
HBSch,75.0,73.85,0.0,0.0,0.0
All,76.0,615.12,63.74,10.11,112.2
HBW,76.0,106.63,6.34,2.73,9.07
HBO,76.0,402.31,53.74,6.87,60.61
NHB,76.0,58.75,3.27,0.39,3.66
HBC,76.0,0.0,0.0,0.0,0.0
HBSch,76.0,47.43,0.39,0.11,38.85
All,77.0,1356.36,170.59,17.54,231.34
HBW,77.0,173.02,25.65,4.53,30.19
HBO,77.0,564.1,100.55,9.31,109.86
NHB,77.0,570.28,43.95,3.57,47.52
HBC,77.0,0.0,0.0,0.0,0.0
HBSch,77.0,48.97,0.44,0.13,43.77
All,78.0,3881.68,526.5,58.41,777.69
HBW,78.0,610.87,59.34,15.41,74.76
HBO,78.0,2274.58,405.77,37.88,443.66
NHB,78.0,726.28,59.44,4.53,63.96
HBC,78.0,21.0,0.0,0.0,0.0
HBSch,78.0,248.95,1.95,0.59,195.31
All,79.0,1216.82,132.59,11.5,157.52
HBW,79.0,69.35,9.2,1.84,11.04
HBO,79.0,236.74,44.75,4.08,48.83
NHB,79.0,893.4,78.51,5.53,84.04
HBC,79.0,0.0,0.0,0.0,0.0
HBSch,79.0,17.33,0.14,0.04,13.61
All,80.0,1399.82,165.81,18.15,211.4
HBW,80.0,161.0,19.64,4.62,24.25
HBO,80.0,492.63,90.08,9.09,99.17
NHB,80.0,707.83,55.82,4.35,60.17
HBC,80.0,8.0,0.0,0.0,0.0
HBSch,80.0,30.37,0.28,0.08,27.8
All,81.0,474.95,40.19,8.24,60.58
HBW,81.0,76.47,6.01,2.36,8.38
HBO,81.0,232.27,28.66,4.91,33.56
NHB,81.0,149.75,5.39,0.94,6.33
HBC,81.0,0.0,0.0,0.0,0.0
HBSch,81.0,16.46,0.12,0.04,12.31
All,82.0,2818.4,340.4,43.35,454.2
HBW,82.0,437.13,48.76,12.57,61.33
HBO,82.0,1309.96,222.13,24.58,246.71
NHB,82.0,972.97,68.8,5.99,74.79
HBC,82.0,0.0,0.0,0.0,0.0
HBSch,82.0,98.35,0.71,0.22,71.38
All,83.0,875.11,66.35,5.39,71.74
HBW,83.0,0.0,0.0,0.0,0.0
HBO,83.0,0.0,0.0,0.0,0.0
NHB,83.0,875.11,66.35,5.39,71.74
HBC,83.0,0.0,0.0,0.0,0.0
HBSch,83.0,0.0,0.0,0.0,0.0
All,84.0,514.7,43.88,3.18,47.07
HBW,84.0,0.0,0.0,0.0,0.0
HBO,84.0,0.0,0.0,0.0,0.0
NHB,84.0,514.7,43.88,3.18,47.07
HBC,84.0,0.0,0.0,0.0,0.0
HBSch,84.0,0.0,0.0,0.0,0.0
All,85.0,446.75,42.09,5.58,65.55
HBW,85.0,66.67,3.7,1.24,4.94
HBO,85.0,262.35,33.46,3.81,37.26
NHB,85.0,78.29,4.75,0.49,5.24
HBC,85.0,0.0,0.0,0.0,0.0
HBSch,85.0,39.44,0.18,0.05,18.11
All,86.0,102.49,1.38,0.54,1.92
HBW,86.0,0.0,0.0,0.0,0.0
HBO,86.0,0.0,0.0,0.0,0.0
NHB,86.0,102.49,1.38,0.54,1.92
HBC,86.0,0.0,0.0,0.0,0.0
HBSch,86.0,0.0,0.0,0.0,0.0
All,87.0,0.0,0.0,0.0,0.0
HBW,87.0,0.0,0.0,0.0,0.0
HBO,87.0,0.0,0.0,0.0,0.0
NHB,87.0,0.0,0.0,0.0,0.0
HBC,87.0,0.0,0.0,0.0,0.0
HBSch,87.0,0.0,0.0,0.0,0.0
All,88.0,1.85,0.08,0.01,0.09
HBW,88.0,0.0,0.0,0.0,0.0
HBO,88.0,0.0,0.0,0.0,0.0
NHB,88.0,1.85,0.08,0.01,0.09
HBC,88.0,0.0,0.0,0.0,0.0
HBSch,88.0,0.0,0.0,0.0,0.0
All,89.0,1661.8,113.38,11.24,131.37
HBW,89.0,45.66,2.82,0.76,3.59
HBO,89.0,154.08,14.8,2.1,16.91
NHB,89.0,1445.81,95.69,8.35,104.05
HBC,89.0,0.0,0.0,0.0,0.0
HBSch,89.0,16.25,0.07,0.02,6.83
All,90.0,3016.25,248.92,22.02,298.06
HBW,90.0,84.34,7.89,1.62,9.5
HBO,90.0,333.95,39.06,4.75,43.81
NHB,90.0,2548.34,201.71,15.56,217.27
HBC,90.0,0.0,0.0,0.0,0.0
HBSch,90.0,49.62,0.27,0.08,27.47
All,91.0,1698.26,141.5,21.82,218.22
HBW,91.0,313.67,14.1,5.21,19.31
HBO,91.0,1046.84,117.96,15.41,133.37
NHB,91.0,178.01,8.88,1.05,9.94
HBC,91.0,25.0,0.0,0.0,0.0
HBSch,91.0,134.74,0.55,0.15,55.61
All,92.0,1813.34,157.95,23.92,213.56
HBW,92.0,308.46,14.76,5.65,20.41
HBO,92.0,1153.67,133.68,17.16,150.84
NHB,92.0,165.15,9.19,1.02,10.22
HBC,92.0,2.0,0.0,0.0,0.0
HBSch,92.0,184.05,0.32,0.09,32.1
All,93.0,0.0,0.0,0.0,0.0
HBW,93.0,0.0,0.0,0.0,0.0
HBO,93.0,0.0,0.0,0.0,0.0
NHB,93.0,0.0,0.0,0.0,0.0
HBC,93.0,0.0,0.0,0.0,0.0
HBSch,93.0,0.0,0.0,0.0,0.0
All,94.0,186.1,7.98,2.23,10.21
HBW,94.0,32.66,0.3,0.43,0.73
HBO,94.0,119.96,7.19,1.71,8.89
NHB,94.0,15.09,0.5,0.09,0.59
HBC,94.0,0.0,0.0,0.0,0.0
HBSch,94.0,18.39,0.0,0.0,0.0
All,95.0,2756.4,212.06,32.67,359.17
HBW,95.0,414.1,14.06,6.08,20.14
HBO,95.0,1649.49,174.25,23.89,198.15
NHB,95.0,430.12,22.59,2.39,24.98
HBC,95.0,7.0,0.0,0.0,0.0
HBSch,95.0,255.68,1.16,0.31,115.9
All,96.0,1769.7,148.08,24.18,211.18
HBW,96.0,394.04,10.24,6.31,16.55
HBO,96.0,1069.94,126.01,16.51,142.53
NHB,96.0,215.17,11.44,1.25,12.69
HBC,96.0,0.0,0.0,0.0,0.0
HBSch,96.0,90.55,0.39,0.11,39.42
All,97.0,0.0,0.0,0.0,0.0
HBW,97.0,0.0,0.0,0.0,0.0
HBO,97.0,0.0,0.0,0.0,0.0
NHB,97.0,0.0,0.0,0.0,0.0
HBC,97.0,0.0,0.0,0.0,0.0
HBSch,97.0,0.0,0.0,0.0,0.0
