Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      5.00,MidValCon,ok,     13.36,     40.65,     19.72,     15.00,      4.00,    534.40,    538.28,    538.25,     26.00,    512.28,     25.99,    512.26
      6.00,S451X,pk,     21.64,     38.20,     33.99,     30.00,      2.00,    259.68,      0.75,      0.75,         0,      0.75,         0,      0.75
      6.00,S472X,pk,     34.39,     66.87,     30.86,     30.00,      2.00,    412.68,     60.97,     60.96,         0,     60.97,         0,     60.96
      6.00,S473X,pk,     42.74,    109.25,     23.47,     30.00,      2.00,    512.88,    543.68,    543.70,    323.89,    219.79,    323.89,    219.81
      7.00,Blue,pk,     38.08,    103.36,     22.11,     15.00,      4.00,    913.92,   5211.46,   5211.39,   1068.52,   4142.94,   1068.53,   4142.86
      7.00,Green,pk,     28.64,     93.54,     18.37,     15.00,      4.00,    687.36,   4713.23,   4713.25,    411.73,   4301.50,    411.70,   4301.55
      7.00,Red,pk,     47.22,    120.72,     23.47,     15.00,      4.00,   1133.28,  12943.34,  12943.25,   3321.59,   9621.75,   3321.53,   9621.72
      7.00,Sline,pk,      4.02,     20.58,     11.72,     15.00,      4.00,     96.48,    308.19,    308.20,      7.58,    300.61,      7.59,    300.61
      7.00,Blue,ok,     38.08,    103.36,     22.11,     15.00,      4.00,   1523.20,   6207.88,   6207.90,    949.30,   5258.58,    949.32,   5258.58
      7.00,Green,ok,     28.64,     93.54,     18.37,     15.00,      4.00,   1145.60,   6827.34,   6827.30,    495.97,   6331.37,    495.96,   6331.34
      7.00,Red,ok,     47.22,    120.72,     23.47,     15.00,      4.00,   1888.80,   9208.55,   9208.63,   1193.27,   8015.28,   1193.29,   8015.34
      7.00,Sline,ok,      4.02,     20.58,     11.72,     15.00,      4.00,    160.80,    448.09,    448.09,      6.80,    441.29,      6.81,    441.28
      8.00,RCRT_OGPN,pk,    162.16,    245.34,     39.66,     30.00,      2.00,   1945.92,   9479.68,   9479.66,   5744.32,   3735.36,   5744.31,   3735.35
      8.00,RCRT_OGPN,ok,    162.16,    245.34,     39.66,     60.00,      1.00,   1621.60,   4931.59,   4931.57,   2333.53,   2598.06,   2333.52,   2598.05
      9.00,630X,pk,      9.86,     40.51,     14.60,     10.00,      6.00,    354.96,   1334.90,   1334.93,    520.67,    814.23,    520.66,    814.27
      9.00,M830X_ARPT,pk,     11.28,     27.28,     24.81,     30.00,      2.00,    135.36,     15.31,     15.31,      2.46,     12.85,      2.46,     12.85
      9.00,UVX,pk,     22.92,     79.21,     17.36,      6.00,     10.00,   1375.20,   7225.81,   7225.82,   1119.21,   6106.60,   1119.20,   6106.62
      9.00,630X,ok,      9.86,     43.11,     13.72,     10.00,      6.00,    591.60,    665.92,    665.94,     30.38,    635.54,     30.38,    635.56
      9.00,M830X_ARPT,ok,     11.28,     29.37,     23.04,     30.00,      2.00,    225.60,     31.17,     31.16,      1.69,     29.48,      1.69,     29.47
      9.00,UVX,ok,     22.92,     83.73,     16.42,     10.00,      6.00,   1375.20,   3397.52,   3397.56,     97.52,   3300.00,     97.52,   3300.04
