SEGID,DISTANCE,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,       2.0,      11.7,Principal Arterial,      1065,     242.2,     543.4,     344.4,     432.8,    1562.8,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.153,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1415.3,    3175.3,    2012.4,    2529.0,    9132.0,    1152.3,    2474.1,    1527.5,    1944.7,    7098.6,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.23,     24.83,     55.71,     35.31,     44.38,    160.23,     0.002,         0,         0,     0.011,     0.013
0006_146.9,     3.039,       2.0,       6.1,Principal Arterial,      1065,     245.0,     545.2,     346.9,     434.8,    1571.9,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     744.5,    1656.9,    1054.2,    1321.4,    4777.0,     607.8,    1292.2,     802.0,    1017.5,    3719.5,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     83.80,     13.06,     29.07,     18.49,     23.18,     83.80,         0,     0.001,     0.001,     0.001,     0.003
0006_149.9,     0.678,       2.0,       1.4,Principal Arterial,      1065,     514.6,     727.7,     707.5,     633.8,    2583.6,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.14,      0.07,      0.15,      0.03,      0.15,     348.9,     493.4,     479.6,     429.7,    1751.6,     296.8,     384.9,     407.4,     361.9,    1451.0,       4.6,      21.7,       6.1,       3.4,      35.8,      32.6,      53.6,      45.3,      35.3,     166.8,      14.9,      33.2,      21.0,      29.1,      98.2,     30.72,      6.12,      8.66,      8.42,      7.54,     30.74,     0.006,         0,     0.006,     0.002,     0.014
0006_150.6,     1.973,       2.0,       3.9,Principal Arterial,      1065,     605.0,     862.0,     817.8,     750.4,    3035.2,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.078,     2.078,     2.078,     2.077,     2.078,      6390,     12780,      6390,     25560,     51120,      0.15,      0.09,      0.17,      0.03,      0.17,    1193.7,    1700.8,    1613.6,    1480.6,    5988.7,    1004.3,    1306.6,    1365.2,    1246.0,    4922.1,      15.8,      86.7,      27.0,      14.0,     143.5,     127.6,     189.6,     155.1,     122.1,     594.4,      46.0,     118.0,      66.3,      98.4,     328.7,    105.07,     20.95,     29.84,     28.32,     25.98,    105.09,     0.012,     0.008,     0.010,         0,     0.030
0006_152.6,     0.316,       2.0,       0.6,Minor Arterial,       983,     872.6,    1296.6,    1136.9,    1066.8,    4372.9,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.413,     0.412,     0.413,     0.412,     0.412,      5898,     11796,      5898,     23592,     47184,      0.23,      0.14,      0.25,      0.05,      0.25,     276.0,     410.1,     359.6,     337.4,    1383.1,     235.4,     317.0,     304.9,     286.4,    1143.7,       3.4,      21.9,       7.3,       4.5,      37.1,      27.0,      42.5,      33.1,      26.9,     129.5,      10.1,      28.8,      14.2,      19.7,      72.8,     30.04,      6.00,      8.91,      7.82,      7.33,     30.06,     0.006,     0.005,     0.007,         0,     0.018
0006_152.9,     2.923,       2.0,       5.8,Principal Arterial,      1052,    1145.3,    1868.2,    1479.2,    1510.8,    6003.5,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     3.188,     3.197,     3.190,     3.199,     3.188,     3.193,      6311,     12622,      6311,     25243,     50487,      0.27,      0.17,      0.30,      0.07,      0.30,    3347.9,    5461.1,    4324.0,    4416.4,   17549.4,    2903.6,    4394.5,    3741.1,    3850.7,   14889.9,      40.3,     247.9,      91.8,      50.3,     430.3,     301.7,     504.0,     354.2,     303.1,    1463.0,     102.3,     314.8,     136.8,     212.2,     766.1,    318.98,     61.01,     99.34,     78.86,     80.28,    319.49,     0.166,     0.071,     0.280,     0.011,     0.528
0006_155.8,     0.202,       2.0,       0.4,Principal Arterial,      1065,    1158.1,    1887.6,    1496.1,    1533.4,    6075.2,      57.0,      56.8,      57.0,      56.8,      56.9,      56.9,     0.212,     0.213,     0.213,     0.213,     0.212,     0.213,      6390,     12780,      6390,     25560,     51120,      0.27,      0.17,      0.30,      0.07,      0.30,     233.5,     380.6,     301.7,     309.2,    1225.0,     202.8,     306.7,     261.3,     269.9,    1040.7,       2.8,      17.2,       6.2,       3.4,      29.6,      20.9,      35.0,      24.6,      21.2,     101.7,       7.0,      21.8,       9.4,      14.8,      53.0,     21.50,      4.11,      6.68,      5.31,      5.43,     21.53,     0.013,     0.010,     0.016,     0.005,     0.044
0006_155.9,     1.316,       2.0,       2.6,Principal Arterial,      1016,    1681.7,    2899.0,    2172.2,    2426.6,    9179.5,      48.0,      45.2,      47.4,      43.5,      48.0,      46.2,     1.645,     1.750,     1.667,     1.817,     1.646,     1.713,      6096,     12192,      6096,     24384,     48768,      0.41,      0.27,      0.46,      0.12,      0.46,    2213.1,    3815.2,    2858.6,    3193.4,   12080.3,    1956.1,    3137.0,    2533.4,    2843.4,   10469.9,      26.8,     170.0,      53.4,      40.8,     291.0,     168.7,     303.0,     206.7,     183.2,     861.6,      61.4,     205.2,      65.0,     126.0,     457.6,    251.72,     48.96,     80.55,     65.64,     66.57,    261.72,     2.942,     1.039,     6.206,     0.025,    10.212
0006_157.3,     0.250,       2.0,       0.5,Principal Arterial,      1016,    3014.5,    5132.1,    3859.8,    4421.9,   16428.3,      48.0,      42.7,      46.8,      40.1,      48.0,      44.6,     0.312,     0.352,     0.320,     0.375,     0.312,     0.337,      6096,     12192,      6096,     24384,     48768,      0.73,      0.47,      0.83,      0.22,      0.83,     752.6,    1281.3,     963.7,    1104.0,    4101.6,     674.5,    1074.6,     867.6,     998.6,    3615.3,       9.4,      51.0,      15.9,      14.4,      90.7,      49.4,      92.4,      60.2,      55.3,     257.3,      19.2,      63.5,      19.9,      35.7,     138.3,     85.37,     17.63,     27.38,     24.03,     23.01,     92.05,     2.020,     0.706,     4.044,     0.017,     6.787
0006_157.6,     0.918,       2.0,       1.8,Principal Arterial,      1060,    2984.7,    5050.5,    3703.6,    4362.5,   16101.3,      55.9,      51.0,      54.7,      49.4,      55.8,      53.0,     0.986,     1.083,     1.007,     1.118,     0.987,     1.042,      6358,     12717,      6358,     25434,     50867,      0.68,      0.44,      0.75,      0.21,      0.75,    2741.0,    4638.1,    3401.2,    4006.3,   14786.6,    2453.2,    3880.5,    3067.3,    3618.3,   13019.3,      33.7,     182.6,      54.2,      50.6,     321.1,     181.5,     340.0,     208.4,     206.0,     935.9,      72.6,     234.9,      71.4,     131.4,     510.3,    264.73,     53.72,     84.79,     68.87,     71.79,    279.17,     4.793,     1.750,     8.122,     0.067,    14.732
