SEGID,DISTANCE,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_158.5,     0.472,       2.0,       0.9,Principal Arterial,       998,    3138.4,    5151.8,    3819.8,    4428.5,   16538.5,      44.5,      38.5,      43.3,      37.3,      44.5,      41.1,     0.636,     0.739,     0.654,     0.763,     0.636,     0.691,      5987,     11974,      5987,     23947,     47895,      0.77,      0.47,      0.83,      0.22,      0.83,    1481.0,    2431.2,    1802.6,    2089.8,    7804.6,    1332.7,    2058.1,    1646.3,    1910.8,    6947.9,      18.8,     100.1,      31.7,      26.5,     177.1,      94.6,     165.8,      96.1,      97.9,     454.4,      34.9,     107.1,      28.6,      54.7,     225.3,    175.20,     38.47,     56.11,     48.38,     46.96,    189.92,     5.395,     1.547,     8.085,     0.052,    15.079
0006_158.9,     0.381,       2.0,       0.8,Principal Arterial,       997,    3217.3,    5303.9,    3918.2,    4554.1,   16993.5,      46.0,      41.0,      45.0,      39.9,      45.9,      43.2,     0.497,     0.559,     0.508,     0.574,     0.498,     0.531,      5984,     11969,      5984,     23937,     47874,      0.79,      0.48,      0.85,      0.23,      0.85,    1225.5,    2020.3,    1492.5,    1734.7,    6473.0,    1100.5,    1704.9,    1362.1,    1581.6,    5749.1,      17.0,      84.8,      26.4,      23.4,     151.6,      78.9,     139.2,      80.0,      82.8,     380.9,      29.1,      91.4,      24.1,      47.0,     191.6,    140.82,     29.86,     44.94,     37.38,     37.77,    149.95,     3.294,     0.995,     5.029,     0.027,     9.345
0006_159.3,     0.278,       4.0,       1.1,Principal Arterial,       929,    3529.4,    5877.0,    4330.5,    5034.7,   18771.6,      40.0,      39.2,      39.8,      39.0,      40.0,      39.5,     0.418,     0.426,     0.419,     0.429,     0.418,     0.422,     11148,     22296,     11148,     44592,     89184,      0.46,      0.29,      0.50,      0.14,      0.50,     982.1,    1635.4,    1205.0,    1401.0,    5223.5,     876.5,    1365.7,    1092.4,    1273.0,    4607.6,      15.4,      74.2,      22.7,      19.0,     131.3,      66.0,     118.4,      69.0,      69.0,     322.4,      24.1,      76.9,      20.9,      39.9,     161.8,    130.67,     25.06,     41.07,     30.91,     35.05,    132.09,     0.509,     0.162,     0.786,     0.005,     1.462
0006_159.6,     0.226,       4.0,       0.9,Principal Arterial,       929,    3964.5,    6949.3,    5011.8,    5889.2,   21814.8,      40.0,      39.1,      39.7,      38.5,      40.0,      39.4,     0.339,     0.347,     0.342,     0.352,     0.339,     0.345,     11148,     22296,     11148,     44592,     89184,      0.48,      0.34,      0.55,      0.16,      0.55,     896.5,    1571.4,    1133.3,    1331.7,    4932.9,     787.4,    1287.2,    1009.1,    1193.7,    4277.4,      14.0,      73.6,      24.9,      21.1,     133.6,      68.4,     127.7,      74.7,      74.9,     345.7,      26.7,      83.0,      24.6,      42.0,     176.3,    123.32,     22.92,     39.60,     29.42,     33.29,    125.23,     0.518,     0.317,     1.103,     0.009,     1.947
0006_159.8,     0.445,       4.0,       1.8,Principal Arterial,       929,    4219.8,    7553.4,    5344.4,    6562.1,   23679.7,      40.0,      38.5,      39.5,      37.9,      39.9,      39.1,     0.669,     0.695,     0.676,     0.706,     0.669,     0.685,     11148,     22296,     11148,     44592,     89184,      0.55,      0.38,      0.60,      0.18,      0.60,    1879.1,    3363.7,    2379.9,    2922.3,   10545.0,    1647.0,    2768.4,    2122.5,    2628.9,    9166.8,      28.8,     145.0,      45.7,      42.8,     262.3,     145.1,     268.7,     156.4,     152.6,     722.8,      58.2,     181.5,      55.4,      97.9,     393.0,    263.84,     48.84,     85.14,     62.85,     73.15,    269.98,     1.895,     0.975,     3.378,     0.037,     6.285
0006_160.3,     0.249,       4.0,       1.0,Principal Arterial,       929,    5029.9,    9164.9,    6478.7,    7854.0,   28527.5,      40.0,      37.3,      39.1,      36.0,      40.0,      38.2,     0.373,     0.402,     0.383,     0.416,     0.374,     0.391,     11148,     22296,     11148,     44592,     89184,      0.65,      0.47,      0.72,      0.21,      0.72,    1252.9,    2282.8,    1613.7,    1956.3,    7105.7,    1094.9,    1867.1,    1426.0,    1746.6,    6134.6,      18.3,      97.5,      30.1,      28.6,     174.5,      97.2,     185.5,     112.8,     105.7,     501.2,      42.4,     132.8,      44.8,      75.3,     295.3,    177.43,     33.58,     58.44,     44.86,     48.90,    185.78,     2.380,     1.443,     4.654,     0.062,     8.539
0006_173.4,     0.446,       6.0,       2.7,Expressway,       919,    9703.0,   17871.2,   12090.9,   14090.8,   53755.9,      44.9,      40.4,      43.2,      37.0,      44.9,      41.5,     0.596,     0.666,     0.620,     0.726,     0.596,     0.646,     16542,     33084,     16542,     66168,    132336,      0.81,      0.64,      0.88,      0.25,      0.88,    4329.4,    7974.0,    5394.9,    6287.2,   23985.5,    3409.5,    5715.2,    4248.6,    4968.7,   18342.0,      76.9,     360.3,     116.5,     107.5,     661.2,     504.2,     938.3,     624.4,     572.9,    2639.8,     338.9,     960.1,     405.4,     638.0,    2342.4,    533.89,    107.23,    184.63,    145.79,    139.94,    577.59,    11.288,     7.136,    26.146,     0.003,    44.573
0006_173.7,     0.270,       6.0,       1.6,Expressway,       919,    8358.0,   15490.5,   10731.2,   13085.0,   47664.7,      45.0,      41.7,      44.3,      39.5,      45.0,      42.9,     0.360,     0.391,     0.366,     0.413,     0.360,     0.380,     16542,     33084,     16542,     66168,    132336,      0.76,      0.55,      0.84,      0.24,      0.84,    2260.5,    4189.6,    2902.4,    3538.9,   12891.4,    1855.9,    3124.5,    2358.3,    2900.9,   10239.6,      35.4,     166.8,      53.8,      53.3,     309.3,     216.6,     432.6,     287.3,     261.0,    1197.5,     152.6,     465.8,     202.9,     323.8,    1145.1,    286.21,     54.21,     94.47,     73.51,     78.57,    300.76,     4.234,     1.451,     9.431,     0.006,    15.122
0006_174.0,     0.438,       4.0,       1.8,Expressway,       948,    6588.2,   12926.0,    8519.2,   11135.1,   39168.5,      45.0,      38.9,      42.8,      34.7,      45.0,      40.6,     0.584,     0.680,     0.614,     0.762,     0.585,     0.650,     11376,     22752,     11376,     45504,     91008,      0.85,      0.67,      0.95,      0.30,      0.95,    2885.6,    5661.5,    3731.3,    4877.1,   17155.5,    2360.9,    4285.3,    3023.0,    4005.0,   13674.2,      38.7,     186.9,      56.2,      52.6,     334.4,     272.2,     525.9,     358.1,     336.4,    1492.6,     213.8,     663.4,     294.1,     483.1,    1654.4,    381.48,     74.20,    132.23,    107.39,    108.48,    422.30,    10.549,     6.355,    25.276,     0.025,    42.205
0006_174.4,     0.435,       4.0,       1.7,Expressway,       948,    6588.2,   12926.0,    8519.2,   11135.1,   39168.5,      45.0,      38.9,      42.8,      34.7,      44.9,      40.6,     0.580,     0.675,     0.609,     0.757,     0.580,     0.645,     11376,     22752,     11376,     45504,     91008,      0.85,      0.67,      0.95,      0.30,      0.95,    2862.6,    5616.4,    3701.6,    4838.3,   17018.9,    2342.1,    4251.1,    2998.9,    3973.1,   13565.2,      38.4,     185.4,      55.7,      52.1,     331.6,     270.1,     521.7,     355.2,     333.7,    1480.7,     212.0,     658.2,     291.8,     479.2,    1641.2,    378.57,     73.64,    131.22,    106.56,    107.65,    419.07,    10.465,     6.287,    25.083,     0.038,    41.873
0006_174.9,     0.700,       4.0,       2.8,Expressway,      1021,    4729.1,    9720.5,    6434.0,    8048.6,   28932.2,      55.0,      54.5,      54.7,      53.1,      55.0,      54.4,     0.763,     0.771,     0.768,     0.791,     0.763,     0.772,     12252,     24504,     12252,     49008,     98016,      0.54,      0.48,      0.66,      0.19,      0.66,    3309.6,    6802.8,    4502.8,    5632.7,   20247.9,    2687.6,    5125.6,    3588.2,    4498.9,   15900.3,      41.9,     183.0,      52.5,      49.7,     327.1,     290.4,     606.6,     444.6,     398.2,    1739.8,     289.8,     887.4,     417.4,     685.8,    2280.4,    367.99,     60.76,    124.41,     84.72,    102.38,    372.27,     0.621,     0.776,     2.982,     0.006,     4.385
0006_175.6,     0.551,       4.0,       2.2,Expressway,      1021,    4091.0,    8648.2,    5604.3,    7014.6,   25358.1,      55.0,      54.8,      54.8,      54.2,      55.0,      54.7,     0.601,     0.603,     0.603,     0.610,     0.601,     0.604,     12252,     24504,     12252,     49008,     98016,      0.46,      0.44,      0.57,      0.17,      0.57,    2254.9,    4766.9,    3089.0,    3866.4,   13977.2,    1798.1,    3537.4,    2406.8,    3028.6,   10770.9,      27.5,     123.8,      35.8,      25.9,     213.0,     209.4,     434.2,     324.8,     286.1,    1254.5,     220.0,     671.3,     321.6,     525.9,    1738.8,    254.07,     41.13,     86.94,     57.01,     70.28,    255.36,     0.144,     0.295,     0.860,         0,     1.299
0006_176.1,     0.900,       4.0,       3.6,Expressway,      1021,    3013.2,    6643.1,    4213.7,    5215.7,   19085.7,      55.0,      55.0,      54.9,      54.8,      55.0,      54.9,     0.983,     0.983,     0.983,     0.986,     0.983,     0.984,     12252,     24504,     12252,     49008,     98016,      0.32,      0.35,      0.43,      0.14,      0.43,    2713.0,    5981.2,    3793.9,    4696.0,   17184.1,    2109.8,    4325.8,    2844.4,    3503.8,   12783.8,      18.0,      96.8,      24.3,      19.8,     158.9,     258.3,     544.8,     428.7,     370.1,    1601.9,     327.0,    1013.8,     496.5,     802.2,    2639.5,    312.57,     49.37,    108.89,     69.21,     85.42,    312.89,     0.032,     0.091,     0.217,     0.009,     0.349
0006_177.0,     0.194,       4.0,       0.8,Expressway,      1021,    3061.3,    6743.8,    4375.1,    5247.0,   19427.2,      55.0,      55.0,      55.0,      54.8,      55.0,      54.9,     0.212,     0.212,     0.212,     0.213,     0.212,     0.212,     12252,     24504,     12252,     49008,     98016,      0.32,      0.36,      0.45,      0.14,      0.45,     593.7,    1308.1,     848.6,    1017.7,    3768.1,     458.8,     944.1,     639.0,     759.2,    2801.1,       4.1,      23.3,       5.4,       6.6,      39.4,      58.6,     122.4,      97.4,      80.3,     358.7,      72.3,     218.4,     106.8,     171.7,     569.2,     68.52,     10.80,     23.80,     15.49,     18.51,     68.60,         0,     0.018,     0.066,     0.007,     0.091
0006_177.2,     0.317,       4.0,       1.3,Expressway,      1021,    2857.5,    6393.1,    4099.2,    4933.1,   18282.9,      55.0,      55.0,      54.9,      54.8,      55.0,      54.9,     0.345,     0.346,     0.346,     0.346,     0.346,     0.346,     12252,     24504,     12252,     49008,     98016,      0.29,      0.34,      0.41,      0.13,      0.41,     904.7,    2024.2,    1297.9,    1562.0,    5788.8,     693.7,    1448.2,     959.6,    1145.3,    4246.8,       4.8,      28.8,       9.8,       6.6,      50.0,      89.8,     189.9,     154.5,     128.0,     562.2,     116.6,     357.5,     174.0,     282.1,     930.2,    105.28,     16.46,     36.84,     23.67,     28.41,    105.38,     0.007,     0.019,     0.052,     0.003,     0.081
0006_177.5,     0.433,       2.0,       0.9,Expressway,      1064,    2520.9,    5736.9,    3599.4,    4397.0,   16254.2,      55.0,      54.6,      54.0,      51.7,      55.0,      53.8,     0.472,     0.476,     0.481,     0.502,     0.472,     0.483,      6384,     12768,      6384,     25536,     51072,      0.52,      0.59,      0.69,      0.24,      0.69,    1091.1,    2482.9,    1557.8,    1903.1,    7034.9,     816.9,    1752.2,    1108.4,    1349.0,    5026.5,       3.1,      23.3,       8.7,       6.5,      41.6,     112.8,     237.8,     198.2,     168.8,     717.6,     158.5,     469.5,     242.6,     378.7,    1249.3,    127.91,     20.00,     46.02,     30.11,     34.61,    130.74,     0.157,     0.893,     1.796,     0.002,     2.848
0006_177.9,     0.901,       2.0,       1.8,Expressway,      1064,    2555.2,    5744.9,    3633.8,    4345.4,   16279.3,      55.0,      54.5,      53.9,      51.3,      55.0,      53.6,     0.984,     0.992,     1.004,     1.054,     0.984,     1.008,      6384,     12768,      6384,     25536,     51072,      0.53,      0.59,      0.71,      0.24,      0.71,    2302.7,    5177.4,    3274.8,    3916.1,   14671.0,    1709.7,    3622.9,    2291.5,    2749.2,   10373.3,       4.6,      32.1,       6.7,       6.5,      49.9,     247.2,     522.7,     448.2,     364.2,    1582.3,     341.4,     999.6,     528.5,     796.3,    2665.8,    266.88,     42.27,     96.09,     63.86,     71.24,    273.46,     0.363,     1.968,     4.267,     0.015,     6.613
0006_178.8,     2.759,       2.0,       5.5,Expressway,      1064,    2507.1,    5640.1,    3561.0,    4255.1,   15963.3,      56.0,      55.6,      55.0,      52.7,      56.0,      54.8,     2.956,     2.979,     3.011,     3.142,     2.956,     3.020,      6384,     12768,      6384,     25536,     51072,      0.52,      0.58,      0.70,      0.23,      0.70,    6917.0,   15560.6,    9824.6,   11739.6,   44041.8,    5123.0,   10856.1,    6841.9,    8194.3,   31015.3,      11.0,      74.5,      13.8,      13.8,     113.1,     742.7,    1578.7,    1354.9,    1098.0,    4774.3,    1040.1,    3051.4,    1614.0,    2433.4,    8138.9,    786.40,    124.49,    282.91,    186.60,    209.63,    803.63,     0.950,     5.225,    11.075,     0.006,    17.256
0006_181.6,     2.513,       2.0,       5.0,Expressway,      1064,    2395.9,    5423.2,    3414.8,    4089.0,   15322.9,      56.0,      55.7,      55.2,      53.2,      56.0,      55.0,     2.692,     2.708,     2.734,     2.830,     2.692,     2.740,      6384,     12768,      6384,     25536,     51072,      0.50,      0.56,      0.68,      0.23,      0.68,    6020.1,   13626.7,    8580.3,   10274.4,   38501.5,    4414.3,    9435.3,    5906.6,    7085.7,   26841.9,       5.0,      30.2,       2.5,       7.5,      45.2,     656.0,    1407.4,    1208.8,     974.9,    4247.1,     944.8,    2753.8,    1462.4,    2206.2,    7367.2,    687.56,    108.17,    246.99,    161.16,    183.48,    699.80,     0.627,     3.759,     7.816,     0.003,    12.205
0006_184.1,     3.358,       2.0,       6.7,Expressway,      1064,    2319.9,    5274.2,    3315.1,    3964.4,   14873.6,      56.0,      55.7,      55.3,      53.6,      56.0,      55.1,     3.599,     3.616,     3.647,     3.758,     3.599,     3.654,      6384,     12768,      6384,     25536,     51072,      0.48,      0.55,      0.67,      0.22,      0.67,    7791.0,   17712.5,   11133.2,   13313.8,   49950.5,    5648.0,   12123.9,    7563.3,    9052.0,   34387.2,       6.7,      37.0,       3.4,      10.1,      57.2,     873.5,    1874.3,    1612.1,    1303.1,    5663.0,    1262.8,    3677.4,    1954.6,    2948.6,    9843.4,    892.11,    139.87,    320.44,    207.81,    237.80,    905.92,     0.685,     4.235,     8.818,     0.017,    13.755
0006_187.5,     7.315,       2.0,      14.6,Expressway,      1064,    1658.6,    3930.2,    2382.9,    2920.1,   10891.8,      56.0,      55.9,      55.8,      55.5,      56.0,      55.8,     7.838,     7.844,     7.862,     7.912,     7.838,     7.864,      6384,     12768,      6384,     25536,     51072,      0.34,      0.43,      0.54,      0.18,      0.54,   12132.7,   28749.8,   17431.0,   21360.8,   79674.3,    7926.6,   17938.0,   10540.3,   12926.4,   49331.3,         0,         0,         0,         0,         0,    1602.0,    3269.8,    2867.5,    2355.5,   10094.8,    2604.2,    7541.8,    4023.3,    6078.8,   20248.1,   1422.83,    216.85,    514.93,    314.34,    381.47,   1427.59,     0.178,     1.591,     2.929,         0,     4.698
0006_194.8,     8.833,       2.0,      17.7,Expressway,      1064,    1635.4,    3874.9,    2349.8,    2880.9,   10741.0,      56.0,      56.0,      55.8,      55.5,      56.0,      55.8,     9.464,     9.471,     9.491,     9.547,     9.464,     9.493,      6384,     12768,      6384,     25536,     51072,      0.34,      0.43,      0.53,      0.17,      0.53,   14445.0,   34225.6,   20754.9,   25446.0,   94871.5,    9428.0,   21287.5,   12507.1,   15350.3,   58572.9,         0,         0,         0,         0,         0,    1890.2,    3893.4,    3407.6,    2800.0,   11991.2,    3126.8,    9044.6,    4840.2,    7295.8,   24307.4,   1694.21,    258.15,    612.87,    374.05,    454.41,   1699.48,     0.193,     1.766,     3.253,     0.011,     5.223
0006_203.6,     7.548,       2.0,      15.1,Expressway,      1064,    1612.0,    3813.1,    2308.3,    2831.3,   10564.7,      56.0,      56.0,      55.9,      55.5,      56.0,      55.8,     8.087,     8.092,     8.109,     8.152,     8.087,     8.110,      6384,     12768,      6384,     25536,     51072,      0.33,      0.42,      0.52,      0.17,      0.52,   12167.3,   28781.2,   17423.0,   21370.6,   79742.1,    7917.8,   17844.2,   10448.7,   12818.7,   49029.4,         0,         0,         0,         0,         0,    1592.6,    3253.2,    2853.1,    2362.5,   10061.4,    2656.9,    7683.8,    4121.2,    6189.3,   20651.2,   1423.97,    217.42,    515.24,    313.76,    381.62,   1428.04,     0.139,     1.362,     2.512,     0.007,     4.020
0006_211.2,     5.022,       2.0,      10.0,Expressway,      1064,    1612.0,    3813.1,    2308.3,    2831.3,   10564.7,      56.0,      56.0,      55.9,      55.5,      56.0,      55.8,     5.381,     5.385,     5.395,     5.424,     5.381,     5.396,      6384,     12768,      6384,     25536,     51072,      0.33,      0.42,      0.52,      0.17,      0.52,    8095.1,   19148.5,   11591.8,   14218.2,   53053.6,    5267.8,   11872.0,    6951.6,    8528.5,   32619.9,         0,         0,         0,         0,         0,    1059.6,    2164.4,    1898.2,    1571.8,    6694.0,    1767.6,    5112.1,    2741.9,    4117.8,   13739.4,    947.44,    144.67,    342.81,    208.76,    253.91,    950.15,     0.102,     0.901,     1.678,     0.012,     2.693
0006_216.2,     4.891,       2.0,       9.8,Expressway,      1064,    1531.5,    3581.7,    2176.9,    2683.7,    9973.8,      56.0,      56.0,      55.9,      55.7,      56.0,      55.9,     5.241,     5.243,     5.250,     5.268,     5.241,     5.250,      6384,     12768,      6384,     25536,     51072,      0.31,      0.39,      0.48,      0.16,      0.48,    7490.7,   17518.5,   10647.5,   13126.3,   48783.0,    4859.3,   11101.3,    6495.0,    8020.0,   30475.6,         0,         0,         0,         0,         0,     997.8,    1834.2,    1618.9,    1413.5,    5864.4,    1633.6,    4583.0,    2533.6,    3692.8,   12443.0,    871.15,    133.83,    313.37,    191.18,    234.41,    872.79,     0.068,     0.562,     1.011,     0.005,     1.646
0013_000.0,     0.652,       4.0,       2.6,Principal Arterial,       929,    2351.9,    5320.2,    3511.7,    3799.9,   14983.7,      40.0,      39.9,      39.9,      39.6,      40.0,      39.9,     0.978,     0.979,     0.980,     0.986,     0.978,     0.981,     11148,     22296,     11148,     44592,     89184,      0.25,      0.26,      0.37,      0.09,      0.37,    1532.5,    3466.6,    2288.2,    2476.0,    9763.3,    1181.9,    2443.7,    1811.1,    2048.0,    7484.7,     121.8,     586.0,     203.2,     179.5,    1090.5,     171.2,     308.0,     218.0,     179.5,     876.7,      57.6,     128.8,      55.9,      69.0,     311.3,    244.19,     38.40,     86.94,     57.73,     61.92,    244.99,     0.065,     0.229,     0.496,         0,     0.790
