Purpose,TAZID,All,Walk,Bike,NonM
HBO,20.0,674.2,62.99,10.72,73.71
NHB,20.0,128.65,5.62,0.75,6.37
HBC,20.0,0.0,0.0,0.0,0.0
HBSch,20.0,69.61,0.32,0.09,32.37
All,21.0,75.74,1.91,0.41,2.32
HBW,21.0,0.0,0.0,0.0,0.0
HBO,21.0,0.0,0.0,0.0,0.0
NHB,21.0,75.74,1.91,0.41,2.32
HBC,21.0,0.0,0.0,0.0,0.0
HBSch,21.0,0.0,0.0,0.0,0.0
All,22.0,17.13,0.59,0.21,0.8
HBW,22.0,2.6,0.08,0.03,0.11
HBO,22.0,10.64,0.45,0.16,0.61
NHB,22.0,2.28,0.07,0.02,0.08
HBC,22.0,0.0,0.0,0.0,0.0
HBSch,22.0,1.61,0.0,0.0,0.0
All,23.0,57.42,2.91,0.68,7.93
HBW,23.0,6.38,0.18,0.09,0.27
HBO,23.0,34.2,2.3,0.5,2.8
NHB,23.0,11.55,0.38,0.07,0.45
HBC,23.0,0.0,0.0,0.0,0.0
HBSch,23.0,5.28,0.04,0.01,4.4
All,24.0,1036.19,82.94,14.28,196.57
HBW,24.0,161.55,4.08,2.57,6.65
HBO,24.0,713.53,75.2,11.09,86.29
NHB,24.0,52.6,2.65,0.33,2.98
HBC,24.0,3.0,0.0,0.0,0.0
HBSch,24.0,105.51,1.0,0.3,100.65
All,25.0,2438.01,244.72,35.25,440.91
HBW,25.0,443.28,20.61,7.91,28.52
HBO,25.0,1559.88,206.02,25.31,231.33
NHB,25.0,256.77,16.47,1.54,18.01
HBC,25.0,7.0,0.0,0.0,0.0
HBSch,25.0,171.09,1.63,0.48,163.05
All,26.0,1096.84,122.51,16.95,169.43
HBW,26.0,209.04,12.9,4.18,17.08
HBO,26.0,603.73,92.08,11.25,103.33
NHB,26.0,241.1,17.22,1.44,18.66
HBC,26.0,2.0,0.0,0.0,0.0
HBSch,26.0,40.97,0.3,0.09,30.36
All,27.0,0.0,0.0,0.0,0.0
HBW,27.0,0.0,0.0,0.0,0.0
HBO,27.0,0.0,0.0,0.0,0.0
NHB,27.0,0.0,0.0,0.0,0.0
HBC,27.0,0.0,0.0,0.0,0.0
HBSch,27.0,0.0,0.0,0.0,0.0
All,28.0,31.55,1.68,0.36,2.34
HBW,28.0,4.23,0.2,0.06,0.26
HBO,28.0,11.33,0.91,0.2,1.1
NHB,28.0,14.99,0.57,0.1,0.67
HBC,28.0,0.0,0.0,0.0,0.0
HBSch,28.0,1.0,0.0,0.0,0.3
All,29.0,1143.89,115.1,16.69,207.39
HBW,29.0,218.99,11.1,3.89,14.99
HBO,29.0,745.12,97.72,12.05,109.77
NHB,29.0,83.58,5.52,0.53,6.05
HBC,29.0,15.0,0.0,0.0,0.0
HBSch,29.0,81.2,0.76,0.23,76.59
All,30.0,2331.89,296.1,36.37,464.04
HBW,30.0,437.11,29.89,8.75,38.64
HBO,30.0,1494.43,243.43,25.65,269.08
NHB,30.0,256.47,21.45,1.58,23.03
HBC,30.0,2.0,0.0,0.0,0.0
HBSch,30.0,141.88,1.33,0.4,133.3
All,31.0,1586.79,200.15,22.82,293.87
HBW,31.0,258.37,19.87,5.14,25.01
HBO,31.0,872.55,146.13,15.18,161.3
NHB,31.0,379.21,33.44,2.28,35.72
HBC,31.0,0.0,0.0,0.0,0.0
HBSch,31.0,76.66,0.72,0.21,71.83
All,32.0,941.76,98.02,13.77,171.61
HBW,32.0,162.78,4.61,2.91,7.52
HBO,32.0,635.03,88.22,10.3,98.53
NHB,32.0,62.69,4.58,0.38,4.96
HBC,32.0,0.0,0.0,0.0,0.0
HBSch,32.0,81.26,0.6,0.18,60.61
All,33.0,1345.16,162.99,20.08,296.12
HBW,33.0,215.96,9.65,4.11,13.77
HBO,33.0,924.91,145.03,15.12,160.15
NHB,33.0,82.7,7.16,0.51,7.67
HBC,33.0,0.0,0.0,0.0,0.0
HBSch,33.0,121.59,1.14,0.34,114.53
All,34.0,1452.24,146.71,20.62,242.87
HBW,34.0,273.08,7.09,4.42,11.51
HBO,34.0,953.86,130.91,15.29,146.2
NHB,34.0,112.43,7.94,0.69,8.63
HBC,34.0,0.0,0.0,0.0,0.0
HBSch,34.0,112.86,0.76,0.22,76.53
All,35.0,2078.14,217.36,30.45,366.03
HBW,35.0,400.69,10.36,7.03,17.39
HBO,35.0,1362.09,194.55,22.12,216.67
NHB,35.0,154.53,11.26,0.95,12.21
HBC,35.0,13.01,0.0,0.0,0.0
HBSch,35.0,147.82,1.19,0.35,119.76
All,36.0,466.68,40.5,8.13,59.94
HBW,36.0,105.48,2.03,2.56,4.59
HBO,36.0,293.33,35.61,5.24,40.85
NHB,36.0,47.77,2.75,0.3,3.04
HBC,36.0,0.0,0.0,0.0,0.0
HBSch,36.0,20.1,0.11,0.03,11.46
All,37.0,6.37,0.19,0.07,0.26
HBW,37.0,0.69,0.02,0.01,0.03
HBO,37.0,3.55,0.13,0.04,0.17
NHB,37.0,1.89,0.05,0.01,0.06
HBC,37.0,0.0,0.0,0.0,0.0
HBSch,37.0,0.24,0.0,0.0,0.0
All,38.0,272.58,13.5,1.66,15.36
HBW,38.0,1.68,0.23,0.03,0.26
HBO,38.0,6.18,0.49,0.08,0.57
NHB,38.0,264.02,12.78,1.55,14.33
HBC,38.0,0.0,0.0,0.0,0.0
HBSch,38.0,0.7,0.0,0.0,0.2
All,39.0,525.8,65.78,7.12,98.49
HBW,39.0,82.27,8.82,1.58,10.41
HBO,39.0,281.76,45.63,4.58,50.21
NHB,39.0,131.8,11.07,0.87,11.94
HBC,39.0,0.0,0.0,0.0,0.0
HBSch,39.0,29.96,0.26,0.08,25.93
All,40.0,2345.43,365.9,37.51,496.1
HBW,40.0,423.32,52.07,9.29,61.37
HBO,40.0,1364.88,271.18,25.23,296.41
NHB,40.0,419.83,41.71,2.71,44.43
HBC,40.0,34.01,0.0,0.0,0.0
HBSch,40.0,103.39,0.94,0.28,93.9
All,41.0,1422.33,193.67,16.84,242.64
HBW,41.0,129.17,15.42,2.92,18.34
HBO,41.0,465.5,91.42,8.77,100.19
NHB,41.0,791.04,86.5,5.06,91.57
HBC,41.0,1.0,0.0,0.0,0.0
HBSch,41.0,35.62,0.32,0.1,32.55
All,42.0,628.0,84.94,9.48,143.09
HBW,42.0,91.43,6.74,1.94,8.69
HBO,42.0,412.73,71.78,6.99,78.77
NHB,42.0,63.81,5.93,0.4,6.32
HBC,42.0,4.0,0.0,0.0,0.0
HBSch,42.0,56.02,0.49,0.15,49.31
All,43.0,1800.72,199.46,25.41,365.83
HBW,43.0,297.85,13.75,5.32,19.07
HBO,43.0,1190.52,173.37,18.75,192.12
NHB,43.0,146.99,10.92,0.91,11.83
HBC,43.0,7.0,0.0,0.0,0.0
HBSch,43.0,158.36,1.42,0.43,142.81
All,44.0,1011.74,89.89,13.76,129.62
HBW,44.0,186.38,3.6,2.87,6.47
HBO,44.0,668.03,81.91,10.38,92.29
NHB,44.0,68.19,4.12,0.43,4.54
HBC,44.0,0.0,0.0,0.0,0.0
HBSch,44.0,89.14,0.26,0.09,26.32
All,45.0,450.15,32.58,5.88,49.84
HBW,45.0,78.62,1.53,1.06,2.59
HBO,45.0,296.11,29.42,4.57,33.99
NHB,45.0,32.86,1.52,0.21,1.73
HBC,45.0,0.0,0.0,0.0,0.0
HBSch,45.0,42.56,0.11,0.04,11.53
All,46.0,0.0,0.0,0.0,0.0
HBW,46.0,0.0,0.0,0.0,0.0
HBO,46.0,0.0,0.0,0.0,0.0
NHB,46.0,0.0,0.0,0.0,0.0
HBC,46.0,0.0,0.0,0.0,0.0
HBSch,46.0,0.0,0.0,0.0,0.0
All,47.0,0.0,0.0,0.0,0.0
HBW,47.0,0.0,0.0,0.0,0.0
HBO,47.0,0.0,0.0,0.0,0.0
NHB,47.0,0.0,0.0,0.0,0.0
HBC,47.0,0.0,0.0,0.0,0.0
HBSch,47.0,0.0,0.0,0.0,0.0
All,48.0,41.03,0.5,0.25,0.75
HBW,48.0,6.32,0.0,0.03,0.03
HBO,48.0,27.94,0.49,0.22,0.71
NHB,48.0,1.65,0.01,0.01,0.01
HBC,48.0,0.0,0.0,0.0,0.0
HBSch,48.0,5.12,0.0,0.0,0.0
All,49.0,329.71,10.53,1.93,12.46
HBW,49.0,0.0,0.0,0.0,0.0
HBO,49.0,0.0,0.0,0.0,0.0
NHB,49.0,329.71,10.53,1.93,12.46
HBC,49.0,0.0,0.0,0.0,0.0
HBSch,49.0,0.0,0.0,0.0,0.0
All,50.0,121.92,6.45,0.93,8.07
HBW,50.0,4.48,0.32,0.07,0.39
HBO,50.0,16.89,1.7,0.23,1.94
NHB,50.0,98.39,4.42,0.62,5.04
HBC,50.0,0.0,0.0,0.0,0.0
HBSch,50.0,2.16,0.01,0.0,0.7
All,51.0,80.71,8.92,0.93,15.25
HBW,51.0,8.13,0.7,0.13,0.83
HBO,51.0,44.17,6.63,0.65,7.28
NHB,51.0,21.54,1.53,0.14,1.67
HBC,51.0,0.0,0.0,0.0,0.0
HBSch,51.0,6.87,0.05,0.02,5.47
All,52.0,940.26,108.81,8.62,127.07
HBW,52.0,53.35,11.01,1.12,12.13
HBO,52.0,185.8,37.07,3.28,40.35
NHB,52.0,685.62,60.63,4.19,64.82
HBC,52.0,0.0,0.0,0.0,0.0
HBSch,52.0,15.49,0.1,0.03,9.77
All,53.0,3034.94,465.99,35.28,592.82
HBW,53.0,277.63,53.93,6.35,60.28
HBO,53.0,1028.42,226.29,18.21,244.5
NHB,53.0,1628.36,184.85,10.44,195.29
HBC,53.0,0.0,0.0,0.0,0.0
HBSch,53.0,100.52,0.92,0.28,92.75
All,54.0,1510.27,227.65,20.83,300.0
HBW,54.0,202.93,29.79,4.57,34.36
HBO,54.0,694.53,139.5,12.52,152.02
NHB,54.0,556.78,57.84,3.58,61.43
HBC,54.0,0.0,0.0,0.0,0.0
HBSch,54.0,56.03,0.52,0.16,52.19
All,55.0,1228.19,161.61,18.54,219.85
HBW,55.0,201.97,18.33,4.17,22.5
HBO,55.0,735.41,125.13,12.93,138.05
NHB,55.0,212.64,17.75,1.32,19.07
HBC,55.0,1.0,0.0,0.0,0.0
HBSch,55.0,77.18,0.4,0.13,40.23
All,56.0,211.21,21.81,2.92,29.78
HBW,56.0,43.95,1.76,0.66,2.42
HBO,56.0,136.42,18.76,2.13,20.9
NHB,56.0,17.12,1.24,0.11,1.35
HBC,56.0,0.0,0.0,0.0,0.0
HBSch,56.0,13.72,0.05,0.02,5.11
All,57.0,415.89,45.86,6.39,64.65
HBW,57.0,92.63,3.62,1.69,5.31
HBO,57.0,262.35,39.02,4.39,43.42
NHB,57.0,41.07,3.1,0.26,3.36
HBC,57.0,0.0,0.0,0.0,0.0
HBSch,57.0,19.83,0.13,0.04,12.57
All,58.0,0.0,0.0,0.0,0.0
HBW,58.0,0.0,0.0,0.0,0.0
HBO,58.0,0.0,0.0,0.0,0.0
NHB,58.0,0.0,0.0,0.0,0.0
HBC,58.0,0.0,0.0,0.0,0.0
HBSch,58.0,0.0,0.0,0.0,0.0
All,59.0,0.0,0.0,0.0,0.0
HBW,59.0,0.0,0.0,0.0,0.0
HBO,59.0,0.0,0.0,0.0,0.0
NHB,59.0,0.0,0.0,0.0,0.0
HBC,59.0,0.0,0.0,0.0,0.0
HBSch,59.0,0.0,0.0,0.0,0.0
All,60.0,0.0,0.0,0.0,0.0
HBW,60.0,0.0,0.0,0.0,0.0
HBO,60.0,0.0,0.0,0.0,0.0
NHB,60.0,0.0,0.0,0.0,0.0
HBC,60.0,0.0,0.0,0.0,0.0
HBSch,60.0,0.0,0.0,0.0,0.0
All,61.0,1541.58,179.85,23.85,301.85
HBW,61.0,286.25,16.22,5.58,21.8
HBO,61.0,1027.19,155.34,17.22,172.56
NHB,61.0,115.83,7.3,0.75,8.05
HBC,61.0,0.0,0.0,0.0,0.0
HBSch,61.0,112.31,0.99,0.3,99.44
All,62.0,1777.51,232.98,25.49,389.74
HBW,62.0,293.33,20.65,5.43,26.08
HBO,62.0,1185.63,201.61,18.89,220.5
NHB,62.0,120.61,9.39,0.77,10.16
HBC,62.0,25.0,0.0,0.0,0.0
HBSch,62.0,152.94,1.33,0.4,133.0
All,63.0,300.41,36.8,3.33,54.73
HBW,63.0,28.78,3.33,0.51,3.84
HBO,63.0,126.67,22.5,1.94,24.44
NHB,63.0,126.52,10.82,0.84,11.66
HBC,63.0,0.0,0.0,0.0,0.0
HBSch,63.0,18.43,0.15,0.04,14.78
