SEGID,DISTANCE,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,       2.0,      11.7,Principal Arterial,      1065,     244.2,     541.8,     339.7,     431.8,    1557.5,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1427.0,    3165.9,    1985.0,    2523.2,    9101.1,    1163.9,    2464.7,    1500.0,    1938.8,    7067.4,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    159.69,     25.03,     55.55,     34.83,     44.28,    159.69,         0,     0.005,     0.001,     0.002,     0.008
0006_146.9,     3.039,       2.0,       6.1,Principal Arterial,      1065,     247.0,     543.6,     342.2,     434.3,    1567.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     750.6,    1652.0,    1039.9,    1319.9,    4762.4,     613.9,    1287.3,     787.7,    1016.0,    3704.9,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     83.55,     13.17,     28.98,     18.24,     23.15,     83.54,     0.001,         0,     0.001,         0,     0.002
0006_149.9,     0.678,       2.0,       1.4,Principal Arterial,      1065,     490.1,     722.0,     655.7,     623.8,    2491.6,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.14,      0.07,      0.14,      0.03,      0.14,     332.3,     489.5,     444.6,     422.9,    1689.3,     280.7,     381.0,     372.5,     355.1,    1389.3,       4.1,      21.7,       6.1,       3.4,      35.3,      32.5,      53.6,      45.5,      35.3,     166.9,      14.9,      33.2,      20.6,      29.1,      97.8,     29.63,      5.83,      8.59,      7.80,      7.41,     29.63,         0,         0,     0.009,     0.001,     0.010
0006_150.6,     1.973,       2.0,       3.9,Principal Arterial,      1065,     566.7,     854.8,     759.1,     737.6,    2918.2,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.078,     2.077,     2.078,     2.077,     2.077,      6390,     12780,      6390,     25560,     51120,      0.14,      0.09,      0.16,      0.03,      0.16,    1118.2,    1686.6,    1497.8,    1455.3,    5757.9,     930.5,    1292.4,    1249.8,    1220.8,    4693.5,      14.2,      86.7,      27.0,      14.0,     141.9,     127.4,     189.6,     155.9,     122.1,     595.0,      46.0,     118.0,      65.1,      98.4,     327.5,    101.02,     19.62,     29.59,     26.29,     25.53,    101.03,     0.005,         0,     0.016,         0,     0.021
0006_152.6,     0.316,       2.0,       0.6,Minor Arterial,       983,     812.5,    1274.8,    1094.6,    1045.6,    4227.5,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.412,     0.412,     0.413,     0.412,     0.412,      5898,     11796,      5898,     23592,     47184,      0.21,      0.13,      0.24,      0.05,      0.24,     257.0,     403.1,     346.2,     330.7,    1337.0,     216.7,     310.1,     291.6,     279.7,    1098.1,       3.1,      21.9,       7.3,       4.5,      36.8,      26.9,      42.5,      33.2,      26.9,     129.5,      10.1,      28.8,      14.0,      19.7,      72.6,     29.05,      5.59,      8.76,      7.53,      7.19,     29.07,     0.003,         0,     0.006,     0.003,     0.012
0006_152.9,     2.923,       2.0,       5.8,Principal Arterial,      1052,    1072.7,    1844.1,    1415.5,    1493.4,    5825.7,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     3.188,     3.195,     3.190,     3.198,     3.188,     3.192,      6311,     12622,      6311,     25243,     50487,      0.26,      0.17,      0.29,      0.07,      0.29,    3135.8,    5390.7,    4137.8,    4365.6,   17029.9,    2694.1,    4324.0,    3555.5,    3799.9,   14373.5,      38.0,     247.9,      91.8,      50.3,     428.0,     301.4,     504.0,     355.4,     303.1,    1463.9,     102.3,     314.8,     135.1,     212.2,     764.4,    309.52,     57.11,     98.04,     75.45,     79.35,    309.95,     0.123,     0.062,     0.242,     0.007,     0.434
0006_155.8,     0.202,       2.0,       0.4,Principal Arterial,      1065,    1084.3,    1864.2,    1430.3,    1517.4,    5896.2,      57.0,      56.8,      57.0,      56.9,      57.0,      56.9,     0.212,     0.213,     0.212,     0.213,     0.212,     0.213,      6390,     12780,      6390,     25560,     51120,      0.26,      0.17,      0.29,      0.07,      0.29,     218.6,     375.9,     288.4,     305.9,    1188.8,     188.0,     302.0,     248.1,     266.7,    1004.8,       2.6,      17.2,       6.2,       3.4,      29.4,      20.9,      35.0,      24.7,      21.2,     101.8,       7.0,      21.8,       9.3,      14.8,      52.9,     20.86,      3.85,      6.60,      5.07,      5.37,     20.89,     0.011,     0.001,     0.007,     0.001,     0.020
0006_155.9,     1.316,       2.0,       2.6,Principal Arterial,      1016,    1611.7,    2884.0,    2118.0,    2420.0,    9033.7,      48.0,      45.4,      47.4,      43.9,      48.0,      46.3,     1.645,     1.742,     1.667,     1.800,     1.646,     1.707,      6096,     12192,      6096,     24384,     48768,      0.39,      0.27,      0.45,      0.12,      0.45,    2121.0,    3795.4,    2787.3,    3184.8,   11888.5,    1865.2,    3117.2,    2457.0,    2834.7,   10274.1,      25.8,     170.0,      53.4,      40.8,     290.0,     168.6,     303.0,     207.3,     183.2,     862.1,      61.4,     205.2,      69.6,     126.0,     462.2,    247.72,     46.72,     80.13,     63.43,     66.39,    256.67,     2.610,     1.054,     5.461,     0.037,     9.162
0006_157.3,     0.250,       2.0,       0.5,Principal Arterial,      1016,    2935.4,    5118.9,    3777.8,    4422.2,   16254.3,      48.0,      43.2,      46.8,      40.8,      48.0,      44.9,     0.312,     0.348,     0.320,     0.368,     0.312,     0.334,      6096,     12192,      6096,     24384,     48768,      0.71,      0.47,      0.81,      0.22,      0.81,     732.9,    1278.0,     943.2,    1104.1,    4058.2,     655.0,    1071.4,     846.2,     998.7,    3571.3,       9.2,      51.0,      15.9,      14.4,      90.5,      49.4,      92.4,      60.3,      55.3,     257.4,      19.2,      63.5,      20.7,      35.7,     139.1,     84.47,     16.98,     27.29,     23.11,     23.00,     90.38,     1.775,     0.692,     3.541,     0.026,     6.034
0006_157.6,     0.918,       2.0,       1.8,Principal Arterial,      1060,    2899.9,    5036.2,    3630.1,    4356.9,   15923.1,      55.9,      51.5,      54.7,      49.9,      55.8,      53.2,     0.986,     1.072,     1.007,     1.105,     0.987,     1.036,      6358,     12717,      6358,     25434,     50867,      0.66,      0.44,      0.73,      0.21,      0.73,    2663.1,    4625.0,    3333.7,    4001.1,   14622.9,    2376.9,    3867.4,    2996.1,    3613.2,   12853.6,      32.9,     182.6,      54.2,      50.6,     320.3,     180.6,     340.0,     208.8,     206.0,     935.4,      72.6,     234.9,      74.7,     131.4,     513.6,    261.80,     51.67,     84.52,     66.75,     71.69,    274.63,     4.117,     1.722,     7.199,     0.058,    13.096
0006_158.5,     0.472,       2.0,       0.9,Principal Arterial,       998,    3064.5,    5145.9,    3754.4,    4429.6,   16394.4,      44.5,      39.0,      43.3,      37.7,      44.5,      41.3,     0.636,     0.729,     0.653,     0.754,     0.636,     0.686,      5987,     11974,      5987,     23947,     47895,      0.76,      0.47,      0.81,      0.22,      0.81,    1446.2,    2428.4,    1771.7,    2090.4,    7736.7,    1297.8,    2055.4,    1611.0,    1911.3,    6875.5,      18.4,     100.1,      31.7,      26.5,     176.7,      95.0,     165.8,      98.5,      97.9,     457.2,      34.9,     107.1,      30.6,      54.7,     227.3,    173.67,     37.09,     56.04,     47.02,     46.97,    187.12,     4.778,     1.526,     7.398,     0.050,    13.752
0006_158.9,     0.381,       2.0,       0.8,Principal Arterial,       997,    3143.9,    5300.2,    3852.3,    4558.1,   16854.5,      46.0,      41.5,      45.0,      40.3,      45.9,      43.4,     0.497,     0.553,     0.508,     0.569,     0.498,     0.528,      5984,     11969,      5984,     23937,     47874,      0.77,      0.48,      0.83,      0.23,      0.83,    1197.6,    2018.9,    1467.4,    1736.2,    6420.1,    1072.6,    1703.6,    1333.3,    1583.1,    5692.6,      16.7,      84.8,      26.4,      23.4,     151.3,      79.2,     139.2,      82.0,      82.8,     383.2,      29.1,      91.4,      25.7,      47.0,     193.2,    139.67,     28.87,     44.91,     36.43,     37.81,    148.02,     2.921,     0.983,     4.614,     0.023,     8.541
0006_159.3,     0.278,       4.0,       1.1,Principal Arterial,       929,    3445.8,    5872.8,    4249.7,    5043.7,   18612.0,      40.0,      39.3,      39.8,      39.1,      40.0,      39.6,     0.418,     0.425,     0.419,     0.428,     0.418,     0.422,     11148,     22296,     11148,     44592,     89184,      0.45,      0.29,      0.49,      0.14,      0.49,     958.9,    1634.1,    1182.5,    1403.5,    5179.0,     853.2,    1364.6,    1067.2,    1275.5,    4560.5,      15.2,      74.2,      22.9,      19.0,     131.3,      66.2,     118.4,      70.4,      69.0,     324.0,      24.1,      76.9,      22.1,      39.9,     163.0,    129.55,     24.42,     41.04,     30.27,     35.11,    130.84,     0.445,     0.161,     0.705,     0.003,     1.314
0006_159.6,     0.226,       4.0,       0.9,Principal Arterial,       929,    3873.0,    6916.4,    4909.4,    5904.6,   21603.4,      40.0,      39.2,      39.7,      38.7,      40.0,      39.4,     0.339,     0.346,     0.342,     0.351,     0.339,     0.344,     11148,     22296,     11148,     44592,     89184,      0.47,      0.34,      0.53,      0.16,      0.53,     875.8,    1564.0,    1110.2,    1335.2,    4885.2,     766.8,    1279.7,     983.6,    1197.2,    4227.3,      13.8,      73.6,      25.1,      21.1,     133.6,      68.6,     127.7,      75.9,      74.9,     347.1,      26.7,      83.0,      25.5,      42.0,     177.2,    122.13,     22.32,     39.42,     28.71,     33.39,    123.84,     0.436,     0.316,     0.980,     0.001,     1.733
0006_159.8,     0.445,       4.0,       1.8,Principal Arterial,       929,    4128.5,    7490.7,    5239.4,    6534.5,   23393.1,      40.0,      38.6,      39.5,      38.0,      39.9,      39.1,     0.669,     0.693,     0.676,     0.703,     0.669,     0.683,     11148,     22296,     11148,     44592,     89184,      0.54,      0.38,      0.59,      0.18,      0.59,    1838.5,    3335.7,    2333.2,    2909.9,   10417.3,    1606.9,    2740.1,    2070.5,    2616.6,    9034.1,      28.5,     145.1,      46.1,      42.8,     262.5,     145.5,     269.0,     159.4,     152.6,     726.5,      57.5,     181.6,      57.3,      97.9,     394.3,    260.65,     47.63,     84.39,     61.34,     72.84,    266.20,     1.697,     0.940,     3.026,     0.034,     5.697
0006_160.3,     0.249,       4.0,       1.0,Principal Arterial,       929,    4897.6,    9120.1,    6355.3,    7792.2,   28165.2,      40.0,      37.6,      39.1,      36.3,      40.0,      38.4,     0.373,     0.399,     0.382,     0.413,     0.374,     0.390,     11148,     22296,     11148,     44592,     89184,      0.63,      0.46,      0.71,      0.21,      0.71,    1219.9,    2271.7,    1583.0,    1940.9,    7015.5,    1061.5,    1855.6,    1392.0,    1731.3,    6040.4,      18.2,      97.5,      30.4,      28.6,     174.7,      97.4,     185.7,     114.5,     105.7,     503.3,      42.8,     132.9,      46.1,      75.3,     297.1,    175.18,     32.48,     58.13,     43.66,     48.52,    182.79,     2.097,     1.401,     4.208,     0.055,     7.761
0006_173.4,     0.446,       6.0,       2.7,Expressway,       919,    9296.1,   17781.6,   11905.0,   13975.3,   52958.0,      44.9,      41.3,      43.2,      37.3,      44.9,      41.8,     0.596,     0.650,     0.619,     0.720,     0.596,     0.642,     16542,     33084,     16542,     66168,    132336,      0.78,      0.63,      0.88,      0.25,      0.88,    4147.8,    7934.1,    5311.9,    6235.7,   23629.5,    3230.7,    5674.0,    4154.9,    4917.2,   17976.8,      77.3,     360.4,     118.8,     107.5,     664.0,     498.8,     939.1,     628.7,     572.9,    2639.5,     341.1,     960.5,     409.6,     638.0,    2349.2,    525.97,    100.44,    183.49,    142.45,    138.80,    565.18,     8.445,     6.885,    24.695,         0,    40.025
0006_173.7,     0.270,       6.0,       1.6,Expressway,       919,    8134.4,   15468.5,   10646.6,   12991.2,   47240.7,      45.0,      42.1,      44.4,      39.6,      45.0,      43.0,     0.360,     0.387,     0.366,     0.412,     0.360,     0.379,     16542,     33084,     16542,     66168,    132336,      0.74,      0.55,      0.84,      0.24,      0.84,    2200.0,    4183.6,    2879.5,    3513.5,   12776.6,    1792.1,    3117.8,    2330.8,    2875.5,   10116.2,      36.2,     166.8,      54.6,      53.3,     310.9,     217.9,     433.1,     288.8,     261.0,    1200.8,     153.9,     466.0,     205.2,     323.8,    1148.9,    283.66,     52.23,     94.32,     72.79,     78.01,    297.35,     3.577,     1.451,     9.221,         0,    14.249
0006_174.0,     0.438,       4.0,       1.8,Expressway,       948,    6454.3,   12928.4,    8459.7,   11080.2,   38922.6,      45.0,      39.4,      42.8,      35.0,      45.0,      40.8,     0.584,     0.672,     0.614,     0.757,     0.585,     0.647,     11376,     22752,     11376,     45504,     91008,      0.84,      0.67,      0.94,      0.30,      0.94,    2827.0,    5662.5,    3705.3,    4853.1,   17047.9,    2299.6,    4286.5,    2990.3,    3981.0,   13557.4,      39.0,     187.1,      56.6,      52.6,     335.3,     272.9,     526.8,     361.0,     336.4,    1497.1,     215.5,     662.1,     297.4,     483.1,    1658.1,    379.09,     71.77,    132.26,    105.95,    107.95,    417.93,     9.385,     6.354,    24.378,     0.031,    40.148
0006_174.4,     0.435,       4.0,       1.7,Expressway,       948,    6454.3,   12928.4,    8459.7,   11080.2,   38922.6,      45.0,      39.4,      42.8,      35.0,      44.9,      40.8,     0.580,     0.666,     0.609,     0.751,     0.580,     0.642,     11376,     22752,     11376,     45504,     91008,      0.84,      0.67,      0.94,      0.30,      0.94,    2804.4,    5617.4,    3675.8,    4814.4,   16912.0,    2281.3,    4252.4,    2966.5,    3949.3,   13449.5,      38.7,     185.6,      56.1,      52.1,     332.5,     270.7,     522.5,     358.1,     333.7,    1485.0,     213.7,     656.9,     295.0,     479.2,    1644.8,    376.19,     71.22,    131.24,    105.14,    107.13,    414.73,     9.300,     6.299,    24.190,     0.027,    39.816
0006_174.9,     0.700,       4.0,       2.8,Expressway,      1021,    4645.2,    9776.4,    6408.7,    8047.6,   28877.9,      55.0,      54.5,      54.7,      53.1,      55.0,      54.4,     0.763,     0.771,     0.768,     0.791,     0.763,     0.772,     12252,     24504,     12252,     49008,     98016,      0.54,      0.48,      0.66,      0.19,      0.66,    3250.9,    6841.9,    4485.0,    5632.0,   20209.8,    2625.5,    5163.0,    3563.2,    4498.2,   15849.9,      42.0,     183.2,      52.6,      49.7,     327.5,     291.6,     607.9,     446.5,     398.2,    1744.2,     291.8,     887.8,     422.7,     685.8,    2288.1,    367.30,     59.63,    125.16,     84.39,    102.35,    371.53,     0.573,     0.816,     2.971,         0,     4.360
0006_175.6,     0.551,       4.0,       2.2,Expressway,      1021,    4033.5,    8699.3,    5598.8,    7036.3,   25367.9,      55.0,      54.8,      54.8,      54.2,      55.0,      54.7,     0.601,     0.603,     0.603,     0.611,     0.601,     0.604,     12252,     24504,     12252,     49008,     98016,      0.45,      0.44,      0.57,      0.17,      0.57,    2223.2,    4795.0,    3086.0,    3878.4,   13982.6,    1763.9,    3564.3,    2398.1,    3040.5,   10766.8,      27.6,     123.9,      35.8,      25.9,     213.2,     210.3,     435.1,     326.4,     286.1,    1257.9,     221.6,     671.7,     325.8,     525.9,    1745.0,    254.17,     40.55,     87.46,     56.96,     70.50,    255.47,     0.135,     0.297,     0.886,     0.001,     1.319
0006_176.1,     0.900,       4.0,       3.6,Expressway,      1021,    2967.6,    6666.2,    4238.2,    5218.5,   19090.5,      55.0,      55.0,      54.9,      54.8,      55.0,      54.9,     0.983,     0.983,     0.983,     0.986,     0.983,     0.984,     12252,     24504,     12252,     49008,     98016,      0.32,      0.35,      0.43,      0.14,      0.43,    2671.9,    6002.0,    3815.9,    4698.6,   17188.4,    2065.7,    4344.5,    2858.1,    3506.4,   12774.7,      18.0,      96.9,      24.3,      19.8,     159.0,     258.7,     546.2,     431.3,     370.1,    1606.3,     329.5,    1014.4,     502.3,     802.2,    2648.4,    312.65,     48.62,    109.27,     69.63,     85.47,    312.99,     0.020,     0.090,     0.219,     0.001,     0.330
