SEGID,DISTANCE,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,       2.0,      11.7,Principal Arterial,      1065,     244.2,     544.8,     343.7,     437.8,    1570.5,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.153,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1427.0,    3183.4,    2008.3,    2558.2,    9176.9,    1163.9,    2482.2,    1523.4,    1973.9,    7143.4,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    161.02,     25.03,     55.86,     35.24,     44.89,    161.02,         0,         0,     0.001,     0.008,     0.009
0006_146.9,     3.039,       2.0,       6.1,Principal Arterial,      1065,     247.0,     546.6,     346.2,     439.3,    1579.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     750.6,    1661.2,    1052.1,    1335.1,    4799.0,     613.9,    1296.4,     799.9,    1031.2,    3741.4,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     84.19,     13.17,     29.14,     18.46,     23.42,     84.19,     0.001,         0,         0,     0.001,     0.002
0006_149.9,     0.678,       2.0,       1.4,Principal Arterial,      1065,     487.3,     720.9,     664.0,     606.3,    2478.5,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.14,      0.07,      0.14,      0.03,      0.14,     330.4,     488.7,     450.1,     411.1,    1680.3,     278.8,     380.2,     378.2,     343.3,    1380.5,       4.1,      21.7,       6.1,       3.4,      35.3,      32.6,      53.6,      45.5,      35.3,     167.0,      14.9,      33.2,      20.5,      29.1,      97.7,     29.47,      5.80,      8.58,      7.90,      7.21,     29.49,         0,     0.001,         0,         0,     0.001
0006_150.6,     1.973,       2.0,       3.9,Principal Arterial,      1065,     565.3,     848.8,     765.6,     722.5,    2902.2,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.077,     2.077,     2.077,     2.078,     2.077,      6390,     12780,      6390,     25560,     51120,      0.15,      0.09,      0.16,      0.03,      0.16,    1115.4,    1674.7,    1510.6,    1425.6,    5726.3,     927.6,    1280.5,    1263.0,    1190.9,    4662.0,      14.2,      86.7,      27.0,      14.0,     141.9,     127.6,     189.6,     155.9,     122.1,     595.2,      46.0,     118.0,      64.7,      98.4,     327.1,    100.47,     19.58,     29.39,     26.51,     25.01,    100.49,         0,     0.004,     0.002,     0.006,     0.012
0006_152.6,     0.316,       2.0,       0.6,Minor Arterial,       983,     815.6,    1270.7,    1081.8,    1027.4,    4195.5,      46.0,      46.0,      46.0,      45.9,      46.0,      46.0,     0.412,     0.412,     0.412,     0.413,     0.412,     0.412,      5898,     11796,      5898,     23592,     47184,      0.22,      0.13,      0.24,      0.05,      0.24,     257.9,     401.9,     342.2,     325.0,    1327.0,     217.7,     308.9,     287.6,     274.0,    1088.2,       3.1,      21.9,       7.3,       4.5,      36.8,      27.0,      42.5,      33.2,      26.9,     129.6,      10.1,      28.8,      14.0,      19.7,      72.6,     28.83,      5.61,      8.73,      7.45,      7.06,     28.85,     0.002,     0.002,     0.014,         0,     0.018
0006_152.9,     2.923,       2.0,       5.8,Principal Arterial,      1052,    1075.9,    1839.8,    1405.6,    1472.8,    5794.1,      55.0,      54.9,      55.0,      54.9,      55.0,      54.9,     3.188,     3.195,     3.190,     3.198,     3.188,     3.192,      6311,     12622,      6311,     25243,     50487,      0.26,      0.17,      0.28,      0.07,      0.28,    3145.1,    5378.2,    4108.9,    4305.3,   16937.5,    2703.1,    4311.4,    3527.1,    3739.6,   14281.2,      38.0,     247.9,      91.8,      50.3,     428.0,     301.7,     504.0,     355.4,     303.1,    1464.2,     102.3,     314.8,     134.5,     212.2,     763.8,    307.87,     57.29,     97.81,     74.91,     78.25,    308.26,     0.124,     0.053,     0.231,         0,     0.408
0006_155.8,     0.202,       2.0,       0.4,Principal Arterial,      1065,    1087.5,    1859.2,    1419.3,    1495.9,    5861.9,      57.0,      56.8,      57.0,      56.8,      57.0,      56.9,     0.212,     0.213,     0.213,     0.213,     0.212,     0.213,      6390,     12780,      6390,     25560,     51120,      0.26,      0.17,      0.28,      0.07,      0.28,     219.2,     374.9,     286.2,     301.6,    1181.9,     188.7,     301.0,     245.9,     262.3,     997.9,       2.6,      17.2,       6.2,       3.4,      29.4,      20.9,      35.0,      24.7,      21.2,     101.8,       7.0,      21.8,       9.3,      14.8,      52.9,     20.74,      3.86,      6.58,      5.04,      5.29,     20.77,     0.010,     0.010,     0.017,         0,     0.037
0006_155.9,     1.316,       2.0,       2.6,Principal Arterial,      1016,    1613.6,    2879.7,    2108.8,    2398.9,    9001.0,      48.0,      45.4,      47.4,      44.0,      48.0,      46.3,     1.645,     1.743,     1.667,     1.796,     1.646,     1.706,      6096,     12192,      6096,     24384,     48768,      0.40,      0.27,      0.44,      0.11,      0.44,    2123.5,    3789.8,    2775.2,    3157.0,   11845.5,    1867.6,    3111.6,    2445.2,    2807.0,   10231.4,      25.8,     170.0,      53.4,      40.8,     290.0,     168.7,     303.0,     207.3,     183.2,     862.2,      61.4,     205.2,      69.3,     126.0,     461.9,    246.82,     46.79,     80.00,     63.02,     65.81,    255.62,     2.633,     1.040,     5.301,     0.025,     8.999
0006_157.3,     0.250,       2.0,       0.5,Principal Arterial,      1016,    2925.9,    5097.6,    3770.8,    4390.3,   16184.6,      48.0,      43.1,      46.8,      40.9,      48.0,      44.9,     0.312,     0.349,     0.320,     0.367,     0.312,     0.334,      6096,     12192,      6096,     24384,     48768,      0.72,      0.47,      0.81,      0.22,      0.81,     730.5,    1272.7,     941.4,    1096.1,    4040.7,     652.6,    1066.0,     844.4,     990.6,    3553.6,       9.2,      51.0,      15.9,      14.4,      90.5,      49.4,      92.4,      60.3,      55.3,     257.4,      19.2,      63.5,      20.7,      35.7,     139.1,     84.11,     16.95,     27.18,     23.00,     22.84,     89.97,     1.798,     0.682,     3.470,     0.022,     5.972
0006_157.6,     0.918,       2.0,       1.8,Principal Arterial,      1060,    2894.9,    5015.4,    3630.6,    4332.3,   15873.2,      55.9,      51.4,      54.7,      50.0,      55.8,      53.2,     0.986,     1.074,     1.007,     1.104,     0.987,     1.037,      6358,     12717,      6358,     25434,     50867,      0.67,      0.44,      0.73,      0.20,      0.73,    2658.5,    4605.9,    3334.2,    3978.6,   14577.2,    2372.3,    3848.3,    2995.4,    3590.5,   12806.5,      32.9,     182.6,      54.2,      50.6,     320.3,     180.7,     340.0,     209.7,     206.0,     936.4,      72.6,     234.9,      75.0,     131.4,     513.9,    260.98,     51.68,     84.16,     66.71,     71.29,    273.84,     4.223,     1.701,     7.138,     0.063,    13.125
0006_158.5,     0.472,       2.0,       0.9,Principal Arterial,       998,    3064.9,    5134.4,    3754.4,    4398.2,   16351.9,      44.5,      38.9,      43.3,      37.7,      44.5,      41.3,     0.636,     0.732,     0.653,     0.753,     0.636,     0.687,      5987,     11974,      5987,     23947,     47895,      0.76,      0.47,      0.81,      0.22,      0.81,    1446.3,    2423.0,    1771.7,    2075.5,    7716.5,    1298.0,    2049.9,    1610.1,    1896.4,    6854.4,      18.4,     100.1,      31.7,      26.5,     176.7,      95.1,     165.8,      99.0,      97.9,     457.8,      34.9,     107.1,      31.0,      54.7,     227.7,    173.22,     37.22,     55.90,     46.95,     46.64,    186.71,     4.908,     1.517,     7.324,     0.042,    13.791
0006_158.9,     0.381,       2.0,       0.8,Principal Arterial,       997,    3139.4,    5284.3,    3849.4,    4523.8,   16796.9,      46.0,      41.4,      45.0,      40.4,      45.9,      43.4,     0.497,     0.555,     0.508,     0.568,     0.498,     0.528,      5984,     11969,      5984,     23937,     47874,      0.77,      0.48,      0.83,      0.23,      0.83,    1195.9,    2012.9,    1466.3,    1723.1,    6398.2,    1070.8,    1697.4,    1331.6,    1570.0,    5669.8,      16.7,      84.8,      26.4,      23.4,     151.3,      79.3,     139.2,      82.4,      82.8,     383.7,      29.1,      91.4,      26.0,      47.0,     193.5,    139.19,     28.92,     44.76,     36.33,     37.51,    147.52,     3.010,     0.963,     4.517,     0.028,     8.518
0006_159.3,     0.278,       4.0,       1.1,Principal Arterial,       929,    3430.0,    5861.7,    4247.7,    4991.0,   18530.4,      40.0,      39.3,      39.8,      39.1,      40.0,      39.6,     0.418,     0.425,     0.419,     0.428,     0.418,     0.422,     11148,     22296,     11148,     44592,     89184,      0.45,      0.29,      0.49,      0.13,      0.49,     954.5,    1631.1,    1182.0,    1388.8,    5156.4,     848.8,    1361.6,    1066.1,    1260.9,    4537.4,      15.2,      74.2,      22.9,      19.0,     131.3,      66.2,     118.4,      70.7,      69.0,     324.3,      24.1,      76.9,      22.3,      39.9,     163.2,    128.99,     24.31,     40.96,     30.25,     34.75,    130.27,     0.446,     0.157,     0.701,         0,     1.304
