SEGID,DISTANCE,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_159.6,     0.226,       4.0,       0.9,Principal Arterial,       929,    3848.7,    6920.9,    4897.2,    5825.6,   21492.4,      40.0,      39.2,      39.7,      38.7,      40.0,      39.5,     0.339,     0.346,     0.342,     0.351,     0.339,     0.344,     11148,     22296,     11148,     44592,     89184,      0.47,      0.34,      0.53,      0.15,      0.53,     870.3,    1565.1,    1107.4,    1317.3,    4860.1,     761.2,    1280.9,     980.5,    1179.3,    4201.9,      13.8,      73.5,      25.1,      21.1,     133.5,      68.6,     127.7,      76.1,      74.9,     347.3,      26.7,      82.9,      25.7,      42.0,     177.3,    121.50,     22.18,     39.44,     28.62,     32.94,    123.18,     0.434,     0.315,     0.947,     0.008,     1.704
0006_159.8,     0.445,       4.0,       1.8,Principal Arterial,       929,    4106.5,    7509.3,    5181.0,    6454.1,   23250.9,      40.0,      38.6,      39.5,      38.2,      39.9,      39.2,     0.669,     0.693,     0.676,     0.701,     0.669,     0.683,     11148,     22296,     11148,     44592,     89184,      0.54,      0.38,      0.58,      0.17,      0.58,    1828.7,    3344.1,    2307.2,    2874.2,   10354.2,    1597.1,    2749.3,    2039.7,    2580.8,    8966.9,      28.5,     145.0,      46.1,      42.8,     262.4,     145.6,     268.5,     163.8,     152.6,     730.5,      57.5,     181.4,      57.7,      97.9,     394.5,    259.07,     47.37,     84.62,     60.46,     71.95,    264.40,     1.671,     0.938,     2.790,     0.041,     5.440
0006_160.3,     0.249,       4.0,       1.0,Principal Arterial,       929,    4887.4,    9128.1,    6304.3,    7723.1,   28042.9,      40.0,      37.6,      39.1,      36.4,      40.0,      38.4,     0.373,     0.399,     0.383,     0.411,     0.374,     0.389,     11148,     22296,     11148,     44592,     89184,      0.63,      0.47,      0.70,      0.20,      0.70,    1217.3,    2273.7,    1570.3,    1923.7,    6985.0,    1058.9,    1858.2,    1376.7,    1714.1,    6007.9,      18.2,      97.4,      30.4,      28.6,     174.6,      97.4,     185.4,     117.0,     105.7,     505.5,      42.8,     132.8,      46.3,      75.3,     297.2,    174.42,     32.41,     58.19,     43.12,     48.07,    181.79,     2.091,     1.422,     3.987,     0.044,     7.544
0006_173.4,     0.446,       6.0,       2.7,Expressway,       919,    9264.6,   17746.6,   11865.9,   13893.6,   52770.7,      44.9,      41.4,      43.3,      37.4,      44.9,      41.9,     0.596,     0.649,     0.619,     0.718,     0.596,     0.641,     16542,     33084,     16542,     66168,    132336,      0.78,      0.63,      0.88,      0.25,      0.88,    4133.8,    7918.4,    5294.5,    6199.2,   23545.9,    3217.1,    5659.0,    4137.0,    4880.7,   17893.8,      77.2,     360.4,     119.8,     107.5,     664.9,     498.5,     939.0,     628.1,     572.9,    2638.5,     341.0,     960.0,     409.6,     638.0,    2348.6,    524.11,     99.90,    183.08,    141.52,    137.99,    562.49,     8.225,     6.823,    24.130,     0.001,    39.179
0006_173.7,     0.270,       6.0,       1.6,Expressway,       919,    8121.5,   15411.3,   10607.9,   12965.2,   47105.9,      45.0,      42.2,      44.4,      39.7,      45.0,      43.0,     0.360,     0.386,     0.366,     0.411,     0.360,     0.378,     16542,     33084,     16542,     66168,    132336,      0.74,      0.54,      0.84,      0.24,      0.84,    2196.5,    4168.1,    2869.1,    3506.6,   12740.3,    1788.7,    3102.8,    2320.6,    2868.5,   10080.6,      36.2,     166.8,      54.6,      53.3,     310.9,     217.8,     432.7,     288.4,     261.0,    1199.9,     153.9,     465.7,     205.3,     323.8,    1148.7,    282.85,     52.09,     93.95,     72.24,     77.85,    296.13,     3.510,     1.412,     8.886,     0.005,    13.813
0006_174.0,     0.438,       4.0,       1.8,Expressway,       948,    6464.1,   12891.2,    8425.8,   11048.0,   38829.1,      45.0,      39.4,      42.8,      35.2,      45.0,      40.9,     0.584,     0.671,     0.613,     0.753,     0.585,     0.645,     11376,     22752,     11376,     45504,     91008,      0.84,      0.67,      0.94,      0.29,      0.94,    2831.2,    5646.3,    3690.5,    4839.0,   17007.0,    2304.2,    4268.9,    2975.6,    3966.9,   13515.6,      39.0,     186.9,      56.6,      52.6,     335.1,     272.6,     526.4,     360.9,     336.4,    1496.3,     215.5,     664.1,     297.4,     483.1,    1660.1,    378.18,     71.84,    131.80,    104.90,    107.63,    416.17,     9.343,     6.258,    23.617,     0.035,    39.253
0006_174.4,     0.435,       4.0,       1.7,Expressway,       948,    6464.1,   12891.2,    8425.8,   11048.0,   38829.1,      45.0,      39.4,      42.8,      35.2,      44.9,      40.9,     0.580,     0.666,     0.609,     0.747,     0.580,     0.640,     11376,     22752,     11376,     45504,     91008,      0.84,      0.67,      0.94,      0.29,      0.94,    2808.7,    5601.2,    3661.0,    4800.4,   16871.3,    2285.8,    4234.9,    2951.9,    3935.3,   13407.9,      38.7,     185.3,      56.1,      52.1,     332.2,     270.5,     522.2,     358.0,     333.7,    1484.4,     213.7,     658.8,     295.0,     479.2,    1646.7,    375.29,     71.29,    130.78,    104.10,    106.81,    412.98,     9.283,     6.186,    23.451,     0.028,    38.948
0006_174.9,     0.700,       4.0,       2.8,Expressway,      1021,    4676.6,    9722.9,    6368.5,    7992.5,   28760.5,      55.0,      54.5,      54.7,      53.2,      55.0,      54.4,     0.763,     0.771,     0.768,     0.790,     0.763,     0.772,     12252,     24504,     12252,     49008,     98016,      0.54,      0.48,      0.66,      0.19,      0.66,    3272.9,    6804.5,    4456.9,    5593.5,   20127.8,    2647.9,    5126.9,    3535.7,    4459.6,   15770.1,      42.0,     183.2,      52.6,      49.7,     327.5,     291.1,     607.3,     445.9,     398.2,    1742.5,     291.8,     887.1,     422.7,     685.8,    2287.4,    365.81,     60.06,    124.45,     83.72,    101.65,    369.88,     0.587,     0.784,     2.811,         0,     4.182
0006_175.6,     0.551,       4.0,       2.2,Expressway,      1021,    4059.4,    8652.5,    5569.7,    6972.9,   25254.5,      55.0,      54.8,      54.8,      54.2,      55.0,      54.7,     0.601,     0.603,     0.603,     0.610,     0.601,     0.604,     12252,     24504,     12252,     49008,     98016,      0.46,      0.44,      0.57,      0.17,      0.57,    2237.5,    4769.2,    3070.0,    3843.5,   13920.2,    1778.5,    3539.5,    2382.5,    3005.6,   10706.1,      27.6,     123.9,      35.8,      25.9,     213.2,     210.0,     434.7,     325.9,     286.1,    1256.7,     221.6,     671.1,     325.8,     525.9,    1744.4,    253.03,     40.81,     86.99,     56.63,     69.87,    254.30,     0.140,     0.297,     0.839,         0,     1.276
0006_176.1,     0.900,       4.0,       3.6,Expressway,      1021,    2971.9,    6653.9,    4190.6,    5203.6,   19020.0,      55.0,      55.0,      54.9,      54.8,      55.0,      54.9,     0.983,     0.983,     0.983,     0.985,     0.983,     0.984,     12252,     24504,     12252,     49008,     98016,      0.32,      0.35,      0.43,      0.14,      0.43,    2675.8,    5990.9,    3773.0,    4685.1,   17124.8,    2070.0,    4335.0,    2816.0,    3492.9,   12713.9,      18.0,      96.8,      24.3,      19.8,     158.9,     258.3,     545.6,     430.5,     370.1,    1604.5,     329.5,    1013.5,     502.3,     802.2,    2647.5,    311.49,     48.69,    109.06,     68.83,     85.22,    311.80,     0.022,     0.092,     0.199,         0,     0.313
0006_177.0,     0.194,       4.0,       0.8,Expressway,      1021,    3002.5,    6757.5,    4326.8,    5235.2,   19322.0,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     0.212,     0.212,     0.212,     0.212,     0.212,     0.212,     12252,     24504,     12252,     49008,     98016,      0.31,      0.36,      0.44,      0.14,      0.44,     582.4,    1310.8,     839.3,    1015.5,    3748.0,     447.2,     946.7,     629.2,     756.9,    2780.0,       4.1,      23.3,       5.4,       6.6,      39.4,      58.6,     122.6,      96.9,      80.3,     358.4,      72.5,     218.3,     107.8,     171.7,     570.3,     68.15,     10.60,     23.85,     15.31,     18.47,     68.23,     0.010,     0.022,     0.053,         0,     0.085
0006_177.2,     0.317,       4.0,       1.3,Expressway,      1021,    2813.6,    6396.2,    4054.3,    4930.0,   18194.1,      55.0,      55.0,      55.0,      54.9,      55.0,      54.9,     0.345,     0.346,     0.346,     0.346,     0.345,     0.346,     12252,     24504,     12252,     49008,     98016,      0.29,      0.34,      0.41,      0.13,      0.41,     890.8,    2025.2,    1283.7,    1560.9,    5760.6,     679.5,    1449.1,     944.3,    1144.2,    4217.1,       4.8,      28.7,       9.8,       6.6,      49.9,      89.8,     190.1,     153.7,     128.0,     561.6,     116.9,     357.3,     176.0,     282.1,     932.3,    104.76,     16.21,     36.85,     23.40,     28.39,    104.85,     0.005,     0.025,     0.052,         0,     0.082
0006_177.5,     0.433,       2.0,       0.9,Expressway,      1064,    2506.2,    5731.3,    3580.3,    4383.5,   16201.3,      55.0,      54.6,      54.0,      51.8,      55.0,      53.8,     0.472,     0.476,     0.481,     0.502,     0.472,     0.482,      6384,     12768,      6384,     25536,     51072,      0.51,      0.59,      0.69,      0.24,      0.69,    1084.7,    2480.5,    1549.5,    1897.2,    7011.9,     810.0,    1749.7,    1096.5,    1343.2,    4999.4,       3.1,      23.3,       8.7,       6.5,      41.6,     112.8,     238.2,     199.1,     168.8,     718.9,     158.9,     469.3,     245.4,     378.7,    1252.3,    127.49,     19.87,     45.96,     29.93,     34.49,    130.25,     0.149,     0.889,     1.758,         0,     2.796
0006_177.9,     0.901,       2.0,       1.8,Expressway,      1064,    2543.6,    5739.1,    3613.0,    4339.3,   16235.0,      55.0,      54.5,      53.9,      51.4,      55.0,      53.7,     0.984,     0.992,     1.004,     1.052,     0.984,     1.007,      6384,     12768,      6384,     25536,     51072,      0.53,      0.59,      0.71,      0.24,      0.71,    2292.3,    5172.2,    3256.0,    3910.6,   14631.1,    1699.3,    3617.7,    2272.8,    2743.6,   10333.4,       4.6,      32.1,       6.7,       6.5,      49.9,     247.2,     522.7,     448.2,     364.2,    1582.3,     341.4,     999.6,     528.5,     796.3,    2665.8,    266.15,     42.08,     95.98,     63.38,     71.14,    272.58,     0.364,     1.947,     4.121,     0.001,     6.433
0006_178.8,     2.759,       2.0,       5.5,Expressway,      1064,    2495.6,    5635.5,    3540.8,    4251.2,   15923.1,      56.0,      55.6,      55.0,      52.7,      56.0,      54.8,     2.956,     2.978,     3.011,     3.137,     2.956,     3.019,      6384,     12768,      6384,     25536,     51072,      0.52,      0.58,      0.70,      0.23,      0.70,    6885.2,   15547.9,    9768.8,   11728.8,   43930.7,    5091.3,   10843.4,    6786.1,    8183.5,   30904.3,      11.0,      74.5,      13.8,      13.8,     113.1,     742.7,    1578.7,    1354.9,    1098.0,    4774.3,    1040.1,    3051.4,    1614.0,    2433.4,    8138.9,    784.42,    123.91,    282.65,    185.27,    209.44,    801.27,     0.933,     5.194,    10.722,     0.009,    16.858
0006_181.6,     2.513,       2.0,       5.0,Expressway,      1064,    2388.0,    5418.2,    3400.3,    4084.5,   15291.0,      56.0,      55.7,      55.2,      53.3,      56.0,      55.0,     2.692,     2.708,     2.734,     2.827,     2.692,     2.739,      6384,     12768,      6384,     25536,     51072,      0.50,      0.56,      0.68,      0.23,      0.68,    6000.3,   13614.1,    8543.9,   10263.1,   38421.4,    4394.5,    9422.7,    5870.1,    7074.4,   26761.7,       5.0,      30.2,       2.5,       7.5,      45.2,     656.0,    1407.4,    1208.8,     974.9,    4247.1,     944.8,    2753.8,    1462.4,    2206.2,    7367.2,    686.13,    107.81,    246.74,    160.33,    183.28,    698.16,     0.634,     3.738,     7.628,     0.006,    12.006
0006_184.1,     3.358,       2.0,       6.7,Expressway,      1064,    2312.0,    5269.2,    3300.7,    3956.4,   14838.3,      56.0,      55.7,      55.3,      53.6,      56.0,      55.1,     3.599,     3.617,     3.647,     3.755,     3.599,     3.653,      6384,     12768,      6384,     25536,     51072,      0.48,      0.55,      0.67,      0.22,      0.67,    7764.5,   17695.7,   11084.8,   13286.9,   49831.9,    5621.5,   12107.1,    7515.0,    9025.2,   34268.8,       6.7,      37.0,       3.4,      10.1,      57.2,     873.5,    1874.3,    1612.1,    1303.1,    5663.0,    1262.8,    3677.4,    1954.6,    2948.6,    9843.4,    889.99,    139.39,    320.11,    206.76,    237.32,    903.58,     0.691,     4.207,     8.606,     0.017,    13.521
0006_187.5,     7.315,       2.0,      14.6,Expressway,      1064,    1660.0,    3926.6,    2381.9,    2914.6,   10883.1,      56.0,      56.0,      55.8,      55.5,      56.0,      55.8,     7.838,     7.844,     7.862,     7.912,     7.838,     7.863,      6384,     12768,      6384,     25536,     51072,      0.34,      0.43,      0.54,      0.18,      0.54,   12143.0,   28723.4,   17423.7,   21320.6,   79610.7,    7936.9,   17911.7,   10532.9,   12886.2,   49267.7,         0,         0,         0,         0,         0,    1602.0,    3269.8,    2867.5,    2355.5,   10094.8,    2604.2,    7541.8,    4023.3,    6078.8,   20248.1,   1421.69,    217.03,    514.45,    314.21,    380.75,   1426.44,     0.174,     1.576,     2.931,         0,     4.681
0006_194.8,     8.833,       2.0,      17.7,Expressway,      1064,    1636.8,    3871.3,    2348.9,    2875.2,   10732.2,      56.0,      56.0,      55.8,      55.5,      56.0,      55.8,     9.464,     9.471,     9.491,     9.547,     9.464,     9.493,      6384,     12768,      6384,     25536,     51072,      0.34,      0.42,      0.53,      0.17,      0.53,   14457.3,   34193.8,   20747.0,   25395.7,   94793.8,    9440.3,   21255.7,   12499.1,   15300.0,   58495.1,         0,         0,         0,         0,         0,    1890.2,    3893.4,    3407.6,    2800.0,   11991.2,    3126.8,    9044.6,    4840.2,    7295.8,   24307.4,   1692.82,    258.37,    612.29,    373.90,    453.51,   1698.07,     0.192,     1.748,     3.258,     0.009,     5.207
0006_203.6,     7.548,       2.0,      15.1,Expressway,      1064,    1613.4,    3809.5,    2307.8,    2824.8,   10555.5,      56.0,      56.0,      55.9,      55.5,      56.0,      55.8,     8.087,     8.092,     8.108,     8.152,     8.087,     8.110,      6384,     12768,      6384,     25536,     51072,      0.33,      0.42,      0.52,      0.17,      0.52,   12177.8,   28754.0,   17419.2,   21321.5,   79672.5,    7928.4,   17817.0,   10444.9,   12769.6,   48959.9,         0,         0,         0,         0,         0,    1592.6,    3253.2,    2853.1,    2362.5,   10061.4,    2656.9,    7683.8,    4121.2,    6189.3,   20651.2,   1422.73,    217.61,    514.75,    313.69,    380.75,   1426.80,     0.141,     1.355,     2.508,     0.017,     4.021
0006_211.2,     5.022,       2.0,      10.0,Expressway,      1064,    1613.4,    3809.5,    2307.8,    2824.8,   10555.5,      56.0,      56.0,      55.9,      55.5,      56.0,      55.8,     5.381,     5.385,     5.395,     5.424,     5.381,     5.396,      6384,     12768,      6384,     25536,     51072,      0.33,      0.42,      0.52,      0.17,      0.52,    8102.1,   19130.5,   11589.3,   14185.6,   53007.5,    5274.8,   11853.9,    6949.1,    8495.9,   32573.7,         0,         0,         0,         0,         0,    1059.6,    2164.4,    1898.2,    1571.8,    6694.0,    1767.6,    5112.1,    2741.9,    4117.8,   13739.4,    946.61,    144.79,    342.48,    208.71,    253.33,    949.31,     0.108,     0.890,     1.670,         0,     2.668
0006_216.2,     4.891,       2.0,       9.8,Expressway,      1064,    1532.9,    3577.1,    2183.4,    2677.2,    9970.6,      56.0,      56.0,      55.9,      55.7,      56.0,      55.9,     5.241,     5.243,     5.250,     5.269,     5.241,     5.250,      6384,     12768,      6384,     25536,     51072,      0.31,      0.39,      0.48,      0.16,      0.48,    7497.6,   17496.0,   10679.3,   13094.5,   48767.4,    4866.2,   11078.8,    6526.7,    7988.2,   30459.9,         0,         0,         0,         0,         0,     997.8,    1834.2,    1618.9,    1413.5,    5864.4,    1633.6,    4583.0,    2533.6,    3692.8,   12443.0,    870.87,    133.96,    312.97,    191.76,    233.84,    872.53,     0.065,     0.550,     1.029,     0.001,     1.645
0013_000.0,     0.652,       4.0,       2.6,Principal Arterial,       929,    2290.9,    5305.6,    3470.8,    3755.4,   14822.7,      40.0,      39.9,      39.9,      39.7,      40.0,      39.9,     0.978,     0.979,     0.980,     0.986,     0.978,     0.981,     11148,     22296,     11148,     44592,     89184,      0.25,      0.26,      0.37,      0.09,      0.37,    1492.8,    3457.1,    2261.6,    2447.0,    9658.5,    1142.2,    2434.2,    1784.8,    2019.3,    7380.5,     121.8,     585.9,     203.2,     179.5,    1090.4,     171.2,     308.0,     217.7,     179.2,     876.1,      57.6,     129.0,      55.8,      69.0,     311.4,    241.57,     37.40,     86.70,     57.03,     61.20,    242.33,     0.056,     0.229,     0.470,         0,     0.755
