;TAZID,TOTHH,HHPOP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19,45,0,0,0,0,0,0,0,0,0,0,3,1
3,30,75,0,0,0,0,0,0,0,0,0,0,3,1
4,1,3,0,0,0,0,0,0,0,0,0,0,0,0
5,79,222,0,0,0,0,0,0,3,0,0,0,10,5
6,4,10,0,0,0,9,0,0,0,0,0,0,1,0
7,49,123,2,0,0,31,0,0,0,7,213,0,9,4
8,62,174,19,0,0,0,41,0,0,2,0,0,9,4
9,19,46,0,0,0,103,0,0,0,0,0,0,3,1
10,27,68,0,0,0,108,0,0,0,0,0,0,4,1
11,10,27,0,0,0,0,0,0,0,0,0,0,0,0
12,21,58,0,0,0,0,0,0,0,0,0,0,3,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,3,0,0,123,168,0,0,0,10,48,0,6,0
16,1,3,0,0,3,85,0,0,0,24,0,0,3,0
17,4,12,0,0,0,0,0,0,0,0,0,0,1,0
18,0,0,0,0,524,249,0,0,0,0,0,0,14,0
19,301,849,17,0,0,11,0,0,0,0,0,0,29,14
20,203,438,14,0,0,2,0,0,0,26,0,0,26,12
21,0,0,0,0,432,45,0,0,0,0,0,0,10,0
22,3,7,0,0,11,0,0,0,0,0,0,0,0,0
23,4,12,0,0,22,31,0,0,0,0,0,0,1,0
24,178,501,0,0,0,0,0,0,1,0,0,0,16,8
25,404,1140,6,0,0,2,0,122,16,5,0,0,56,25
26,272,653,19,0,14,22,0,55,84,21,0,0,38,16
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,3,0,0,87,0,0,0,0,0,0,0,3,0
29,311,839,0,0,0,2,0,0,0,0,0,0,26,12
30,388,764,16,0,0,9,47,0,37,10,0,0,59,28
31,293,605,6,63,82,0,44,0,0,41,0,0,40,17
32,150,360,0,0,0,2,0,0,0,0,0,0,18,9
33,218,449,0,0,0,16,0,0,0,0,0,0,24,12
34,268,643,2,0,16,0,6,0,0,0,0,0,33,15
35,375,830,0,0,0,0,0,0,0,0,0,0,47,23
36,105,225,0,0,0,0,0,0,0,0,0,0,14,7
37,0,0,0,0,0,0,0,0,0,5,0,0,0,0
38,0,0,0,0,1599,0,0,25,4,0,0,0,34,0
39,80,216,19,0,0,0,0,0,4,122,0,0,14,5
40,391,770,43,0,0,25,65,96,33,60,0,0,70,30
41,145,286,243,0,0,0,0,0,30,114,0,0,29,10
42,87,172,0,0,0,0,3,0,0,81,0,0,13,5
43,258,571,0,0,0,2,0,46,50,0,0,0,34,15
44,133,343,0,0,0,0,0,0,0,0,0,0,21,10
45,120,309,0,0,0,0,41,0,0,0,0,0,10,4
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
