SEGID,DISTANCE,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,       2.0,      11.7,Principal Arterial,      1065,     243.2,     541.8,     340.4,     434.7,    1560.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1421.1,    3165.9,    1989.1,    2540.1,    9116.2,    1158.1,    2464.7,    1504.1,    1955.8,    7082.7,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    159.95,     24.93,     55.55,     34.90,     44.57,    159.95,         0,     0.005,         0,     0.005,     0.010
0006_146.9,     3.039,       2.0,       6.1,Principal Arterial,      1065,     246.0,     543.6,     343.9,     436.2,    1569.7,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.200,     3.199,     3.199,     3.200,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     747.6,    1652.0,    1045.1,    1325.7,    4770.4,     610.9,    1287.3,     792.9,    1021.8,    3712.9,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     83.69,     13.11,     28.98,     18.33,     23.25,     83.67,     0.005,         0,     0.001,     0.008,     0.014
0006_149.9,     0.678,       2.0,       1.4,Principal Arterial,      1065,     478.4,     721.1,     635.5,     624.4,    2459.4,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.13,      0.07,      0.13,      0.03,      0.13,     324.3,     488.9,     430.9,     423.4,    1667.5,     272.7,     380.4,     359.1,     355.5,    1367.7,       4.1,      21.7,       6.1,       3.4,      35.3,      32.6,      53.6,      45.4,      35.3,     166.9,      14.9,      33.2,      20.3,      29.1,      97.5,     29.25,      5.69,      8.57,      7.55,      7.43,     29.24,         0,         0,     0.001,         0,     0.001
0006_150.6,     1.973,       2.0,       3.9,Principal Arterial,      1065,     549.7,     851.8,     733.4,     732.1,    2867.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.077,     2.077,     2.077,     2.077,     2.077,      6390,     12780,      6390,     25560,     51120,      0.14,      0.09,      0.15,      0.03,      0.15,    1084.6,    1680.7,    1447.1,    1444.5,    5656.9,     896.8,    1286.5,    1200.3,    1210.0,    4593.6,      14.2,      86.7,      27.0,      14.0,     141.9,     127.6,     189.6,     155.7,     122.1,     595.0,      46.0,     118.0,      64.2,      98.4,     326.6,     99.25,     19.03,     29.49,     25.40,     25.35,     99.27,         0,         0,     0.003,     0.003,     0.006
0006_152.6,     0.316,       2.0,       0.6,Minor Arterial,       983,     795.1,    1274.7,    1051.6,    1028.1,    4149.5,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.412,     0.412,     0.413,     0.412,     0.413,      5898,     11796,      5898,     23592,     47184,      0.21,      0.13,      0.23,      0.05,      0.23,     251.5,     403.1,     332.6,     325.2,    1312.4,     211.1,     310.0,     278.2,     274.3,    1073.6,       3.1,      21.9,       7.3,       4.5,      36.8,      27.0,      42.5,      33.2,      26.9,     129.6,      10.1,      28.8,      13.9,      19.7,      72.5,     28.51,      5.47,      8.76,      7.23,      7.06,     28.52,     0.003,     0.005,     0.008,     0.003,     0.019
0006_152.9,     2.923,       2.0,       5.8,Principal Arterial,      1052,    1051.4,    1836.4,    1394.8,    1466.2,    5748.8,      55.0,      54.9,      55.0,      54.9,      55.0,      54.9,     3.188,     3.195,     3.191,     3.197,     3.188,     3.192,      6311,     12622,      6311,     25243,     50487,      0.25,      0.17,      0.28,      0.07,      0.28,    3073.5,    5368.2,    4077.3,    4286.0,   16805.0,    2631.5,    4301.5,    3496.8,    3720.3,   14150.1,      38.0,     247.9,      91.8,      50.3,     428.0,     301.7,     504.0,     355.1,     303.1,    1463.9,     102.3,     314.8,     133.6,     212.2,     762.9,    305.49,     55.97,     97.65,     74.33,     77.92,    305.87,     0.109,     0.068,     0.203,         0,     0.380
0006_155.8,     0.202,       2.0,       0.4,Principal Arterial,      1065,    1062.5,    1854.6,    1408.1,    1487.8,    5813.0,      57.0,      56.8,      56.9,      56.9,      57.0,      56.9,     0.212,     0.212,     0.212,     0.213,     0.213,     0.212,      6390,     12780,      6390,     25560,     51120,      0.25,      0.17,      0.28,      0.07,      0.28,     214.2,     373.9,     283.9,     300.0,    1172.0,     183.7,     300.1,     243.7,     260.7,     988.2,       2.6,      17.2,       6.2,       3.4,      29.4,      20.9,      35.0,      24.6,      21.2,     101.7,       7.0,      21.8,       9.2,      14.8,      52.8,     20.57,      3.77,      6.57,      4.99,      5.26,     20.59,         0,         0,     0.015,     0.007,     0.022
0006_155.9,     1.316,       2.0,       2.6,Principal Arterial,      1016,    1591.6,    2871.8,    2100.5,    2404.3,    8968.2,      48.0,      45.4,      47.4,      44.1,      48.0,      46.4,     1.645,     1.741,     1.667,     1.794,     1.646,     1.705,      6096,     12192,      6096,     24384,     48768,      0.39,      0.27,      0.44,      0.12,      0.44,    2094.6,    3779.4,    2764.3,    3164.1,   11802.4,    1838.7,    3101.2,    2434.7,    2814.1,   10188.7,      25.8,     170.0,      53.4,      40.8,     290.0,     168.7,     303.0,     207.1,     183.2,     862.0,      61.4,     205.2,      69.1,     126.0,     461.7,    245.92,     46.11,     79.77,     62.69,     65.96,    254.53,     2.551,     1.024,     5.188,     0.027,     8.790
0006_157.3,     0.250,       2.0,       0.5,Principal Arterial,      1016,    2911.9,    5086.6,    3762.0,    4429.1,   16189.6,      48.0,      43.2,      46.9,      41.1,      48.0,      45.0,     0.312,     0.348,     0.320,     0.365,     0.312,     0.334,      6096,     12192,      6096,     24384,     48768,      0.71,      0.47,      0.80,      0.22,      0.80,     727.0,    1270.0,     939.3,    1105.8,    4042.1,     649.1,    1063.3,     842.4,    1000.3,    3555.1,       9.2,      51.0,      15.9,      14.4,      90.5,      49.4,      92.4,      60.3,      55.3,     257.4,      19.2,      63.5,      20.6,      35.7,     139.0,     84.13,     16.81,     27.10,     22.86,     23.04,     89.81,     1.735,     0.679,     3.364,     0.020,     5.798
0006_157.6,     0.918,       2.0,       1.8,Principal Arterial,      1060,    2876.2,    4998.4,    3604.3,    4361.3,   15840.2,      55.9,      51.7,      54.7,      50.2,      55.8,      53.4,     0.986,     1.069,     1.006,     1.099,     0.987,     1.034,      6358,     12717,      6358,     25434,     50867,      0.66,      0.44,      0.72,      0.21,      0.72,    2641.4,    4590.3,    3310.0,    4005.2,   14546.9,    2355.1,    3832.7,    2971.4,    3617.2,   12776.4,      32.9,     182.6,      54.2,      50.6,     320.3,     180.7,     340.0,     209.7,     206.0,     936.4,      72.6,     234.9,      74.8,     131.4,     513.7,    260.44,     51.14,     83.85,     65.88,     71.77,    272.64,     3.977,     1.666,     6.730,     0.067,    12.440
