SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     243.2,     543.8,     347.3,     432.4,    1566.7,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1421.1,    3177.6,    2029.4,    2526.7,    9154.8,    1158.1,    2476.4,    1544.4,    1942.3,    7121.2,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.63,     24.93,     55.75,     35.61,     44.34,    160.63,         0,         0,     0.002,         0,     0.002
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     246.0,     546.6,     349.8,     433.9,    1576.3,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.200,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     747.6,    1661.2,    1063.0,    1318.7,    4790.5,     610.9,    1296.4,     810.8,    1014.8,    3732.9,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     84.04,     13.11,     29.14,     18.65,     23.13,     84.03,     0.005,         0,         0,         0,     0.005
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     455.3,     716.7,     612.4,     605.0,    2389.4,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.715,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.12,      0.07,      0.13,      0.03,      0.13,     308.7,     485.9,     415.2,     410.2,    1620.0,     258.3,     377.3,     345.4,     342.4,    1323.4,       4.1,      21.7,       6.1,       3.4,      35.3,      31.4,      53.6,      44.8,      35.3,     165.1,      14.9,      33.2,      19.0,      29.1,      96.2,     28.41,      5.42,      8.52,      7.29,      7.19,     28.42,     0.011,     0.001,     0.003,         0,     0.015
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     520.3,     849.5,     706.0,     712.0,    2787.8,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.077,     2.077,     2.077,     2.077,     2.077,      6390,     12780,      6390,     25560,     51120,      0.13,      0.09,      0.14,      0.03,      0.14,    1026.7,    1676.2,    1393.0,    1404.8,    5500.7,     842.3,    1282.0,    1151.9,    1170.3,    4446.5,      14.2,      86.7,      27.0,      14.0,     141.9,     124.1,     189.6,     153.8,     122.1,     589.6,      46.0,     118.0,      60.4,      98.4,     322.8,     96.51,     18.02,     29.41,     24.44,     24.65,     96.52,     0.002,         0,         0,         0,     0.002
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     740.7,    1259.5,    1012.6,     997.6,    4010.4,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.413,     0.412,     0.413,     0.412,     0.412,      5898,     11796,      5898,     23592,     47184,      0.19,      0.13,      0.22,      0.05,      0.22,     234.3,     398.3,     320.2,     315.5,    1268.3,     194.5,     305.2,     266.8,     264.6,    1031.1,       3.1,      21.9,       7.3,       4.5,      36.8,      26.4,      42.5,      32.9,      26.9,     128.7,      10.1,      28.8,      13.3,      19.7,      71.9,     27.55,      5.09,      8.66,      6.96,      6.85,     27.56,     0.005,         0,     0.005,     0.002,     0.012
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,    1027.6,    1812.9,    1368.9,    1420.4,    5629.8,      55.0,      54.9,      55.0,      54.9,      55.0,      54.9,     3.188,     3.193,     3.190,     3.197,     3.189,     3.192,      6311,     12622,      6311,     25243,     50487,      0.24,      0.17,      0.27,      0.06,      0.27,    3003.9,    5299.5,    4001.6,    4152.1,   16457.1,    2567.2,    4232.8,    3429.5,    3586.6,   13816.1,      38.0,     247.9,      91.8,      50.3,     428.0,     296.4,     504.0,     352.2,     303.1,    1455.7,     102.3,     314.8,     128.0,     212.2,     757.3,    299.18,     54.70,     96.39,     72.95,     75.49,    299.53,     0.083,     0.051,     0.203,     0.001,     0.338
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1037.5,    1831.8,    1380.7,    1441.6,    5691.6,      57.0,      56.8,      57.0,      56.9,      57.0,      57.0,     0.212,     0.213,     0.213,     0.213,     0.212,     0.213,      6390,     12780,      6390,     25560,     51120,      0.24,      0.17,      0.27,      0.06,      0.27,     209.2,     369.4,     278.3,     290.7,    1147.6,     179.0,     295.4,     238.8,     251.3,     964.5,       2.6,      17.2,       6.2,       3.4,      29.4,      20.5,      35.0,      24.4,      21.2,     101.1,       7.0,      21.8,       8.8,      14.8,      52.4,     20.14,      3.68,      6.48,      4.89,      5.10,     20.15,     0.011,     0.007,     0.011,         0,     0.029
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       2.0,       2.6,Principal Arterial,      1016,    1573.6,    2840.4,    2068.8,    2350.9,    8833.7,      48.0,      45.6,      47.4,      44.4,      48.0,      46.5,     1.645,     1.735,     1.666,     1.781,     1.646,     1.701,      6096,     12192,      6096,     24384,     48768,      0.38,      0.26,      0.43,      0.11,      0.43,    2070.9,    3738.0,    2722.6,    3093.9,   11625.4,    1816.2,    3059.8,    2395.8,    2743.7,   10015.5,      25.8,     170.0,      53.4,      40.8,     290.0,     166.3,     303.0,     206.9,     183.2,     859.4,      62.6,     205.2,      66.5,     126.0,     460.3,    242.24,     45.43,     78.87,     61.33,     64.49,    250.12,     2.358,     0.979,     4.680,     0.032,     8.049
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       2.0,       0.5,Principal Arterial,      1016,    2891.5,    5069.5,    3721.4,    4345.7,   16028.1,      48.0,      43.5,      46.9,      41.6,      48.0,      45.2,     0.312,     0.345,     0.320,     0.361,     0.312,     0.332,      6096,     12192,      6096,     24384,     48768,      0.70,      0.46,      0.79,      0.21,      0.79,     721.9,    1265.7,     929.1,    1085.0,    4001.7,     644.2,    1058.8,     832.7,     979.6,    3515.3,       9.2,      51.0,      15.9,      14.4,      90.5,      48.9,      92.4,      60.2,      55.3,     256.8,      19.5,      63.7,      20.1,      35.7,     139.0,     83.29,     16.59,     27.01,     22.35,     22.60,     88.55,     1.614,     0.660,     3.065,     0.024,     5.363
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       2.0,       1.8,Principal Arterial,      1060,    2850.7,    4974.7,    3583.0,    4268.5,   15676.9,      55.9,      52.0,      54.8,      50.6,      55.8,      53.5,     0.986,     1.062,     1.006,     1.091,     0.987,     1.031,      6358,     12717,      6358,     25434,     50867,      0.65,      0.44,      0.71,      0.20,      0.71,    2617.9,    4568.5,    3290.5,    3919.9,   14396.8,    2332.5,    3810.2,    2946.7,    3532.0,   12621.4,      32.9,     182.6,      54.2,      50.6,     320.3,     179.0,     340.0,     214.9,     206.0,     939.9,      73.4,     235.7,      74.7,     131.4,     515.2,    257.75,     50.33,     83.43,     65.07,     70.23,    269.06,     3.569,     1.637,     6.246,     0.050,    11.502
