Purpose,TAZID,All,Walk,Bike,NonM
All,1.0,0.0,0.0,0.0,0.0
HBW,1.0,0.0,0.0,0.0,0.0
HBO,1.0,0.0,0.0,0.0,0.0
NHB,1.0,0.0,0.0,0.0,0.0
HBC,1.0,0.0,0.0,0.0,0.0
HBSch,1.0,0.0,0.0,0.0,0.0
All,2.0,164.71,5.06,0.6,5.67
HBW,2.0,22.25,0.0,0.04,0.04
HBO,2.0,114.76,4.96,0.56,5.52
NHB,2.0,5.39,0.1,0.01,0.11
HBC,2.0,0.0,0.0,0.0,0.0
HBSch,2.0,22.3,0.0,0.0,0.0
All,3.0,150.03,4.39,0.71,5.1
HBW,3.0,20.91,0.03,0.08,0.11
HBO,3.0,104.38,4.27,0.62,4.88
NHB,3.0,5.72,0.09,0.01,0.1
HBC,3.0,0.0,0.0,0.0,0.0
HBSch,3.0,19.02,0.0,0.0,0.0
All,4.0,23.36,0.5,0.08,0.58
HBW,4.0,3.25,0.0,0.01,0.01
HBO,4.0,16.19,0.49,0.07,0.56
NHB,4.0,0.86,0.01,0.0,0.01
HBC,4.0,0.0,0.0,0.0,0.0
HBSch,4.0,3.07,0.0,0.0,0.0
All,5.0,437.8,14.57,2.92,17.49
HBW,5.0,78.61,0.26,0.44,0.71
HBO,5.0,283.87,13.85,2.39,16.24
NHB,5.0,28.33,0.46,0.08,0.54
HBC,5.0,6.0,0.0,0.0,0.0
HBSch,5.0,40.99,0.0,0.0,0.0
All,6.0,33.66,0.85,0.2,1.05
HBW,6.0,5.16,0.03,0.03,0.06
HBO,6.0,21.79,0.79,0.16,0.95
NHB,6.0,2.88,0.04,0.01,0.05
HBC,6.0,0.0,0.0,0.0,0.0
HBSch,6.0,3.84,0.0,0.0,0.0
All,7.0,379.08,20.3,2.77,23.07
HBW,7.0,62.95,2.83,0.75,3.58
HBO,7.0,234.23,16.32,1.9,18.21
NHB,7.0,49.06,1.15,0.13,1.28
HBC,7.0,0.0,0.0,0.0,0.0
HBSch,7.0,32.83,0.0,0.0,0.0
All,8.0,515.62,10.06,4.67,14.72
HBW,8.0,68.48,0.62,0.82,1.45
HBO,8.0,269.09,8.45,3.46,11.92
NHB,8.0,78.47,0.98,0.38,1.36
HBC,8.0,57.0,0.0,0.0,0.0
HBSch,8.0,42.57,0.0,0.0,0.0
All,9.0,31.93,0.78,0.15,0.93
HBW,9.0,1.41,0.05,0.01,0.06
HBO,9.0,5.67,0.39,0.07,0.46
NHB,9.0,24.41,0.34,0.07,0.41
HBC,9.0,0.0,0.0,0.0,0.0
HBSch,9.0,0.43,0.0,0.0,0.0
All,10.0,176.99,4.13,1.34,5.48
HBW,10.0,25.15,0.47,0.27,0.74
HBO,10.0,105.81,3.42,0.97,4.39
NHB,10.0,28.52,0.25,0.1,0.35
HBC,10.0,0.0,0.0,0.0,0.0
HBSch,10.0,17.51,0.0,0.0,0.0
All,11.0,21.95,0.11,0.13,0.24
HBW,11.0,4.23,0.0,0.03,0.03
HBO,11.0,14.35,0.11,0.1,0.21
NHB,11.0,0.99,0.0,0.0,0.0
HBC,11.0,0.0,0.0,0.0,0.0
HBSch,11.0,2.38,0.0,0.0,0.0
All,12.0,123.68,2.58,1.03,3.61
HBW,12.0,20.43,0.02,0.18,0.2
HBO,12.0,82.66,2.54,0.82,3.36
NHB,12.0,6.11,0.03,0.03,0.05
HBC,12.0,0.0,0.0,0.0,0.0
HBSch,12.0,14.47,0.0,0.0,0.0
All,13.0,0.0,0.0,0.0,0.0
HBW,13.0,0.0,0.0,0.0,0.0
HBO,13.0,0.0,0.0,0.0,0.0
NHB,13.0,0.0,0.0,0.0,0.0
HBC,13.0,0.0,0.0,0.0,0.0
HBSch,13.0,0.0,0.0,0.0,0.0
All,14.0,0.0,0.0,0.0,0.0
HBW,14.0,0.0,0.0,0.0,0.0
HBO,14.0,0.0,0.0,0.0,0.0
NHB,14.0,0.0,0.0,0.0,0.0
HBC,14.0,0.0,0.0,0.0,0.0
HBSch,14.0,0.0,0.0,0.0,0.0
All,15.0,62.35,0.28,0.21,0.49
HBW,15.0,1.55,0.02,0.02,0.04
HBO,15.0,4.04,0.04,0.03,0.07
NHB,15.0,56.02,0.22,0.16,0.38
HBC,15.0,0.0,0.0,0.0,0.0
HBSch,15.0,0.74,0.0,0.0,0.0
All,16.0,31.19,0.5,0.22,0.72
HBW,16.0,1.56,0.04,0.02,0.07
HBO,16.0,4.67,0.13,0.06,0.19
NHB,16.0,24.18,0.33,0.13,0.46
HBC,16.0,0.0,0.0,0.0,0.0
HBSch,16.0,0.78,0.0,0.0,0.0
All,17.0,53.45,0.69,0.46,1.14
HBW,17.0,6.87,0.05,0.07,0.12
HBO,17.0,37.13,0.62,0.38,1.0
NHB,17.0,1.67,0.01,0.01,0.02
HBC,17.0,0.0,0.0,0.0,0.0
HBSch,17.0,7.78,0.0,0.0,0.0
All,18.0,123.67,2.91,0.61,3.53
HBW,18.0,0.0,0.0,0.0,0.0
HBO,18.0,0.0,0.0,0.0,0.0
NHB,18.0,123.67,2.91,0.61,3.53
HBC,18.0,0.0,0.0,0.0,0.0
HBSch,18.0,0.0,0.0,0.0,0.0
All,19.0,1660.11,93.03,22.26,191.17
HBW,19.0,273.58,4.32,4.61,8.93
HBO,19.0,1085.07,83.31,16.64,99.95
NHB,19.0,136.35,4.63,0.8,5.43
HBC,19.0,0.0,0.0,0.0,0.0
HBSch,19.0,165.11,0.77,0.21,76.85
All,20.0,1071.31,73.23,15.18,120.36
HBW,20.0,206.49,4.45,3.68,8.13
HBO,20.0,673.58,63.04,10.69,73.73
NHB,20.0,121.65,5.42,0.72,6.14
HBC,20.0,0.0,0.0,0.0,0.0
HBSch,20.0,69.58,0.32,0.09,32.36
All,21.0,70.24,1.82,0.39,2.21
HBW,21.0,0.0,0.0,0.0,0.0
HBO,21.0,0.0,0.0,0.0,0.0
NHB,21.0,70.24,1.82,0.39,2.21
HBC,21.0,0.0,0.0,0.0,0.0
HBSch,21.0,0.0,0.0,0.0,0.0
All,22.0,16.44,0.6,0.21,0.81
HBW,22.0,2.4,0.09,0.04,0.13
HBO,22.0,10.34,0.45,0.16,0.61
NHB,22.0,2.08,0.06,0.02,0.08
HBC,22.0,0.0,0.0,0.0,0.0
HBSch,22.0,1.61,0.0,0.0,0.0
All,23.0,55.92,2.9,0.68,7.92
HBW,23.0,6.22,0.2,0.1,0.3
HBO,23.0,33.6,2.3,0.5,2.8
NHB,23.0,10.82,0.36,0.07,0.43
HBC,23.0,0.0,0.0,0.0,0.0
HBSch,23.0,5.29,0.04,0.01,4.39
All,24.0,1034.39,83.41,14.71,197.16
HBW,24.0,161.57,4.67,3.03,7.7
HBO,24.0,713.52,75.19,11.07,86.26
NHB,24.0,49.69,2.55,0.31,2.86
HBC,24.0,4.0,0.0,0.0,0.0
HBSch,24.0,105.61,1.0,0.3,100.34
All,25.0,2424.83,246.54,36.72,443.73
HBW,25.0,445.59,23.24,9.47,32.72
HBO,25.0,1558.55,205.84,25.28,231.12
NHB,25.0,243.49,15.84,1.48,17.32
HBC,25.0,6.0,0.0,0.0,0.0
HBSch,25.0,171.21,1.62,0.48,162.57
All,26.0,1083.72,123.8,17.93,171.57
HBW,26.0,209.77,15.0,5.23,20.23
HBO,26.0,602.54,91.95,11.23,103.18
NHB,26.0,228.42,16.54,1.38,17.92
HBC,26.0,2.0,0.0,0.0,0.0
HBSch,26.0,40.98,0.3,0.09,30.24
All,27.0,0.0,0.0,0.0,0.0
HBW,27.0,0.0,0.0,0.0,0.0
HBO,27.0,0.0,0.0,0.0,0.0
NHB,27.0,0.0,0.0,0.0,0.0
HBC,27.0,0.0,0.0,0.0,0.0
HBSch,27.0,0.0,0.0,0.0,0.0
All,28.0,29.59,1.69,0.37,2.36
HBW,28.0,3.83,0.25,0.09,0.34
HBO,28.0,11.03,0.9,0.19,1.09
NHB,28.0,13.73,0.54,0.09,0.63
