SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
2164_003.5,     0.501,Both,Total,       1.0,      35.0,       2.0,       1.0,Collector,       696,    2089.5,    2686.4,    2889.1,     976.3,    8641.3,      28.0,      20.8,      26.8,      18.2,      28.0,      21.9,     1.074,     1.447,     1.123,     1.657,     1.074,      4176,      8352,      4176,     16704,     33408,      0.86,      0.46,      1.04,      0.07,      1.04,    1046.9,    1345.9,    1447.5,     489.2,    4329.5,    1001.5,    1258.1,    1401.7,     452.5,    4113.8,       3.2,      18.8,      10.3,       5.3,      37.6,      34.5,      50.7,      30.1,      25.9,     141.2,       7.7,      18.3,       5.4,       5.5,      36.9,    154.67,     50.27,     50.28,     79.52,     17.48,    197.55,    13.007,     2.212,    28.092,     0.006,    43.317
2164_004.0,     1.004,Both,Total,       1.0,      35.0,       2.0,       2.0,Collector,       696,    1198.7,    1578.9,    1553.8,    1241.4,    5572.8,      28.0,      27.1,      27.8,      26.6,      28.0,      27.3,     2.152,     2.226,     2.166,     2.268,     2.154,      4176,      8352,      4176,     16704,     33408,      0.38,      0.21,      0.48,      0.08,      0.48,    1203.5,    1585.3,    1560.1,    1246.5,    5595.4,    1047.9,    1270.4,    1372.6,    1098.5,    4789.4,      10.7,      55.6,      20.6,      16.5,     103.4,     114.0,     181.3,     133.3,      93.7,     522.3,      31.0,      78.0,      33.6,      37.7,     180.3,    199.91,     44.47,     57.01,     58.70,     44.55,    204.73,     1.474,     0.363,     2.999,     0.025,     4.861
2164_005.0,     0.493,Both,Total,       1.0,      35.0,       2.0,       1.0,Collector,       696,    1071.8,    1673.1,    1414.8,    1071.6,    5231.3,      28.0,      27.6,      27.8,      27.2,      28.0,      27.6,     1.056,     1.070,     1.064,     1.087,     1.057,      4176,      8352,      4176,     16704,     33408,      0.30,      0.24,      0.38,      0.08,      0.38,     528.0,     824.2,     697.0,     527.9,    2577.1,     450.1,     652.8,     605.3,     449.6,    2157.8,       6.3,      32.0,       9.1,       6.4,      53.8,      56.1,      94.1,      66.8,      51.7,     268.7,      15.5,      45.3,      15.7,      20.2,      96.7,     92.11,     19.13,     29.66,     25.63,     18.88,     93.30,     0.250,     0.199,     0.719,     0.002,     1.170
2165_000.5,     0.485,Both,Total,       1.0,      35.0,       2.0,       1.0,Collector,       733,     503.9,    1011.4,     759.7,     880.1,    3155.1,      32.0,      31.9,      32.0,      31.9,      32.0,      31.9,     0.910,     0.911,     0.911,     0.913,     0.910,      4398,      8796,      4398,     17592,     35184,      0.15,      0.12,      0.21,      0.06,      0.21,     244.4,     490.6,     368.5,     426.9,    1530.4,     221.4,     438.4,     336.9,     402.1,    1398.8,       2.9,      10.6,       3.9,       3.8,      21.2,      17.3,      30.8,      23.5,      17.0,      88.6,       2.9,      10.7,       4.3,       3.9,      21.8,     47.84,      7.65,     15.35,     11.56,     13.35,     47.91,     0.011,     0.027,     0.046,     0.001,     0.085
2165_000.9,     0.557,Both,Total,       1.0,      35.0,       2.0,       1.1,Collector,       733,     495.3,     906.2,     779.8,     721.6,    2902.9,      32.0,      31.9,      32.0,      31.7,      32.0,      31.9,     1.045,     1.046,     1.046,     1.053,     1.045,      4398,      8796,      4398,     17592,     35184,      0.14,      0.12,      0.21,      0.04,      0.21,     276.0,     504.9,     434.4,     402.0,    1617.3,     251.8,     458.8,     389.0,     383.9,    1483.5,       1.6,      10.5,       6.9,       2.6,      21.6,      17.9,      29.0,      32.2,      12.3,      91.4,       4.6,       6.6,       6.4,       3.2,      20.8,     50.56,      8.65,     15.80,     13.70,     12.57,     50.72,     0.009,     0.011,     0.110,         0,     0.130
2165_001.5,     0.614,Both,Total,       1.0,      35.0,       2.0,       1.2,Collector,       733,     402.3,     879.4,     630.0,     716.7,    2628.4,      32.0,      31.9,      31.9,      31.9,      32.0,      31.9,     1.153,     1.155,     1.153,     1.156,     1.153,      4398,      8796,      4398,     17592,     35184,      0.13,      0.11,      0.16,      0.04,      0.16,     247.1,     540.3,     387.1,     440.4,    1614.9,     231.2,     485.1,     359.7,     411.9,    1487.9,       0.6,       8.8,       2.8,       2.6,      14.8,      13.5,      31.9,      20.4,      16.9,      82.7,       2.0,      14.4,       4.1,       9.0,      29.5,     50.50,      7.74,     16.92,     12.14,     13.77,     50.57,     0.013,     0.009,     0.034,         0,     0.056
2165_002.1,     0.390,Both,Total,       1.0,      35.0,       2.0,       0.8,Collector,       733,     865.0,    1810.9,    1285.6,    1657.5,    5619.0,      32.0,      31.7,      31.8,      31.2,      32.0,      31.7,     0.731,     0.738,     0.736,     0.749,     0.732,      4398,      8796,      4398,     17592,     35184,      0.28,      0.22,      0.38,      0.11,      0.38,     337.1,     705.8,     501.1,     646.0,    2190.0,     300.8,     613.3,     461.3,     593.5,    1968.9,       3.3,      16.8,       5.1,       9.4,      34.6,      27.9,      58.3,      31.1,      30.2,     147.5,       5.1,      17.5,       3.6,      12.8,      39.0,     68.47,     10.64,     22.21,     16.04,     20.21,     69.10,     0.105,     0.146,     0.380,     0.023,     0.654
2166_000.0,     0.509,Both,Total,       1.0,      35.0,       2.0,       1.0,Collector,       706,     992.1,    1556.3,    1936.2,    1413.6,    5898.2,      29.3,      28.9,      29.2,      26.8,      29.3,      28.3,     1.041,     1.057,     1.045,     1.139,     1.044,      4233,      8466,      4233,     16933,     33865,      0.28,      0.20,      0.56,      0.09,      0.56,     505.1,     792.3,     985.7,     719.6,    3002.7,     422.9,     672.3,     855.9,     657.8,    2608.9,       6.5,      26.8,      11.7,       8.5,      53.5,      59.3,      73.1,      99.8,      42.6,     274.8,      16.4,      20.3,      18.5,      10.7,      65.9,    102.38,     17.47,     27.10,     36.80,     24.59,    105.96,     0.252,     0.081,     3.132,     0.055,     3.520
2167_000.0,     0.258,Both,Total,       1.0,      35.0,       4.0,       1.0,Collector,       668,     612.2,     716.6,    1209.5,     506.6,    3044.9,      28.0,      28.0,      28.0,      27.9,      28.0,      28.0,     0.552,     0.553,     0.553,     0.555,     0.553,      8016,     16032,      8016,     32064,     64128,      0.13,      0.05,      0.22,      0.02,      0.22,     157.9,     184.7,     311.9,     130.7,     785.2,     146.3,     169.8,     295.2,     124.6,     735.9,       0.6,       4.4,       2.8,       1.6,       9.4,       9.7,       8.5,      12.7,       4.0,      34.9,       1.3,       2.0,       1.0,       0.5,       4.8,     28.02,      5.64,      6.59,     11.18,      4.66,     28.07,     0.009,     0.010,     0.056,     0.004,     0.079
2167_000.2,     0.765,Both,Total,       1.0,      35.0,       2.0,       1.5,Collector,       506,     371.8,     678.4,     684.4,     485.4,    2220.0,      23.3,      22.6,      21.3,      21.2,      23.1,      21.8,     1.970,     2.036,     2.158,     2.164,     1.993,      3035,      6069,      3035,     12139,     24277,      0.17,      0.12,      0.34,      0.05,      0.34,     284.6,     519.2,     523.7,     371.5,    1699.0,     260.5,     471.6,     490.0,     349.1,    1571.2,       2.9,      14.4,       4.5,       3.2,      25.0,      18.9,      26.7,      24.0,      15.0,      84.6,       2.3,       6.5,       5.5,       4.2,      18.5,     72.89,     12.61,     24.40,     24.67,     16.11,     77.79,     0.411,     2.122,     2.212,     0.182,     4.927
2168_000.0,     0.782,Both,Total,       1.0,      35.0,       2.0,       1.6,Collector,       696,     727.0,    1389.3,    1452.9,    1088.5,    4657.7,      28.0,      27.8,      27.9,      27.1,      28.0,      27.6,     1.676,     1.687,     1.683,     1.733,     1.677,      4176,      8352,      4176,     16704,     33408,      0.24,      0.18,      0.42,      0.07,      0.42,     568.7,    1086.9,    1136.6,     851.5,    3643.7,     475.6,     922.4,     978.0,     781.8,    3157.8,       8.2,      37.8,      19.2,       9.1,      74.3,      69.4,      97.0,     114.4,      47.0,     327.8,      15.5,      29.6,      24.9,      13.7,      83.7,    130.14,     20.43,     38.96,     41.97,     30.42,    131.78,     0.122,     0.144,     1.378,     0.007,     1.651
2168_000.8,     0.217,Both,Total,       1.0,      35.0,       2.0,       0.4,Collector,       696,     579.6,    1091.2,    1275.4,     872.0,    3818.2,      28.0,      27.9,      27.9,      27.4,      28.0,      27.8,     0.466,     0.468,     0.466,     0.476,     0.466,      4176,      8352,      4176,     16704,     33408,      0.20,      0.14,      0.36,      0.06,      0.36,     126.0,     237.1,     277.2,     189.5,     829.8,     100.3,     205.1,     238.1,     173.5,     717.0,       3.3,       8.8,       6.2,       2.6,      20.9,      18.5,      16.1,      27.2,      10.2,      72.0,       3.8,       7.2,       5.6,       3.2,      19.8,     29.63,      4.51,      8.49,     10.12,      6.77,     29.89,     0.023,     0.007,     0.226,         0,     0.256
2168_001.0,     1.053,Both,Total,       1.0,      35.0,       2.0,       2.1,Collector,       696,    1125.0,    2184.3,    1843.1,    1903.7,    7056.1,      28.0,      27.2,      27.5,      25.9,      27.9,      27.1,     2.257,     2.326,     2.301,     2.442,     2.261,      4176,      8352,      4176,     16704,     33408,      0.36,      0.29,      0.53,      0.13,      0.53,    1184.6,    2300.0,    1940.7,    2004.5,    7429.8,    1022.0,    2006.0,    1730.0,    1835.9,    6593.9,      21.8,      85.1,      36.5,      25.5,     168.9,     114.7,     152.5,     147.6,     114.0,     528.8,      26.2,      56.4,      26.6,      29.0,     138.2,    265.39,     43.61,     83.78,     75.01,     71.74,    274.14,     1.304,     1.614,     5.682,     0.144,     8.744
2168_002.1,     0.517,Both,Total,       1.0,      35.0,       4.0,       2.1,Collector,       668,    1648.6,    3884.9,    3124.3,    2456.5,   11114.3,      28.0,      27.6,      27.6,      26.5,      28.0,      27.3,     1.109,     1.126,     1.126,     1.172,     1.110,      8016,     16032,      8016,     32064,     64128,      0.29,      0.26,      0.43,      0.09,      0.43,     853.0,    2010.1,    1616.6,    1271.0,    5750.7,     707.1,    1718.7,    1395.5,    1146.6,    4967.9,      16.7,      67.0,      29.3,      12.4,     125.4,      89.8,     163.1,     159.0,      78.5,     490.4,      39.5,      61.4,      32.7,      33.5,     167.1,    205.49,     30.92,     72.92,     61.02,     45.45,    210.31,     0.452,     1.086,     3.284,     0.022,     4.844
