SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0097_002.0,     1.043,Both,Total,       1.0,      57.0,       2.0,       2.1,Minor Arterial,       894,    2756.5,    5664.9,    3574.9,    5086.2,   17082.5,      36.0,      31.3,      33.0,      29.4,      35.9,      32.7,     1.739,     2.023,     1.896,     2.138,     1.745,      5364,     10728,      5364,     21456,     42912,      0.74,      0.62,      0.81,      0.29,      0.81,    2875.7,    5909.8,    3729.5,    5306.1,   17821.1,    2356.1,    4402.3,    3145.8,    4523.8,   14428.0,      41.7,     362.8,      97.1,      96.5,     598.1,     305.8,     680.6,     352.1,     425.7,    1764.2,     172.0,     464.0,     134.5,     260.1,    1030.6,    495.06,     91.94,    178.95,    126.83,    147.92,    545.64,    13.048,    14.813,    23.796,     0.529,    52.186
0097_003.1,     0.502,Both,Total,       1.0,      57.0,       4.0,       2.0,Minor Arterial,       858,    4216.4,    7854.3,    5482.5,    8162.0,   25715.2,      36.0,      33.8,      35.2,      33.1,      35.9,      34.7,     0.838,     0.896,     0.857,     0.913,     0.839,     10296,     20592,     10296,     41184,     82368,      0.62,      0.45,      0.67,      0.23,      0.67,    2117.6,    3944.7,    2753.4,    4099.2,   12914.9,    1753.7,    2961.1,    2332.4,    3494.7,   10541.9,      39.7,     223.2,      63.1,      75.7,     401.7,     221.5,     421.2,     256.9,     328.0,    1227.6,     102.7,     339.2,     101.2,     200.7,     743.8,    359.06,     62.66,    112.12,     83.29,    114.12,    372.19,     4.075,     2.462,     6.890,     0.157,    13.584
0097_003.6,     0.499,Both,Total,       1.0,      57.0,       4.0,       2.0,Minor Arterial,       858,    4823.7,    9070.3,    6073.5,    9464.4,   29431.9,      36.0,      32.8,      34.7,      32.1,      35.9,      34.2,     0.832,     0.919,     0.864,     0.936,     0.834,     10296,     20592,     10296,     41184,     82368,      0.69,      0.52,      0.73,      0.27,      0.73,    2408.5,    4528.9,    3032.5,    4725.6,   14695.5,    1982.9,    3396.5,    2559.4,    4015.1,   11953.9,      44.2,     252.0,      65.7,      87.9,     449.8,     257.9,     483.3,     284.8,     383.1,    1409.1,     123.5,     397.1,     122.6,     239.6,     882.8,    408.10,     73.41,    130.67,     94.52,    131.55,    430.15,     7.004,     4.904,    10.550,     0.321,    22.779
0097_004.1,     0.325,Both,Total,       1.0,      57.0,       4.0,       1.3,Minor Arterial,       858,    5362.1,   10211.8,    6794.5,   10474.0,   32842.4,      36.0,      31.5,      33.9,      30.0,      35.9,      33.2,     0.541,     0.626,     0.576,     0.652,     0.543,     10296,     20592,     10296,     41184,     82368,      0.76,      0.59,      0.82,      0.29,      0.82,    1742.1,    3317.7,    2207.5,    3402.9,   10670.2,    1425.7,    2468.8,    1842.8,    2882.7,    8620.0,      33.6,     191.3,      54.0,      65.3,     344.2,     191.4,     361.8,     216.2,     278.5,    1047.9,      91.4,     295.6,      94.5,     176.5,     658.0,    296.32,     55.38,     97.99,     73.55,     94.86,    321.78,     7.536,     5.883,    12.513,     0.364,    26.296
0097_004.4,     0.675,Both,Total,       1.0,      57.0,       4.0,       2.7,Minor Arterial,       847,    5799.4,   10988.9,    7492.9,   10987.8,   35269.0,      34.3,      27.6,      31.3,      25.4,      34.1,      29.9,     1.182,     1.489,     1.292,     1.601,     1.187,     10168,     20336,     10168,     40672,     81344,      0.86,      0.65,      0.95,      0.32,      0.95,    3912.1,    7412.9,    5054.6,    7412.1,   23791.7,    3185.4,    5497.2,    4186.0,    6248.7,   19117.3,      78.2,     421.3,     121.4,     146.4,     767.3,     432.9,     820.1,     513.7,     617.1,    2383.8,     215.7,     674.3,     233.6,     399.8,    1523.4,    694.59,    141.79,    236.64,    198.66,    217.41,    794.50,    29.716,    20.281,    52.310,     1.036,   103.343
0097_005.1,     0.168,Both,Total,       1.0,      57.0,       6.0,       1.0,Principal Arterial,       846,    7889.2,   14727.4,   10108.4,   13176.6,   45901.6,      34.0,      29.5,      31.9,      27.5,      33.9,      30.9,     0.297,     0.345,     0.316,     0.368,     0.297,     15228,     30456,     15228,     60912,    121824,      0.77,      0.60,      0.86,      0.25,      0.86,    1324.3,    2472.3,    1697.0,    2212.0,    7705.6,    1021.9,    1728.6,    1340.4,    1793.8,    5884.7,      29.5,     144.2,      47.3,      53.5,     274.5,     175.9,     333.3,     208.3,     206.0,     923.5,      97.1,     266.2,     100.9,     158.6,     622.8,    226.92,     44.94,     77.51,     61.69,     65.28,    249.42,     6.389,     4.715,    12.023,     0.141,    23.268
0097_005.3,     0.082,Both,Total,       1.0,      57.0,       4.0,       0.3,Collector,       668,    5310.6,    9030.6,    6409.2,    8209.7,   28960.1,      27.9,      16.6,      22.6,      16.5,      27.4,      20.6,     0.176,     0.314,     0.217,     0.307,     0.179,      8016,     16032,      8016,     32064,     64128,      1.14,      0.76,      1.17,      0.33,      1.17,     435.1,     740.0,     525.1,     672.6,    2372.8,     294.2,     419.8,     363.4,     501.2,    1578.6,       7.9,      33.3,      12.2,      14.1,      67.5,      81.5,     154.2,      98.8,      86.2,     420.7,      51.5,     132.7,      50.8,      71.1,     306.1,     85.08,     26.23,     32.68,     31.90,     24.54,    115.35,    12.146,     6.200,    13.934,     0.416,    32.696
0103_000.0,     0.142,Both,Total,       1.0,      11.0,       4.0,       0.6,Minor Arterial,       815,    7775.1,   14293.5,    9340.8,   13650.6,   45060.0,      29.9,      16.5,      23.4,      15.9,      29.5,      21.1,     0.285,     0.530,     0.365,     0.543,     0.289,      9780,     19560,      9780,     39120,     78240,      1.17,      0.87,      1.21,      0.42,      1.21,    1106.2,    2033.6,    1328.9,    1942.1,    6410.8,     978.2,    1591.1,    1200.5,    1678.9,    5448.7,      16.5,     112.1,      33.3,      33.1,     195.0,      74.3,     174.5,      70.3,     127.5,     446.6,      37.2,     155.9,      24.9,     102.6,     320.6,    214.28,     66.86,     86.92,     83.81,     65.84,    303.43,    31.738,    19.090,    40.080,     0.929,    91.837
0104_000.0,     0.693,Both,Total,       1.0,      57.0,       4.0,       2.8,Minor Arterial,       858,    2214.9,    4505.3,    3707.3,    2952.4,   13379.9,      36.0,      35.9,      35.9,      35.1,      36.0,      35.7,     1.155,     1.158,     1.159,     1.186,     1.155,     10296,     20592,     10296,     41184,     82368,      0.26,      0.28,      0.49,      0.09,      0.49,    1534.9,    3122.1,    2569.0,    2045.9,    9271.9,    1169.2,    2321.8,    2036.1,    1728.7,    7255.8,      39.6,     195.5,      80.3,      53.7,     369.1,     211.9,     334.6,     303.9,     161.5,    1011.9,     114.2,     270.3,     148.8,     102.0,     635.3,    257.59,     42.76,     87.01,     73.26,     56.84,    259.87,     0.115,     0.279,     1.899,     0.002,     2.295
0104_000.7,     0.313,Both,Total,       1.0,      57.0,       4.0,       1.3,Minor Arterial,       858,    2975.2,    5986.6,    5904.4,    3616.9,   18483.1,      35.9,      35.6,      35.6,      31.3,      35.9,      34.2,     0.522,     0.527,     0.527,     0.601,     0.522,     10296,     20592,     10296,     41184,     82368,      0.38,      0.38,      0.77,      0.11,      0.77,     929.9,    1871.1,    1845.4,    1130.5,    5776.9,     659.1,    1332.7,    1333.5,     953.3,    4278.6,      29.9,     106.0,      57.8,      25.3,     219.0,     141.4,     211.3,     282.1,      89.7,     724.5,      99.7,     221.0,     172.0,      62.2,     554.9,    160.74,     26.11,     52.54,     59.01,     31.45,    169.11,     0.244,     0.475,     7.788,         0,     8.507
0104_001.0,     0.780,Both,Total,       1.0,      57.0,       4.0,       3.1,Minor Arterial,       858,    1859.0,    3571.2,    4493.9,    1714.2,   11638.3,      36.0,      35.9,      36.0,      34.3,      36.0,      35.3,     1.300,     1.302,     1.302,     1.365,     1.300,     10296,     20592,     10296,     41184,     82368,      0.25,      0.23,      0.58,      0.05,      0.58,    1450.1,    2785.7,    3505.4,    1337.2,    9078.4,     983.8,    1854.0,    2377.0,    1135.1,    6349.9,      41.9,     160.9,     125.6,      24.1,     352.5,     226.5,     330.1,     610.5,     106.2,    1273.3,     198.1,     440.7,     392.5,      71.8,    1103.1,    252.17,     40.34,     77.48,    102.20,     37.15,    257.17,     0.052,     0.107,     4.831,         0,     4.990
0104_001.8,     0.722,Both,Total,       1.0,      57.0,       2.0,       1.4,Minor Arterial,       991,    1030.3,    1545.5,    2017.6,     779.8,    5373.2,      32.8,      32.8,      32.8,      32.3,      32.8,      32.6,     1.319,     1.320,     1.319,     1.341,     1.319,      5943,     11886,      5943,     23772,     47545,      0.21,      0.16,      0.41,      0.04,      0.41,     743.5,    1115.3,    1456.0,     562.7,    3877.5,     488.4,     681.4,     983.8,     480.5,    2634.1,      24.8,      66.1,      51.2,      12.7,     154.8,     126.9,     145.3,     248.6,      42.7,     563.5,     103.4,     222.6,     172.4,      26.8,     525.2,    118.10,     22.67,     33.98,     45.10,     17.14,    118.89,     0.022,     0.012,     0.753,         0,     0.787
0104_002.5,     0.692,Both,Total,       1.0,      57.0,       2.0,       1.4,Minor Arterial,       986,     805.6,    1968.1,    2444.8,     893.3,    6111.8,      32.4,      32.4,      32.4,      31.3,      32.4,      31.9,     1.281,     1.281,     1.282,     1.329,     1.281,      5918,     11836,      5918,     23671,     47342,      0.16,      0.20,      0.50,      0.04,      0.50,     557.4,    1361.8,    1691.7,     618.1,    4229.0,     394.6,     959.3,    1139.4,     521.4,    3014.7,      12.7,      77.5,      61.3,       8.7,     160.2,      76.2,     149.0,     307.0,      50.6,     582.8,      74.0,     176.0,     184.1,      37.4,     471.5,    130.51,     17.21,     42.06,     54.13,     19.08,    132.48,     0.003,     0.024,     1.928,         0,     1.955
0105_000.0,     0.153,Both,Total,       1.0,      11.0,       4.0,       0.6,Minor Arterial,       815,    1690.5,    3168.6,    2475.1,    2417.0,    9751.2,      30.0,      29.9,      29.9,      29.8,      30.0,      29.9,     0.306,     0.306,     0.306,     0.307,     0.306,      9780,     19560,      9780,     39120,     78240,      0.23,      0.19,      0.31,      0.07,      0.31,     258.1,     483.6,     377.8,     368.9,    1488.4,     203.3,     362.0,     310.8,     314.7,    1190.8,       5.6,      23.8,       9.9,       5.3,      44.6,      29.3,      53.4,      39.6,      27.9,     150.2,      19.9,      44.5,      17.6,      20.9,     102.9,     49.66,      8.62,     16.15,     12.66,     12.31,     49.74,     0.011,     0.002,     0.049,     0.010,     0.072
