TAZID,TOTHH,HHPOP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,39,0,0,0,0,0,0,0,0,0,0,2,1
3,22,65,0,0,0,0,0,0,0,0,0,0,2,1
4,1,3,0,0,0,0,0,0,0,0,0,0,1,0
5,58,192,0,0,0,0,0,0,2,0,0,0,5,3
6,3,9,0,0,0,8,0,0,0,0,0,0,2,0
7,35.99999997,105.9999999,1.999999998,0,0,26.99999998,0,0,0,5.999999995,85,0,1,3
8,45,150,17,0,0,0,36,0,0,2,0,0,3,3
9,14,40,0,0,0,90,0,0,0,0,0,0,8,1
10,20,59,0,0,0,93,0,0,0,0,0,0,1,1
11,7,23,0,0,0,0,0,0,0,0,0,0,2,0
12,16,50,0,0,0,0,0,0,0,0,0,0,3,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,3,0,0,109,146,0,0,0,9,19,0,2,0
16,1,3,0,0,2,74,0,0,0,21,0,0,6,0
17,3,10,0,0,0,0,0,0,0,0,0,0,2,0
18,0,0,0,0,467,216,0,0,0,0,0,0,6,0
19,222,733,15,0,0,10,0,0,0,0,0,0,11,10
20,150,378,12,0,0,2,0,0,0,23,0,0,15,9
21,0,0,0,0,385,39,0,0,0,0,0,0,2,0
22,2,6,0,0,9,0,0,0,0,0,0,0,10,1
23,3,10,0,0,20,27,0,0,0,0,0,0,20,1
24,131,433,0,0,0,0,0,0,1,0,0,0,15,6
25,298,985,5,0,0,2,0,102,12,4,0,0,8,18
26,201,564,17,0,13,19,0,46,62,19,0,0,1,11
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,3,0,0,78,0,0,0,0,0,0,0,29,1
29,229,725,0,0,0,2,0,0,0,0,0,0,14,9
30,286,660,13,0,0,8,41,0,27,9,0,0,0,19
31,217,523,5,66,73,0,39,0,0,36,0,0,6,12
32,111,311,0,0,0,2,0,0,0,0,0,0,8,7
33,161,388,0,0,0,14,0,0,0,0,0,0,8,9
34,198,555,2,0,14,0,5,0,0,0,0,0,0,10
35,277,717,0,0,0,0,0,0,0,0,0,0,0,16
36,77,194,0,0,0,0,0,0,0,0,0,0,10,6
37,0,0,0,0,0,0,0,0,0,4,0,0,7,0
38,0,0,0,0,1426,0,0,21,3,0,0,0,2,0
39,59,187,17,0,0,0,0,0,3,109,0,0,6,4
40,288,665,37,0,0,21,58,79,24,53,0,0,1,20
41,107,247,211,0,0,0,0,0,22,102,0,0,5,7
42,64,149,0,0,0,0,3,0,0,72,0,0,4,4
43,190,493,0,0,0,2,0,38,37,0,0,0,11,11
44,98,296,0,0,0,0,0,0,0,0,0,0,13,8
45,89,267,0,0,0,0,36,0,0,0,0,0,31,5
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,6,0,0,0,0,0,0,0,0,0,0,0,0
48,8,26,0,0,0,0,0,0,0,0,0,0,2,0
49,0,0,74,29,0,0,0,0,0,0,0,0,4,0
50,3,10,0,0,12,41,33,94,43,4,0,0,22,1
51,5,14,0,0,11,39,16,0,11,0,0,0,17,1
52,50,112,0,0,169,0,0,0,22,1495,0,0,0,3
53,238,536,284,48,6,64,63,332,53,456,0,0,6,13
54,138,428,12,53,18,0,91,215,64,168,0,0,6,10
55,162,500,0,0,1,0,3,195,0,15,0,0,2,9
56,38,114,0,0,0,0,0,0,0,0,0,0,2,2
57,51,153,0,0,0,0,0,0,0,0,0,0,5,5
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,253,872,0,0,0,0,0,0,0,0,0,0,14,13
62,200,687,2,0,0,0,0,0,0,13,0,0,9,12
63,19,52,0,0,0,0,0,199,0,0,0,0,1,1
64,219,752,0,91,0,0,0,0,0,21,0,0,7,12
65,270,743,42,0,0,0,0,5,1,23,0,0,0,16
66,135,290,52,26,0,0,0,0,7,38,0,0,1,10
67,134,414,84,0,0,0,3,0,1,38,0,0,0,8
68,168,518,0,0,0,0,0,0,17,17,0,0,0,11
69,29,88,0,0,0,0,0,0,0,21,0,0,3,2
70,101,218,0,0,0,0,8,0,0,15,0,0,4,5
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
