TAZID,TOTHH,HHPOP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
72,91,280,2,0,0,4,0,0,0,75,0,0,7,5
73,3,11,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,130,447,5,16,0,0,0,41,86,15,0,0,109,14
76,86,294,0,0,0,0,0,0,5,2,0,0,114,11
77,76,261,0,0,38,0,0,156,469,9,0,0,109,14
78,416,1110,66,22,0,2,0,0,9,66,0,0,48,28
79,40,107,61,116,0,0,14,57,87,21,0,0,142,12
80,158,422,20,101,0,0,22,118,0,0,0,0,120,19
81,23,49,0,0,0,0,0,57,0,102,0,0,24,6
82,333,715,51,83,4,8,47,0,64,130,0,0,2,23
83,0,0,76,134,0,0,0,0,0,11,0,0,1,0
84,0,0,84,26,0,0,5,64,12,15,0,0,1,0
85,41,135,3,0,0,21,5,0,10,43,0,0,7,3
86,1,3,22,4,0,0,0,0,0,0,0,0,3,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3,10,0,0,0,0,0,0,0,0,12,0,0,0
89,67,218,3,334,0,8,0,0,0,38,0,0,49,5
90,53,173,514,80,20,0,166,52,0,9,0,0,17,4
91,201,659,0,0,0,4,121,0,2,23,0,0,24,13
92,209,687,0,0,8,2,11,0,18,30,0,0,14,11
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,21,73,0,0,0,0,0,0,0,0,0,0,8,2
95,246,854,0,53,0,2,5,0,18,32,0,0,19,15
96,244,801,0,0,0,0,0,0,9,4,0,0,1,16
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,20,58,0,0,0,0,0,0,2,0,0,0,31,3
101,447,1296,0,16,0,10,5,17,23,43,0,0,20,25
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,222,643,0,0,0,4,0,0,2,2,0,0,16,12
104,67,193,0,0,1,0,0,118,0,0,0,0,18,5
105,27,75,0,5,0,0,0,0,0,0,0,0,30,4
106,7,21,10,0,0,0,0,0,0,0,211,0,14,2
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,10,26,0,0,0,0,0,0,0,0,0,0,76,4
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2,5,0,0,0,0,0,0,0,0,0,0,6,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,15,1
113,25,69,0,0,0,0,0,0,0,0,0,0,37,3
114,33,93,0,0,0,2,0,0,0,0,0,0,33,4
115,0,0,59,0,0,0,0,0,0,0,0,0,1,0
116,0,0,0,0,20,0,0,0,0,0,0,0,0,0
117,20,55,22,0,0,0,0,0,0,0,0,0,2,1
118,4,12,0,0,0,0,0,0,0,0,0,0,9,1
119,0,0,0,0,0,0,0,36,0,0,0,0,0,0
120,23,63,2,0,0,0,0,0,0,0,0,0,24,3
121,48,130,0,0,0,2,0,0,0,2,0,3,2,3
122,15,42,0,0,0,0,0,0,0,0,0,0,17,2
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,72,197,0,0,0,0,0,0,0,2,0,0,5,5
125,63,174,0,0,0,0,14,56,0,0,0,0,2,4
126,185,525,0,0,7,2,0,0,0,0,0,0,0,11
127,21,58,0,0,0,0,0,0,0,0,0,0,2,6
128,84,232,0,0,0,10,0,0,0,0,0,0,9,4
129,70,191,0,0,0,0,0,0,0,0,0,0,12,2
130,48,135,0,0,1,0,0,0,0,0,0,0,3,4
131,115,327,0,0,0,0,0,0,0,0,0,0,7,4
132,34,96,0,0,4,0,0,0,0,0,58,0,9,2
133,177,487,0,0,0,0,3,0,0,4,0,0,4,9
134,2,5,0,0,0,0,0,0,0,0,0,0,0,0
135,6,17,0,0,0,0,0,0,0,0,0,0,0,0
136,157,447,0,0,0,10,11,0,0,2,0,0,15,10
137,4,11,0,0,0,55,0,0,0,0,0,0,0,0
138,155,426,0,0,13,0,33,0,0,17,0,0,6,9
139,42,120,0,0,0,0,0,13,0,0,0,15,21,3
140,3,8,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,58,159,40,0,0,66,0,0,0,0,0,0,2,4
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,15,37,0,0,0,0,0,0,0,0,0,0,2,1
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,463,1724,29,0,0,4,5,48,8,23,0,0,43,23
151,34,126,0,0,26,0,0,0,0,0,0,0,1,1
152,3,9,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,3,0,0,0
155,14,42.23022937,0,0,0,0,0,0,0,0,22,0,1,1
156,5.5,18.08907857,0,0,0,0,0,0,0,0,29,0,0,0
157,50,146.8258137,0,0,0,0,0,0,0,0,44,0,22,3
158,95,273.5738598,0,0,0,0,0,0,0,0,32,0,4,4
159,0,0,0,0,280,0,0,0,0,0,46,64,10,0
160,2.5,6.042433096,0,0,0,0,0,0,0,0,16,0,0,0
161,24,62.40359362,0,0,5,0,0,0,0,0,6,0,1,1
162,56,161.9271578,0,0,0,0,0,0,0,0,42,0,3,3
163,8,23.13245111,0,0,0,0,0,0,0,0,4,0,0,0
164,1,2.017336425,0,0,0,0,0,0,0,0,19,0,0,0
165,0,0,0,3,435,0,0,0,0,18,9,0,17,0
166,28,82.46224168,0,0,0,0,0,0,0,0,27,0,1,1
167,14,37.23468672,0,0,0,0,0,0,0,0,18,0,1,1
168,50,134.8365113,0,0,0,0,0,0,0,0,4,0,2,2
169,20,53.33513939,0,0,0,0,0,0,0,0,9,0,1,1
170,27,77.44757967,0,11,0,0,0,0,0,0,18,0,1,1
171,40,114.663147,0,0,0,0,0,0,0,0,17,0,23,2
172,84,223.4081203,0,0,0,0,0,79,0,0,11,0,6,4
173,79,212.3223297,0,0,0,0,0,0,0,0,20,0,4,4
174,27,71.45292849,0,0,0,0,0,0,0,0,22,0,1,1
175,33,90.55070675,9,0,1,1,1,2,1,4,7,0,101,9
176,10,26.16801543,0,0,0,0,0,0,0,0,9,0,0,0
177,26.5,76.93853468,0,0,0,0,0,0,0,0,9,0,1,1
178,32,93.52891297,0,0,0,0,0,9,0,4,19,0,25,5
179,5.25,16.58568465,0,0,0,0,0,0,0,0,22,0,0,0
180,29,82.48136105,0,0,0,0,0,0,0,0,14,0,1,1
181,39,109.648485,0,0,0,0,0,0,0,0,8,0,1,2
182,43,118.7169392,0,0,1,1,1,2,1,2,9,0,2,2
183,20,55.33335645,0,0,0,0,0,5,1,4,26,0,1,1
184,91,253.5152118,0,0,0,0,0,0,0,0,13,0,3,4
185,45,124.7498291,0,0,0,0,0,0,0,0,10,0,2,2
186,9,28.14711313,0,0,0,0,0,0,0,0,5,0,0,0
187,14,42.23022937,0,4,0,0,1,0,0,0,5,0,1,1
188,3.5,9.808192209,0,0,0,0,0,0,0,0,31,0,0,0
189,65,179.084077,0,0,0,0,0,0,0,0,10,0,2,3
190,69,194.1471825,0,0,4,0,0,0,0,0,6,0,13,3
191,140,392.3290378,0,0,0,0,0,0,0,0,6,0,6,6
192,3,9.049334866,0,0,0,0,0,0,0,0,17,0,0,0
193,197,554.275315,0,0,0,0,0,0,0,0,3,0,26,9
194,0,0,0,0,0,0,0,0,0,0,2,0,0,0
195,72,256.1492694,0,0,0,0,0,0,0,0,11,0,24,3
196,90,321.4354725,0,0,0,0,0,0,0,0,7,0,3,4
197,138,489.2043265,0,0,0,0,0,0,0,0,8,0,5,6
198,25,89.39864331,0,0,0,0,0,0,0,0,14,0,1,1
199,0,0,0,0,0,0,0,0,0,0,13,0,54,1
200,52.25,155.361221,0,0,0,0,0,0,0,0,24,0,58,4
201,23,78.37021074,0,0,0,0,0,0,0,0,18,0,11,1
202,29.5,95.72908852,0,0,0,0,0,0,0,0,15,0,32,3
203,69.25,194.4017395,0,0,0,1,7,0,0,1,20,0,3,3
204,86.5,290.6458573,0,0,0,0,0,0,0,0,12,0,38,5
205,236.25,789.3167176,0,0,0,0,0,0,0,0,3,0,9,11
206,104,346.6808568,0,0,0,0,0,0,0,0,6,0,5,5
207,20.25,59.33448721,0,0,0,0,0,0,0,0,18,0,61,2
208,74.5,251.9508469,0,0,0,0,0,0,0,0,4,0,3,3
209,58.75,197.1983223,0,0,0,0,0,0,0,0,15,0,2,3
210,13,35.2173503,0,0,0,0,0,0,0,0,17,0,52,2
211,6,18.09866974,0,12,0,0,0,0,0,0,8,0,3,1
212,118.5,332.2210876,1,0,1,6,2,6,2,14,2,0,6,5
213,250,1020.873217,135,63,16,23,22,125,11,80,3,0,27,11
214,350,1428.423216,0,0,0,0,0,0,0,0,7,0,13,15
215,132.9999999,377.2085741,0.999999999,0,4.999999997,4.999999997,4.999999997,8.999999995,4.999999997,18.99999999,9,0,10,6
216,78,218.2978615,0,0,0,1,0,0,0,2,0,0,3,3
217,125,510.9361624,16,0,0,1,0,0,0,10,2,0,87,7
218,253,1032.919877,0,0,0,0,0,0,0,0,2,0,9,11
219,122,344.0276799,0,0,0,0,0,179,0,2,1,0,11,5
220,155,340.6621846,0,0,0,0,0,0,1,0,10,0,6,7
221,250,549.2939901,0,0,0,0,0,0,0,0,15,0,10,12
222,100.25,289.4102304,0,0,0,0,0,0,0,0,11,0,4,4
223,93,250.556125,0,0,0,0,0,0,0,0,2,0,3,4
224,667,2045.938475,0,0,0,0,25,113,0,64,0,0,32,28
225,28,85.45956728,149,90,11,185,62,108,45,228,0,0,45,1
226,325,996.3303469,0,0,0,0,0,0,15,0,4,0,17,14
227,80,245.3120306,24,1,3,77,15,109,11,58,4,0,191,8
228,307,1199.804339,0,0,0,0,0,124,0,0,1,0,16,13
229,139,543.1753065,1,0,0,0,2,5,1,26,3,0,7,6
230,0,0,9,156,0,1095,2,0,0,155,1,0,86,1
231,0,0,390,261,1968,200,54,43,38,528,0,0,128,0
232,101,393.5815997,0,0,0,0,0,0,0,0,2,0,4,4
233,56.25,219.6303998,8,0,6,8,22,28,22,87,2,0,10,2
234,155,541.4829993,0,0,1,1,1,3,2,16,5,0,10,7
235,81,179.3899869,12,0,507,30,43,62,52,157,14,0,154,12
236,255,889.0864873,12,0,11,0,0,0,0,13,7,0,11,11
237,20,69.32087588,7,0,4,8,22,69,20,99,5,0,10,1
238,414,908.1122026,47,0,4,116,17,94,14,77,6,0,31,20
239,9,31.14443872,0,0,0,1,0,0,0,0,3,0,0,0
240,21,57.35069288,0,0,0,0,0,0,0,0,0,0,1,1
241,1,2.017336425,0,0,0,0,0,0,0,0,0,0,0,0
242,7,22.11422321,0,0,0,0,0,0,0,0,1,0,0,0
243,133,372.2130317,0,0,0,0,1,1,0,2,2,0,5,6
244,0,0,0,4,0,0,0,0,0,0,9,0,0,0
245,257.25,980.2981592,12,78,120,47,19,14,12,57,2,0,29,11
246,36,127.5750805,0,0,0,0,0,0,0,0,5,0,1,2
247,470.25,1641.783997,0,0,0,0,0,0,0,0,2,0,17,20
248,108,300.7983419,0,0,0,0,0,0,0,0,0,0,6,5
249,303,1153.768869,0,0,0,0,0,0,0,0,0,0,11,13
250,276,769.5949703,2,0,4,12,13,120,33,72,0,0,20,12
251,91,345.4331966,0,0,0,0,0,202,0,0,0,0,11,4
252,67.75,208.8600652,38,294,409,17,64,14,8,132,10,0,39,3
253,506.75,1938.218061,35,18,208,280,49,66,160,203,3,0,111,23
254,330,1259.940825,1,23,17,7,5,91,5,28,3,0,20,15
255,239,588.0489097,0,0,1,0,19,28,14,76,2,0,14,10
256,78,193.3201482,1,0,0,5,2,3,2,15,1,0,7,3
257,375,1108.187362,74,68,10,61,19,18,16,95,2,0,28,16
258,1,4.015553486,6,0,4,31,22,22,17,51,2,0,6,0
259,138,337.3398299,7,0,9,6,28,55,34,107,1,0,14,6
260,0,0,0,0,0,0,0,0,0,0,0,0,34,1
261,78.5,282.9997847,0,0,0,0,0,0,0,0,0,0,3,4
262,50.25,179.301593,0,0,0,0,0,0,0,0,0,0,37,3
263,349,1177.627856,2,0,0,1,3,0,0,2,0,0,15,15
264,745,2514.01347,0,0,0,0,0,0,0,0,0,0,30,31
265,346.25,1083.908825,0,0,0,0,0,87,0,0,0,0,16,15
266,213,718.4350238,0,0,0,0,0,0,0,0,1,0,8,9
267,289,1099.549337,0,0,0,0,0,0,0,0,0,0,11,12
268,149,466.4351433,0,0,0,0,0,0,0,0,0,0,6,6
269,108,263.8313263,2,0,11,5,29,12,74,41,3,0,11,5
270,66,161.1192429,170,112,1,10,2,2,2,47,0,0,15,3
271,366.25,1064.808658,6,0,1,2,4,68,25,24,0,0,26,16
272,208,617.4294654,0,0,7,0,0,92,0,13,0,0,12,9
273,307,925.0494927,0,0,0,0,0,0,0,0,0,0,11,13
274,605,1999.793191,0,0,0,0,0,0,0,0,0,0,22,26
275,15.25000009,32.5128206,0,0,0,1.000000006,1.000000006,3.000000018,1.000000006,5.000000029,1,0,5,3
276,767.25,2169.49669,50,30,3,6,9,85,18,65,1,0,41,32
277,12,29.20357975,33,0,1,2,4,3,5,33,1,0,3,1
278,486.75,1218.227758,268,172,21,7,22,153,139,109,2,0,78,22
279,103,258.7401868,2,0,3,2,8,23,8,33,3,0,7,5
280,147,426.4325634,0,0,0,0,0,0,0,0,0,0,5,6
281,303,757.3726185,0,0,0,0,0,1,0,0,6,0,15,13
282,487.25,1567.425539,55,15,13,13,53,44,40,177,3,0,34,21
283,462,1401.590438,19,77,3,5,15,100,14,56,0,0,28,20
284,373,1131.128619,0,0,0,0,3,0,4,1,1,0,14,16
285,46.25,132.7665134,0,0,0,0,0,0,1,7,3,0,2,2
286,205,584.4015258,2,7,1,2,48,3,41,29,1,0,12,9
287,126.5,368.8416494,0,0,0,0,0,0,0,0,0,0,5,6
288,983,2646.44977,20,1,12,58.25,9,223,7,69,2,0,51,42
289,45,138.7373486,53,4,14,2,16,15,14,100,4,0,10,2
290,119,410.9105933,0,0,0,0,0,0,0,0,2,0,4,5
291,425.5,1370.169979,0,0,0,0,0,2,0,0,0,0,16,18
292,127,401.0724628,58,15,8,8,24,18,34,103,9,0,15,6
293,373.25,1173.345707,19,0,6,12,24,43,18,76,2,0,22,16
294,191,599.1204826,476,115,23,30,68,99,81,284,2,0,304,8
295,8,15.13958287,0,0,0,0,0,0,0,0,4,0,0,0
296,10,26.16801543,0,0,0,0,0,0,0,0,9,0,0,0
297,43.25,120.2203991,0,0,0,0,0,0,0,0,19,0,2,2
298,29,64.4974075,0,0,0,0,0,0,0,0,10,0,1,1
299,18,40.30848977,51,21,5,63,22,22,14,67,2,0,10,1
300,5,17.08044184,92,9,19,2,23,154,16,186,3,0,19,0
301,12,42.19199065,0,0,0,0,0,0,0,0,3,0,0,1
302,80.25,223.5861998,0,0,0,0,3,5,1,5,12,0,10,4
303,55.75,156.1774934,17,40,2,4,9,6,8,56,3,0,8,2
304,72.25,199.4546402,1,0,0,0,2,55,1,6,5,0,5,3
305,1.25,2.521687771,0,0,0,0,0,0,0,0,11,0,0,0
306,27,76.44847114,0,0,0,0,0,0,0,0,9,0,1,1
307,92.25,258.7844997,0,0,0,0,0,0,0,0,9,0,3,4
308,45.25,126.253289,86,3,10,18.25,40,59,38,156,4,0,53,3
309,181.5,501.7756303,40,10,74,8,22,30,16,76,8,0,18,8
310,0,0,59,1,18,25,7,0,4,64,1,0,7,0
311,23,63.38358279,280,162,150,39,121,220,86,453,3,0,58,1
312,414,1595.498872,1,0,2,3,7,49,230,180,7,0,33,18
313,713,2026.835796,0,19,0,1,1,44,1,8,0,0,29,30
314,589.75,1697.521049,0,0,0,1,0,1,1,10,1,0,23,26
315,0,0,182,2,311,274,71,4,43,530,0,0,52,0
316,1187,3770.350782,5,0,4,10,20,26,59,109,0,0,53,50
317,514.5,1321.666289,0,0,0,1,0,0,1,5,0,0,19,22
318,116,294.9566456,0,0,0,0,0,0,0,0,0,0,4,5
319,0,0,282,16,1569,495,124,248,38,348,0,0,116,0
320,615.75,1643.067,0,0,0,1,0,27,0,19,2,0,26,28
321,518,1281.76899,0,0,0,2,4,116,0,14,0,0,27,22
322,333,698.7489598,40,0,11,17,44,26,37,160,0,0,26,14
323,367,844.2697551,45,0,2,67,6,5,6,55,0,0,21,16
324,392.75,904.4586755,162,22,35,16,44,65,40,184,0,0,36,17
325,465,1195.831439,0,0,0,0,0,0,0,0,0,0,17,20
326,0,0,157,1,1279,389,350,561,195,1380,2,0,163,0
327,510,1243.649911,0,0,1,31,3,76,2,48,3,0,25,22
328,328,685.664952,58,58,1,3,7,6,7,334,0,0,31,14
329,871.75,2078.327834,65,3,18,11,15,123,15,91,0,0,47,38
330,440,1372.195664,28,0,2,5,10,81,6,27,0,0,23,19
331,315,664.4351212,0,0,0,0,0,413,0,0,0,0,27,13
332,352.0000001,873.9562207,3.000000001,0,4.000000001,3.000000001,7.000000001,46.00000001,8.000000001,39.00000001,0,0,19,17
333,630.25,1938.331071,95,32,150,36,79,102,63,335,0,0,62,31
334,314,667.4133274,265,309,10,27,47,39,89,231,0,0,52,13
335,465,1272.762795,25,466,6,44,18,16,18,135,0,0,45,20
336,214,668.4987166,2,0,2,3,7,93,9,24,0,0,14,10
337,328,1037.351155,1,0,2,8.999999999,8.999999999,296,68.99999999,30,0,0,28,14
338,495.9999997,1375.014881,0,0,0,0,0,1.999999999,0,4.999999997,0,0,30,27
339,2,5.03378138,38,12,16,20,46,340,74,168,0,0,28,0
340,402,855.9291266,232,114,1582,162,126,189,107,348,0,0,115,22
341,84,176.4500194,87,69,8,11,44,143,22,69,0,0,20,4
342,233.25,712.3280027,0,71,0,0,1,0,0,1,0,0,11,10
343,144.25,439.8679675,9,142,0,2,2,1,1,38,0,0,13,6
344,354.75,765.3555377,65,6,24,21,43,22,39,131,0,0,32,16
345,221.75,456.3363297,0,0,0,1,2,8,25,9,0,0,11,10
346,403.25,665.3731426,2,47,1,0,1,67,1,8,0,0,20,17
347,696,1160.28367,164,0,4,4,18,11,26,67,0,0,37,29
348,193.2500004,432.062635,1.000000002,103.0000002,2.000000005,2.000000005,17.00000004,19.00000004,14.00000003,120.0000003,0,0,18,9
349,199,422.4312277,0,0,0,0,0,0,0,0,0,0,7,8
350,259,562.4544752,6,0,0,1,1.25,1,1,8,0,0,10,11
351,3,10.0484434,16,0,10,34,10,12,5,32,0,0,4,0
352,32.25,65.8084311,2,0,1,214,1,0,1,56,0,0,11,1
353,99.99999759,205.979815,328.9999921,9.999999759,8.999999783,19.99999952,46.99999887,6.999999831,37.99999908,132.9999968,0,0,27,5
354,0,0,44,0,3,6,9,0,8,47,0,0,4,0
355,19.5,58.07136247,40,0,18,18,5,1,5,17,0,0,20,1
356,236,487.3312286,9,11,3,4,8,0,5,27,0,0,12,11
357,49,147.8058028,0,0,0,0,0,0,0,2,0,0,2,2
358,97.5,203.1844888,25,136,29,0,0,0,0,0,0,0,11,4
359,78,239.2791407,12,0,2,2,7,1,4,28,0,0,35,4
360,345.75,607.0747192,0,34,0,0,0,0,9,128,0,0,20,16
361,159.25,454.1422774,0,0,0,0,0,300,0,0,0,0,17,7
362,306,690.2398687,103,29,3,6,14,6,14,74,0,0,21,13
363,244,701.0438155,0,0,0,0,0,0,0,0,0,0,15,11
364,1.25,2.022167985,147,81,83,281,14,3,7,64,0,0,25,0
365,0,0,4,0,4,99,11,70,11,27,1,0,29,0
366,60,191.9768912,123,1,193,83,43,43,33,186,0,0,30,3
367,0,0,3,0,1,2,2,2,3,9,0,0,1,0
368,31.00000048,63.53653868,15.00000023,0,3.000000046,42.00000065,7.000000108,1.000000015,9.000000139,19.00000029,0,0,38,3
369,0,0,67,2,46,78,169,3,147,361,0,0,35,0
370,8,16.13869139,23,12,21,67,48,6,36,331,0,0,58,2
371,0,0,23,3,69,50,97.25,54,97,291,0,0,40,0
372,269.25,557.4049626,195,38,4,15,77,451,13,240,0,0,50,12
373,156.25,321.2034129,56,217,52,57,354,6,114,997,0,0,76,7
374,120.25,248.5793735,6,0,2,3,7,0,7,22,0,0,7,6
375,164.5,343.0918405,39,5,30,40,198,296,220,313,0,0,51,8
376,93.5,192.8671467,10,0,6,12,21,2,24,60,0,0,100,7
377,597.75,1018.030472,5,0,5,9,42,20,149,72,0,0,37,29
378,303.5,535.0802843,3,0,0,0,0,54,0,1,0,0,14,13
379,697,1835.700157,1,0,2,2,6,3,5,17,0,0,28,30
380,460.75,1315.393473,1,0,2,4,3,5,5,14,0,0,20,20
381,388,1022.51258,16,0,1,0,2,3,2,11,0,0,16,16
382,156,452.0818708,0,0,0,0,1,0,0,0,0,0,6,7
383,0,0,83,13,1034,263,282,59,36,103,0,0,70,0
384,6,17.0995612,124,16,300,241.25,93,31,26,167,0,0,37,0
385,8,26.1297767,54,5,166,29,21,21,19,89,0,0,15,0
386,6,17.0995612,40,7,143,509,7,13,5,57,0,0,29,0
387,293,946.0128262,7,13,177,29,46,7,5,71,0,0,50,13
388,0,0,0,0,0,12,0,0,0,0,0,0,0,0
389,90,139.5977199,8,3,47,14,26,2,24,100,0,0,21,4
390,69.75,106.9893027,38,201,26,32,117,37,75,304,0,0,37,5
391,28.5,90.96422387,2,0,10,4,33,394,10,59,0,0,22,3
392,0,0,59,285,42,46,156,63,153,294,0,0,49,0
393,114.5,176.2837454,53,2,15,21,110,3,89,273,0,0,129,8
394,0,0,65,131,92,143,1139.25,5424,294,827,0,0,307,0
395,153.75,237.4802848,27,4,23,31,104,60,100,248,0,0,44,7
396,365.75,565.2449097,42,141,43,43,187,279,131,436,0,0,70,16
397,559.25,1483.628255,28,0,4,17,17,19,92,51,0,0,30,24
398,690.75,1294.563349,20,3,5,7,157,58,25,96,0,0,40,30
399,546,1251.331967,58,0,1,1,5,5,3,25,0,0,24,23
400,486,886.5093006,43,1,43,28,168,317,90,378,0,0,33,22
401,322,840.4120581,0,15,0,2,1,37,1,18,0,0,15,14
402,357,859.0651894,2,0,0,1,2,8,56,12,0,0,16,15
403,217.5000012,493.971542,0,0,0,0,4.000000022,0,2.000000011,13.00000007,0,0,11,10
404,181.75,411.111287,0,0,0,0,0,37,1,0,0,0,8,8
405,9,26.14889607,574,139,183,68,96,5,50,530,0,0,61,0
406,1.25,1.25,53,29,5,1,7,2,4,57,2,0,6,0
407,0,0,131,37,69,33,4,0,5,118,0,0,15,0
408,0,0,168,12,28,366,25,0,14,123,0,0,27,0
409,17,52.27867276,60,2,337,355,34,16,29,103,0,0,58,1
410,88,292.4230864,42,0,4,10,16,1,12,44,0,0,8,4
411,314,1029.090615,6,0,10,5,12,1,8,32,0,0,14,13
412,96,217.6429016,32,5,2,3,1,0,1,604,0,0,28,4
413,165,380.8177195,32,14,16,23,55,4,42,144,0,0,19,7
414,68,153.1646134,20,5,2,64,13,35,13,33,0,0,10,3
415,415,1296.78454,3,0,5,6,7,5,9,38,0,0,18,18
