;TAZID,TOTHH,HHPOP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1960,494,834.9358067,230,142,2250.25,83,270,582,144,505,0,0,196.7732529,31.99828663
1961,268,744.9102046,65,36,8,70,314,286,344,771,1.012892828,3.444570564,100.6709798,16.99908977
1962,287,795.9041806,41,42,2,26,292,128,91,468,2.025785657,1.722285282,56.47545754,17.99903623
1963,335,553.9587732,26,1,76,165,841,8,46,540,0,0,83.58531769,21.99882206
1964,0,0,20,11,0,175,231,194,0,331,0,0,64.45489481,0
1965,0,0,8,2,0,135,10,24,0,86,0,0,10.8685521,0
1966,0,0,0,0,0,0,0,0,0,0,9.116035455,0,0,0
1967,1205.999904,3477.572018,0,0,0,0,0,135.9999892,0,0,0,0,91.03998114,76.99587107
1968,679.9999695,2339.6874,0,0,0,0,0,0,0,0,0,0,27.88911358,43.99764215
1969,150,577.9194289,0,0,0,0,0,0,0,0,0,0,6.152010625,9.999464573
1970,120,432.9410777,15,8,0,22,91,89,63,139,0,0,22.43433208,7.999571658
1971,193,565.9297826,48,20,4,139,119,285,12,252,0,0,43.96636927,11.99935749
1972,541,892.9337359,20,9,1201,45,169,85,88,229,3.038678485,0,103.8989957,34.998126
1973,0,0,300,114,0,163,358,288,51,1082,0,0,96.62758022,0
1974,539.25,1691.283037,0,0,0,0,0,74,0,0,1.012892828,0,52.15147011,34.998126
1975,796.0000137,2298.717099,0,0,0,0,0,0,0,0,0,0,32.64667028,50.9972702
1976,486.999958,1405.826877,0,0,0,0,0,0,0,0,0,0,19.97352611,30.9983375
1977,896.2499994,2537.69094,104.9999999,23.99999998,0,23.99999998,0,0,0,253.9999998,0,0,64.45071894,57.99689448
1978,685.25,2624.63484,0,0,0,0,0,76,0,0,0,0,31.22145392,43.99764412
1979,248,954.8669071,8,1,0,2,13,15,8,24,0,0,14.08327593,15.99914332
1980,700,2513.658514,38,123,0,10,17,16,0,213,0,0,45.81197245,44.99759058
1981,400,1159.85693,357,38,2,85,207,153,125,523,0,0,119.5153339,25.99860789
1982,614,2387.666044,0,0,0,0,0,0,6,0,0,0,53.42831058,38.99791183
1983,642,2140.717813,23,2,1,6,34,89,53,38,0,0,40.4199029,40.99780475
1984,225,772.8968388,76,40,0,29,81,130,24,221,0,0,36.87707184,13.9992504
1985,555,1331.85373,310,381,0,63,204,550,324,521,0,0,119.2669793,35.99807246
1986,359,860.9054984,2,3,0,6,107,116,56,38,0,0,28.17620866,22.99876852
1987,365,1159.850341,165,380,22,211,2790,1056,215,2134,0,1.722285282,302.9563598,22.99876852
1988,856,1785.824927,17,37,1,41,424,99,57,1307,0,0,116.4370544,54.99705515
1989,0,0,895,171,0,87,208,214,7,482,0,0,84.6516662,0
1990,0,0,0,0,14,0,0,6,0,0,14.1804996,0,0.820268083,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,359.25,1126.10556,0,0,0,0,0,0,0,0,1.012892828,0,191.7340654,22.99876852
1993,0,0,0,0,0,0,0,0,0,0,1.012892828,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,1.012892828,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,1.012892828,0,0,0
1996,1200.249987,3463.323905,31.99999966,112.9999988,0,61.99999935,587.9999938,313.9999967,201.9999979,650.9999932,0,0,129.694636,76.9958764
1997,550,2106.706894,1,1,4,18,43,8,3,23,0,0,29.69972611,34.998126
1998,470,1688.770523,0,0,0,0,0,0,0,0,0,0,33.27629996,29.99839372
1999,756,1725.817397,8,457,0,51,131,37,1,126,0,0,64.26800433,48.99737641
2000,432,1516.795748,2,1,0,2,12,10,0,31,0,0,26.09656804,27.9985008
2001,51,174.976657,5,22,0,11,48,85,0,149,0,0,15.21597295,2.999839372
2002,299,950.8772608,0,0,0,0,14,0,0,1,0,0,25.87820891,18.99898269
2003,161,534.9295944,0,9,0,2,8,0,1,1,0,0,7.464439558,9.999464573
2004,240.25,752.4035684,0,0,0,0,0,0,0,0,0,0,77.85347035,14.99919686
2005,24.25,76.49015369,0,0,0,0,0,0,0,0,0,0,39.99457505,1.999892915
2006,1034.25,3240.58458,0,3,0,0,0,0,0,0,0,0,65.54115347,65.99646618
2007,440.25,1378.823282,7,1,0,5,7,4,0,24,0,0,29.02479458,27.9985008
2008,0,0,224,196,0,154,76,52,0,336,0,0,80.57191353,0
2009,0,0,12.99999991,8.999999938,0,32.99999977,107.9999993,109.9999992,14.9999999,178.9999988,1.012892821,0,19.15325961,0
2010,476.0000068,1394.827018,0,0,0,0,0,0,0,0,0,0,19.52238066,30.99834061
2011,483,2033.708024,0,0,2,0,0,81,0,20,0,0,24.03385484,30.99834017
2012,457,1719.76224,0,0,0,0,20,0,4,0,0,0,19.7274474,28.99844726
2013,125,467.9354302,117,186,0,21,85,160,20,289,0,0,41.13644438,7.999571658
2014,423,962.8983449,742,694,0,73,248,250,19,1266,0,0,152.3647965,26.99855435
2015,254,891.8798963,0,238,13,0,5,72,1,16,0,0,34.5670291,15.99914332
2016,345,1341.812314,0,0,0,0,0,0,0,0,0,0,14.14962444,21.99882206
2017,123,423.9433367,0,0,0,0,8,0,20,0,0,0,6.193024029,7.999571658
2018,181,618.9175464,16,11,0,38,173,146,55,189,0,0,38.17984397,11.99935749
2019,227,545.9399482,45,53,0,29,134,185,26,398,0,0,56.99170437,14.99919686
2020,282.25,1104.095299,0,0,0,0,0,0,0,0,0,0,14.57603333,17.99903623
2021,276,808.8996626,8,5,0,7,32,150,1,48,0,0,21.614064,17.99903623
2022,209.25,661.914739,0,0,0,0,0,0,0,0,71.91539081,0,147.5820548,12.99930394
2023,250,603.9333594,0,0,0,0,0,35,0,0,4.051571313,0,125.6888202,15.99914332
2024,162,392.9565142,0,0,0,0,0,340,0,0,0,0,59.58872889,9.999464573
2025,782,1894.790477,1,3,0,5,22,98,19,46,0,0,40.02908247,49.99732286
2026,414,1001.889309,42,55,0,25,14,13,0,75,0,0,26.16655186,26.99855435
2027,0,0,148,170,0,12,51,46,0,234,1.012892828,0,43.10986015,0
2028,769,2427.687693,16,0,0,0,0,0,0,2,0,0,32.27754908,48.99737641
2029,1474.5,3575.604412,0,0,3,10,0,0,0,22,0,0,61.90973359,94.99491344
2030,275,1186.828316,0,2,25,0,2,12,0,4,1.012892828,0,13.12428933,17.99903623
2031,217,937.8642716,1,3,32,3,3,15,0,6,1.012892828,0,11.48375317,13.9992504
2032,472,2038.705012,15,17,75,18,12,110,61,44,0,0,33.79504503,29.99839372
2033,586,2060.722331,0,0,3,2,6,237,0,8,0,0,34.53328631,37.99796538
2034,13,39.99491724,0,0,0,0,0,0,0,0,0,0,11.53317425,0.999946457
2035,337,1391.3015,0,0,0,0,0,0,1,0,1.012892828,0,61.86253061,21.99882206
2036,226.25,715.6578507,0,0,0,0,0,61,0,0,0,0,62.78110035,14.99919686
2037,111,386.9480429,17,0,0,6,0,70,1,0,0,0,10.40774785,6.999625201
2038,179,630.9149109,48,132,393,15,0,76,77,168,0,0,44.62258373,10.99941103
2039,1146,4025.457839,334,308,13,28,10,8,4,110,0,0,80.42728557,73.99603784
2040,663,2328.686375,22,1,15,1,0,2,0,23,0,0,29.81674483,42.99769766
2041,412.5,1704.756677,0,0,0,12,7,0,0,0,0,0,37.6972839,26.49856327
2042,256,1135.83434,2,0,30,0,3,14,0,18,0,0,13.24732955,15.99914332
2043,372,1648.759604,27,1,10,2,0,2,0,23,0,0,17.92285762,23.99871497
2044,734.75,3039.066171,0,0,1,0,3,75,36,6,0,0,47.09722062,46.99748349
2045,298,903.8859203,0,1,41,0,5,28,2,6,0,0,15.62610699,18.99898269
2046,258,1009.858436,0,0,0,0,0,0,0,0,0,0,10.58145828,16.99908977
2047,613,1694.796313,0,0,0,0,0,367,0,0,0,0,118.1931361,38.99791183
2048,794.5,2859.861063,0,0,0,0,0,0,0,0,0,0,57.58514961,50.99726932
2049,14,42.99454074,0,0,0,0,0,95,0,0,0,0,4.470461054,0.999946457
2050,325.25,1409.295952,0,0,0,0,0,0,0,0,0,0,18.33960971,20.9988756
2051,339,1626.757534,0,0,0,0,0,0,0,0,0,0,13.90354401,21.99882206
2052,613,2523.640254,0,0,0,0,0,92,0,0,0,0,28.91444994,38.99791183
2053,1744,4827.419436,102,9,1,26,65,188,3,146,0,0,156.6746151,111.9940032
2054,491,1419.825115,0,0,0,0,0,0,0,0,0,0,20.13758145,31.99828663
2055,718,2242.712918,4,35,0,0,0,0,0,0,0,0,31.04714695,45.99753703
2056,701,2025.750568,0,0,0,0,0,0,0,0,0,0,28.75039632,44.99759058
2057,457,1320.837352,0,0,0,4,10,303,56,27,0,0,35.14848737,28.99844726
2058,1521,4208.493983,25,63,0,1,16,5,6,64,0,0,69.76380049,97.99475281
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,0,9,6,0,67,34,70,0,58,0,0,10.00727062,0
2061,1,2.999623501,16.00000001,51.00000002,0,132,42.00000002,51.00000002,0,163.0000001,0,0,18.70211231,0
2062,574,2302.674515,0,0,0,0,0,74,0,0,0,0,26.5766859,36.99801892
2063,160,592.9184876,18,145,0,37,149,55,354,205,1.012892828,0,50.05805288,9.999464573
2064,390,1448.800643,274,266,7,71,105,78,24,191,0,0,81.66484626,24.99866143
2065,242,865.8825318,0,0,0,0,0,29,0,0,0,0,11.11463253,15.99914332
2066,691,2425.673386,14,73,3,16,33,209,18,85,0,0,50.83730756,43.99764412
2067,455,1314.838105,23,50,0,21,54,52,85,154,0,0,36.66598333,28.99844726
2068,163,472.9416424,0,0,0,0,0,0,0,0,0,0,6.685184879,9.999464573
2069,907,2784.646466,259,159,3,40,70,156,64,334,0,0,83.6987011,57.99689452
2070,935,2366.730426,19,2,5,7,53,9,24,82,0,0,97.59122713,59.99678744
2071,684,1946.76224,151,80,1,1,24,0,1,54,0,0,40.84935055,43.99764412
2072,567.5,1646.54679,0,0,0,0,0,0,0,0,0,0,23.27510686,36.24806354
2073,250.5,726.6603454,24,5,0,18,3,3,0,16,0,0,18.10378263,15.99914332
2074,346.5,1288.322668,12,4,0,70,35,28,28,104,1.012892828,0,55.73591111,21.99882206
2075,103,381.9474782,0,0,0,2,19,68,1058,1,0,0,51.30776861,6.999625201
2076,106,392.9459722,55,17,2,151,529,299,120,382,0,0,77.12326432,6.999625201
2077,351,1285.823986,17,8,2,26,53,47,36,80,0,0,25.42831058,22.99876852
2078,279,1045.855612,9,1,0,7,11,188,3,44,0,0,22.22926506,17.99903623
2079,630,1358.862766,80,143,0,143,74,328,69,303,0,0,114.5937254,39.99785829
2080,322,797.9103929,95,4,3,6,13,17,32,120,0,0,25.10020335,20.9988756
2081,127,315.9644207,3,2,0,4,61,30,90,48,0,0,43.96989252,7.999571658
2082,336.75,975.6297405,725,530,539,234,0,68,0,114,0,0,311.4508871,21.99882206
2083,0,0,13,7,1,17,30,30,8,112,4.051571313,0,8.940922108,0
2084,0,0,325,176,0.25,58,75,87,21,305,0,0,42.95128751,0
2085,121,448.9382539,0,0,0,0,16,0,0,0,0,0,5.618836371,7.999571658
2086,373,1363.813444,0,0,0,0,0,0,0,0,0,0,15.29799975,23.99871497
2087,351,1130.853165,0,0,0,0,0,0,0,0,0,0,14.39570486,22.99876852
2088,329,1061.862013,0,0,0,14,2,69,1,13,0,0,17.55373698,20.9988756
2089,116,354.9549918,0,0,29,0,2,9,44,5,0,0,8.407747854,7.249589507
2090,500,1958.725343,0,0,0,0,0,87,0,0,0,1.722285282,24.07486825,31.99828663
2091,469,1425.070089,1,95,35,0,2,4,11,21,0,0,26.16655186,29.99839372
2092,403,1115.865778,0,3,125,0,0,28,0,10,2.025785657,0,194.336627,25.99860789
2093,155,576.9205584,37,77,0,3,11,95,28,18,0,0,19.38968337,9.999464573
2094,504.75,1876.491689,406,197,11,29,77,67,78,306,0,0,70.72821203,31.99828663
2095,315,1285.817209,0,0,0,0,0,194,0,0,0,0,20.87582272,19.99892915
2096,35,98.98795198,0,0,0,0,0,0,0,0,1.012892828,0,1.435469146,1.999892915
2097,532,1489.819656,3,27,0,16,15,8,0,34,0,0,28.04351165,33.99817955
2098,202,499.9439014,1,1,1,2,9,8,187,56,0,0,22.15325975,12.99930394
2099,119,294.966868,3,2,0,40,33,45,27,38,1.012892828,0,18.59111508,7.999571658
2100,474,1921.727414,0,0,0,0,0,0,0,0,0,0,19.44035358,29.99839372
2101,362,1090.862766,18,6,3,21,62,97,4,117,1.012892828,0,48.29924888,22.99876852
2102,308,926.8834731,59,1,0,7,82,8,56,40,0,0,53.00851974,19.99892915
2103,339,821.9090751,250,20,1,31,175,165,0,350,0,0,54.58884095,21.99882206
2104,0,0,653,100,211,629,1194,495,24,2489,0,0,237.6726771,0
2105,491,1137.878202,210,96,14,143,387,259,344,690,0,0,108.0293066,31.99828663
2106,301,771.9113341,0,0,0,0,0,0,0,0,0,0,12.34503465,18.99898269
2107,284,729.9160404,177,13,3,9,40,45,154,213,0,0,38.47057311,17.99903623
2108,643,1367.863519,351,538,75,232,186,81,786,711,0,0,147.7712952,40.99780475
2109,595,1266.873496,70,188,0,32,137,436,34,377,0,0,132.6540524,37.99796538
2110,347.25,1127.103165,7,0,25,0,132,18,311,74,0,0,37.49650476,21.99882206
2111,0,0,154.9999997,34.99999994,1635.999997,0,73.99999988,80.99999986,0,487.9999992,0,0,101.2620947,0
2112,76,158.9843752,66,162,0,43,209,138,70,548,0,0,53.80958627,4.999732286
2113,45,148.980422,231,305,2,57,118,92,117,641,0,0,65.9495539,2.999839372
2114,13,41.99454074,182,103,0,9,32,26,69,153,0,0,24.07486825,0.999946457
2115,213,682.9115224,0,0,0,0,0,0,0,0,0,0,12.73585509,13.9992504
2116,233.25,611.1788005,0,0,0,0,9,0,6,1,0,0,10.22259099,14.99919686
2117,348.9999999,849.9056865,1810,66.99999999,0,219,1110,557.9999999,3.999999999,1606,0,0,234.719712,21.99882206
2118,0,0,334,57,163,1397,264,18,29,234,0,0,102.3694568,0
2119,429,1043.884226,39,10,0,103,184,188,13,235,0,0,49.2570984,27.9985008
2120,189,499.9414542,407,505,151,299,422,674,326,980,0,0,162.1259867,11.99935749
2121,285,967.8714251,81,177,0,85,166,150,134,393,0,3.444570564,62.33071753,17.99903623
2122,135,439.9425837,246,20,4,93,159,110,218,282,0,0,51.96398308,8.999518115
2123,109,356.9533139,12,9,74,68,140,454,38,90,0,0,40.76732374,6.999625201
2124,297,1150.839234,0,0,0,0,0,60,0,5,0,0,18.84685231,18.99898269
2125,90.99999331,352.9506525,0,0,0,0,0,0,0,0,0,0,3.732219505,5.999678303
2126,423,1637.771276,0,0,0,0,0,0,2,0,0,0,20.43069677,26.99855435
2127,474,1153.122152,1143,0,4,0,267,0,0,758,0,0,108.5214674,29.99839372
2128,1,1,510,97,80,260,848,698,36,1652,0,0,171.5180562,0
2129,1046.25,2765.176361,158,0,14,150,93,60,33,407,0,0,80.43753892,66.99641264
2130,329,1115.851847,0,0,0,0,0,0,0,0,0,0,13.49340997,20.9988756
2131,19,64.99134049,0,0,0,0,0,147,0,0,0,0,6.808225092,0.999946457
2132,263,857.8879911,0,0,0,0,0,181,0,0,0,0,26.20995145,16.99908977
2133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2134,980,2388.734735,99,16,0,35,154,102,3,611,0,0,157.0268083,62.99662681
2135,631,2759.599215,0,0,0,0,0,64,0,0,0,0,28.5043159,40.99780475
2136,492.25,1530.554522,0,0,1,0,0,1,1,0,0,0,28.31188841,31.99828663
2137,208,806.8872381,0,0,0,0,0,0,0,0,0,0,8.530788067,12.99930394
2138,0,0,0,0,0,0,0,0,0,0,2.025785657,0,0,0
2139,0,0,186,108,17,216,1029,292.25,0,750,0,0,106.5630774,0
2140,0,0,0,0,0,0,0,0,0,0,2.025785657,0,0,0
2141,0,0,69,49,0,156,318,314,0,517,0,0,58.36207413,0
2142,1,1,88,41,0,193,1595,281,35,980,0,0,131.817081,0
2143,0,0,220,107,2,32,155,57,17,626,0,0,49.87229947,0
2144,393.25,996.3864386,3,1,0,11,75,14,24,103,0,0,25.60261755,24.99866143
2145,259.25,657.1750764,0,0,0,0,0,0,0,0,0,0,10.63272503,16.99908977
2146,835.9999998,2233.736826,2,1,13,8.999999998,42.99999999,60.99999999,1,41.99999999,0,0,41.34151139,53.99710868
2147,453.25,1149.36893,0,0,0,0,0,0,0,0,0,0,18.58932544,28.99844726
2148,262.9999992,727.9124613,0,0,0,0,0,0,0,0,0,0,10.78652526,16.99908972
2149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,377,949.8921326,49,9,0,44,80,32,87,292,0,0,39.78300204,23.99871497
2151,388,980.8883676,7,1,0,0,0,0,0,14,0,0,16.81549571,24.99866143
2152,446,1125.87199,8,0,0,0,7,1,30,3,0,0,20.30163506,28.99844726
2153,0,0,89,2,0,34,8,295,0,30,0,0,18.78413911,0
2154,312,790.9098281,38,44,0,130,775,362,2,694,0,0,182.6685936,19.99892915
2155,717,2135.732873,0,0,0,0,0,0,0,0,0,0,29.40661079,45.99753703
2156,456,1580.788218,0,7,0,2,14,1,3,65,0,0,33.47534548,28.99844726
2157,0,0,3,1,0,41,1,5,0,15,0,0,2.706884675,0
2158,569,1563.812691,80,25,0,101,465,291,24,1348,0,0,119.0619123,36.99801892
2159,0,0,0,0,0,11,0,2.999999999,0,5.999999998,0,0,0.820268083,0
2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2161,0,0,2,1,0,23,2,3,0,14,0,0,1.845603188,0
2162,191,618.9194289,0,0,0,0,0,0,0,0,0,0,12.8335602,11.99935749
2163,86,280.9632912,0,0,0,0,0,0,0,0,1.012892828,0,10.52715276,5.999678744
2164,77,248.967621,0,0,0,0,0,81,0,1,0,0,31.52113126,4.999732286
2165,113,367.9519962,3,1,2,33,6,178,2,36,0,0,15.33901316,6.999625201
2166,139,505.9309121,37,1,6,9,2,42,7,18,0,0,10.70449849,8.999518115
2167,583,1779.774664,12,85,0,21,141,64,68,387,1.012892828,0,93.81924307,36.99801892
2168,18,54.99303474,8,4,13,67,27,55,0,48,0,0,9.843217,0.999946457
2169,222,769.8968388,0,0,0,0,0,0,0,0,0,0,9.104975725,13.9992504
2170,0,0,64,4,26,406,77,59,70,181,1.012892828,0,90.3788895,0
2171,150,488.9361832,0,0,0,0,0,0,0,0,0,0,6.152010625,9.999464573
2172,174,751.8911913,0,0,0,0,0,0,0,0,0,0,7.136332325,10.99941103
2173,176,758.8902501,0,0,0,0,0,0,0,0,0,0,7.218359133,10.99941103
2174,102,371.9491724,0,0,0,0,0,0,0,0,0,0,9.183367225,6.999625201
2175,110,332.9580202,0,0,0,0,0,0,0,7,0,0,8.798568288,6.999625201
2176,5,12.998494,0,0,0,0,0,0,0,0,4.051571313,0,0.205067021,0
2177,298,909.8847908,0,0,0,6,0,1,0,4,0,0,12.67314189,18.99898269
2178,377,1150.854294,86,45,119,563,158,105,0,577,0,6.889141128,83.25721046,23.99871497
2179,1,2.999623499,64,85,0,123,236,158,8,464,0,0,51.71426735,0
2180,187,806.8832848,0,0,0,0,0,0,0,0,0,6.889141128,20.66950658,11.99935749
2181,321,978.8761313,2,2,1,21,10,11,0,59,0,0,26.51272358,20.9988756
2182,1125,3433.56533,0,0,0,0,0,237,0,0,0,0,55.86025648,71.99614492
2183,1072,3270.586038,0,0,0,3,0,88,0,0,0,0,47.69858905,68.99630555
2184,59,177.9775982,12,2,0,192,10,27,0,101,0,0,16.52840188,3.999785829
2185,0,0,10.99999994,3.999999979,199.9999989,231.9999988,71.99999961,48.99999974,0,127.9999993,0,413.3484655,28.54532915,0
2186,351.9999999,1072.864271,38.99999999,31.99999999,2.999999999,164.9999999,219.9999999,405.9999999,1,391.9999999,1.012892828,0,119.0315807,22.99876851
2187,25.6,50.8,0,0,0,0,0,0,0,0,0,0,0,0
2188,382.3,992.1,0,0,0,0,0,0,0,0,0,0,0,0
2189,172.2,447.2,0,0,0,0,0,10,0,0,0,0,0,0
2190,7.000000014,12.30000003,0,53.90000011,0,0,0,1.100000002,0,0,0,0,0,0
2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2192,60.40000012,91.50000018,0,51.0000001,0,0,0,0,0,0,0,0,0,0
2193,12.4,23.4,0,0,0,0,0,0,0,0,0,0,0,0
2194,20.40000007,38.70000013,29.5000001,41.30000014,0,0,0,0,0,31.4000001,0,0,0,0
2195,70.8,132.2,9,12.5,0,0,0,9.4,0,31.9,0,0,0,0
2196,175.3,253.2,0,103.3,0,0,0,37.2,0,47.6,0,0,0,0
