Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,M821_5YR2023,pk,     37.33,     83.02,     26.98,     30.00,      2.00,    447.96,    150.03,    150.01,     19.31,    130.72,     19.33,    130.68
      4.00,M823_5RY2023,pk,     19.12,     55.97,     20.50,     30.00,      2.00,    229.44,    119.55,    119.57,      8.93,    110.62,      8.92,    110.65
      4.00,M831_WPr,pk,     23.68,     79.42,     17.89,     30.00,      2.00,    284.16,    558.51,    558.56,     14.20,    544.31,     14.21,    544.35
      4.00,M833_CntPr,pk,      9.75,     28.27,     20.69,     60.00,      1.00,     58.50,     26.97,     27.00,      0.85,     26.12,      0.84,     26.16
      4.00,M834_EstPr,pk,     25.64,     79.18,     19.43,     30.00,      2.00,    307.68,    183.38,    183.34,     10.06,    173.32,     10.05,    173.29
      4.00,M841_UVU,pk,      5.32,     19.52,     16.35,     30.00,      2.00,     63.84,     56.16,     56.15,      1.06,     55.10,      1.06,     55.09
      4.00,M850_StateStree,pk,     45.58,    147.51,     18.54,     15.00,      4.00,   1093.92,   1006.49,   1006.28,    101.58,    904.91,    101.54,    904.74
      4.00,M862_Orem,pk,     28.28,     92.72,     18.30,     30.00,      2.00,    339.36,    658.26,    658.26,    110.22,    548.04,    110.25,    548.01
      4.00,M864_Thanksgivi,pk,      7.25,     24.73,     17.59,     30.00,      2.00,     87.00,     59.40,     59.42,      2.86,     56.54,      2.86,     56.56
      4.00,M871_SLtoUtahCn,pk,     26.46,     70.70,     22.46,     30.00,      2.00,    317.52,     62.72,     62.70,      8.66,     54.06,      8.68,     54.02
      4.00,O600,pk,     46.04,    145.95,     18.93,     15.00,      4.00,   1104.96,    685.90,    685.83,     44.53,    641.37,     44.51,    641.32
      4.00,O601,pk,      3.70,     16.47,     13.48,     20.00,      3.00,     66.60,     10.38,     10.37,      0.18,     10.20,      0.18,     10.19
      4.00,O604,pk,     14.00,     44.05,     19.07,     30.00,      2.00,    168.00,     40.04,     40.03,      8.12,     31.92,      8.10,     31.93
      4.00,O607,pk,     20.92,     61.85,     20.29,     30.00,      2.00,    251.04,    231.70,    231.71,     24.75,    206.95,     24.81,    206.90
      4.00,O609,pk,     42.50,    118.69,     21.48,     30.00,      2.00,    510.00,    673.98,    673.86,    232.84,    441.14,    232.80,    441.06
      4.00,O612,pk,     26.20,     78.37,     20.06,     15.00,      4.00,    628.80,    440.21,    440.17,     15.58,    424.63,     15.59,    424.58
      4.00,O614,pk,     17.94,     52.50,     20.50,     30.00,      2.00,    215.28,     48.53,     48.53,      0.48,     48.05,      0.47,     48.06
      4.00,O615,pk,     15.08,     43.70,     20.70,     30.00,      2.00,    180.96,    253.48,    253.46,     22.68,    230.80,     22.66,    230.80
      4.00,O626,pk,     28.38,     76.72,     22.19,     30.00,      2.00,    340.56,    133.65,    133.62,     11.97,    121.68,     11.98,    121.64
      4.00,O627,pk,     18.58,     54.97,     20.28,     30.00,      2.00,    222.96,     86.20,     86.19,      8.32,     77.88,      8.32,     77.87
      4.00,O628,pk,     12.92,     44.00,     17.62,     30.00,      2.00,    155.04,     83.95,     83.97,     13.40,     70.55,     13.42,     70.55
      4.00,O630,pk,     48.72,     97.88,     29.87,     60.00,      1.00,    292.32,    187.17,    187.25,     15.73,    171.44,     15.75,    171.50
      4.00,O640,pk,     35.10,    110.69,     19.03,     30.00,      2.00,    421.20,    544.49,    544.49,    135.16,    409.33,    135.12,    409.37
      4.00,O667,pk,      2.75,      9.46,     17.44,     30.00,      2.00,     33.00,      0.84,      0.84,         0,      0.84,         0,      0.84
      4.00,OF605,pk,     14.18,     48.56,     17.52,     60.00,      1.00,     85.08,    127.51,    127.53,      4.58,    122.93,      4.58,    122.95
      4.00,OF618,pk,     14.04,     42.00,     20.06,     30.00,      2.00,    168.48,     71.09,     71.03,      5.84,     65.25,      5.83,     65.20
      4.00,OF620,pk,     16.66,     44.97,     22.23,     30.00,      2.00,    199.92,     82.93,     82.87,      6.43,     76.50,      6.39,     76.48
      4.00,OF638,pk,     13.40,     34.23,     23.49,     60.00,      1.00,     80.40,     14.06,     14.06,      0.10,     13.96,      0.10,     13.96
      4.00,S002,pk,      8.42,     39.15,     12.90,     15.00,      4.00,    202.08,    941.68,    941.67,    109.43,    832.25,    109.43,    832.24
      4.00,S004,pk,     23.85,     79.47,     18.01,     30.00,      2.00,    286.20,    741.61,    741.55,     31.81,    709.80,     31.79,    709.76
      4.00,S009,pk,     19.62,     72.49,     16.24,     15.00,      4.00,    470.88,   1142.92,   1142.95,     29.56,   1113.36,     29.55,   1113.40
      4.00,S017,pk,     15.42,     61.53,     15.04,     30.00,      2.00,    185.04,    567.67,    567.68,     74.32,    493.35,     74.33,    493.35
      4.00,S021,pk,     15.70,     58.29,     16.16,     15.00,      4.00,    376.80,   1337.16,   1337.13,    189.30,   1147.86,    189.26,   1147.87
      4.00,S033,pk,     12.54,     36.51,     20.61,     15.00,      4.00,    300.96,    293.73,    293.69,     13.24,    280.49,     13.24,    280.45
      4.00,S035,pk,     28.18,     87.08,     19.42,     15.00,      4.00,    676.32,    496.98,    496.98,     34.14,    462.84,     34.10,    462.88
      4.00,S039,pk,     22.92,     73.59,     18.69,     15.00,      4.00,    550.08,    687.93,    687.93,     41.14,    646.79,     41.11,    646.82
      4.00,S045,pk,     16.22,     49.81,     19.54,     15.00,      4.00,    389.28,    316.81,    316.88,     19.08,    297.73,     19.10,    297.78
      4.00,S047,pk,     25.68,     79.32,     19.43,     30.00,      2.00,    308.16,    236.69,    236.74,     10.17,    226.52,     10.12,    226.62
      4.00,S054,pk,     17.78,     54.00,     19.76,     15.00,      4.00,    426.72,    290.44,    290.41,     23.09,    267.35,     23.08,    267.33
      4.00,S062,pk,     20.26,     61.47,     19.78,     60.00,      1.00,    121.56,     44.56,     44.54,      1.10,     43.46,      1.08,     43.46
