SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     242.2,     542.4,     347.2,     435.7,    1567.5,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1415.3,    3169.4,    2028.8,    2545.9,    9159.4,    1152.3,    2468.2,    1543.8,    1961.6,    7125.9,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.71,     24.83,     55.61,     35.60,     44.68,    160.72,     0.002,     0.003,     0.003,     0.002,     0.010
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     244.0,     545.2,     349.7,     437.2,    1576.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     741.5,    1656.9,    1062.7,    1328.7,    4789.8,     604.7,    1292.2,     810.5,    1024.8,    3732.2,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     84.03,     13.01,     29.07,     18.64,     23.31,     84.03,         0,     0.001,     0.002,     0.003,     0.006
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     494.0,     722.6,     662.1,     622.5,    2501.2,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.14,      0.07,      0.14,      0.03,      0.14,     335.0,     489.9,     448.9,     422.1,    1695.9,     283.2,     381.4,     375.8,     354.2,    1394.6,       4.1,      21.7,       6.1,       3.4,      35.3,      32.7,      53.6,      46.1,      35.3,     167.7,      14.9,      33.2,      21.0,      29.1,      98.2,     29.74,      5.87,      8.59,      7.87,      7.41,     29.74,     0.002,     0.001,         0,         0,     0.003
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     580.2,     856.2,     764.9,     739.5,    2940.8,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.078,     2.078,     2.078,     2.077,      6390,     12780,      6390,     25560,     51120,      0.15,      0.09,      0.16,      0.03,      0.16,    1144.8,    1689.4,    1509.3,    1459.1,    5802.6,     956.8,    1295.1,    1258.6,    1224.5,    4735.0,      14.2,      86.7,      27.0,      14.0,     141.9,     127.8,     189.6,     157.5,     122.1,     597.0,      46.0,     118.0,      66.1,      98.4,     328.5,    101.80,     20.08,     29.64,     26.49,     25.59,    101.80,     0.005,     0.009,     0.009,         0,     0.023
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     842.7,    1297.3,    1096.9,    1059.3,    4296.2,      46.0,      45.9,      46.0,      46.0,      46.0,      46.0,     0.412,     0.413,     0.412,     0.413,     0.412,      5898,     11796,      5898,     23592,     47184,      0.22,      0.13,      0.24,      0.05,      0.24,     266.5,     410.3,     347.0,     335.0,    1358.8,     226.2,     317.2,     291.9,     284.2,    1119.5,       3.1,      21.9,       7.3,       4.5,      36.8,      27.0,      42.5,      33.5,      26.9,     129.9,      10.1,      28.8,      14.2,      19.7,      72.8,     29.52,      5.80,      8.92,      7.55,      7.27,     29.54,     0.007,         0,     0.010,         0,     0.017
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,    1107.4,    1866.7,    1438.0,    1509.3,    5921.4,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     3.188,     3.195,     3.191,     3.198,     3.188,      6311,     12622,      6311,     25243,     50487,      0.26,      0.17,      0.29,      0.07,      0.29,    3237.2,    5456.8,    4203.6,    4412.0,   17309.6,    2794.9,    4390.1,    3617.5,    3846.4,   14648.9,      38.0,     247.9,      91.8,      50.3,     428.0,     302.0,     504.0,     357.8,     303.1,    1466.9,     102.3,     314.8,     136.5,     212.2,     765.8,    314.61,     58.96,     99.26,     76.64,     80.19,    315.05,     0.129,     0.085,     0.245,     0.001,     0.460
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1120.1,    1885.8,    1453.8,    1533.0,    5992.7,      57.0,      56.9,      56.9,      56.8,      57.0,      56.9,     0.212,     0.213,     0.212,     0.213,     0.213,      6390,     12780,      6390,     25560,     51120,      0.26,      0.17,      0.29,      0.07,      0.29,     225.8,     380.2,     293.2,     309.1,    1208.3,     195.3,     306.4,     252.6,     269.8,    1024.1,       2.6,      17.2,       6.2,       3.4,      29.4,      20.9,      35.0,      24.8,      21.2,     101.9,       7.0,      21.8,       9.4,      14.8,      53.0,     21.20,      3.97,      6.68,      5.16,      5.42,     21.23,     0.016,     0.005,     0.020,     0.007,     0.048
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       2.0,       2.6,Principal Arterial,      1016,    1646.5,    2896.9,    2141.9,    2436.8,    9122.1,      48.0,      45.3,      47.4,      43.7,      48.0,      46.2,     1.645,     1.745,     1.667,     1.808,     1.646,      6096,     12192,      6096,     24384,     48768,      0.40,      0.27,      0.46,      0.12,      0.46,    2166.9,    3812.4,    2818.8,    3206.9,   12005.0,    1910.7,    3134.2,    2486.7,    2856.8,   10388.4,      25.8,     170.0,      53.4,      40.8,     290.0,     168.8,     303.0,     208.3,     183.2,     863.3,      61.4,     205.2,      70.3,     126.0,     462.9,    250.14,     47.79,     80.49,     64.44,     66.85,    259.57,     2.729,     1.061,     5.819,     0.025,     9.634
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       2.0,       0.5,Principal Arterial,      1016,    2970.3,    5135.0,    3817.0,    4444.5,   16366.8,      48.0,      43.0,      46.8,      40.4,      48.0,      44.8,     0.312,     0.349,     0.320,     0.371,     0.312,      6096,     12192,      6096,     24384,     48768,      0.72,      0.47,      0.82,      0.22,      0.82,     741.6,    1282.1,     953.0,    1109.6,    4086.3,     663.7,    1075.4,     855.6,    1004.2,    3598.9,       9.2,      51.0,      15.9,      14.4,      90.5,      49.4,      92.4,      60.5,      55.3,     257.6,      19.2,      63.5,      20.9,      35.7,     139.3,     85.05,     17.24,     27.39,     23.56,     23.11,     91.30,     1.862,     0.712,     3.787,     0.020,     6.381
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       2.0,       1.8,Principal Arterial,      1060,    2938.1,    5044.6,    3659.6,    4376.5,   16018.8,      55.9,      51.4,      54.7,      49.7,      55.8,      53.1,     0.986,     1.076,     1.007,     1.111,     0.987,      6358,     12717,      6358,     25434,     50867,      0.67,      0.44,      0.74,      0.21,      0.74,    2698.2,    4632.7,    3360.8,    4019.1,   14710.8,    2411.9,    3875.2,    3022.1,    3631.1,   12940.3,      32.9,     182.6,      54.2,      50.6,     320.3,     180.8,     340.0,     209.5,     206.0,     936.3,      72.6,     234.9,      75.1,     131.4,     514.0,    263.37,     52.53,     84.68,     67.64,     72.02,    276.87,     4.363,     1.748,     7.600,     0.067,    13.778
