Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,M821_5YR2023,pk,     37.33,     83.02,     26.98,     30.00,      2.00,    447.96,    165.63,    165.55,     23.66,    141.97,     23.64,    141.91
      4.00,M823_5RY2023,pk,     19.12,     55.97,     20.50,     30.00,      2.00,    229.44,    130.88,    130.92,     10.73,    120.15,     10.75,    120.17
      4.00,M831_WPr,pk,     23.68,     79.42,     17.89,     30.00,      2.00,    284.16,    558.00,    558.06,     14.79,    543.21,     14.80,    543.26
      4.00,M833_CntPr,pk,      9.75,     28.27,     20.69,     60.00,      1.00,     58.50,     29.61,     29.61,      0.94,     28.67,      0.93,     28.68
      4.00,M834_EstPr,pk,     25.64,     79.18,     19.43,     30.00,      2.00,    307.68,    193.76,    193.72,     11.42,    182.34,     11.41,    182.31
      4.00,M841_UVU,pk,      5.32,     19.52,     16.35,     30.00,      2.00,     63.84,     56.45,     56.45,      1.11,     55.34,      1.09,     55.36
      4.00,M850_StateStree,pk,     45.58,    147.51,     18.54,     15.00,      4.00,   1093.92,   1084.02,   1084.06,    117.10,    966.92,    117.12,    966.94
      4.00,M862_Orem,pk,     28.28,     92.72,     18.30,     30.00,      2.00,    339.36,    654.80,    654.78,    109.99,    544.81,    109.98,    544.80
      4.00,M864_Thanksgivi,pk,      7.25,     24.73,     17.59,     30.00,      2.00,     87.00,     61.91,     61.89,      3.33,     58.58,      3.32,     58.57
      4.00,M871_SLtoUtahCn,pk,     26.46,     70.70,     22.46,     30.00,      2.00,    317.52,     67.08,     67.10,      9.61,     57.47,      9.62,     57.48
      4.00,O600,pk,     46.04,    145.95,     18.93,     15.00,      4.00,   1104.96,    728.53,    728.48,     48.82,    679.71,     48.80,    679.68
      4.00,O601,pk,      3.70,     16.47,     13.48,     20.00,      3.00,     66.60,     10.39,     10.38,      0.24,     10.15,      0.24,     10.14
      4.00,O604,pk,     14.00,     44.05,     19.07,     30.00,      2.00,    168.00,     43.74,     43.70,      9.65,     34.09,      9.64,     34.06
      4.00,O607,pk,     20.92,     61.85,     20.29,     30.00,      2.00,    251.04,    237.03,    237.07,     25.77,    211.26,     25.75,    211.32
      4.00,O609,pk,     42.50,    118.69,     21.48,     30.00,      2.00,    510.00,    683.61,    683.58,    236.11,    447.50,    236.18,    447.40
      4.00,O612,pk,     26.20,     78.37,     20.06,     15.00,      4.00,    628.80,    472.39,    472.34,     19.96,    452.43,     19.95,    452.39
      4.00,O614,pk,     17.94,     52.50,     20.50,     30.00,      2.00,    215.28,     50.45,     50.48,      0.56,     49.89,      0.56,     49.92
      4.00,O615,pk,     15.08,     43.70,     20.70,     30.00,      2.00,    180.96,    259.25,    259.23,     23.19,    236.06,     23.18,    236.05
      4.00,O626,pk,     28.38,     76.72,     22.19,     30.00,      2.00,    340.56,    139.25,    139.23,     11.80,    127.45,     11.80,    127.43
      4.00,O627,pk,     18.58,     54.97,     20.28,     30.00,      2.00,    222.96,     85.13,     85.13,      8.62,     76.51,      8.61,     76.52
      4.00,O628,pk,     12.92,     44.00,     17.62,     30.00,      2.00,    155.04,     88.20,     88.24,     13.51,     74.69,     13.54,     74.70
      4.00,O630,pk,     48.72,     97.88,     29.87,     60.00,      1.00,    292.32,    199.12,    198.99,     17.09,    182.03,     17.02,    181.97
      4.00,O640,pk,     35.10,    110.69,     19.03,     30.00,      2.00,    421.20,    554.79,    554.78,    136.46,    418.33,    136.40,    418.38
      4.00,O667,pk,      2.75,      9.46,     17.44,     30.00,      2.00,     33.00,      0.79,      0.78,         0,      0.79,         0,      0.78
      4.00,OF605,pk,     14.18,     48.56,     17.52,     60.00,      1.00,     85.08,    129.16,    129.17,      5.08,    124.08,      5.08,    124.09
