SEGID,DISTANCE,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,       2.0,      11.7,Principal Arterial,      1065,     242.2,     543.8,     345.3,     436.8,    1568.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.153,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1415.3,    3177.6,    2017.7,    2552.4,    9163.0,    1152.3,    2476.4,    1532.7,    1968.0,    7129.4,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.77,     24.83,     55.75,     35.40,     44.79,    160.77,     0.002,         0,         0,     0.011,     0.013
0006_146.9,     3.039,       2.0,       6.1,Principal Arterial,      1065,     245.0,     546.6,     348.3,     438.3,    1578.2,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.200,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     744.5,    1661.2,    1058.4,    1332.0,    4796.1,     607.8,    1296.4,     806.3,    1028.1,    3738.6,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     84.14,     13.06,     29.14,     18.57,     23.37,     84.14,         0,         0,         0,     0.005,     0.005
0006_149.9,     0.678,       2.0,       1.4,Principal Arterial,      1065,     493.7,     727.5,     674.7,     621.9,    2517.8,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.14,      0.07,      0.15,      0.03,      0.15,     334.8,     493.2,     457.4,     421.7,    1707.1,     283.0,     384.7,     384.5,     353.8,    1406.0,       4.1,      21.7,       6.1,       3.4,      35.3,      32.7,      53.6,      45.9,      35.3,     167.5,      14.9,      33.2,      21.0,      29.1,      98.2,     29.94,      5.87,      8.65,      8.03,      7.40,     29.95,     0.006,     0.003,     0.007,     0.004,     0.020
0006_150.6,     1.973,       2.0,       3.9,Principal Arterial,      1065,     580.2,     859.7,     780.4,     738.8,    2959.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.078,     2.078,     2.078,     2.077,     2.078,      6390,     12780,      6390,     25560,     51120,      0.15,      0.09,      0.16,      0.03,      0.16,    1144.8,    1696.3,    1539.8,    1457.8,    5838.7,     956.8,    1302.1,    1289.6,    1223.1,    4771.6,      14.2,      86.7,      27.0,      14.0,     141.9,     127.8,     189.6,     157.1,     122.1,     596.6,      46.0,     118.0,      66.1,      98.4,     328.5,    102.44,     20.09,     29.76,     27.03,     25.58,    102.46,     0.005,     0.008,     0.017,     0.001,     0.031
0006_152.6,     0.316,       2.0,       0.6,Minor Arterial,       983,     839.9,    1294.2,    1107.2,    1044.7,    4286.0,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.413,     0.412,     0.413,     0.412,     0.412,      5898,     11796,      5898,     23592,     47184,      0.22,      0.14,      0.24,      0.05,      0.24,     265.6,     409.3,     350.2,     330.4,    1355.5,     225.3,     316.2,     295.2,     279.5,    1116.2,       3.1,      21.9,       7.3,       4.5,      36.8,      27.0,      42.5,      33.4,      26.9,     129.8,      10.1,      28.8,      14.2,      19.7,      72.8,     29.45,      5.78,      8.90,      7.61,      7.17,     29.46,     0.006,         0,     0.007,         0,     0.013
0006_152.9,     2.923,       2.0,       5.8,Principal Arterial,      1052,    1102.2,    1870.9,    1444.5,    1499.7,    5917.3,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     3.188,     3.195,     3.190,     3.198,     3.188,     3.192,      6311,     12622,      6311,     25243,     50487,      0.26,      0.17,      0.29,      0.07,      0.29,    3222.0,    5469.1,    4222.6,    4384.0,   17297.7,    2779.7,    4402.4,    3637.1,    3818.3,   14637.5,      38.0,     247.9,      91.8,      50.3,     428.0,     302.0,     504.0,     357.2,     303.1,    1466.3,     102.3,     314.8,     136.5,     212.2,     765.8,    314.39,     58.69,     99.48,     76.99,     79.69,    314.85,     0.125,     0.081,     0.250,     0.001,     0.457
0006_155.8,     0.202,       2.0,       0.4,Principal Arterial,      1065,    1114.4,    1890.8,    1460.4,    1523.0,    5988.6,      57.0,      56.9,      57.0,      56.8,      57.0,      56.9,     0.212,     0.213,     0.213,     0.213,     0.212,     0.213,      6390,     12780,      6390,     25560,     51120,      0.26,      0.17,      0.29,      0.07,      0.29,     224.7,     381.3,     294.4,     307.1,    1207.5,     194.1,     307.4,     253.9,     267.8,    1023.2,       2.6,      17.2,       6.2,       3.4,      29.4,      20.9,      35.0,      24.8,      21.2,     101.9,       7.0,      21.8,       9.4,      14.8,      53.0,     21.19,      3.95,      6.69,      5.18,      5.39,     21.21,     0.004,     0.008,     0.016,     0.001,     0.029
0006_155.9,     1.316,       2.0,       2.6,Principal Arterial,      1016,    1645.0,    2910.7,    2144.3,    2424.4,    9124.4,      48.0,      45.3,      47.4,      43.7,      48.0,      46.2,     1.645,     1.745,     1.667,     1.811,     1.646,     1.710,      6096,     12192,      6096,     24384,     48768,      0.40,      0.27,      0.46,      0.12,      0.46,    2164.9,    3830.5,    2822.0,    3190.5,   12007.9,    1908.7,    3152.4,    2490.2,    2840.5,   10391.8,      25.8,     170.0,      53.4,      40.8,     290.0,     168.8,     303.0,     208.0,     183.2,     863.0,      61.4,     205.2,      70.3,     126.0,     462.9,    250.21,     47.75,     80.87,     64.60,     66.51,    259.73,     2.730,     1.062,     5.929,     0.037,     9.758
0006_157.3,     0.250,       2.0,       0.5,Principal Arterial,      1016,    2973.9,    5142.8,    3818.2,    4445.5,   16380.4,      48.0,      43.0,      46.8,      40.4,      48.0,      44.7,     0.312,     0.350,     0.320,     0.372,     0.312,     0.336,      6096,     12192,      6096,     24384,     48768,      0.72,      0.47,      0.82,      0.22,      0.82,     742.5,    1283.9,     953.3,    1109.9,    4089.6,     664.6,    1077.4,     856.0,    1004.5,    3602.5,       9.2,      51.0,      15.9,      14.4,      90.5,      49.4,      92.4,      60.4,      55.3,     257.5,      19.2,      63.5,      20.9,      35.7,     139.3,     85.12,     17.27,     27.44,     23.58,     23.13,     91.42,     1.874,     0.711,     3.812,     0.014,     6.411
0006_157.6,     0.918,       2.0,       1.8,Principal Arterial,      1060,    2938.4,    5060.0,    3667.7,    4383.2,   16049.3,      55.9,      51.4,      54.7,      49.6,      55.8,      53.1,     0.986,     1.076,     1.007,     1.113,     0.987,     1.039,      6358,     12717,      6358,     25434,     50867,      0.67,      0.44,      0.74,      0.21,      0.74,    2698.5,    4646.9,    3368.2,    4025.3,   14738.9,    2412.1,    3889.3,    3029.7,    3637.3,   12968.4,      32.9,     182.6,      54.2,      50.6,     320.3,     180.8,     340.0,     209.3,     206.0,     936.1,      72.6,     234.9,      75.1,     131.4,     514.0,    263.87,     52.54,     84.96,     67.89,     72.14,    277.53,     4.368,     1.766,     7.724,     0.055,    13.913
