Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
All,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
All,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
HBW,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
HBW,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
HBO,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
HBO,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
NHB,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
NHB,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
HBC,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
HBC,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
HBSch,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
HBSch,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
All,Pk,P,2,46.31,44.63,0.16,44.63,1.69,1.18,0.0,Shorten01
All,Pk,A,2,22.21,20.88,0.11,20.88,1.33,1.21,0.0,Shorten01
HBW,Pk,P,2,11.64,11.6,0.04,11.6,0.04,0.0,0.0,Shorten01
HBW,Pk,A,2,2.21,2.21,0.0,2.21,0.0,0.0,0.0,Shorten01
HBO,Pk,P,2,29.12,27.9,0.11,27.9,1.22,1.11,0.0,Shorten01
HBO,Pk,A,2,16.98,15.73,0.11,15.73,1.25,1.14,0.0,Shorten01
NHB,Pk,P,2,3.11,3.04,0.01,3.04,0.07,0.07,0.0,Shorten01
NHB,Pk,A,2,3.02,2.95,0.01,2.95,0.08,0.07,0.0,Shorten01
HBC,Pk,P,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten01
