Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,176.67,176.63,27.41,149.26,27.41,149.22,Shorten01
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,126.37,126.32,12.28,114.09,12.28,114.04,Shorten01
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,559.86,559.91,15.1,544.76,15.14,544.77,Shorten01
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,26.48,26.49,1.0,25.48,1.0,25.49,Shorten01
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,197.1,197.14,12.81,184.29,12.81,184.33,Shorten01
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,54.03,54.02,1.15,52.88,1.13,52.89,Shorten01
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1140.02,1140.0,129.47,1010.55,129.42,1010.58,Shorten01
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,658.01,657.96,110.67,547.34,110.65,547.31,Shorten01
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,67.8,67.78,3.37,64.43,3.35,64.43,Shorten01
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,78.69,78.72,9.95,68.74,9.98,68.74,Shorten01
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,759.18,759.05,47.4,711.78,47.38,711.67,Shorten01
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,11.07,11.08,0.26,10.81,0.27,10.81,Shorten01
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,45.94,45.91,10.55,35.39,10.54,35.37,Shorten01
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,230.02,230.08,25.82,204.2,25.8,204.28,Shorten01
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,691.98,691.93,237.5,454.48,237.52,454.41,Shorten01
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,477.16,477.07,20.36,456.8,20.33,456.74,Shorten01
4.0,O614,pk,17.94,52.5,20.5,30.0,2.0,215.28,51.44,51.48,0.6,50.84,0.6,50.88,Shorten01
4.0,O615,pk,15.08,43.7,20.7,30.0,2.0,180.96,257.38,257.36,23.46,233.92,23.46,233.9,Shorten01
4.0,O626,pk,28.38,76.72,22.19,30.0,2.0,340.56,132.04,131.99,12.22,119.82,12.2,119.79,Shorten01
4.0,O627,pk,18.58,54.97,20.28,30.0,2.0,222.96,88.68,88.66,8.23,80.45,8.21,80.45,Shorten01
4.0,O628,pk,12.92,44.0,17.62,30.0,2.0,155.04,92.64,92.68,13.0,79.64,13.0,79.68,Shorten01
4.0,O630,pk,48.72,97.88,29.87,60.0,1.0,292.32,199.24,199.12,17.64,181.6,17.57,181.55,Shorten01
