Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,192.67,192.67,26.83,165.84,26.82,165.85,Shorten00
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,152.6,152.54,12.18,140.42,12.17,140.37,Shorten00
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,563.98,564.09,15.49,548.49,15.52,548.57,Shorten00
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,34.08,34.1,1.03,33.05,1.01,33.09,Shorten00
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,207.61,207.6,13.97,193.64,13.99,193.61,Shorten00
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,58.47,58.48,1.22,57.25,1.21,57.27,Shorten00
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1150.39,1150.32,121.05,1029.34,120.98,1029.34,Shorten00
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,657.45,657.42,110.1,547.35,110.09,547.33,Shorten00
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,72.14,72.13,4.38,67.76,4.37,67.76,Shorten00
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,81.31,81.33,10.74,70.57,10.74,70.59,Shorten00
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,792.68,792.7,57.33,735.35,57.32,735.38,Shorten00
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.85,10.85,0.25,10.6,0.25,10.6,Shorten00
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,46.87,46.85,10.73,36.14,10.72,36.13,Shorten00
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,249.85,249.83,28.55,221.3,28.52,221.31,Shorten00
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,693.32,693.36,237.18,456.14,237.24,456.12,Shorten00
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,476.74,476.65,19.77,456.97,19.74,456.91,Shorten00
4.0,O614,pk,17.94,52.5,20.5,30.0,2.0,215.28,51.32,51.36,0.56,50.76,0.56,50.8,Shorten00
4.0,O615,pk,15.08,43.7,20.7,30.0,2.0,180.96,261.18,261.18,23.18,238.0,23.17,238.01,Shorten00
4.0,O626,pk,28.38,76.72,22.19,30.0,2.0,340.56,150.65,150.67,12.49,138.16,12.51,138.16,Shorten00
4.0,O627,pk,18.58,54.97,20.28,30.0,2.0,222.96,91.36,91.32,9.79,81.57,9.77,81.55,Shorten00
4.0,O628,pk,12.92,44.0,17.62,30.0,2.0,155.04,98.78,98.8,15.55,83.23,15.59,83.21,Shorten00
4.0,O630,pk,48.72,97.88,29.87,60.0,1.0,292.32,230.72,230.62,21.87,208.85,21.84,208.78,Shorten00
4.0,O640,pk,35.1,110.69,19.03,30.0,2.0,421.2,564.32,564.28,137.53,426.79,137.48,426.8,Shorten00
