Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,175.15,175.16,27.25,147.9,27.29,147.87,Shorten02
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,124.48,124.5,12.02,112.46,12.02,112.48,Shorten02
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,558.95,558.99,14.83,544.12,14.87,544.12,Shorten02
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,25.92,25.9,0.97,24.95,0.95,24.95,Shorten02
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,194.9,194.92,11.32,183.58,11.32,183.6,Shorten02
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,53.85,53.85,1.11,52.74,1.1,52.75,Shorten02
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1136.5,1136.51,135.42,1001.08,135.42,1001.09,Shorten02
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,658.72,658.68,110.94,547.78,110.95,547.73,Shorten02
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,55.92,55.91,3.31,52.61,3.3,52.61,Shorten02
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,70.54,70.54,10.06,60.48,10.06,60.48,Shorten02
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,727.83,727.71,49.88,677.95,49.85,677.86,Shorten02
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.99,10.98,0.26,10.73,0.27,10.71,Shorten02
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,46.17,46.19,10.82,35.35,10.84,35.35,Shorten02
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,228.36,228.45,25.79,202.57,25.78,202.67,Shorten02
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,690.1,690.04,238.63,451.47,238.67,451.37,Shorten02
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,479.1,479.05,20.45,458.65,20.41,458.64,Shorten02
4.0,O614,pk,17.94,52.5,20.5,30.0,2.0,215.28,51.48,51.49,0.6,50.88,0.6,50.89,Shorten02
4.0,O615,pk,15.08,43.7,20.7,30.0,2.0,180.96,257.45,257.4,23.51,233.94,23.5,233.9,Shorten02
4.0,O626,pk,28.38,76.72,22.19,30.0,2.0,340.56,126.55,126.66,12.46,114.09,12.5,114.16,Shorten02
4.0,O627,pk,18.58,54.97,20.28,30.0,2.0,222.96,81.25,81.27,8.28,72.97,8.29,72.98,Shorten02
4.0,O628,pk,12.92,44.0,17.62,30.0,2.0,155.04,79.96,79.98,13.26,66.7,13.27,66.71,Shorten02
4.0,O630,pk,48.72,97.88,29.87,60.0,1.0,292.32,189.07,188.98,15.35,173.72,15.31,173.67,Shorten02
4.0,O640,pk,35.1,110.69,19.03,30.0,2.0,421.2,546.01,545.97,136.8,409.21,136.81,409.16,Shorten02
4.0,O667,pk,2.75,9.46,17.44,30.0,2.0,33.0,0.78,0.78,0.0,0.78,0.0,0.78,Shorten02
4.0,OF605,pk,14.18,48.56,17.52,60.0,1.0,85.08,126.89,126.9,2.43,124.46,2.43,124.47,Shorten02
4.0,OF618,pk,14.04,42.0,20.06,30.0,2.0,168.48,72.1,72.07,5.74,66.36,5.75,66.32,Shorten02
4.0,OF620,pk,16.66,44.97,22.23,30.0,2.0,199.92,85.72,85.68,6.65,79.07,6.65,79.03,Shorten02
4.0,OF638,pk,13.4,34.23,23.49,60.0,1.0,80.4,13.87,13.86,0.1,13.77,0.1,13.76,Shorten02
4.0,S002,pk,8.42,39.15,12.9,15.0,4.0,202.08,971.29,971.32,104.31,866.98,104.3,867.02,Shorten02
4.0,S004,pk,23.85,79.47,18.01,30.0,2.0,286.2,800.52,800.51,35.4,765.12,35.38,765.13,Shorten02
4.0,S009,pk,19.62,72.49,16.24,15.0,4.0,470.88,1180.61,1180.6,31.37,1149.24,31.35,1149.25,Shorten02
4.0,S017,pk,15.42,61.53,15.04,30.0,2.0,185.04,537.04,537.02,70.52,466.52,70.53,466.49,Shorten02
4.0,S021,pk,15.7,58.29,16.16,15.0,4.0,376.8,1306.15,1306.17,187.73,1118.42,187.73,1118.44,Shorten02
4.0,S033,pk,12.54,36.51,20.61,15.0,4.0,300.96,352.45,352.53,14.65,337.8,14.71,337.82,Shorten02
4.0,S035,pk,28.18,87.08,19.42,15.0,4.0,676.32,560.54,560.53,36.68,523.86,36.63,523.9,Shorten02
4.0,S039,pk,22.92,73.59,18.69,15.0,4.0,550.08,798.71,798.66,44.04,754.67,44.04,754.62,Shorten02
4.0,S045,pk,16.22,49.81,19.54,15.0,4.0,389.28,351.42,351.28,17.04,334.38,16.99,334.29,Shorten02
4.0,S047,pk,25.68,79.32,19.43,30.0,2.0,308.16,256.11,256.02,10.29,245.82,10.26,245.76,Shorten02
4.0,S054,pk,17.78,54.0,19.76,15.0,4.0,426.72,333.86,333.93,23.86,310.0,23.89,310.04,Shorten02
4.0,S062,pk,20.26,61.47,19.78,60.0,1.0,121.56,52.34,52.27,1.14,51.2,1.11,51.16,Shorten02
4.0,S072,pk,11.06,38.76,17.12,30.0,2.0,132.72,154.08,154.03,9.39,144.69,9.38,144.65,Shorten02
4.0,S1,pk,21.44,85.28,15.08,15.0,4.0,514.56,1288.24,1288.2,4.47,1283.77,4.44,1283.76,Shorten02
4.0,S200,pk,22.56,85.6,15.81,15.0,4.0,541.44,1421.43,1421.46,37.13,1384.3,37.12,1384.34,Shorten02
4.0,S201,pk,19.42,66.63,17.49,30.0,2.0,233.04,117.26,117.26,10.59,106.67,10.59,106.67,Shorten02
4.0,S205,pk,28.62,102.19,16.8,15.0,4.0,686.88,1735.05,1735.05,25.11,1709.94,25.09,1709.96,Shorten02
4.0,S209,pk,28.98,99.67,17.45,15.0,4.0,695.52,1676.19,1676.11,59.62,1616.57,59.62,1616.49,Shorten02
4.0,S213,pk,31.02,111.56,16.68,30.0,2.0,372.24,999.41,999.43,29.25,970.16,29.25,970.18,Shorten02
4.0,S217,pk,24.42,76.68,19.11,15.0,4.0,586.08,667.39,667.38,60.46,606.93,60.44,606.94,Shorten02
4.0,S218,pk,13.84,49.15,16.9,30.0,2.0,166.08,164.67,164.59,4.4,160.27,4.35,160.24,Shorten02
4.0,S220,pk,33.42,110.92,18.08,30.0,2.0,401.04,1026.03,1026.01,130.73,895.3,130.75,895.26,Shorten02
4.0,S223,pk,33.17,119.27,16.69,30.0,2.0,398.04,957.64,957.57,60.9,896.74,60.89,896.68,Shorten02
4.0,S227,pk,33.9,112.41,18.09,30.0,2.0,406.8,338.96,338.99,29.96,309.0,29.93,309.06,Shorten02
4.0,S236,pk,15.93,46.3,20.64,30.0,2.0,191.16,62.65,62.62,4.5,58.15,4.48,58.14,Shorten02
4.0,S240,pk,24.3,82.38,17.7,15.0,4.0,583.2,281.79,281.85,11.37,270.42,11.38,270.47,Shorten02
4.0,S248,pk,45.08,153.14,17.66,30.0,2.0,540.96,286.15,286.19,15.56,270.59,15.6,270.59,Shorten02
4.0,S31,pk,26.5,94.99,16.74,30.0,2.0,318.0,238.51,238.54,12.19,226.32,12.18,226.36,Shorten02
4.0,S455,pk,46.84,152.49,18.43,30.0,2.0,562.08,1343.6,1343.53,208.03,1135.57,207.97,1135.56,Shorten02
