Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
All,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
All,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
HBW,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
HBW,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
HBO,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
HBO,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
NHB,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
NHB,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
HBC,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
HBC,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
HBSch,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
HBSch,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
All,Pk,P,2,46.15,44.46,0.16,44.46,1.69,1.18,0.0,Shorten02
All,Pk,A,2,22.21,20.88,0.11,20.88,1.33,1.21,0.0,Shorten02
HBW,Pk,P,2,11.48,11.43,0.05,11.43,0.05,0.0,0.0,Shorten02
HBW,Pk,A,2,2.21,2.21,0.0,2.21,0.0,0.0,0.0,Shorten02
HBO,Pk,P,2,29.12,27.9,0.11,27.9,1.22,1.11,0.0,Shorten02
HBO,Pk,A,2,16.98,15.73,0.11,15.73,1.25,1.14,0.0,Shorten02
NHB,Pk,P,2,3.11,3.04,0.01,3.04,0.07,0.07,0.0,Shorten02
NHB,Pk,A,2,3.02,2.95,0.01,2.95,0.08,0.07,0.0,Shorten02
HBC,Pk,P,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
HBC,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
HBSch,Pk,P,2,2.45,2.1,0.0,2.1,0.35,0.0,0.0,Shorten02
HBSch,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten02
All,Pk,P,3,75.57,71.35,0.43,71.57,4.0,3.01,0.22,Shorten02
All,Pk,A,3,33.12,30.29,0.18,30.29,2.83,2.65,0.0,Shorten02
HBW,Pk,P,3,17.36,17.2,0.14,17.2,0.16,0.02,0.0,Shorten02
HBW,Pk,A,3,3.39,3.39,0.0,3.39,0.0,0.0,0.0,Shorten02
