Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
All,Pk,P,6,8.82,8.35,0.06,8.35,0.46,0.33,0.01,Shorten00
All,Pk,A,6,15.57,15.03,0.08,15.03,0.55,0.47,0.0,Shorten00
HBW,Pk,P,6,2.18,2.13,0.02,2.13,0.05,0.03,0.0,Shorten00
HBW,Pk,A,6,8.44,8.39,0.03,8.39,0.06,0.03,0.0,Shorten00
HBO,Pk,P,6,5.23,4.9,0.04,4.9,0.33,0.29,0.01,Shorten00
HBO,Pk,A,6,6.25,5.77,0.05,5.77,0.48,0.43,0.0,Shorten00
NHB,Pk,P,6,0.87,0.85,0.0,0.85,0.02,0.01,0.0,Shorten00
NHB,Pk,A,6,0.88,0.86,0.0,0.86,0.02,0.01,0.0,Shorten00
HBC,Pk,P,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,6,0.54,0.47,0.0,0.47,0.07,0.0,0.0,Shorten00
HBSch,Pk,A,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,7,132.28,122.57,0.81,122.98,9.3,7.42,0.41,Shorten00
All,Pk,A,7,106.47,98.89,0.6,98.89,7.57,6.98,0.0,Shorten00
HBW,Pk,P,7,29.78,28.91,0.27,28.99,0.8,0.53,0.07,Shorten00
HBW,Pk,A,7,34.59,33.93,0.15,33.93,0.65,0.5,0.0,Shorten00
HBO,Pk,P,7,80.75,73.4,0.51,73.73,7.03,6.52,0.33,Shorten00
HBO,Pk,A,7,58.61,52.08,0.41,52.08,6.53,6.12,0.0,Shorten00
NHB,Pk,P,7,14.07,13.68,0.03,13.68,0.39,0.36,0.0,Shorten00
NHB,Pk,A,7,13.27,12.88,0.03,12.88,0.4,0.36,0.0,Shorten00
HBC,Pk,P,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,7,7.66,6.58,0.0,6.58,1.08,0.01,0.0,Shorten00
HBSch,Pk,A,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,8,252.51,244.44,1.68,244.68,7.83,4.17,0.24,Shorten00
All,Pk,A,8,159.39,153.6,1.28,153.6,5.8,4.51,0.0,Shorten00
HBW,Pk,P,8,43.39,42.41,0.58,42.5,0.9,0.32,0.09,Shorten00
HBW,Pk,A,8,38.16,37.48,0.33,37.48,0.68,0.35,0.0,Shorten00
HBO,Pk,P,8,112.56,108.12,0.94,108.27,4.29,3.35,0.15,Shorten00
HBO,Pk,A,8,87.18,82.74,0.79,82.74,4.44,3.65,0.0,Shorten00
NHB,Pk,P,8,35.69,35.05,0.16,35.05,0.64,0.48,0.0,Shorten00
NHB,Pk,A,8,34.05,33.38,0.16,33.38,0.67,0.51,0.0,Shorten00
HBC,Pk,P,8,48.0,48.0,0.0,48.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,8,12.87,10.86,0.0,10.86,2.0,0.02,0.0,Shorten00
HBSch,Pk,A,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,9,52.95,49.39,0.36,49.44,3.51,2.77,0.05,Shorten00
All,Pk,A,9,157.41,153.27,0.79,153.27,4.14,3.35,0.0,Shorten00
HBW,Pk,P,9,11.46,10.84,0.14,10.85,0.61,0.46,0.01,Shorten00
HBW,Pk,A,9,89.12,88.22,0.39,88.22,0.9,0.51,0.0,Shorten00
HBO,Pk,P,9,29.45,27.05,0.2,27.09,2.36,2.16,0.04,Shorten00
HBO,Pk,A,9,59.29,56.21,0.37,56.21,3.08,2.7,0.0,Shorten00
NHB,Pk,P,9,9.35,9.19,0.02,9.19,0.16,0.14,0.0,Shorten00
NHB,Pk,A,9,9.0,8.84,0.03,8.84,0.16,0.14,0.0,Shorten00
HBC,Pk,P,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,9,2.69,2.31,0.0,2.31,0.38,0.0,0.0,Shorten00
HBSch,Pk,A,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,10,76.96,72.84,0.57,72.92,4.05,2.89,0.08,Shorten00
All,Pk,A,10,175.02,171.21,1.02,171.21,3.81,2.79,0.0,Shorten00
HBW,Pk,P,10,16.87,16.18,0.22,16.2,0.67,0.46,0.02,Shorten00
HBW,Pk,A,10,94.13,93.21,0.49,93.21,0.92,0.43,0.0,Shorten00
HBO,Pk,P,10,44.56,41.86,0.32,41.92,2.64,2.32,0.05,Shorten00
HBO,Pk,A,10,69.95,67.21,0.49,67.21,2.74,2.25,0.0,Shorten00
NHB,Pk,P,10,11.52,11.38,0.03,11.38,0.14,0.11,0.0,Shorten00
NHB,Pk,A,10,10.94,10.8,0.04,10.8,0.14,0.11,0.0,Shorten00
HBC,Pk,P,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,10,4.01,3.42,0.0,3.42,0.59,0.01,0.0,Shorten00
HBSch,Pk,A,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,11,26.86,26.24,0.17,26.25,0.6,0.19,0.01,Shorten00
All,Pk,A,11,11.71,11.49,0.06,11.49,0.22,0.15,0.0,Shorten00
HBW,Pk,P,11,7.65,7.58,0.07,7.58,0.07,0.0,0.01,Shorten00
HBW,Pk,A,11,1.66,1.66,0.0,1.66,0.0,0.0,0.0,Shorten00
HBO,Pk,P,11,16.18,15.89,0.1,15.9,0.29,0.18,0.01,Shorten00
HBO,Pk,A,11,8.66,8.45,0.06,8.45,0.21,0.15,0.0,Shorten00
NHB,Pk,P,11,1.34,1.33,0.0,1.33,0.01,0.0,0.0,Shorten00
NHB,Pk,A,11,1.39,1.38,0.0,1.38,0.01,0.0,0.0,Shorten00
HBC,Pk,P,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,11,1.68,1.44,0.0,1.44,0.24,0.0,0.0,Shorten00
HBSch,Pk,A,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,12,60.25,58.09,0.43,58.15,2.1,1.1,0.06,Shorten00
All,Pk,A,12,25.05,23.9,0.17,23.9,1.15,0.98,0.0,Shorten00
HBW,Pk,P,12,16.33,16.12,0.16,16.15,0.18,0.02,0.03,Shorten00
HBW,Pk,A,12,2.07,2.07,0.0,2.07,0.0,0.0,0.0,Shorten00
HBO,Pk,P,12,36.62,35.28,0.25,35.32,1.3,1.05,0.04,Shorten00
HBO,Pk,A,12,19.58,18.47,0.15,18.47,1.11,0.96,0.0,Shorten00
NHB,Pk,P,12,3.33,3.29,0.01,3.29,0.04,0.02,0.0,Shorten00
NHB,Pk,A,12,3.4,3.36,0.01,3.36,0.04,0.02,0.0,Shorten00
HBC,Pk,P,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,12,3.97,3.39,0.0,3.39,0.58,0.01,0.0,Shorten00
HBSch,Pk,A,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBW,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBW,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBO,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBO,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
NHB,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
NHB,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
