SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
2172_012.5,     0.473,Both,Total,       1.0,      35.0,       4.0,       1.9,Minor Arterial,       815,    2541.5,    5411.3,    3968.8,    3661.2,   15582.8,      30.0,      29.9,      29.9,      29.4,      30.0,      29.8,     0.946,     0.951,     0.951,     0.966,     0.946,      9780,     19560,      9780,     39120,     78240,      0.32,      0.30,      0.45,      0.10,      0.45,    1203.0,    2561.3,    1878.6,    1733.0,    7375.9,    1067.8,    2245.4,    1706.8,    1608.7,    6628.7,      11.9,      67.5,      21.2,      13.1,     113.7,     101.6,     196.2,     120.0,      89.9,     507.7,      21.6,      52.3,      30.6,      21.3,     125.8,    245.80,     40.27,     85.75,     63.91,     57.75,    247.68,     0.176,     0.390,     1.322,     0.001,     1.889
2172_013.0,     0.580,Both,Total,       1.0,      35.0,       2.0,       1.2,Minor Arterial,       833,    2063.8,    4128.4,    3013.0,    3035.9,   12241.1,      30.0,      29.5,      29.7,      28.5,      30.0,      29.4,     1.160,     1.179,     1.173,     1.220,     1.160,      4995,      9991,      4995,     19982,     39963,      0.53,      0.45,      0.68,      0.17,      0.68,    1197.4,    2395.1,    1748.0,    1761.3,    7101.8,    1082.1,    2111.5,    1612.6,    1648.5,    6454.7,       5.7,      54.8,      18.4,      10.5,      89.4,      92.0,     182.4,      94.8,      82.3,     451.5,      17.5,      46.4,      22.1,      20.0,     106.0,    236.68,     40.55,     80.72,     61.25,     58.71,    241.23,     0.649,     0.896,     3.007,     0.010,     4.562
2172_013.5,     0.501,Both,Total,       1.0,      35.0,       2.0,       1.0,Minor Arterial,       894,    1684.3,    3355.9,    2448.9,    2490.4,    9979.5,      36.0,      35.6,      35.7,      34.7,      36.0,      35.5,     0.835,     0.845,     0.842,     0.867,     0.835,      5364,     10728,      5364,     21456,     42912,      0.39,      0.34,      0.52,      0.13,      0.52,     843.7,    1681.1,    1226.7,    1247.5,    4999.0,     764.5,    1475.0,    1118.3,    1159.1,    4516.9,       4.8,      47.6,      14.8,       7.8,      75.0,      63.5,     120.1,      75.9,      59.7,     319.2,      11.1,      38.3,      17.8,      21.0,      88.2,    138.93,     23.72,     47.09,     35.39,     34.68,    140.88,     0.270,     0.374,     1.307,     0.007,     1.958
2172_014.0,     0.501,Both,Total,       1.0,      35.0,       2.0,       1.0,Minor Arterial,       894,    1337.0,    2563.3,    1794.0,    2004.7,    7699.0,      36.0,      35.9,      35.9,      35.6,      36.0,      35.9,     0.835,     0.839,     0.838,     0.844,     0.835,      5364,     10728,      5364,     21456,     42912,      0.29,      0.26,      0.38,      0.11,      0.38,     670.2,    1284.8,     899.2,    1004.8,    3859.0,     605.7,    1122.0,     806.4,     915.2,    3449.3,       2.8,      32.5,      10.2,       8.8,      54.3,      50.9,      93.8,      60.4,      56.9,     262.0,      10.8,      36.4,      22.1,      23.9,      93.2,    107.19,     18.68,     35.78,     25.24,     27.91,    107.61,     0.072,     0.096,     0.268,         0,     0.436
2172_014.5,     0.909,Both,Total,       1.0,      35.0,       2.0,       1.8,Minor Arterial,       894,    1071.2,    2195.9,    1765.5,    1675.2,    6707.8,      36.0,      35.9,      35.9,      35.4,      36.0,      35.8,     1.516,     1.521,     1.520,     1.540,     1.516,      5364,     10728,      5364,     21456,     42912,      0.24,      0.26,      0.43,      0.10,      0.43,     974.2,    1996.9,    1605.5,    1523.4,    6100.0,     823.2,    1650.7,    1372.3,    1348.7,    5194.9,       7.8,      49.3,      24.9,      16.9,      98.9,     103.4,     212.8,     152.9,     111.0,     580.1,      39.7,      84.2,      55.4,      47.0,     226.3,    169.50,     27.16,     55.64,     45.32,     42.33,    170.45,     0.091,     0.139,     0.713,     0.004,     0.947
2172_015.4,     0.085,Both,Total,       1.0,      35.0,       2.0,       0.2,Minor Arterial,       894,    1330.1,    3010.4,    2215.1,    2419.7,    8975.3,      36.2,      35.9,      36.0,      35.4,      36.2,      35.9,     0.141,     0.142,     0.142,     0.144,     0.141,      5364,     10728,      5364,     21456,     42912,      0.37,      0.38,      0.49,      0.14,      0.49,     113.0,     255.7,     188.2,     205.6,     762.5,      94.5,     216.4,     168.3,     187.0,     666.2,       1.3,       7.9,       2.7,       2.7,      14.6,      14.0,      24.2,      14.8,      12.2,      65.2,       3.2,       7.3,       2.4,       3.8,      16.7,     21.04,      3.15,      7.11,      5.31,      5.67,     21.24,     0.026,     0.056,     0.119,         0,     0.201
2173_000.0,     0.507,Both,Total,       1.0,      35.0,       2.0,       1.0,Collector,       696,    2012.5,    4267.7,    2547.9,    4814.9,   13643.0,      28.0,      25.6,      25.3,      23.6,      27.5,      25.7,     1.088,     1.187,     1.205,     1.287,     1.107,      4176,      8352,      4176,     16704,     33408,      0.53,      0.56,      0.65,      0.31,      0.65,    1020.6,    2164.3,    1292.2,    2441.7,    6918.8,     872.0,    1850.6,    1160.1,    2222.5,    6105.2,      12.1,      76.2,      18.3,      29.9,     136.5,     115.0,     186.2,      94.7,     153.6,     549.5,      21.4,      51.3,      19.0,      35.8,     127.5,    247.41,     39.83,     85.71,     54.65,     88.85,    269.04,     3.323,     8.316,     8.437,     1.533,    21.609
2173_000.5,     0.632,Both,Total,       1.0,      35.0,       2.0,       1.3,Collector,       696,     661.8,    1358.6,    1045.4,    1422.9,    4488.7,      28.0,      27.9,      27.9,      27.7,      28.0,      27.9,     1.354,     1.360,     1.359,     1.370,     1.355,      4176,      8352,      4176,     16704,     33408,      0.21,      0.17,      0.29,      0.09,      0.29,     418.1,     858.1,     660.3,     898.7,    2835.2,     362.2,     747.6,     591.4,     818.1,    2519.3,       6.0,      28.3,       7.6,       9.5,      51.4,      41.6,      64.1,      54.6,      54.7,     215.0,       8.2,      18.2,       6.7,      16.4,      49.5,    101.31,     14.99,     30.76,     23.87,     32.13,    101.75,     0.065,     0.100,     0.277,     0.017,     0.459
2173_001.1,     1.086,Both,Total,       1.0,      35.0,       2.0,       2.2,Collector,       696,    1016.0,    2171.6,    1567.2,    1981.7,    6736.5,      28.0,      27.3,      27.6,      26.5,      28.0,      27.4,     2.327,     2.389,     2.365,     2.458,     2.331,      4176,      8352,      4176,     16704,     33408,      0.35,      0.30,      0.46,      0.14,      0.46,    1103.6,    2358.7,    1702.3,    2152.5,    7317.1,     950.4,    2029.5,    1514.3,    1963.9,    6458.1,      13.2,      65.4,      26.7,      19.3,     124.6,     119.8,     205.9,     139.0,     127.2,     591.9,      20.1,      57.9,      22.2,      42.0,     142.2,    261.28,     40.44,     85.58,     64.18,     76.98,    267.18,     1.048,     1.360,     3.417,     0.123,     5.948
2174_000.0,     0.162,Both,Total,       1.0,      35.0,       2.0,       0.3,Collector,       696,     665.0,    1495.4,    1392.4,    3100.8,    6653.6,      28.0,      27.9,      27.9,      26.8,      27.7,      27.6,     0.348,     0.349,     0.350,     0.362,     0.351,      4176,      8352,      4176,     16704,     33408,      0.20,      0.22,      0.46,      0.29,      0.46,     107.8,     242.5,     225.8,     502.7,    1078.8,      91.6,     192.8,     195.1,     443.9,     923.4,       1.5,      10.8,       4.8,       6.7,      23.8,      12.1,      27.8,      21.7,      38.0,      99.6,       2.7,      11.0,       4.0,      14.1,      31.8,     38.54,      3.86,      8.70,      8.41,     18.15,     39.12,     0.021,     0.051,     0.332,     0.194,     0.598
2174_000.1,     0.078,Both,Total,       1.0,      35.0,       2.0,       0.2,Collector,       696,    1440.1,    3014.9,    2058.3,    2248.3,    8761.6,      28.0,      24.4,      24.9,      22.3,      27.8,      24.8,     0.168,     0.192,     0.189,     0.210,     0.169,      4176,      8352,      4176,     16704,     33408,      0.65,      0.63,      0.82,      0.22,      0.82,     112.9,     236.2,     161.3,     176.1,     686.5,      96.0,     187.1,     132.6,     154.7,     570.4,       1.5,      10.5,       3.5,       2.5,      18.0,      12.0,      28.4,      19.9,      14.7,      75.0,       3.4,      10.3,       5.2,       4.4,      23.3,     24.55,      4.62,      9.48,      7.22,      6.33,     27.65,     0.585,     1.036,     1.442,     0.032,     3.095
2174_000.2,     0.313,Both,Total,       1.0,      35.0,       2.0,       0.6,Collector,       696,     734.0,    1508.4,    1113.8,    2038.7,    5394.9,      28.0,      27.6,      27.8,      27.4,      27.9,      27.7,     0.672,     0.679,     0.677,     0.688,     0.673,      4176,      8352,      4176,     16704,     33408,      0.22,      0.22,      0.31,      0.15,      0.31,     230.0,     472.7,     349.0,     638.8,    1690.5,     204.0,     379.6,     307.1,     567.7,    1458.4,       2.6,      21.7,       8.6,       8.4,      41.3,      18.7,      54.0,      26.3,      48.4,     147.4,       4.7,      17.5,       7.0,      14.4,      43.6,     60.38,      8.32,     17.00,     12.76,     22.87,     60.95,     0.095,     0.128,     0.297,     0.059,     0.579
2174_000.6,     0.312,Both,Total,       1.0,      35.0,       2.0,       0.6,Collector,       696,     180.2,     297.2,     334.7,     426.3,    1238.4,      28.0,      28.0,      28.0,      27.9,      28.0,      28.0,     0.669,     0.669,     0.669,     0.669,     0.670,      4176,      8352,      4176,     16704,     33408,      0.08,      0.05,      0.10,      0.04,      0.10,      56.2,      92.8,     104.4,     133.0,     386.4,      48.2,      73.7,      91.9,     122.2,     336.0,       0.6,       4.9,       1.1,       1.8,       8.4,       6.4,       9.5,       9.1,       7.5,      32.5,       0.9,       4.7,       2.2,       1.5,       9.3,     13.80,      2.01,      3.32,      3.74,      4.75,     13.82,         0,         0,         0,     0.007,     0.007
2175_000.0,     1.010,Both,Total,       1.0,      35.0,       2.0,       2.0,Minor Arterial,       894,     818.9,    1557.3,    1282.4,    1342.5,    5001.1,      36.0,      36.0,      36.0,      35.9,      36.0,      35.9,     1.683,     1.685,     1.685,     1.690,     1.683,      5364,     10728,      5364,     21456,     42912,      0.16,      0.18,      0.28,      0.07,      0.28,     826.9,    1572.6,    1295.1,    1355.7,    5050.3,     731.7,    1369.8,    1163.6,    1264.8,    4529.9,      14.2,      45.2,      18.0,      12.5,      89.9,      62.6,     123.7,      97.6,      63.3,     347.2,      18.5,      33.9,      15.8,      15.1,      83.3,    140.30,     23.00,     43.72,     36.11,     37.66,    140.49,     0.026,     0.041,     0.138,     0.004,     0.209
2176_000.0,     0.888,Both,Total,       1.0,      35.0,       2.0,       1.8,Collector,       696,     707.8,    1647.9,    1145.2,    1231.4,    4732.3,      28.0,      27.8,      27.8,      27.5,      28.0,      27.8,     1.903,     1.916,     1.915,     1.936,     1.903,      4176,      8352,      4176,     16704,     33408,      0.23,      0.21,      0.31,      0.08,      0.31,     628.5,    1463.1,    1016.8,    1093.4,    4201.8,     526.3,    1208.6,     885.9,     977.4,    3598.2,      11.3,      51.7,      14.6,      14.3,      91.9,      72.2,     148.3,      95.6,      77.6,     393.7,      18.6,      54.6,      20.8,      24.0,     118.0,    150.08,     22.60,     52.60,     36.96,     39.07,    151.23,     0.156,     0.329,     0.643,     0.011,     1.139
2176_000.9,     0.882,Both,Total,       1.0,      35.0,       2.0,       1.8,Collector,       696,     535.5,    1137.2,     888.0,     825.2,    3385.9,      28.0,      27.9,      27.9,      27.8,      28.0,      27.9,     1.890,     1.895,     1.894,     1.904,     1.890,      4176,      8352,      4176,     16704,     33408,      0.15,      0.15,      0.24,      0.05,      0.24,     472.3,    1003.1,     783.3,     727.9,    2986.6,     389.1,     838.2,     700.2,     641.8,    2569.3,       7.8,      30.7,      10.3,      11.4,      60.2,      58.8,      98.9,      57.9,      59.4,     275.0,      16.6,      35.3,      14.9,      15.3,      82.1,    106.67,     16.90,     35.90,     28.18,     26.00,    106.98,     0.041,     0.074,     0.204,         0,     0.319
2176_001.8,     0.557,Both,Total,       1.0,      35.0,       2.0,       1.1,Collector,       696,     283.4,     753.8,     665.4,     546.9,    2249.5,      28.0,      28.0,      28.0,      27.8,      28.0,      27.9,     1.194,     1.195,     1.195,     1.202,     1.194,      4176,      8352,      4176,     16704,     33408,      0.08,      0.10,      0.21,      0.04,      0.21,     158.0,     420.1,     370.8,     304.7,    1253.6,     125.3,     346.0,     323.2,     264.7,    1059.2,       4.1,      16.2,       8.3,       5.9,      34.5,      22.1,      42.4,      32.9,      25.5,     122.9,       6.5,      15.4,       6.3,       8.6,      36.8,     44.75,      5.65,     15.02,     13.34,     10.88,     44.89,     0.004,     0.021,     0.093,         0,     0.118
2176_002.3,     0.559,Both,Total,       1.0,      35.0,       2.0,       1.1,Collector,       696,     604.8,    1547.9,    1127.2,    1156.6,    4436.5,      28.0,      27.9,      27.9,      27.6,      28.0,      27.8,     1.197,     1.200,     1.203,     1.217,     1.198,      4176,      8352,      4176,     16704,     33408,      0.18,      0.21,      0.34,      0.08,      0.34,     338.1,     865.2,     630.0,     646.4,    2479.7,     273.6,     730.4,     552.5,     572.5,    2129.0,       7.8,      33.9,      11.4,      15.1,      68.2,      46.7,      71.2,      55.1,      43.8,     216.8,       9.9,      29.7,      11.0,      15.1,      65.7,     88.51,     12.10,     31.03,     22.86,     23.08,     89.07,     0.027,     0.142,     0.377,     0.016,     0.562
2176_002.9,     0.563,Both,Total,       1.0,      35.0,       2.0,       1.1,Minor Arterial,       756,    1518.6,    3280.2,    2460.0,    2184.7,    9443.5,      29.6,      23.7,      26.2,      22.7,      29.5,      25.4,     1.143,     1.429,     1.288,     1.487,     1.146,      4536,      9073,      4536,     18146,     36291,      0.54,      0.52,      0.71,      0.16,      0.71,     854.4,    1845.5,    1384.1,    1229.1,    5313.1,     701.9,    1470.7,    1178.5,    1087.1,    4438.2,      11.2,      52.4,      24.1,      16.6,     104.3,     111.4,     227.4,     153.4,      89.0,     581.2,      29.9,      95.0,      27.9,      36.5,     189.3,    179.79,     36.11,     70.55,     61.05,     41.71,    209.42,     7.261,     7.949,    14.140,     0.112,    29.462
2178_000.0,     0.878,Both,Total,       1.0,      35.0,       2.0,       1.8,Collector,       696,     977.2,    2075.7,    1515.6,    1719.4,    6287.9,      28.0,      27.6,      27.6,      26.7,      28.0,      27.5,     1.881,     1.910,     1.911,     1.972,     1.883,      4176,      8352,      4176,     16704,     33408,      0.28,      0.27,      0.41,      0.11,      0.41,     857.7,    1821.9,    1330.3,    1509.2,    5519.1,     725.3,    1534.3,    1172.5,    1363.1,    4795.2,      12.7,      63.1,      24.2,      17.2,     117.2,      98.3,     179.0,     110.2,      96.1,     483.6,      21.3,      45.4,      23.4,      32.9,     123.0,    197.12,     31.11,     66.11,     49.82,     53.96,    201.00,     0.476,     1.042,     2.307,     0.052,     3.877
2178_000.9,     0.884,Both,Total,       1.0,      35.0,       2.0,       1.8,Collector,       696,     626.2,    1199.4,    1014.0,     912.5,    3752.1,      28.0,      27.9,      27.9,      27.6,      28.0,      27.8,     1.895,     1.901,     1.900,     1.921,     1.895,      4176,      8352,      4176,     16704,     33408,      0.17,      0.15,      0.28,      0.06,      0.28,     553.5,    1060.2,     896.3,     806.6,    3316.6,     484.2,     913.6,     799.8,     740.1,    2937.7,       7.1,      32.1,      14.2,      12.3,      65.7,      55.0,      89.7,      67.4,      41.4,     253.5,       7.1,      24.7,      15.0,      12.8,      59.6,    118.48,     19.84,     37.99,     32.47,     28.81,    119.11,     0.071,     0.107,     0.448,     0.001,     0.627
2178_001.8,     0.881,Both,Total,       1.0,      35.0,       2.0,       1.8,Collector,       696,     411.8,     821.5,     856.4,     660.3,    2750.0,      28.0,      28.0,      28.0,      27.8,      28.0,      27.9,     1.888,     1.892,     1.889,     1.902,     1.888,      4176,      8352,      4176,     16704,     33408,      0.12,      0.11,      0.25,      0.04,      0.25,     362.9,     724.0,     754.7,     581.9,    2423.5,     315.3,     628.0,     682.7,     533.1,    2159.1,       4.5,      19.8,      11.2,       6.8,      42.3,      39.7,      56.7,      52.5,      32.6,     181.5,       3.4,      19.4,       8.2,       9.3,      40.3,     86.55,     12.97,     25.87,     27.15,     20.78,     86.77,     0.021,     0.013,     0.192,         0,     0.226
