Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,M821_5YR2023,pk,     37.33,     83.02,     26.98,     30.00,      2.00,    447.96,    176.67,    176.63,     27.41,    149.26,     27.41,    149.22
      4.00,M823_5RY2023,pk,     19.12,     55.97,     20.50,     30.00,      2.00,    229.44,    126.37,    126.32,     12.28,    114.09,     12.28,    114.04
      4.00,M831_WPr,pk,     23.68,     79.42,     17.89,     30.00,      2.00,    284.16,    559.86,    559.91,     15.10,    544.76,     15.14,    544.77
      4.00,M833_CntPr,pk,      9.75,     28.27,     20.69,     60.00,      1.00,     58.50,     26.48,     26.49,      1.00,     25.48,      1.00,     25.49
      4.00,M834_EstPr,pk,     25.64,     79.18,     19.43,     30.00,      2.00,    307.68,    197.10,    197.14,     12.81,    184.29,     12.81,    184.33
      4.00,M841_UVU,pk,      5.32,     19.52,     16.35,     30.00,      2.00,     63.84,     54.03,     54.02,      1.15,     52.88,      1.13,     52.89
      4.00,M850_StateStree,pk,     45.58,    147.51,     18.54,     15.00,      4.00,   1093.92,   1140.02,   1140.00,    129.47,   1010.55,    129.42,   1010.58
      4.00,M862_Orem,pk,     28.28,     92.72,     18.30,     30.00,      2.00,    339.36,    658.01,    657.96,    110.67,    547.34,    110.65,    547.31
      4.00,M864_Thanksgivi,pk,      7.25,     24.73,     17.59,     30.00,      2.00,     87.00,     67.80,     67.78,      3.37,     64.43,      3.35,     64.43
      4.00,M871_SLtoUtahCn,pk,     26.46,     70.70,     22.46,     30.00,      2.00,    317.52,     78.69,     78.72,      9.95,     68.74,      9.98,     68.74
      4.00,O600,pk,     46.04,    145.95,     18.93,     15.00,      4.00,   1104.96,    759.18,    759.05,     47.40,    711.78,     47.38,    711.67
      4.00,O601,pk,      3.70,     16.47,     13.48,     20.00,      3.00,     66.60,     11.07,     11.08,      0.26,     10.81,      0.27,     10.81
      4.00,O604,pk,     14.00,     44.05,     19.07,     30.00,      2.00,    168.00,     45.94,     45.91,     10.55,     35.39,     10.54,     35.37
      4.00,O607,pk,     20.92,     61.85,     20.29,     30.00,      2.00,    251.04,    230.02,    230.08,     25.82,    204.20,     25.80,    204.28
      4.00,O609,pk,     42.50,    118.69,     21.48,     30.00,      2.00,    510.00,    691.98,    691.93,    237.50,    454.48,    237.52,    454.41
      4.00,O612,pk,     26.20,     78.37,     20.06,     15.00,      4.00,    628.80,    477.16,    477.07,     20.36,    456.80,     20.33,    456.74
      4.00,O614,pk,     17.94,     52.50,     20.50,     30.00,      2.00,    215.28,     51.44,     51.48,      0.60,     50.84,      0.60,     50.88
      4.00,O615,pk,     15.08,     43.70,     20.70,     30.00,      2.00,    180.96,    257.38,    257.36,     23.46,    233.92,     23.46,    233.90
      4.00,O626,pk,     28.38,     76.72,     22.19,     30.00,      2.00,    340.56,    132.04,    131.99,     12.22,    119.82,     12.20,    119.79
      4.00,O627,pk,     18.58,     54.97,     20.28,     30.00,      2.00,    222.96,     88.68,     88.66,      8.23,     80.45,      8.21,     80.45
      4.00,O628,pk,     12.92,     44.00,     17.62,     30.00,      2.00,    155.04,     92.64,     92.68,     13.00,     79.64,     13.00,     79.68
      4.00,O630,pk,     48.72,     97.88,     29.87,     60.00,      1.00,    292.32,    199.24,    199.12,     17.64,    181.60,     17.57,    181.55
      4.00,O640,pk,     35.10,    110.69,     19.03,     30.00,      2.00,    421.20,    556.69,    556.68,    136.42,    420.27,    136.40,    420.28
      4.00,O667,pk,      2.75,      9.46,     17.44,     30.00,      2.00,     33.00,      0.78,      0.78,         0,      0.78,         0,      0.78
      4.00,OF605,pk,     14.18,     48.56,     17.52,     60.00,      1.00,     85.08,    131.41,    131.36,      3.27,    128.14,      3.25,    128.11
      4.00,OF618,pk,     14.04,     42.00,     20.06,     30.00,      2.00,    168.48,     72.40,     72.40,      5.87,     66.53,      5.87,     66.53
      4.00,OF620,pk,     16.66,     44.97,     22.23,     30.00,      2.00,    199.92,     85.80,     85.76,      6.72,     79.08,      6.70,     79.06
      4.00,OF638,pk,     13.40,     34.23,     23.49,     60.00,      1.00,     80.40,     13.87,     13.86,      0.10,     13.77,      0.10,     13.76
      4.00,S002,pk,      8.42,     39.15,     12.90,     15.00,      4.00,    202.08,    984.24,    984.26,    107.73,    876.51,    107.72,    876.54
      4.00,S004,pk,     23.85,     79.47,     18.01,     30.00,      2.00,    286.20,    799.54,    799.55,     35.26,    764.28,     35.23,    764.32
      4.00,S009,pk,     19.62,     72.49,     16.24,     15.00,      4.00,    470.88,   1178.68,   1178.69,     31.28,   1147.40,     31.30,   1147.39
      4.00,S017,pk,     15.42,     61.53,     15.04,     30.00,      2.00,    185.04,    536.87,    536.85,     70.42,    466.45,     70.42,    466.43
      4.00,S021,pk,     15.70,     58.29,     16.16,     15.00,      4.00,    376.80,   1304.96,   1304.89,    187.58,   1117.38,    187.57,   1117.32
      4.00,S033,pk,     12.54,     36.51,     20.61,     15.00,      4.00,    300.96,    351.91,    351.94,     15.02,    336.89,     15.07,    336.87
      4.00,S035,pk,     28.18,     87.08,     19.42,     15.00,      4.00,    676.32,    559.50,    559.49,     36.61,    522.89,     36.57,    522.92
      4.00,S039,pk,     22.92,     73.59,     18.69,     15.00,      4.00,    550.08,    797.08,    797.10,     44.40,    752.68,     44.44,    752.66
      4.00,S045,pk,     16.22,     49.81,     19.54,     15.00,      4.00,    389.28,    355.37,    355.27,     19.20,    336.17,     19.16,    336.11
      4.00,S047,pk,     25.68,     79.32,     19.43,     30.00,      2.00,    308.16,    255.90,    255.78,     10.27,    245.63,     10.25,    245.53
      4.00,S054,pk,     17.78,     54.00,     19.76,     15.00,      4.00,    426.72,    334.46,    334.55,     24.29,    310.17,     24.28,    310.27
      4.00,S062,pk,     20.26,     61.47,     19.78,     60.00,      1.00,    121.56,     52.25,     52.23,      1.12,     51.13,      1.11,     51.12
      4.00,S072,pk,     11.06,     38.76,     17.12,     30.00,      2.00,    132.72,    153.51,    153.52,      9.27,    144.24,      9.29,    144.23
      4.00,S1,pk,     21.44,     85.28,     15.08,     15.00,      4.00,    514.56,   1287.52,   1287.49,      4.53,   1282.99,      4.48,   1283.01
      4.00,S200,pk,     22.56,     85.60,     15.81,     15.00,      4.00,    541.44,   1422.37,   1422.33,     38.23,   1384.14,     38.21,   1384.12
      4.00,S201,pk,     19.42,     66.63,     17.49,     30.00,      2.00,    233.04,    120.83,    120.79,     11.55,    109.28,     11.53,    109.26
      4.00,S205,pk,     28.62,    102.19,     16.80,     15.00,      4.00,    686.88,   1733.31,   1733.22,     25.12,   1708.19,     25.08,   1708.14
      4.00,S209,pk,     28.98,     99.67,     17.45,     15.00,      4.00,    695.52,   1673.12,   1672.95,     59.57,   1613.55,     59.51,   1613.44
      4.00,S213,pk,     31.02,    111.56,     16.68,     30.00,      2.00,    372.24,    997.94,    997.94,     29.16,    968.78,     29.17,    968.77
      4.00,S217,pk,     24.42,     76.68,     19.11,     15.00,      4.00,    586.08,    666.18,    666.17,     60.24,    605.94,     60.29,    605.88
      4.00,S218,pk,     13.84,     49.15,     16.90,     30.00,      2.00,    166.08,    167.38,    167.32,      4.71,    162.67,      4.68,    162.64
      4.00,S220,pk,     33.42,    110.92,     18.08,     30.00,      2.00,    401.04,   1035.18,   1035.14,    133.50,    901.68,    133.48,    901.66
      4.00,S223,pk,     33.17,    119.27,     16.69,     30.00,      2.00,    398.04,    956.43,    956.33,     60.57,    895.86,     60.51,    895.82
      4.00,S227,pk,     33.90,    112.41,     18.09,     30.00,      2.00,    406.80,    338.10,    338.11,     29.77,    308.33,     29.78,    308.33
      4.00,S236,pk,     15.93,     46.30,     20.64,     30.00,      2.00,    191.16,     62.19,     62.22,      4.45,     57.74,      4.46,     57.76
      4.00,S240,pk,     24.30,     82.38,     17.70,     15.00,      4.00,    583.20,    282.59,    282.60,     11.13,    271.46,     11.12,    271.48
      4.00,S248,pk,     45.08,    153.14,     17.66,     30.00,      2.00,    540.96,    286.91,    286.95,     15.43,    271.48,     15.46,    271.49
      4.00,S31,pk,     26.50,     94.99,     16.74,     30.00,      2.00,    318.00,    238.11,    238.19,     12.15,    225.96,     12.16,    226.03
      4.00,S455,pk,     46.84,    152.49,     18.43,     30.00,      2.00,    562.08,   1332.03,   1331.97,    201.73,   1130.30,    201.66,   1130.31
      4.00,S470,pk,     39.74,    125.08,     19.06,     30.00,      2.00,    476.88,    743.07,    743.02,     71.39,    671.68,     71.36,    671.66
      4.00,S509,pk,     10.34,     36.91,     16.81,     30.00,      2.00,    124.08,     98.73,     98.68,      8.20,     90.53,      8.18,     90.50
      4.00,SF11,pk,      7.80,     30.12,     15.54,     60.00,      1.00,     46.80,     49.39,     49.39,         0,     49.39,         0,     49.39
      4.00,SF202,pk,     10.44,     37.38,     16.76,     30.00,      2.00,    125.28,     43.41,     43.43,      0.90,     42.51,      0.89,     42.54
      4.00,SF232,pk,     15.34,     50.74,     18.14,     30.00,      2.00,    184.08,     53.29,     53.19,      0.89,     52.40,      0.85,     52.34
      4.00,SF453,pk,     39.47,     75.68,     31.29,     30.00,      2.00,    473.64,     20.68,     20.67,      4.24,     16.44,      4.24,     16.43
      4.00,SF514,pk,     12.18,     44.22,     16.53,     30.00,      2.00,    146.16,     85.37,     85.36,     13.14,     72.23,     13.14,     72.22
