TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
                    BRT Drive,        46,   0.01,   4.71,      1237,   0.99,  26.29,         3,   0.00,   0.57,         0,   0.00,   0.15,-,-,-,      1287,   0.03,  19.89
            4) Express Bus (EXP),       495,   0.06,   2.45,       244,   0.20,   1.17,        45,   0.00,   0.46,        13,   0.00,   0.65,-,-,-,       797,   0.02,   1.51,
                    EXP Walk,       218,   0.02,  44.14,        89,   0.07,  36.54,        41,   0.00,  91.02,        13,   0.00,  99.99,-,-,-,       362,   0.01,  45.40,
                    EXP Drive,       276,   0.03,  55.86,       155,   0.12,  63.46,         4,   0.00,   8.98,         0,   0.00,   0.01,-,-,-,       435,   0.01,  54.60
            4) Light-Rail Transit (LRT),      6851,   0.77,  33.89,      4385,   3.52,  21.12,      4009,   0.20,  40.60,       686,   0.08,  34.53,-,-,-,     15931,   0.37,  30.15,
                    LRT Walk,      5359,   0.60,  78.22,      3085,   2.47,  70.36,      3556,   0.18,  88.69,       650,   0.08,  94.81,-,-,-,     12650,   0.30,  79.40,
                    LRT Drive,      1492,   0.17,  21.78,      1300,   1.04,  29.64,       453,   0.02,  11.31,        36,   0.00,   5.19,-,-,-,      3281,   0.08,  20.60
            4) Commuter-Rail Transit (CRT),      4099,   0.46,  20.28,      3739,   3.00,  18.01,      1048,   0.05,  10.61,       183,   0.02,   9.19,-,-,-,      9068,   0.21,  17.16,
                    CRT Walk,      1472,   0.17,  35.92,      1093,   0.88,  29.22,       403,   0.02,  38.46,       132,   0.02,  72.10,-,-,-,      3099,   0.07,  34.18,
                    CRT Drive,      2626,   0.29,  64.08,      2647,   2.12,  70.78,       645,   0.03,  61.54,        51,   0.01,  27.90,-,-,-,      5969,   0.14,  65.82,
  
   Model: v10.0.0-beta.1,
   Scenario: Closer00,
   RunYear: 2023,
   Socio-Economic year modeled:         2023,
   Network infrastructure year modeled: 2023,
   Period the results apply to:  Peak Period,
   Shares\RegionShares_Pk.csv,
   For this run Mode Choice was run in its regular form (i.e. not bypassed with approximation).,
   NOTE:  Indentations correspond with each level in the nested Logit choice model.
