TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
            4) Express Bus (EXP),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    EXP Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    EXP Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Light-Rail Transit (LRT),      5669,   0.70,  41.21,         0,      0,      0,      8552,   0.22,  37.43,      1961,   0.11,  39.42,-,-,-,     16182,   0.24,  38.92,
                    LRT Walk,      4459,   0.55,  78.65,         0,      0,   0.00,      7815,   0.20,  91.38,      1874,   0.11,  95.59,-,-,-,     14148,   0.21,  87.43,
                    LRT Drive,      1210,   0.15,  21.35,         0,      0,   0.00,       737,   0.02,   8.62,        86,   0.00,   4.41,-,-,-,      2034,   0.03,  12.57
            4) Commuter-Rail Transit (CRT),      1971,   0.24,  14.33,         0,      0,      0,      2268,   0.06,   9.93,       271,   0.02,   5.45,-,-,-,      4510,   0.07,  10.85,
                    CRT Walk,       808,   0.10,  40.98,         0,      0,   0.00,      1049,   0.03,  46.28,       177,   0.01,  65.11,-,-,-,      2034,   0.03,  45.09,
                    CRT Drive,      1163,   0.14,  59.02,         0,      0,   0.00,      1218,   0.03,  53.72,        95,   0.01,  34.89,-,-,-,      2476,   0.04,  54.91,
  
   Model: v10.0.0-beta.1,
   Scenario: Closer00,
   RunYear: 2023,
   Socio-Economic year modeled:         2023,
   Network infrastructure year modeled: 2023,
   Period the results apply to:  Off-Peak Period,
   Shares\RegionShares_Ok.csv,
   For this run Mode Choice was run in its regular form (i.e. not bypassed with approximation).,
   NOTE:  Indentations correspond with each level in the nested Logit choice model.
