TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,   1696496, 100.00, 100.00,    124695, 100.00, 100.00,   5826356, 100.00, 100.00,   2621607, 100.00, 100.00,    692989, 100.00, 100.00,  10962143, 100.00, 100.00,
    2) Non-Motorized,     60109,   3.54,   3.54,     28458,  22.82,  22.82,    467975,   8.03,   8.03,    197262,   7.52,   7.52,    124388,  17.95,  17.95,    878191,   8.01,   8.01,
    2) Motorized,   1636387,  96.46,  96.46,     96238,  77.18,  77.18,   5358381,  91.97,  91.97,   2424346,  92.48,  92.48,    568601,  82.05,  82.05,  10083952,  91.99,  91.99
        3) Auto,   1602424,  94.45,  97.92,     75479,  60.53,  78.43,   5325666,  91.41,  99.39,   2417758,  92.22,  99.73,-,-,-,   9989927,  91.13,  99.07,
            4) Auto 1 pers,   1355322,  79.89,  84.58,     54268,  43.52,  71.90,   1845395,  31.67,  34.65,   1066034,  40.66,  44.09,-,-,-,   4321021,  39.42,  43.25,
                    GP use,   1353495,  79.78,  99.87,     54201,  43.47,  99.88,   1846233,  31.69, 100.05,   1064894,  40.62,  99.89,-,-,-,   4318822,  39.40,  99.95,
                    Toll use,      2031,   0.12,   0.15,        68,   0.05,   0.12,       712,   0.01,   0.04,      1460,   0.06,   0.14,-,-,-,      4270,   0.04,   0.10
            4) Auto 2 pers,    187715,  11.06,  11.71,     15569,  12.49,  20.63,   1830995,  31.43,  34.38,    665861,  25.40,  27.54,-,-,-,   2700139,  24.63,  27.03,
                    GP use,    143471,   8.46,  76.43,     11681,   9.37,  75.03,   1722221,  29.56,  94.06,    600566,  22.91,  90.19,-,-,-,   2477939,  22.60,  91.77,
                    HOV use,     44278,   2.61,  23.59,      3888,   3.12,  24.97,    108977,   1.87,   5.95,     65340,   2.49,   9.81,-,-,-,    222484,   2.03,   8.24,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     59399,   3.50,   3.71,      5641,   4.52,   7.47,   1649285,  28.31,  30.97,    685893,  26.16,  28.37,-,-,-,   2400218,  21.90,  24.03,
                    GP use,     45297,   2.67,  76.26,      4233,   3.39,  75.03,   1551016,  26.62,  94.04,    618551,  23.59,  90.18,-,-,-,   2219096,  20.24,  92.45,
                    HOV use,     14098,   0.83,  23.73,      1409,   1.13,  24.97,     98315,   1.69,   5.96,     67352,   2.57,   9.82,-,-,-,    181173,   1.65,   7.55,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),       124,   0.01,   0.01,         0,      0,      0,       905,   0.02,   0.02,       373,   0.01,   0.02,-,-,-,      1402,   0.01,   0.01,
