Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,M821_5YR2023,pk,     37.33,     83.02,     26.98,     30.00,      2.00,    447.96,    158.46,    158.41,     22.37,    136.09,     22.35,    136.06
      4.00,M823_5RY2023,pk,     19.12,     55.97,     20.50,     30.00,      2.00,    229.44,    124.75,    124.75,     10.18,    114.57,     10.18,    114.57
      4.00,M831_WPr,pk,     23.68,     79.42,     17.89,     30.00,      2.00,    284.16,    555.42,    555.45,     14.63,    540.79,     14.64,    540.81
      4.00,M833_CntPr,pk,      9.75,     28.27,     20.69,     60.00,      1.00,     58.50,     28.36,     28.34,      0.90,     27.46,      0.90,     27.44
      4.00,M834_EstPr,pk,     25.64,     79.18,     19.43,     30.00,      2.00,    307.68,    187.69,    187.67,     11.22,    176.47,     11.17,    176.50
      4.00,M841_UVU,pk,      5.32,     19.52,     16.35,     30.00,      2.00,     63.84,     56.30,     56.28,      1.09,     55.21,      1.08,     55.20
      4.00,M850_StateStree,pk,     45.58,    147.51,     18.54,     15.00,      4.00,   1093.92,   1039.50,   1039.38,    111.19,    928.31,    111.20,    928.18
      4.00,M862_Orem,pk,     28.28,     92.72,     18.30,     30.00,      2.00,    339.36,    653.20,    653.23,    109.92,    543.28,    109.94,    543.29
      4.00,M864_Thanksgivi,pk,      7.25,     24.73,     17.59,     30.00,      2.00,     87.00,     61.17,     61.17,      3.25,     57.92,      3.25,     57.92
      4.00,M871_SLtoUtahCn,pk,     26.46,     70.70,     22.46,     30.00,      2.00,    317.52,     64.81,     64.79,      9.33,     55.48,      9.29,     55.50
      4.00,O600,pk,     46.04,    145.95,     18.93,     15.00,      4.00,   1104.96,    708.04,    708.15,     48.12,    659.92,     48.20,    659.95
      4.00,O601,pk,      3.70,     16.47,     13.48,     20.00,      3.00,     66.60,     10.06,     10.04,      0.22,      9.84,      0.22,      9.82
      4.00,O604,pk,     14.00,     44.05,     19.07,     30.00,      2.00,    168.00,     41.17,     41.17,      9.09,     32.08,      9.08,     32.09
      4.00,O607,pk,     20.92,     61.85,     20.29,     30.00,      2.00,    251.04,    233.15,    233.15,     25.43,    207.72,     25.46,    207.69
      4.00,O609,pk,     42.50,    118.69,     21.48,     30.00,      2.00,    510.00,    677.89,    677.90,    234.80,    443.09,    234.77,    443.13
