Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,S1,pk,21.44,85.28,15.08,15.0,4.0,514.56,1286.92,1286.89,4.48,1282.44,4.43,1282.46,Closer04
4.0,S200,pk,22.56,85.6,15.81,15.0,4.0,541.44,1357.86,1357.78,37.19,1320.67,37.18,1320.6,Closer04
4.0,S201,pk,19.42,66.63,17.49,30.0,2.0,233.04,112.94,112.94,13.13,99.81,13.12,99.82,Closer04
4.0,S205,pk,28.62,102.19,16.8,15.0,4.0,686.88,1664.55,1664.53,24.01,1640.54,24.02,1640.51,Closer04
4.0,S209,pk,28.98,99.67,17.45,15.0,4.0,695.52,1587.29,1587.2,55.46,1531.83,55.43,1531.77,Closer04
4.0,S213,pk,31.02,111.56,16.68,30.0,2.0,372.24,958.8,958.77,28.58,930.22,28.59,930.18,Closer04
4.0,S217,pk,24.42,76.68,19.11,15.0,4.0,586.08,612.23,612.2,58.89,553.34,58.9,553.3,Closer04
4.0,S218,pk,13.84,49.15,16.9,30.0,2.0,166.08,156.83,156.82,5.69,151.14,5.68,151.14,Closer04
4.0,S220,pk,33.42,110.92,18.08,30.0,2.0,401.04,983.92,983.83,135.47,848.45,135.44,848.39,Closer04
4.0,S223,pk,33.17,119.27,16.69,30.0,2.0,398.04,936.51,936.47,59.06,877.45,58.99,877.48,Closer04
4.0,S227,pk,33.9,112.41,18.09,30.0,2.0,406.8,311.34,311.35,28.9,282.44,28.91,282.44,Closer04
4.0,S236,pk,15.93,46.3,20.64,30.0,2.0,191.16,58.69,58.71,4.31,54.38,4.31,54.4,Closer04
4.0,S240,pk,24.3,82.38,17.7,15.0,4.0,583.2,253.03,253.05,10.42,242.61,10.44,242.61,Closer04
4.0,S248,pk,45.08,153.14,17.66,30.0,2.0,540.96,264.73,264.74,14.22,250.51,14.2,250.54,Closer04
4.0,S31,pk,26.5,94.99,16.74,30.0,2.0,318.0,217.8,217.75,11.34,206.46,11.29,206.46,Closer04
4.0,S455,pk,46.84,152.49,18.43,30.0,2.0,562.08,1281.63,1281.54,194.82,1086.81,194.77,1086.77,Closer04
4.0,S470,pk,39.74,125.08,19.06,30.0,2.0,476.88,679.61,679.62,69.01,610.6,68.95,610.67,Closer04
4.0,S509,pk,10.34,36.91,16.81,30.0,2.0,124.08,95.66,95.61,9.86,85.8,9.84,85.77,Closer04
