Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
HBW,Pk,A,6,5.33,5.28,0.02,5.28,0.05,0.03,0.0,Closer01
HBO,Pk,P,6,5.23,4.9,0.04,4.9,0.33,0.29,0.01,Closer01
HBO,Pk,A,6,6.25,5.77,0.05,5.77,0.48,0.43,0.0,Closer01
NHB,Pk,P,6,0.87,0.85,0.0,0.85,0.02,0.01,0.0,Closer01
NHB,Pk,A,6,0.88,0.86,0.0,0.86,0.02,0.01,0.0,Closer01
HBC,Pk,P,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,6,0.54,0.47,0.0,0.47,0.07,0.0,0.0,Closer01
HBSch,Pk,A,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,7,132.28,122.57,0.81,122.98,9.3,7.42,0.41,Closer01
All,Pk,A,7,101.47,93.92,0.58,93.92,7.56,6.98,0.0,Closer01
HBW,Pk,P,7,29.78,28.91,0.27,28.99,0.8,0.53,0.07,Closer01
HBW,Pk,A,7,29.6,28.96,0.14,28.96,0.64,0.5,0.0,Closer01
HBO,Pk,P,7,80.75,73.4,0.51,73.73,7.03,6.52,0.33,Closer01
HBO,Pk,A,7,58.61,52.08,0.41,52.08,6.53,6.12,0.0,Closer01
NHB,Pk,P,7,14.07,13.68,0.03,13.68,0.39,0.36,0.0,Closer01
NHB,Pk,A,7,13.27,12.88,0.03,12.88,0.4,0.36,0.0,Closer01
HBC,Pk,P,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,7,7.66,6.58,0.0,6.58,1.08,0.01,0.0,Closer01
HBSch,Pk,A,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,8,252.51,244.44,1.68,244.68,7.83,4.17,0.24,Closer01
All,Pk,A,8,153.65,147.95,1.2,147.95,5.7,4.5,0.0,Closer01
HBW,Pk,P,8,43.39,42.41,0.58,42.5,0.9,0.32,0.09,Closer01
HBW,Pk,A,8,32.42,31.84,0.24,31.84,0.59,0.34,0.0,Closer01
HBO,Pk,P,8,112.56,108.12,0.94,108.27,4.29,3.35,0.15,Closer01
HBO,Pk,A,8,87.18,82.74,0.79,82.74,4.44,3.65,0.0,Closer01
NHB,Pk,P,8,35.69,35.05,0.16,35.05,0.64,0.48,0.0,Closer01
NHB,Pk,A,8,34.05,33.38,0.16,33.38,0.67,0.51,0.0,Closer01
HBC,Pk,P,8,48.0,48.0,0.0,48.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,8,12.87,10.86,0.0,10.86,2.0,0.02,0.0,Closer01
HBSch,Pk,A,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,9,52.95,49.39,0.36,49.44,3.51,2.77,0.05,Closer01
All,Pk,A,9,147.0,142.94,0.71,142.94,4.06,3.35,0.0,Closer01
HBW,Pk,P,9,11.46,10.84,0.14,10.85,0.61,0.46,0.01,Closer01
HBW,Pk,A,9,78.71,77.9,0.3,77.9,0.81,0.51,0.0,Closer01
HBO,Pk,P,9,29.45,27.05,0.2,27.09,2.36,2.16,0.04,Closer01
HBO,Pk,A,9,59.29,56.21,0.37,56.21,3.08,2.7,0.0,Closer01
NHB,Pk,P,9,9.35,9.19,0.02,9.19,0.16,0.14,0.0,Closer01
NHB,Pk,A,9,9.0,8.84,0.03,8.84,0.16,0.14,0.0,Closer01
HBC,Pk,P,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,9,2.69,2.31,0.0,2.31,0.38,0.0,0.0,Closer01
HBSch,Pk,A,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,10,76.96,72.84,0.57,72.92,4.05,2.89,0.08,Closer01
All,Pk,A,10,164.41,160.7,0.92,160.7,3.71,2.79,0.0,Closer01
HBW,Pk,P,10,16.87,16.18,0.22,16.2,0.67,0.46,0.02,Closer01
HBW,Pk,A,10,83.52,82.7,0.39,82.7,0.82,0.43,0.0,Closer01
HBO,Pk,P,10,44.56,41.86,0.32,41.92,2.64,2.32,0.05,Closer01
HBO,Pk,A,10,69.95,67.21,0.49,67.21,2.74,2.25,0.0,Closer01
NHB,Pk,P,10,11.52,11.38,0.03,11.38,0.14,0.11,0.0,Closer01
NHB,Pk,A,10,10.94,10.8,0.04,10.8,0.14,0.11,0.0,Closer01
HBC,Pk,P,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,10,4.01,3.42,0.0,3.42,0.59,0.01,0.0,Closer01
HBSch,Pk,A,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,11,26.86,26.24,0.17,26.25,0.6,0.19,0.01,Closer01
All,Pk,A,11,11.71,11.49,0.06,11.49,0.22,0.15,0.0,Closer01
HBW,Pk,P,11,7.65,7.58,0.07,7.58,0.07,0.0,0.01,Closer01
HBW,Pk,A,11,1.66,1.66,0.0,1.66,0.0,0.0,0.0,Closer01
HBO,Pk,P,11,16.18,15.89,0.1,15.9,0.29,0.18,0.01,Closer01
HBO,Pk,A,11,8.66,8.45,0.06,8.45,0.21,0.15,0.0,Closer01
NHB,Pk,P,11,1.34,1.33,0.0,1.33,0.01,0.0,0.0,Closer01
NHB,Pk,A,11,1.39,1.38,0.0,1.38,0.01,0.0,0.0,Closer01
HBC,Pk,P,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,11,1.68,1.44,0.0,1.44,0.24,0.0,0.0,Closer01
HBSch,Pk,A,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,12,60.25,58.09,0.43,58.15,2.1,1.1,0.06,Closer01
All,Pk,A,12,25.05,23.9,0.17,23.9,1.15,0.98,0.0,Closer01
HBW,Pk,P,12,16.33,16.12,0.16,16.15,0.18,0.02,0.03,Closer01
HBW,Pk,A,12,2.07,2.07,0.0,2.07,0.0,0.0,0.0,Closer01
HBO,Pk,P,12,36.62,35.28,0.25,35.32,1.3,1.05,0.04,Closer01
HBO,Pk,A,12,19.58,18.47,0.15,18.47,1.11,0.96,0.0,Closer01
NHB,Pk,P,12,3.33,3.29,0.01,3.29,0.04,0.02,0.0,Closer01
NHB,Pk,A,12,3.4,3.36,0.01,3.36,0.04,0.02,0.0,Closer01
HBC,Pk,P,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,12,3.97,3.39,0.0,3.39,0.58,0.01,0.0,Closer01
HBSch,Pk,A,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBW,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBW,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBO,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBO,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
NHB,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
NHB,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBW,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBW,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBO,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBO,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
NHB,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
NHB,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,15,25.46,25.2,0.07,25.21,0.24,0.14,0.02,Closer01
All,Pk,A,15,335.3,332.86,1.99,332.86,2.44,0.45,0.0,Closer01
HBW,Pk,P,15,0.74,0.72,0.01,0.72,0.02,0.01,0.0,Closer01
HBW,Pk,A,15,236.28,234.77,1.42,234.77,1.51,0.09,0.0,Closer01
HBO,Pk,P,15,2.09,2.02,0.01,2.03,0.06,0.05,0.01,Closer01
HBO,Pk,A,15,78.06,77.27,0.52,77.27,0.79,0.28,0.0,Closer01
NHB,Pk,P,15,22.41,22.27,0.05,22.28,0.13,0.08,0.01,Closer01
NHB,Pk,A,15,20.96,20.82,0.06,20.82,0.14,0.08,0.0,Closer01
HBC,Pk,P,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,15,0.21,0.18,0.0,0.18,0.03,0.0,0.0,Closer01
HBSch,Pk,A,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,16,8.58,8.31,0.06,8.31,0.27,0.18,0.0,Closer01
All,Pk,A,16,129.84,126.39,1.31,126.39,3.45,2.14,0.0,Closer01
HBW,Pk,P,16,0.72,0.68,0.01,0.68,0.04,0.02,0.0,Closer01
HBW,Pk,A,16,70.59,69.51,0.76,69.51,1.08,0.32,0.0,Closer01
HBO,Pk,P,16,2.0,1.91,0.02,1.91,0.1,0.08,0.0,Closer01
HBO,Pk,A,16,53.77,51.52,0.52,51.52,2.25,1.74,0.0,Closer01
NHB,Pk,P,16,5.62,5.51,0.03,5.51,0.11,0.08,0.0,Closer01
NHB,Pk,A,16,5.48,5.36,0.03,5.36,0.12,0.09,0.0,Closer01
HBC,Pk,P,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,16,0.23,0.2,0.0,0.2,0.03,0.0,0.0,Closer01
HBSch,Pk,A,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,17,10.12,9.73,0.09,9.73,0.39,0.18,0.0,Closer01
All,Pk,A,17,4.4,4.34,0.03,4.34,0.07,0.04,0.0,Closer01
HBW,Pk,P,17,2.42,2.36,0.03,2.36,0.06,0.03,0.0,Closer01
HBW,Pk,A,17,0.81,0.81,0.0,0.81,0.0,0.0,0.0,Closer01
HBO,Pk,P,17,6.48,6.28,0.05,6.28,0.2,0.15,0.0,Closer01
HBO,Pk,A,17,3.11,3.05,0.03,3.05,0.06,0.03,0.0,Closer01
NHB,Pk,P,17,0.41,0.41,0.0,0.41,0.01,0.0,0.0,Closer01
NHB,Pk,A,17,0.48,0.47,0.0,0.47,0.01,0.0,0.0,Closer01
HBC,Pk,P,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,17,0.81,0.69,0.0,0.69,0.12,0.0,0.0,Closer01
HBSch,Pk,A,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,18,64.34,62.12,0.28,62.13,2.22,1.94,0.0,Closer01
All,Pk,A,18,903.78,892.89,7.75,892.89,10.89,3.14,0.0,Closer01
HBW,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBW,Pk,A,18,736.61,729.75,6.48,729.75,6.86,0.38,0.0,Closer01
HBO,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBO,Pk,A,18,107.23,105.46,0.98,105.46,1.77,0.79,0.0,Closer01
NHB,Pk,P,18,64.34,62.12,0.28,62.13,2.22,1.94,0.0,Closer01
NHB,Pk,A,18,59.94,57.68,0.29,57.68,2.26,1.97,0.0,Closer01
HBC,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,A,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,19,916.76,836.98,8.91,837.9,78.86,44.99,0.92,Closer01
All,Pk,A,19,461.04,421.08,3.63,421.23,39.81,36.18,0.15,Closer01
HBW,Pk,P,19,204.22,197.53,3.35,198.08,6.15,2.8,0.55,Closer01
HBW,Pk,A,19,57.07,55.76,0.24,55.79,1.29,1.04,0.02,Closer01
HBO,Pk,P,19,564.54,520.04,5.1,520.4,44.14,39.04,0.36,Closer01
HBO,Pk,A,19,327.05,291.87,2.96,291.99,35.06,32.1,0.11,Closer01
NHB,Pk,P,19,81.38,78.03,0.43,78.05,3.32,2.89,0.02,Closer01
NHB,Pk,A,19,76.92,73.45,0.42,73.46,3.46,3.04,0.01,Closer01
HBC,Pk,P,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,19,66.62,41.37,0.03,41.37,25.24,0.25,0.0,Closer01
HBSch,Pk,A,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,20,500.37,458.12,5.18,458.83,41.54,28.92,0.71,Closer01
All,Pk,A,20,325.69,293.45,2.62,293.51,32.18,29.55,0.07,Closer01
HBW,Pk,P,20,120.1,116.01,2.1,116.41,3.68,1.59,0.4,Closer01
HBW,Pk,A,20,34.37,33.53,0.16,33.54,0.83,0.67,0.0,Closer01
HBO,Pk,P,20,301.29,273.42,2.77,273.72,27.58,24.81,0.29,Closer01
HBO,Pk,A,20,237.68,209.12,2.17,209.17,28.51,26.34,0.05,Closer01
NHB,Pk,P,20,56.64,53.88,0.3,53.89,2.75,2.45,0.01,Closer01
NHB,Pk,A,20,53.64,50.8,0.3,50.8,2.84,2.54,0.01,Closer01
HBC,Pk,P,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,20,22.34,14.81,0.01,14.81,7.53,0.08,0.0,Closer01
HBSch,Pk,A,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,21,41.99,40.53,0.21,40.53,1.46,1.26,0.0,Closer01
All,Pk,A,21,525.29,515.69,5.86,515.69,9.6,3.74,0.0,Closer01
HBW,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBW,Pk,A,21,467.21,459.87,5.46,459.87,7.34,1.87,0.0,Closer01
HBO,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBO,Pk,A,21,19.22,18.46,0.19,18.46,0.76,0.57,0.0,Closer01
NHB,Pk,P,21,41.99,40.53,0.21,40.53,1.46,1.26,0.0,Closer01
NHB,Pk,A,21,38.86,37.35,0.21,37.35,1.51,1.3,0.0,Closer01
HBC,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,A,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,22,6.83,6.38,0.07,6.38,0.45,0.31,0.0,Closer01
All,Pk,A,22,12.94,12.5,0.16,12.5,0.44,0.28,0.0,Closer01
HBW,Pk,P,22,1.32,1.23,0.02,1.23,0.09,0.07,0.0,Closer01
HBW,Pk,A,22,9.54,9.3,0.13,9.3,0.25,0.12,0.0,Closer01
HBO,Pk,P,22,3.93,3.69,0.04,3.69,0.24,0.21,0.0,Closer01
HBO,Pk,A,22,2.3,2.15,0.02,2.15,0.15,0.13,0.0,Closer01
NHB,Pk,P,22,1.11,1.06,0.01,1.06,0.05,0.04,0.0,Closer01
NHB,Pk,A,22,1.1,1.05,0.01,1.05,0.05,0.04,0.0,Closer01
HBC,Pk,P,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,22,0.47,0.4,0.0,0.4,0.07,0.0,0.0,Closer01
HBSch,Pk,A,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,23,14.43,13.11,0.14,13.11,1.32,0.79,0.0,Closer01
All,Pk,A,23,65.7,62.06,0.83,62.07,3.62,2.79,0.01,Closer01
HBW,Pk,P,23,2.36,2.18,0.05,2.18,0.18,0.13,0.0,Closer01
HBW,Pk,A,23,44.63,42.95,0.65,42.96,1.66,1.02,0.01,Closer01
HBO,Pk,P,23,6.98,6.4,0.07,6.4,0.58,0.51,0.0,Closer01
HBO,Pk,A,23,16.99,15.21,0.16,15.21,1.78,1.61,0.0,Closer01
NHB,Pk,P,23,4.29,4.12,0.03,4.12,0.17,0.14,0.0,Closer01
NHB,Pk,A,23,4.08,3.9,0.03,3.9,0.18,0.16,0.0,Closer01
HBC,Pk,P,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,23,0.79,0.4,0.0,0.4,0.39,0.0,0.0,Closer01
HBSch,Pk,A,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,24,526.84,462.27,5.32,462.88,63.96,37.66,0.62,Closer01
All,Pk,A,24,233.69,207.36,1.83,207.44,26.25,24.42,0.08,Closer01
HBW,Pk,P,24,119.73,114.08,2.07,114.42,5.31,3.24,0.34,Closer01
HBW,Pk,A,24,26.27,26.0,0.05,26.0,0.27,0.22,0.0,Closer01
HBO,Pk,P,24,333.19,297.45,3.03,297.65,35.54,32.52,0.2,Closer01
HBO,Pk,A,24,175.35,151.3,1.59,151.37,23.97,22.38,0.07,Closer01
NHB,Pk,P,24,33.96,32.07,0.19,32.07,1.89,1.7,0.01,Closer01
NHB,Pk,A,24,32.07,30.05,0.19,30.06,2.01,1.82,0.01,Closer01
HBC,Pk,P,24,4.0,3.93,0.0,4.0,0.0,0.0,0.07,Closer01
HBC,Pk,A,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,24,35.96,14.74,0.03,14.74,21.22,0.21,0.0,Closer01
HBSch,Pk,A,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,25,1223.14,1049.63,12.28,1054.65,168.49,106.21,5.02,Closer01
All,Pk,A,25,893.0,676.32,6.55,677.02,215.99,84.47,0.7,Closer01
HBW,Pk,P,25,258.33,240.94,4.67,242.63,15.7,11.03,1.69,Closer01
HBW,Pk,A,25,155.46,145.0,1.54,145.27,10.19,8.66,0.27,Closer01
HBO,Pk,P,25,751.47,657.2,6.86,658.3,93.17,86.31,1.1,Closer01
HBO,Pk,A,25,471.51,400.95,4.19,401.32,70.19,66.0,0.37,Closer01
NHB,Pk,P,25,128.23,119.08,0.7,119.16,9.07,8.37,0.08,Closer01
NHB,Pk,A,25,121.53,112.23,0.68,112.29,9.24,8.55,0.07,Closer01
HBC,Pk,P,25,6.0,3.85,0.0,6.0,0.0,0.0,2.15,Closer01
HBC,Pk,A,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,25,79.12,28.56,0.06,28.56,50.56,0.51,0.0,Closer01
HBSch,Pk,A,25,144.5,18.13,0.13,18.13,126.36,1.26,0.0,Closer01
All,Pk,P,26,750.29,648.79,7.49,651.02,99.27,71.83,2.23,Closer01
All,Pk,A,26,684.13,599.34,6.24,600.43,83.7,77.46,1.1,Closer01
HBW,Pk,P,26,155.93,142.71,2.82,143.95,11.98,9.15,1.25,Closer01
HBW,Pk,A,26,195.22,179.82,2.28,180.46,14.76,12.48,0.64,Closer01
HBO,Pk,P,26,439.51,380.59,4.02,381.43,58.08,54.06,0.84,Closer01
HBO,Pk,A,26,379.99,319.68,3.34,320.06,59.93,56.59,0.38,Closer01
NHB,Pk,P,26,115.05,105.92,0.62,106.01,9.05,8.42,0.09,Closer01
NHB,Pk,A,26,108.92,99.84,0.61,99.92,9.0,8.4,0.08,Closer01
HBC,Pk,P,26,1.0,0.95,0.0,1.0,0.0,0.0,0.05,Closer01
HBC,Pk,A,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
