Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,161.03,161.05,22.56,138.47,22.57,138.48,Closer03
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,125.74,125.76,9.96,115.78,9.93,115.83,Closer03
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,558.31,558.41,14.7,543.61,14.72,543.69,Closer03
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,29.7,29.7,0.91,28.79,0.9,28.8,Closer03
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,194.03,193.97,11.11,182.92,11.08,182.89,Closer03
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,56.52,56.47,1.07,55.45,1.05,55.42,Closer03
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1061.04,1060.97,113.5,947.54,113.46,947.51,Closer03
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,654.23,654.26,109.84,544.39,109.87,544.39,Closer03
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,61.24,61.21,3.25,57.99,3.24,57.97,Closer03
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,65.5,65.5,9.33,56.17,9.34,56.16,Closer03
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,716.71,716.77,48.04,668.67,48.1,668.67,Closer03
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.22,10.2,0.24,9.98,0.24,9.96,Closer03
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,44.18,44.17,10.13,34.05,10.14,34.03,Closer03
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,237.39,237.41,25.94,211.45,25.93,211.48,Closer03
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,681.07,680.99,235.05,446.02,235.02,445.97,Closer03
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,463.63,463.63,20.02,443.61,19.98,443.65,Closer03
4.0,O614,pk,17.94,52.5,20.5,30.0,2.0,215.28,50.3,50.31,0.56,49.74,0.56,49.75,Closer03
4.0,O615,pk,15.08,43.7,20.7,30.0,2.0,180.96,259.24,259.24,23.21,236.03,23.19,236.05,Closer03
4.0,O626,pk,28.38,76.72,22.19,30.0,2.0,340.56,136.47,136.44,11.66,124.81,11.63,124.81,Closer03
4.0,O627,pk,18.58,54.97,20.28,30.0,2.0,222.96,84.12,84.15,8.68,75.44,8.66,75.49,Closer03
4.0,O628,pk,12.92,44.0,17.62,30.0,2.0,155.04,87.91,87.93,13.61,74.3,13.61,74.32,Closer03
4.0,O630,pk,48.72,97.88,29.87,60.0,1.0,292.32,195.69,195.66,17.19,178.5,17.16,178.5,Closer03
4.0,O640,pk,35.1,110.69,19.03,30.0,2.0,421.2,551.43,551.36,136.39,415.04,136.34,415.02,Closer03
4.0,O667,pk,2.75,9.46,17.44,30.0,2.0,33.0,0.79,0.79,0.0,0.79,0.0,0.79,Closer03
4.0,OF605,pk,14.18,48.56,17.52,60.0,1.0,85.08,129.44,129.4,5.29,124.15,5.3,124.1,Closer03
4.0,OF618,pk,14.04,42.0,20.06,30.0,2.0,168.48,76.83,76.79,6.76,70.07,6.74,70.05,Closer03
4.0,OF620,pk,16.66,44.97,22.23,30.0,2.0,199.92,86.55,86.51,6.65,79.9,6.62,79.89,Closer03
4.0,OF638,pk,13.4,34.23,23.49,60.0,1.0,80.4,13.93,13.97,0.1,13.83,0.1,13.87,Closer03
4.0,S002,pk,8.42,39.15,12.9,15.0,4.0,202.08,987.65,987.67,114.16,873.49,114.15,873.52,Closer03
4.0,S004,pk,23.85,79.47,18.01,30.0,2.0,286.2,796.78,796.8,35.16,761.62,35.14,761.66,Closer03
4.0,S009,pk,19.62,72.49,16.24,15.0,4.0,470.88,1170.78,1170.83,30.98,1139.8,31.01,1139.82,Closer03
4.0,S017,pk,15.42,61.53,15.04,30.0,2.0,185.04,536.82,536.83,70.62,466.2,70.62,466.21,Closer03
4.0,S021,pk,15.7,58.29,16.16,15.0,4.0,376.8,1297.29,1297.27,187.85,1109.44,187.83,1109.44,Closer03
