SUBAREAID,PERIOD,TRIPPURP,MODE,TRIPS,scenario_id
1,pk,HBW,Walk,23876,Closer09
1,pk,HBC,Walk,26873,Closer09
1,pk,HBO,Walk,154345,Closer09
1,pk,NHB,Walk,56088,Closer09
1,pk,HBSch,Walk,69291,Closer09
1,pk,HBW,Bike,13822,Closer09
1,pk,HBC,Bike,2180,Closer09
1,pk,HBO,Bike,19426,Closer09
1,pk,NHB,Bike,5907,Closer09
1,pk,HBSch,Bike,9370,Closer09
1,pk,HBW,Auto,905715,Closer09
1,pk,HBC,Auto,79594,Closer09
1,pk,HBO,Auto,1898052,Closer09
1,pk,NHB,Auto,868443,Closer09
1,pk,HBSch,Auto,312819,Closer09
1,pk,HBW,RegAuto,905518,Closer09
1,pk,HBC,RegAuto,79594,Closer09
1,pk,HBO,RegAuto,1897216,Closer09
1,pk,NHB,RegAuto,868141,Closer09
1,pk,HBSch,RegAuto,312819,Closer09
1,pk,HBW,IMZD2D,197,Closer09
1,pk,HBC,IMZD2D,0,Closer09
1,pk,HBO,IMZD2D,836,Closer09
1,pk,NHB,IMZD2D,302,Closer09
1,pk,HBSch,IMZD2D,0,Closer09
1,pk,HBW,SchoolBus,0,Closer09
1,pk,HBC,SchoolBus,0,Closer09
1,pk,HBO,SchoolBus,0,Closer09
1,pk,NHB,SchoolBus,0,Closer09
1,pk,HBSch,SchoolBus,51271,Closer09
1,pk,HBW,LCL,9162,Closer09
1,pk,HBC,LCL,8719,Closer09
1,pk,HBO,LCL,4147,Closer09
1,pk,NHB,LCL,730,Closer09
1,pk,HBSch,LCL,0,Closer09
1,pk,HBW,COR,992,Closer09
1,pk,HBC,COR,179,Closer09
1,pk,HBO,COR,529,Closer09
1,pk,NHB,COR,72,Closer09
1,pk,HBSch,COR,0,Closer09
1,pk,HBW,BRT,1368,Closer09
1,pk,HBC,BRT,4960,Closer09
1,pk,HBO,BRT,746,Closer09
1,pk,NHB,BRT,219,Closer09
1,pk,HBSch,BRT,0,Closer09
1,pk,HBW,EXP,358,Closer09
1,pk,HBC,EXP,109,Closer09
1,pk,HBO,EXP,44,Closer09
1,pk,NHB,EXP,15,Closer09
1,pk,HBSch,EXP,0,Closer09
1,pk,HBW,LRT,8126,Closer09
1,pk,HBC,LRT,4881,Closer09
1,pk,HBO,LRT,5006,Closer09
1,pk,NHB,LRT,770,Closer09
1,pk,HBSch,LRT,0,Closer09
1,pk,HBW,CRT,3395,Closer09
1,pk,HBC,CRT,4086,Closer09
1,pk,HBO,CRT,1099,Closer09
1,pk,NHB,CRT,222,Closer09
1,pk,HBSch,CRT,0,Closer09
1,ok,HBW,Walk,34617,Closer09
1,ok,HBC,Walk,0,Closer09
1,ok,HBO,Walk,297750,Closer09
1,ok,NHB,Walk,141383,Closer09
1,ok,HBSch,Walk,38855,Closer09
1,ok,HBW,Bike,9541,Closer09
1,ok,HBC,Bike,0,Closer09
1,ok,HBO,Bike,40683,Closer09
1,ok,NHB,Bike,12991,Closer09
1,ok,HBSch,Bike,5205,Closer09
1,ok,HBW,Auto,841155,Closer09
1,ok,HBC,Auto,0,Closer09
1,ok,HBO,Auto,3738327,Closer09
1,ok,NHB,Auto,1733077,Closer09
1,ok,HBSch,Auto,175711,Closer09
1,ok,HBW,RegAuto,841012,Closer09
1,ok,HBC,RegAuto,0,Closer09
1,ok,HBO,RegAuto,3737042,Closer09
1,ok,NHB,RegAuto,1732606,Closer09
1,ok,HBSch,RegAuto,175711,Closer09
1,ok,HBW,IMZD2D,143,Closer09
1,ok,HBC,IMZD2D,0,Closer09
1,ok,HBO,IMZD2D,1285,Closer09
1,ok,NHB,IMZD2D,471,Closer09
1,ok,HBSch,IMZD2D,0,Closer09
1,ok,HBW,SchoolBus,0,Closer09
1,ok,HBC,SchoolBus,0,Closer09
1,ok,HBO,SchoolBus,0,Closer09
1,ok,NHB,SchoolBus,0,Closer09
1,ok,HBSch,SchoolBus,28613,Closer09
1,ok,HBW,LCL,7085,Closer09
1,ok,HBC,LCL,0,Closer09
1,ok,HBO,LCL,11499,Closer09
1,ok,NHB,LCL,1825,Closer09
1,ok,HBSch,LCL,0,Closer09
1,ok,HBW,COR,733,Closer09
1,ok,HBC,COR,0,Closer09
1,ok,HBO,COR,1302,Closer09
1,ok,NHB,COR,186,Closer09
1,ok,HBSch,COR,0,Closer09
1,ok,HBW,BRT,688,Closer09
1,ok,HBC,BRT,0,Closer09
1,ok,HBO,BRT,1788,Closer09
1,ok,NHB,BRT,920,Closer09
1,ok,HBSch,BRT,0,Closer09
1,ok,HBW,EXP,0,Closer09
1,ok,HBC,EXP,0,Closer09
1,ok,HBO,EXP,0,Closer09
1,ok,NHB,EXP,0,Closer09
1,ok,HBSch,EXP,0,Closer09
1,ok,HBW,LRT,6917,Closer09
1,ok,HBC,LRT,0,Closer09
1,ok,HBO,LRT,10698,Closer09
1,ok,NHB,LRT,2176,Closer09
1,ok,HBSch,LRT,0,Closer09
1,ok,HBW,CRT,1831,Closer09
1,ok,HBC,CRT,0,Closer09
1,ok,HBO,CRT,2370,Closer09
1,ok,NHB,CRT,304,Closer09
1,ok,HBSch,CRT,0,Closer09
