Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,158.46,158.41,22.37,136.09,22.35,136.06,Closer05
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,124.75,124.75,10.18,114.57,10.18,114.57,Closer05
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,555.42,555.45,14.63,540.79,14.64,540.81,Closer05
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,28.36,28.34,0.9,27.46,0.9,27.44,Closer05
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,187.69,187.67,11.22,176.47,11.17,176.5,Closer05
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,56.3,56.28,1.09,55.21,1.08,55.2,Closer05
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1039.5,1039.38,111.19,928.31,111.2,928.18,Closer05
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,653.2,653.23,109.92,543.28,109.94,543.29,Closer05
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,61.17,61.17,3.25,57.92,3.25,57.92,Closer05
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,64.81,64.79,9.33,55.48,9.29,55.5,Closer05
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,708.04,708.15,48.12,659.92,48.2,659.95,Closer05
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.06,10.04,0.22,9.84,0.22,9.82,Closer05
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,41.17,41.17,9.09,32.08,9.08,32.09,Closer05
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,233.15,233.15,25.43,207.72,25.46,207.69,Closer05
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,677.89,677.9,234.8,443.09,234.77,443.13,Closer05
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,451.43,451.37,18.61,432.82,18.59,432.78,Closer05
4.0,O614,pk,17.94,52.5,20.5,30.0,2.0,215.28,47.77,47.79,0.53,47.24,0.53,47.26,Closer05
4.0,O615,pk,15.08,43.7,20.7,30.0,2.0,180.96,256.34,256.34,23.01,233.33,23.02,233.32,Closer05
4.0,O626,pk,28.38,76.72,22.19,30.0,2.0,340.56,135.18,135.18,11.69,123.49,11.69,123.49,Closer05
4.0,O627,pk,18.58,54.97,20.28,30.0,2.0,222.96,84.79,84.78,8.64,76.15,8.62,76.16,Closer05
4.0,O628,pk,12.92,44.0,17.62,30.0,2.0,155.04,87.37,87.33,13.58,73.79,13.57,73.76,Closer05
4.0,O630,pk,48.72,97.88,29.87,60.0,1.0,292.32,194.43,194.26,17.16,177.27,17.1,177.16,Closer05
4.0,O640,pk,35.1,110.69,19.03,30.0,2.0,421.2,548.69,548.63,136.24,412.45,136.18,412.45,Closer05
4.0,O667,pk,2.75,9.46,17.44,30.0,2.0,33.0,0.79,0.79,0.0,0.79,0.0,0.79,Closer05
4.0,OF605,pk,14.18,48.56,17.52,60.0,1.0,85.08,128.88,128.91,5.33,123.55,5.34,123.57,Closer05
4.0,OF618,pk,14.04,42.0,20.06,30.0,2.0,168.48,74.76,74.7,6.63,68.13,6.61,68.09,Closer05
4.0,OF620,pk,16.66,44.97,22.23,30.0,2.0,199.92,83.34,83.31,6.4,76.94,6.37,76.94,Closer05
4.0,OF638,pk,13.4,34.23,23.49,60.0,1.0,80.4,13.86,13.88,0.1,13.76,0.1,13.78,Closer05
4.0,S002,pk,8.42,39.15,12.9,15.0,4.0,202.08,971.71,971.7,113.63,858.08,113.62,858.08,Closer05
4.0,S004,pk,23.85,79.47,18.01,30.0,2.0,286.2,770.66,770.53,34.23,736.43,34.23,736.3,Closer05
4.0,S009,pk,19.62,72.49,16.24,15.0,4.0,470.88,1146.67,1146.63,30.8,1115.87,30.78,1115.85,Closer05
4.0,S017,pk,15.42,61.53,15.04,30.0,2.0,185.04,539.87,539.86,71.06,468.81,71.05,468.81,Closer05
4.0,S021,pk,15.7,58.29,16.16,15.0,4.0,376.8,1287.04,1287.03,187.03,1100.01,187.01,1100.02,Closer05
4.0,S033,pk,12.54,36.51,20.61,15.0,4.0,300.96,300.05,300.08,13.94,286.11,13.94,286.14,Closer05
4.0,S035,pk,28.18,87.08,19.42,15.0,4.0,676.32,507.59,507.55,34.75,472.84,34.73,472.82,Closer05
4.0,S039,pk,22.92,73.59,18.69,15.0,4.0,550.08,712.3,712.25,42.37,669.93,42.37,669.88,Closer05
4.0,S045,pk,16.22,49.81,19.54,15.0,4.0,389.28,321.15,321.16,20.93,300.22,20.91,300.25,Closer05
4.0,S047,pk,25.68,79.32,19.43,30.0,2.0,308.16,236.71,236.66,10.18,226.53,10.13,226.53,Closer05
4.0,S054,pk,17.78,54.0,19.76,15.0,4.0,426.72,299.79,299.85,24.21,275.58,24.24,275.61,Closer05
4.0,S062,pk,20.26,61.47,19.78,60.0,1.0,121.56,44.6,44.56,1.07,43.53,1.03,43.53,Closer05
4.0,S072,pk,11.06,38.76,17.12,30.0,2.0,132.72,138.03,138.01,8.92,129.11,8.9,129.11,Closer05
4.0,S1,pk,21.44,85.28,15.08,15.0,4.0,514.56,1263.97,1264.01,4.44,1259.53,4.39,1259.62,Closer05
