Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,150.03,150.01,19.31,130.72,19.33,130.68,Closer08
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,119.55,119.57,8.93,110.62,8.92,110.65,Closer08
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,558.51,558.56,14.2,544.31,14.21,544.35,Closer08
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,26.97,27.0,0.85,26.12,0.84,26.16,Closer08
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,183.38,183.34,10.06,173.32,10.05,173.29,Closer08
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,56.16,56.15,1.06,55.1,1.06,55.09,Closer08
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1006.49,1006.28,101.58,904.91,101.54,904.74,Closer08
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,658.26,658.26,110.22,548.04,110.25,548.01,Closer08
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,59.4,59.42,2.86,56.54,2.86,56.56,Closer08
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,62.72,62.7,8.66,54.06,8.68,54.02,Closer08
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,685.9,685.83,44.53,641.37,44.51,641.32,Closer08
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.38,10.37,0.18,10.2,0.18,10.19,Closer08
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,40.04,40.03,8.12,31.92,8.1,31.93,Closer08
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,231.7,231.71,24.75,206.95,24.81,206.9,Closer08
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,673.98,673.86,232.84,441.14,232.8,441.06,Closer08
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,440.21,440.17,15.58,424.63,15.59,424.58,Closer08
4.0,O614,pk,17.94,52.5,20.5,30.0,2.0,215.28,48.53,48.53,0.48,48.05,0.47,48.06,Closer08
4.0,O615,pk,15.08,43.7,20.7,30.0,2.0,180.96,253.48,253.46,22.68,230.8,22.66,230.8,Closer08
4.0,O626,pk,28.38,76.72,22.19,30.0,2.0,340.56,133.65,133.62,11.97,121.68,11.98,121.64,Closer08
4.0,O627,pk,18.58,54.97,20.28,30.0,2.0,222.96,86.2,86.19,8.32,77.88,8.32,77.87,Closer08
4.0,O628,pk,12.92,44.0,17.62,30.0,2.0,155.04,83.95,83.97,13.4,70.55,13.42,70.55,Closer08
4.0,O630,pk,48.72,97.88,29.87,60.0,1.0,292.32,187.17,187.25,15.73,171.44,15.75,171.5,Closer08
4.0,O640,pk,35.1,110.69,19.03,30.0,2.0,421.2,544.49,544.49,135.16,409.33,135.12,409.37,Closer08
4.0,O667,pk,2.75,9.46,17.44,30.0,2.0,33.0,0.84,0.84,0.0,0.84,0.0,0.84,Closer08
4.0,OF605,pk,14.18,48.56,17.52,60.0,1.0,85.08,127.51,127.53,4.58,122.93,4.58,122.95,Closer08
4.0,OF618,pk,14.04,42.0,20.06,30.0,2.0,168.48,71.09,71.03,5.84,65.25,5.83,65.2,Closer08
4.0,OF620,pk,16.66,44.97,22.23,30.0,2.0,199.92,82.93,82.87,6.43,76.5,6.39,76.48,Closer08
