Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
All,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBW,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBW,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBO,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBO,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
NHB,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
NHB,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,2,44.84,43.15,0.16,43.15,1.69,1.18,0.0,Closer05
All,Pk,A,2,22.21,20.88,0.11,20.88,1.33,1.21,0.0,Closer05
HBW,Pk,P,2,10.17,10.12,0.05,10.12,0.05,0.0,0.0,Closer05
HBW,Pk,A,2,2.21,2.21,0.0,2.21,0.0,0.0,0.0,Closer05
HBO,Pk,P,2,29.12,27.9,0.11,27.9,1.22,1.11,0.0,Closer05
HBO,Pk,A,2,16.98,15.73,0.11,15.73,1.25,1.14,0.0,Closer05
NHB,Pk,P,2,3.11,3.04,0.01,3.04,0.07,0.07,0.0,Closer05
NHB,Pk,A,2,3.02,2.95,0.01,2.95,0.08,0.07,0.0,Closer05
HBC,Pk,P,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,2,2.45,2.1,0.0,2.1,0.35,0.0,0.0,Closer05
HBSch,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,3,73.83,69.6,0.41,69.84,3.99,3.02,0.24,Closer05
All,Pk,A,3,33.12,30.29,0.18,30.29,2.83,2.65,0.0,Closer05
HBW,Pk,P,3,15.62,15.46,0.12,15.47,0.15,0.03,0.02,Closer05
HBW,Pk,A,3,3.39,3.39,0.0,3.39,0.0,0.0,0.0,Closer05
HBO,Pk,P,3,48.82,45.45,0.28,45.68,3.14,2.87,0.22,Closer05
HBO,Pk,A,3,24.83,22.14,0.17,22.14,2.69,2.53,0.0,Closer05
NHB,Pk,P,3,5.12,4.99,0.01,4.99,0.13,0.12,0.0,Closer05
NHB,Pk,A,3,4.9,4.77,0.01,4.77,0.13,0.12,0.0,Closer05
HBC,Pk,P,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,3,4.27,3.7,0.0,3.7,0.56,0.01,0.0,Closer05
HBSch,Pk,A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,4,2.11,2.04,0.02,2.04,0.08,0.04,0.0,Closer05
All,Pk,A,4,1.01,0.97,0.01,0.97,0.04,0.04,0.0,Closer05
HBW,Pk,P,4,0.36,0.36,0.0,0.36,0.0,0.0,0.0,Closer05
HBW,Pk,A,4,0.12,0.12,0.0,0.12,0.0,0.0,0.0,Closer05
HBO,Pk,P,4,1.56,1.51,0.01,1.51,0.05,0.04,0.0,Closer05
HBO,Pk,A,4,0.86,0.82,0.01,0.82,0.04,0.04,0.0,Closer05
NHB,Pk,P,4,0.02,0.02,0.0,0.02,0.0,0.0,0.0,Closer05
NHB,Pk,A,4,0.03,0.03,0.0,0.03,0.0,0.0,0.0,Closer05
HBC,Pk,P,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBC,Pk,A,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
HBSch,Pk,P,4,0.17,0.15,0.0,0.15,0.02,0.0,0.0,Closer05
HBSch,Pk,A,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer05
All,Pk,P,5,231.63,220.21,1.38,220.21,11.41,7.58,0.0,Closer05
All,Pk,A,5,99.03,91.06,0.64,91.06,7.97,7.34,0.0,Closer05
HBW,Pk,P,5,50.75,50.04,0.48,50.04,0.71,0.24,0.0,Closer05
HBW,Pk,A,5,11.68,11.46,0.05,11.46,0.22,0.17,0.0,Closer05
HBO,Pk,P,5,143.12,135.24,0.86,135.24,7.88,7.02,0.0,Closer05
HBO,Pk,A,5,73.03,65.61,0.55,65.61,7.42,6.87,0.0,Closer05
NHB,Pk,P,5,15.33,14.99,0.04,14.99,0.34,0.3,0.0,Closer05
NHB,Pk,A,5,14.32,13.98,0.04,13.98,0.34,0.3,0.0,Closer05
