Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
All,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
All,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBW,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBW,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBO,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBO,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
NHB,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
NHB,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBC,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBC,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBSch,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBSch,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
All,Pk,P,2,45.37,43.69,0.16,43.69,1.69,1.18,0.0,Closer06
All,Pk,A,2,22.21,20.88,0.11,20.88,1.33,1.21,0.0,Closer06
HBW,Pk,P,2,10.7,10.66,0.04,10.66,0.04,0.0,0.0,Closer06
HBW,Pk,A,2,2.21,2.21,0.0,2.21,0.0,0.0,0.0,Closer06
HBO,Pk,P,2,29.12,27.9,0.11,27.9,1.22,1.11,0.0,Closer06
HBO,Pk,A,2,16.98,15.73,0.11,15.73,1.25,1.14,0.0,Closer06
NHB,Pk,P,2,3.11,3.04,0.01,3.04,0.07,0.07,0.0,Closer06
NHB,Pk,A,2,3.02,2.95,0.01,2.95,0.08,0.07,0.0,Closer06
HBC,Pk,P,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBC,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBSch,Pk,P,2,2.45,2.1,0.0,2.1,0.35,0.0,0.0,Closer06
HBSch,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
All,Pk,P,3,74.35,70.13,0.41,70.37,3.98,3.01,0.24,Closer06
All,Pk,A,3,33.12,30.29,0.18,30.29,2.83,2.65,0.0,Closer06
HBW,Pk,P,3,16.14,15.98,0.12,16.0,0.14,0.02,0.02,Closer06
HBW,Pk,A,3,3.39,3.39,0.0,3.39,0.0,0.0,0.0,Closer06
HBO,Pk,P,3,48.82,45.45,0.28,45.68,3.14,2.87,0.22,Closer06
HBO,Pk,A,3,24.83,22.14,0.17,22.14,2.69,2.53,0.0,Closer06
NHB,Pk,P,3,5.12,4.99,0.01,4.99,0.13,0.12,0.0,Closer06
NHB,Pk,A,3,4.9,4.77,0.01,4.77,0.13,0.12,0.0,Closer06
HBC,Pk,P,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBC,Pk,A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBSch,Pk,P,3,4.27,3.7,0.0,3.7,0.56,0.01,0.0,Closer06
HBSch,Pk,A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
All,Pk,P,4,2.3,2.22,0.02,2.22,0.08,0.04,0.0,Closer06
All,Pk,A,4,1.01,0.97,0.01,0.97,0.04,0.04,0.0,Closer06
HBW,Pk,P,4,0.55,0.54,0.0,0.54,0.0,0.0,0.0,Closer06
HBW,Pk,A,4,0.12,0.12,0.0,0.12,0.0,0.0,0.0,Closer06
HBO,Pk,P,4,1.56,1.51,0.01,1.51,0.05,0.04,0.0,Closer06
HBO,Pk,A,4,0.86,0.82,0.01,0.82,0.04,0.04,0.0,Closer06
NHB,Pk,P,4,0.02,0.02,0.0,0.02,0.0,0.0,0.0,Closer06
NHB,Pk,A,4,0.03,0.03,0.0,0.03,0.0,0.0,0.0,Closer06
HBC,Pk,P,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBC,Pk,A,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBSch,Pk,P,4,0.17,0.15,0.0,0.15,0.02,0.0,0.0,Closer06
HBSch,Pk,A,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
All,Pk,P,5,232.12,220.78,1.37,220.78,11.33,7.5,0.0,Closer06
All,Pk,A,5,99.08,91.17,0.63,91.17,7.91,7.29,0.0,Closer06
HBW,Pk,P,5,51.25,50.61,0.47,50.61,0.63,0.17,0.0,Closer06
HBW,Pk,A,5,11.73,11.57,0.04,11.57,0.16,0.12,0.0,Closer06
HBO,Pk,P,5,143.12,135.24,0.86,135.24,7.88,7.02,0.0,Closer06
HBO,Pk,A,5,73.03,65.61,0.55,65.61,7.42,6.87,0.0,Closer06
NHB,Pk,P,5,15.33,14.99,0.04,14.99,0.34,0.3,0.0,Closer06
NHB,Pk,A,5,14.32,13.98,0.04,13.98,0.34,0.3,0.0,Closer06
HBC,Pk,P,5,6.0,6.0,0.0,6.0,0.0,0.0,0.0,Closer06
HBC,Pk,A,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBSch,Pk,P,5,16.42,13.94,0.01,13.94,2.49,0.02,0.0,Closer06
HBSch,Pk,A,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
All,Pk,P,6,8.5,8.03,0.06,8.03,0.46,0.33,0.01,Closer06
All,Pk,A,6,13.25,12.7,0.08,12.7,0.55,0.47,0.0,Closer06
HBW,Pk,P,6,1.86,1.81,0.02,1.81,0.05,0.03,0.0,Closer06
HBW,Pk,A,6,6.12,6.07,0.03,6.07,0.06,0.03,0.0,Closer06
HBO,Pk,P,6,5.23,4.9,0.04,4.9,0.33,0.29,0.01,Closer06
HBO,Pk,A,6,6.25,5.77,0.05,5.77,0.48,0.43,0.0,Closer06
NHB,Pk,P,6,0.87,0.85,0.0,0.85,0.02,0.01,0.0,Closer06
NHB,Pk,A,6,0.88,0.86,0.0,0.86,0.02,0.01,0.0,Closer06
HBC,Pk,P,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBC,Pk,A,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
HBSch,Pk,P,6,0.54,0.47,0.0,0.47,0.07,0.0,0.0,Closer06
HBSch,Pk,A,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
All,Pk,P,7,129.32,119.65,0.81,120.02,9.31,7.43,0.36,Closer06
All,Pk,A,7,103.0,95.42,0.6,95.42,7.58,6.98,0.0,Closer06
HBW,Pk,P,7,26.83,26.0,0.27,26.03,0.81,0.54,0.03,Closer06
HBW,Pk,A,7,31.12,30.46,0.16,30.46,0.66,0.51,0.0,Closer06
HBO,Pk,P,7,80.75,73.4,0.51,73.73,7.03,6.52,0.33,Closer06
HBO,Pk,A,7,58.61,52.08,0.41,52.08,6.53,6.12,0.0,Closer06
NHB,Pk,P,7,14.07,13.68,0.03,13.68,0.39,0.36,0.0,Closer06
NHB,Pk,A,7,13.27,12.88,0.03,12.88,0.4,0.36,0.0,Closer06
HBC,Pk,P,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer06
