Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,156.76,156.75,21.63,135.13,21.62,135.13,Closer01
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,124.74,124.73,9.92,114.82,9.88,114.85,Closer01
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,557.27,557.23,14.54,542.73,14.55,542.68,Closer01
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,29.4,29.4,0.89,28.51,0.89,28.51,Closer01
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,189.2,189.19,11.11,178.09,11.09,178.1,Closer01
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,56.17,56.13,1.06,55.11,1.03,55.1,Closer01
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1033.04,1033.02,108.94,924.1,108.96,924.06,Closer01
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,654.43,654.33,109.87,544.56,109.86,544.47,Closer01
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,60.93,60.92,3.22,57.71,3.2,57.72,Closer01
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,64.83,64.86,9.25,55.58,9.27,55.59,Closer01
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,699.71,699.68,47.01,652.7,47.04,652.64,Closer01
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.24,10.21,0.23,10.01,0.24,9.97,Closer01
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,40.41,40.42,8.69,31.72,8.73,31.69,Closer01
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,232.81,232.93,25.22,207.59,25.26,207.67,Closer01
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,678.19,678.13,234.47,443.72,234.4,443.73,Closer01
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,457.74,457.68,20.04,437.7,20.01,437.67,Closer01
4.0,O614,pk,17.94,52.5,20.5,30.0,2.0,215.28,49.22,49.23,0.56,48.66,0.56,48.67,Closer01
4.0,O615,pk,15.08,43.7,20.7,30.0,2.0,180.96,259.08,259.15,23.23,235.85,23.23,235.92,Closer01
4.0,O626,pk,28.38,76.72,22.19,30.0,2.0,340.56,134.52,134.51,11.31,123.21,11.32,123.19,Closer01
4.0,O627,pk,18.58,54.97,20.28,30.0,2.0,222.96,83.56,83.56,8.64,74.92,8.61,74.95,Closer01
4.0,O628,pk,12.92,44.0,17.62,30.0,2.0,155.04,87.62,87.62,13.56,74.06,13.57,74.05,Closer01
4.0,O630,pk,48.72,97.88,29.87,60.0,1.0,292.32,193.87,193.81,16.9,176.97,16.88,176.93,Closer01
4.0,O640,pk,35.1,110.69,19.03,30.0,2.0,421.2,546.97,546.85,135.9,411.07,135.87,410.98,Closer01
4.0,O667,pk,2.75,9.46,17.44,30.0,2.0,33.0,0.8,0.81,0.0,0.8,0.0,0.81,Closer01
4.0,OF605,pk,14.18,48.56,17.52,60.0,1.0,85.08,128.32,128.33,5.21,123.11,5.22,123.11,Closer01
4.0,OF618,pk,14.04,42.0,20.06,30.0,2.0,168.48,75.29,75.27,6.56,68.73,6.57,68.7,Closer01
4.0,OF620,pk,16.66,44.97,22.23,30.0,2.0,199.92,82.38,82.39,6.24,76.14,6.23,76.16,Closer01
4.0,OF638,pk,13.4,34.23,23.49,60.0,1.0,80.4,13.86,13.84,0.1,13.76,0.1,13.74,Closer01
4.0,S002,pk,8.42,39.15,12.9,15.0,4.0,202.08,989.43,989.44,114.76,874.67,114.75,874.69,Closer01
4.0,S004,pk,23.85,79.47,18.01,30.0,2.0,286.2,792.18,792.16,33.66,758.52,33.63,758.53,Closer01
4.0,S009,pk,19.62,72.49,16.24,15.0,4.0,470.88,1159.57,1159.64,30.65,1128.92,30.64,1129.0,Closer01
4.0,S017,pk,15.42,61.53,15.04,30.0,2.0,185.04,536.39,536.37,70.69,465.7,70.68,465.69,Closer01
4.0,S021,pk,15.7,58.29,16.16,15.0,4.0,376.8,1285.9,1285.9,186.7,1099.2,186.69,1099.21,Closer01
4.0,S033,pk,12.54,36.51,20.61,15.0,4.0,300.96,300.52,300.48,13.77,286.75,13.77,286.71,Closer01
4.0,S035,pk,28.18,87.08,19.42,15.0,4.0,676.32,503.27,503.23,34.43,468.84,34.39,468.84,Closer01
4.0,S039,pk,22.92,73.59,18.69,15.0,4.0,550.08,709.97,709.92,42.13,667.84,42.09,667.83,Closer01
4.0,S045,pk,16.22,49.81,19.54,15.0,4.0,389.28,318.1,318.11,20.67,297.43,20.67,297.44,Closer01
4.0,S047,pk,25.68,79.32,19.43,30.0,2.0,308.16,233.17,233.09,10.16,223.01,10.1,222.99,Closer01
4.0,S054,pk,17.78,54.0,19.76,15.0,4.0,426.72,294.27,294.26,23.65,270.62,23.64,270.62,Closer01
4.0,S062,pk,20.26,61.47,19.78,60.0,1.0,121.56,44.52,44.48,1.01,43.51,1.0,43.48,Closer01
4.0,S072,pk,11.06,38.76,17.12,30.0,2.0,132.72,134.51,134.52,8.44,126.07,8.43,126.09,Closer01
