Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,150.29,150.34,19.21,131.08,19.22,131.12,Closer07
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,120.92,120.86,8.98,111.94,8.95,111.91,Closer07
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,560.23,560.23,14.14,546.09,14.15,546.08,Closer07
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,29.12,29.12,0.86,28.26,0.84,28.28,Closer07
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,188.4,188.36,10.38,178.02,10.38,177.98,Closer07
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,55.98,55.98,1.01,54.97,1.01,54.97,Closer07
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1008.49,1008.27,101.64,906.85,101.54,906.73,Closer07
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,659.31,659.26,109.93,549.38,109.94,549.32,Closer07
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,59.39,59.39,2.93,56.46,2.92,56.47,Closer07
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,63.37,63.35,8.82,54.55,8.82,54.53,Closer07
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,675.04,674.92,43.44,631.6,43.43,631.49,Closer07
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.44,10.43,0.23,10.21,0.23,10.2,Closer07
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,37.97,37.95,7.69,30.28,7.67,30.28,Closer07
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,231.0,230.97,24.53,206.47,24.56,206.41,Closer07
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,675.19,675.13,232.99,442.2,232.99,442.14,Closer07
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,458.82,458.86,20.9,437.92,20.9,437.96,Closer07
4.0,O614,pk,17.94,52.5,20.5,30.0,2.0,215.28,49.68,49.68,0.57,49.11,0.57,49.11,Closer07
4.0,O615,pk,15.08,43.7,20.7,30.0,2.0,180.96,260.05,260.07,23.37,236.68,23.36,236.71,Closer07
