Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
All,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
All,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
HBW,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
HBW,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
HBO,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
HBO,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
NHB,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
NHB,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
HBC,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
HBC,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
HBSch,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
HBSch,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
All,Pk,P,2,47.14,45.45,0.16,45.45,1.68,1.18,0.0,Closer07
All,Pk,A,2,22.21,20.88,0.11,20.88,1.33,1.21,0.0,Closer07
HBW,Pk,P,2,12.46,12.42,0.04,12.42,0.04,0.0,0.0,Closer07
HBW,Pk,A,2,2.21,2.21,0.0,2.21,0.0,0.0,0.0,Closer07
HBO,Pk,P,2,29.12,27.9,0.11,27.9,1.22,1.11,0.0,Closer07
HBO,Pk,A,2,16.98,15.73,0.11,15.73,1.25,1.14,0.0,Closer07
NHB,Pk,P,2,3.11,3.04,0.01,3.04,0.07,0.07,0.0,Closer07
NHB,Pk,A,2,3.02,2.95,0.01,2.95,0.08,0.07,0.0,Closer07
HBC,Pk,P,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
HBC,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer07
HBSch,Pk,P,2,2.45,2.1,0.0,2.1,0.35,0.0,0.0,Closer07
