Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,155.6,155.64,20.9,134.7,20.9,134.74,Closer09
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,121.16,121.19,9.02,112.14,8.99,112.2,Closer09
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,559.73,559.77,14.49,545.24,14.5,545.27,Closer09
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,29.1,29.09,0.87,28.23,0.85,28.24,Closer09
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,193.65,193.63,10.37,183.28,10.34,183.29,Closer09
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,56.28,56.24,1.04,55.24,1.02,55.22,Closer09
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1053.1,1053.07,111.45,941.65,111.44,941.63,Closer09
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,655.78,655.73,109.81,545.97,109.82,545.91,Closer09
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,59.95,59.96,3.02,56.93,3.01,56.95,Closer09
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,64.5,64.46,9.0,55.5,8.99,55.47,Closer09
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,702.69,702.61,45.67,657.02,45.67,656.94,Closer09
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.36,10.32,0.25,10.11,0.25,10.07,Closer09
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,45.93,45.87,10.84,35.09,10.84,35.03,Closer09
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,237.49,237.46,25.97,211.52,25.96,211.5,Closer09
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,679.22,679.19,234.18,445.04,234.19,445.0,Closer09
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,465.31,465.29,20.62,444.69,20.63,444.66,Closer09
4.0,O614,pk,17.94,52.5,20.5,30.0,2.0,215.28,50.76,50.78,0.57,50.19,0.58,50.2,Closer09
4.0,O615,pk,15.08,43.7,20.7,30.0,2.0,180.96,259.5,259.55,23.27,236.23,23.26,236.29,Closer09
4.0,O626,pk,28.38,76.72,22.19,30.0,2.0,340.56,133.73,133.75,11.6,122.13,11.61,122.14,Closer09
4.0,O627,pk,18.58,54.97,20.28,30.0,2.0,222.96,83.04,83.08,8.5,74.54,8.51,74.57,Closer09
