SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     243.2,     542.8,     348.3,     433.8,    1568.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.153,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1421.1,    3171.8,    2035.2,    2534.8,    9162.9,    1158.1,    2470.6,    1550.2,    1950.5,    7129.4,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.77,     24.93,     55.65,     35.71,     44.48,    160.77,         0,     0.002,         0,     0.008,     0.010
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     246.0,     544.6,     350.8,     435.3,    1576.7,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.200,     3.199,     3.199,     3.200,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     747.6,    1655.1,    1066.0,    1322.9,    4791.6,     610.9,    1290.3,     813.9,    1019.0,    3734.1,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     84.06,     13.11,     29.04,     18.70,     23.21,     84.06,     0.005,         0,     0.003,     0.005,     0.013
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     487.5,     730.1,     657.2,     615.8,    2490.6,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.14,      0.07,      0.14,      0.03,      0.14,     330.5,     495.0,     445.6,     417.5,    1688.6,     279.0,     386.5,     373.9,     349.7,    1389.1,       4.1,      21.7,       6.1,       3.4,      35.3,      32.5,      53.6,      45.4,      35.3,     166.8,      14.9,      33.2,      20.3,      29.1,      97.5,     29.62,      5.79,      8.68,      7.82,      7.33,     29.62,         0,     0.002,     0.003,     0.007,     0.012
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     560.0,     858.7,     761.7,     723.4,    2903.8,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.077,     2.077,     2.077,     2.077,     2.077,      6390,     12780,      6390,     25560,     51120,      0.14,      0.09,      0.16,      0.03,      0.16,    1105.0,    1694.3,    1502.9,    1427.3,    5729.5,     917.5,    1300.0,    1256.1,    1192.7,    4666.3,      14.2,      86.7,      27.0,      14.0,     141.9,     127.2,     189.6,     155.7,     122.1,     594.6,      46.0,     118.0,      64.2,      98.4,     326.6,    100.52,     19.39,     29.73,     26.37,     25.04,    100.53,     0.004,     0.001,     0.003,     0.005,     0.013
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     804.8,    1283.2,    1070.6,    1018.1,    4176.7,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.413,     0.412,     0.413,     0.412,     0.412,      5898,     11796,      5898,     23592,     47184,      0.21,      0.13,      0.23,      0.05,      0.23,     254.6,     405.8,     338.6,     322.0,    1321.0,     214.3,     312.7,     284.2,     271.0,    1082.2,       3.1,      21.9,       7.3,       4.5,      36.8,      26.9,      42.5,      33.2,      26.9,     129.5,      10.1,      28.8,      13.9,      19.7,      72.5,     28.70,      5.53,      8.82,      7.36,      7.00,     28.71,     0.005,         0,     0.007,     0.001,     0.013
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,    1060.7,    1847.7,    1426.6,    1459.4,    5794.4,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     3.188,     3.194,     3.190,     3.198,     3.188,     3.193,      6311,     12622,      6311,     25243,     50487,      0.25,      0.17,      0.28,      0.06,      0.28,    3100.6,    5401.2,    4170.2,    4266.1,   16938.1,    2659.2,    4334.5,    3589.7,    3700.5,   14283.9,      38.0,     247.9,      91.8,      50.3,     428.0,     301.1,     504.0,     355.1,     303.1,    1463.3,     102.3,     314.8,     133.6,     212.2,     762.9,    307.89,     56.48,     98.24,     76.04,     77.55,    308.31,     0.108,     0.062,     0.243,     0.006,     0.419
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1071.9,    1867.0,    1440.0,    1482.4,    5861.3,      57.0,      56.9,      57.0,      56.8,      57.0,      56.9,     0.212,     0.212,     0.212,     0.213,     0.212,     0.212,      6390,     12780,      6390,     25560,     51120,      0.25,      0.17,      0.28,      0.07,      0.28,     216.2,     376.5,     290.4,     298.9,    1182.0,     185.6,     302.5,     250.2,     259.6,     997.9,       2.6,      17.2,       6.2,       3.4,      29.4,      20.8,      35.0,      24.6,      21.2,     101.6,       7.0,      21.8,       9.2,      14.8,      52.8,     20.74,      3.80,      6.61,      5.11,      5.24,     20.76,     0.003,     0.001,     0.011,         0,     0.015
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       2.0,       2.6,Principal Arterial,      1016,    1602.7,    2874.6,    2142.1,    2393.0,    9012.4,      48.0,      45.4,      47.4,      43.8,      48.0,      46.3,     1.645,     1.743,     1.667,     1.805,     1.646,     1.708,      6096,     12192,      6096,     24384,     48768,      0.39,      0.27,      0.45,      0.12,      0.45,    2109.2,    3783.0,    2819.0,    3149.2,   11860.4,    1853.2,    3104.8,    2489.5,    2799.2,   10246.7,      25.8,     170.0,      53.4,      40.8,     290.0,     168.4,     303.0,     207.1,     183.2,     861.7,      61.7,     205.2,      69.0,     126.0,     461.9,    247.14,     46.46,     79.84,     64.33,     65.65,    256.28,     2.600,     1.016,     5.714,     0.027,     9.357
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       2.0,       0.5,Principal Arterial,      1016,    2913.2,    5095.2,    3801.8,    4385.2,   16195.4,      48.0,      43.2,      46.9,      40.7,      48.0,      44.9,     0.312,     0.348,     0.320,     0.369,     0.312,     0.335,      6096,     12192,      6096,     24384,     48768,      0.71,      0.47,      0.81,      0.22,      0.81,     727.3,    1272.2,     949.2,    1094.8,    4043.5,     649.4,    1065.5,     852.3,     989.4,    3556.6,       9.2,      51.0,      15.9,      14.4,      90.5,      49.3,      92.4,      60.3,      55.3,     257.3,      19.3,      63.5,      20.6,      35.7,     139.1,     84.16,     16.85,     27.15,     23.30,     22.81,     90.11,     1.772,     0.685,     3.619,     0.029,     6.105
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       2.0,       1.8,Principal Arterial,      1060,    2884.5,    5000.7,    3652.5,    4320.4,   15858.1,      55.9,      51.5,      54.7,      49.8,      55.8,      53.2,     0.986,     1.073,     1.007,     1.108,     0.987,     1.037,      6358,     12717,      6358,     25434,     50867,      0.67,      0.44,      0.74,      0.20,      0.74,    2649.0,    4592.4,    3354.3,    3967.7,   14563.4,    2362.7,    3834.8,    3015.9,    3579.6,   12793.0,      32.9,     182.6,      54.2,      50.6,     320.3,     180.5,     340.0,     209.7,     206.0,     936.2,      72.8,     234.9,      74.6,     131.4,     513.7,    260.73,     51.42,     83.91,     67.29,     71.10,    273.72,     4.136,     1.681,     7.369,     0.069,    13.255
