SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     242.2,     542.4,     347.4,     436.3,    1568.3,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1415.3,    3169.4,    2030.0,    2549.4,    9164.1,    1152.3,    2468.2,    1545.0,    1965.1,    7130.6,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.79,     24.83,     55.61,     35.62,     44.74,    160.80,     0.002,     0.003,     0.002,         0,     0.007
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     245.0,     544.2,     349.9,     437.8,    1576.9,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     744.5,    1653.9,    1063.3,    1330.5,    4792.2,     607.8,    1289.1,     811.1,    1026.6,    3734.6,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     84.07,     13.06,     29.02,     18.65,     23.34,     84.07,         0,         0,     0.001,     0.001,     0.002
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     484.7,     722.2,     643.6,     622.5,    2473.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.13,      0.07,      0.14,      0.03,      0.14,     328.6,     489.6,     436.3,     422.0,    1676.5,     277.0,     381.1,     364.5,     354.3,    1376.9,       4.1,      21.7,       6.1,       3.4,      35.3,      32.6,      53.6,      45.5,      35.3,     167.0,      14.9,      33.2,      20.4,      29.1,      97.6,     29.41,      5.76,      8.58,      7.66,      7.40,     29.40,     0.001,     0.007,     0.008,         0,     0.016
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     572.1,     862.9,     747.3,     739.7,    2922.0,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.077,     2.077,     2.077,     2.077,     2.077,      6390,     12780,      6390,     25560,     51120,      0.14,      0.09,      0.15,      0.03,      0.15,    1128.8,    1702.6,    1474.5,    1459.5,    5765.4,     941.0,    1308.3,    1227.2,    1224.9,    4701.4,      14.2,      86.7,      27.0,      14.0,     141.9,     127.6,     189.6,     155.9,     122.1,     595.2,      46.0,     118.0,      64.4,      98.4,     326.8,    101.15,     19.81,     29.87,     25.88,     25.61,    101.17,     0.001,         0,         0,         0,     0.001
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     838.9,    1293.8,    1079.5,    1065.6,    4277.8,      46.0,      46.0,      46.0,      45.9,      46.0,      46.0,     0.412,     0.413,     0.412,     0.413,     0.412,     0.413,      5898,     11796,      5898,     23592,     47184,      0.22,      0.13,      0.23,      0.05,      0.23,     265.3,     409.2,     341.4,     337.0,    1352.9,     225.0,     316.1,     286.9,     286.1,    1114.1,       3.1,      21.9,       7.3,       4.5,      36.8,      27.0,      42.5,      33.2,      26.9,     129.6,      10.1,      28.8,      13.9,      19.7,      72.5,     29.39,      5.77,      8.89,      7.43,      7.32,     29.41,     0.014,     0.004,     0.007,         0,     0.025
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,    1101.0,    1865.0,    1448.5,    1535.4,    5949.9,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     3.188,     3.195,     3.190,     3.198,     3.188,     3.192,      6311,     12622,      6311,     25243,     50487,      0.26,      0.17,      0.29,      0.07,      0.29,    3218.5,    5451.8,    4234.3,    4488.3,   17392.9,    2776.5,    4385.2,    3653.1,    3922.7,   14737.5,      38.0,     247.9,      91.8,      50.3,     428.0,     301.7,     504.0,     355.4,     303.1,    1464.2,     102.3,     314.8,     133.9,     212.2,     763.2,    316.12,     58.62,     99.16,     77.20,     81.57,    316.55,     0.124,     0.073,     0.247,         0,     0.444
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1113.2,    1885.3,    1463.5,    1559.7,    6021.7,      57.0,      56.8,      56.9,      56.9,      57.0,      56.9,     0.212,     0.213,     0.212,     0.213,     0.212,     0.212,      6390,     12780,      6390,     25560,     51120,      0.26,      0.17,      0.29,      0.07,      0.29,     224.5,     380.1,     295.1,     314.5,    1214.2,     193.9,     306.3,     254.8,     275.2,    1030.2,       2.6,      17.2,       6.2,       3.4,      29.4,      20.9,      35.0,      24.7,      21.2,     101.8,       7.0,      21.8,       9.2,      14.8,      52.8,     21.31,      3.95,      6.68,      5.19,      5.51,     21.33,     0.009,         0,     0.008,     0.001,     0.018
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       2.0,       2.6,Principal Arterial,      1016,    1633.4,    2898.8,    2146.0,    2467.0,    9145.2,      48.0,      45.4,      47.4,      43.8,      48.0,      46.3,     1.645,     1.743,     1.667,     1.805,     1.646,     1.708,      6096,     12192,      6096,     24384,     48768,      0.40,      0.27,      0.45,      0.12,      0.45,    2149.6,    3814.9,    2824.2,    3246.6,   12035.3,    1893.7,    3136.7,    2494.4,    2896.6,   10421.4,      25.8,     170.0,      53.4,      40.8,     290.0,     168.7,     303.0,     207.3,     183.2,     862.2,      61.4,     205.2,      69.1,     126.0,     461.7,    250.78,     47.37,     80.55,     64.44,     67.68,    260.04,     2.659,     1.046,     5.712,     0.039,     9.456
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       2.0,       0.5,Principal Arterial,      1016,    2954.0,    5135.1,    3826.0,    4480.9,   16396.0,      48.0,      43.1,      46.8,      40.5,      48.0,      44.8,     0.312,     0.349,     0.320,     0.371,     0.312,     0.335,      6096,     12192,      6096,     24384,     48768,      0.72,      0.47,      0.82,      0.22,      0.82,     737.5,    1282.1,     955.3,    1118.7,    4093.6,     659.6,    1075.4,     858.3,    1013.3,    3606.6,       9.2,      51.0,      15.9,      14.4,      90.5,      49.4,      92.4,      60.3,      55.3,     257.4,      19.2,      63.5,      20.6,      35.7,     139.0,     85.20,     17.11,     27.39,     23.56,     23.31,     91.37,     1.812,     0.711,     3.744,     0.021,     6.288
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       2.0,       1.8,Principal Arterial,      1060,    2921.6,    5055.9,    3672.7,    4417.0,   16067.2,      55.9,      51.5,      54.7,      49.8,      55.8,      53.2,     0.986,     1.074,     1.007,     1.110,     0.987,     1.038,      6358,     12717,      6358,     25434,     50867,      0.67,      0.44,      0.74,      0.21,      0.74,    2683.1,    4643.1,    3372.8,    4056.3,   14755.3,    2396.8,    3885.5,    3035.6,    3668.3,   12986.2,      32.9,     182.6,      54.2,      50.6,     320.3,     180.7,     340.0,     208.8,     206.0,     935.5,      72.6,     234.9,      74.3,     131.4,     513.2,    264.17,     52.14,     84.89,     67.79,     72.69,    277.51,     4.242,     1.763,     7.536,     0.060,    13.601
0006_158.5,     0.472,Both,Total,       1.0,      49.0,       2.0,       0.9,Principal Arterial,       998,    3082.1,    5162.4,    3796.8,    4485.7,   16527.0,      44.5,      38.9,      43.3,      37.5,      44.5,      41.3,     0.636,     0.730,     0.654,     0.757,     0.636,     0.687,      5987,     11974,      5987,     23947,     47895,      0.76,      0.47,      0.82,      0.23,      0.82,    1454.5,    2436.2,    1791.7,    2116.8,    7799.2,    1306.0,    2063.2,    1631.1,    1937.7,    6938.0,      18.4,     100.1,      31.7,      26.5,     176.7,      95.1,     165.8,      98.5,      97.9,     457.3,      34.9,     107.1,      30.5,      54.7,     227.2,    175.08,     37.35,     56.24,     47.75,     47.57,    188.91,     4.858,     1.543,     7.686,     0.057,    14.144
