SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     243.2,     542.8,     340.2,     435.4,    1561.6,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1421.1,    3171.8,    1987.9,    2544.2,    9125.0,    1158.1,    2470.6,    1502.9,    1959.9,    7091.5,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.11,     24.93,     55.65,     34.88,     44.65,    160.11,         0,     0.002,         0,     0.003,     0.005
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     245.0,     545.6,     342.7,     436.9,    1570.2,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     744.6,    1658.1,    1041.4,    1327.8,    4771.9,     607.8,    1293.4,     789.2,    1023.9,    3714.3,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     83.71,     13.06,     29.09,     18.27,     23.29,     83.71,         0,         0,         0,         0,         0
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     526.8,     736.3,     716.2,     625.0,    2604.3,      57.0,      57.0,      57.0,      57.0,      56.9,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.15,      0.07,      0.16,      0.03,      0.16,     357.2,     499.2,     485.6,     423.7,    1765.7,     305.1,     390.2,     413.3,     355.9,    1464.5,       4.7,      21.7,       6.1,       3.4,      35.9,      32.5,      54.0,      45.2,      35.3,     167.0,      14.9,      33.2,      21.0,      29.1,      98.2,     30.97,      6.26,      8.76,      8.52,      7.44,     30.98,         0,         0,     0.001,     0.008,     0.009
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     606.9,     876.3,     821.7,     746.0,    3050.9,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.079,     2.077,     2.078,     2.077,      6390,     12780,      6390,     25560,     51120,      0.16,      0.09,      0.17,      0.03,      0.17,    1197.5,    1729.0,    1621.3,    1472.0,    6019.8,    1008.0,    1333.6,    1373.1,    1237.3,    4952.0,      16.0,      86.7,      27.0,      14.0,     143.7,     127.4,     190.8,     154.9,     122.1,     595.2,      46.0,     118.0,      66.3,      98.4,     328.7,    105.61,     21.02,     30.33,     28.45,     25.83,    105.63,     0.017,     0.003,     0.012,         0,     0.032
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     869.3,    1312.1,    1137.8,    1061.9,    4381.1,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.412,     0.412,     0.413,     0.412,      5898,     11796,      5898,     23592,     47184,      0.23,      0.14,      0.25,      0.05,      0.25,     275.0,     415.0,     359.8,     335.8,    1385.6,     234.4,     321.7,     305.2,     284.9,    1146.2,       3.4,      21.9,       7.3,       4.5,      37.1,      26.9,      42.7,      33.1,      26.9,     129.6,      10.1,      28.8,      14.2,      19.7,      72.8,     30.10,      5.98,      9.01,      7.83,      7.29,     30.11,         0,     0.001,     0.011,         0,     0.012
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,    1138.4,    1890.4,    1463.1,    1518.4,    6010.3,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     3.188,     3.196,     3.190,     3.199,     3.188,      6311,     12622,      6311,     25243,     50487,      0.27,      0.17,      0.30,      0.07,      0.30,    3327.8,    5526.1,    4276.9,    4438.6,   17569.4,    2883.4,    4457.6,    3694.4,    3873.0,   14908.4,      40.6,     247.9,      91.8,      50.3,     430.6,     301.4,     505.8,     354.0,     303.1,    1464.3,     102.3,     314.8,     136.8,     212.2,     766.1,    319.36,     60.65,    100.51,     78.01,     80.69,    319.86,     0.159,     0.068,     0.276,     0.002,     0.505
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1150.4,    1910.7,    1478.1,    1541.2,    6080.4,      57.0,      56.9,      57.0,      56.9,      57.0,      56.9,     0.212,     0.213,     0.213,     0.213,     0.212,      6390,     12780,      6390,     25560,     51120,      0.27,      0.17,      0.30,      0.07,      0.30,     232.0,     385.3,     298.0,     310.8,    1226.1,     201.2,     311.2,     257.7,     271.5,    1041.6,       2.8,      17.2,       6.2,       3.4,      29.6,      20.9,      35.1,      24.6,      21.2,     101.8,       7.0,      21.8,       9.4,      14.8,      53.0,     21.51,      4.08,      6.76,      5.24,      5.45,     21.53,     0.010,     0.010,     0.020,         0,     0.040
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       2.0,       2.6,Principal Arterial,      1016,    1675.7,    2925.7,    2163.2,    2455.5,    9220.1,      48.0,      45.2,      47.4,      43.6,      48.0,      46.2,     1.645,     1.751,     1.667,     1.814,     1.646,      6096,     12192,      6096,     24384,     48768,      0.41,      0.27,      0.46,      0.12,      0.46,    2205.2,    3850.3,    2846.8,    3231.5,   12133.8,    1948.3,    3171.9,    2525.2,    2881.4,   10526.8,      26.9,     170.0,      53.4,      40.8,     291.1,     168.6,     303.2,     206.6,     183.2,     861.6,      61.4,     205.2,      61.6,     126.0,     454.2,    252.83,     48.80,     81.30,     65.26,     67.37,    262.73,     2.948,     1.078,     6.080,     0.033,    10.139
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       2.0,       0.5,Principal Arterial,      1016,    2996.3,    5163.3,    3856.6,    4457.5,   16473.7,      48.0,      42.7,      46.8,      40.2,      48.0,      44.6,     0.312,     0.352,     0.320,     0.374,     0.312,      6096,     12192,      6096,     24384,     48768,      0.73,      0.47,      0.83,      0.22,      0.83,     748.1,    1289.1,     962.9,    1112.9,    4113.0,     669.9,    1082.6,     867.5,    1007.5,    3627.5,       9.5,      51.0,      15.9,      14.4,      90.8,      49.4,      92.2,      60.2,      55.3,     257.1,      19.2,      63.5,      19.2,      35.7,     137.6,     85.61,     17.54,     27.55,     23.96,     23.19,     92.24,     2.026,     0.722,     4.000,     0.011,     6.759
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       2.0,       1.8,Principal Arterial,      1060,    2975.0,    5080.7,    3700.9,    4400.4,   16157.0,      55.9,      51.0,      54.7,      49.5,      55.8,      53.0,     0.986,     1.084,     1.008,     1.117,     0.987,      6358,     12717,      6358,     25434,     50867,      0.69,      0.44,      0.75,      0.21,      0.75,    2732.1,    4665.9,    3398.7,    4041.1,   14837.8,    2444.2,    3908.8,    3067.3,    3653.1,   13073.4,      33.8,     182.6,      54.2,      50.6,     321.2,     181.4,     339.5,     208.3,     206.0,     935.2,      72.6,     234.9,      69.0,     131.4,     507.9,    265.65,     53.59,     85.34,     68.73,     72.41,    280.07,     4.839,     1.800,     8.028,     0.063,    14.730
