Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,SF202,ok,     10.44,     39.22,     15.97,     30.00,      2.00,    208.80,     58.10,     58.08,      1.65,     56.45,      1.64,     56.44
      4.00,SF232,ok,     15.34,     50.79,     18.12,     30.00,      2.00,    306.80,     70.23,     70.24,      1.66,     68.57,      1.67,     68.57
      4.00,SF453,ok,     39.47,     91.29,     25.94,     60.00,      1.00,    394.70,      5.73,      5.74,      2.96,      2.77,      2.96,      2.78
      4.00,SF514,ok,     12.18,     48.13,     15.18,     30.00,      2.00,    243.60,    102.10,    102.08,     17.48,     84.62,     17.45,     84.63
      4.00,SF525,ok,      8.90,     32.80,     16.28,     30.00,      2.00,    178.00,     59.41,     59.43,      9.71,     49.70,      9.69,     49.74
      4.00,SF570,ok,     14.72,     46.97,     18.80,     30.00,      2.00,    294.40,     77.24,     77.24,      0.50,     76.74,      0.47,     76.77
      4.00,SF578,ok,     13.44,     43.76,     18.43,     30.00,      2.00,    268.80,     31.57,     31.61,      0.22,     31.35,      0.23,     31.38
      4.00,SF590,ok,     11.44,     42.49,     16.15,     30.00,      2.00,    228.80,     64.40,     64.41,      4.26,     60.14,      4.26,     60.15
      4.00,SF94,ok,      7.22,     24.12,     17.96,     30.00,      2.00,    144.40,     51.52,     51.51,      2.86,     48.66,      2.86,     48.65
      5.00,BRT56_R,pk,     52.52,    155.10,     20.32,     15.00,      4.00,   1260.48,   3185.29,   3185.42,    963.84,   2221.45,    963.91,   2221.51
      5.00,MidValCon,pk,     13.36,     38.41,     20.87,     15.00,      4.00,    320.64,   1036.22,   1036.24,    199.64,    836.58,    199.63,    836.61
      5.00,BRT56_R,ok,     52.52,    163.52,     19.27,     15.00,      4.00,   2100.80,   3086.93,   3086.95,    588.84,   2498.09,    588.88,   2498.07
      5.00,MidValCon,ok,     13.36,     40.65,     19.72,     15.00,      4.00,    534.40,    553.96,    553.95,     28.42,    525.54,     28.41,    525.54
      6.00,S451X,pk,     21.64,     38.20,     33.99,     30.00,      2.00,    259.68,      0.72,      0.72,         0,      0.72,         0,      0.72
      6.00,S472X,pk,     34.39,     66.87,     30.86,     30.00,      2.00,    412.68,     71.56,     71.56,         0,     71.56,         0,     71.56
      6.00,S473X,pk,     42.74,    109.25,     23.47,     30.00,      2.00,    512.88,    627.27,    627.27,    367.72,    259.55,    367.72,    259.55
      7.00,Blue,pk,     38.08,    103.36,     22.11,     15.00,      4.00,    913.92,   5535.91,   5535.92,   1169.95,   4365.96,   1169.95,   4365.97
      7.00,Green,pk,     28.64,     93.54,     18.37,     15.00,      4.00,    687.36,   4755.57,   4755.58,    435.65,   4319.92,    435.65,   4319.93
      7.00,Red,pk,     47.22,    120.72,     23.47,     15.00,      4.00,   1133.28,  13427.90,  13427.96,   3525.15,   9902.75,   3525.17,   9902.79
      7.00,Sline,pk,      4.02,     20.58,     11.72,     15.00,      4.00,     96.48,    312.02,    312.00,      8.12,    303.90,      8.12,    303.88
      7.00,Blue,ok,     38.08,    103.36,     22.11,     15.00,      4.00,   1523.20,   6381.84,   6381.85,   1019.18,   5362.66,   1019.18,   5362.67
      7.00,Green,ok,     28.64,     93.54,     18.37,     15.00,      4.00,   1145.60,   6855.42,   6855.38,    512.33,   6343.09,    512.29,   6343.09
      7.00,Red,ok,     47.22,    120.72,     23.47,     15.00,      4.00,   1888.80,   9468.38,   9468.50,   1301.74,   8166.64,   1301.78,   8166.72
      7.00,Sline,ok,      4.02,     20.58,     11.72,     15.00,      4.00,    160.80,    448.83,    448.84,      7.06,    441.77,      7.06,    441.78
      8.00,RCRT_OGPN,pk,    162.16,    245.34,     39.66,     30.00,      2.00,   1945.92,  10891.51,  10891.51,   6515.13,   4376.38,   6515.15,   4376.36
      8.00,RCRT_OGPN,ok,    162.16,    245.34,     39.66,     60.00,      1.00,   1621.60,   5686.94,   5686.97,   2712.46,   2974.48,   2712.49,   2974.48
      9.00,630X,pk,      9.86,     40.51,     14.60,     10.00,      6.00,    354.96,   1363.78,   1363.81,    526.59,    837.19,    526.61,    837.20
      9.00,M830X_ARPT,pk,     11.28,     27.28,     24.81,     30.00,      2.00,    135.36,     16.75,     16.76,      3.18,     13.57,      3.17,     13.59
      9.00,UVX,pk,     22.92,     79.21,     17.36,      6.00,     10.00,   1375.20,   7347.04,   7347.08,   1139.29,   6207.75,   1139.27,   6207.81
      9.00,630X,ok,      9.86,     43.11,     13.72,     10.00,      6.00,    591.60,    699.73,    699.78,     34.21,    665.52,     34.23,    665.55
      9.00,M830X_ARPT,ok,     11.28,     29.37,     23.04,     30.00,      2.00,    225.60,     32.69,     32.68,      2.05,     30.64,      2.05,     30.63
      9.00,UVX,ok,     22.92,     83.73,     16.42,     10.00,      6.00,   1375.20,   3472.18,   3472.23,    106.96,   3365.22,    106.95,   3365.28
