HomeCityIdx,WorkCityIdx,Job_Auto,Job_TranWalk,Job_TranDrive,Job_Bike,Job_Walk,HH_Auto,HH_TranWalk,HH_TranDrive,HH_Bike,HH_Walk,JobTimeWt_Auto,JobTimeWt_TranWalk,JobTimeWt_TranDrive,JobTimeWt_Bike,JobTimeWt_Walk,HHTimeWt_Auto,HHTimeWt_TranWalk,HHTimeWt_TranDrive,HHTimeWt_Bike,HHTimeWt_Walk,JobAutoFF,JobAutoSL,HHAutoFF,HHAutoSL,Retail_Auto,Retail_TranWalk,Retail_TranDrive,Retail_Bike,Retail_Walk,Industrial_Auto,Industrial_TranWalk,Industrial_TranDrive,Industrial_Bike,Industrial_Walk,Other_Auto,Other_TranWalk,Other_TranDrive,Other_Bike,Other_Walk,RetailTimeWt_Auto,RetailTimeWt_TranWalk,RetailTimeWt_TranDrive,RetailTimeWt_Bike,RetailTimeWt_Walk,IndustrialTimeWt_Auto,IndustrialTimeWt_TranWalk,IndustrialTimeWt_TranDrive,IndustrialTimeWt_Bike,IndustrialTimeWt_Walk,OtherTimeWt_Auto,OtherTimeWt_TranWalk,OtherTimeWt_TranDrive,OtherTimeWt_Bike,OtherTimeWt_Walk,RetailAutoFF,RetailAutoSL,IndustrialAutoFF,IndustrialAutoSL,OtherAutoFF,OtherAutoSL
      1.00,     12.00,2197975.00,         0,         0,1104315.00,         0, 154862332,         0,         0,69810966.0,         0,32210198.0,         0,         0,22217572.0,         0,2321138262,         0,         0,1106818568,         0,2232635.00,2576537.00, 158908799, 182810815, 660920.00,         0,         0, 346356.00,         0, 105764.00,         0,         0,  52725.00,         0,1431291.00,         0,         0, 705234.00,         0,9602488.00,         0,         0,6891984.00,         0,1549425.00,         0,         0,1055678.00,         0,21058286.0,         0,         0,14269910.0,         0, 671032.00, 772246.00, 107416.00, 123928.00,1454186.00,1680363.00
      1.00,     13.00,8485071.00,1379028.00,         0,9234063.00, 443286.00, 307269028,45614026.0,         0, 251220215, 475844.00, 116409077,62400657.0,         0,84066079.0,6961544.00,3626470709,1715834467,         0,3210152890,8371181.00,8780766.00,9772893.00, 312755274, 331022194, 694448.00, 155769.00,         0, 737744.00,  78747.00,2874026.00, 154774.00,         0,3172968.00,  23269.00,4916597.00,1068486.00,         0,5323350.00, 341270.00,8892444.00,6856573.00,         0,5906691.00,1170845.00,43292172.0,8057584.00,         0,35079289.0, 375687.00,64224462.0,47486500.0,         0,43080100.0,5415011.00, 713531.00, 772610.00,2995065.00,3475550.00,5072169.00,5524732.00
      1.00,     14.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     15.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 325361.00,         0, 756769.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  34081.00,         0,  23531.00,         0, 267748.00
      1.00,     16.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     17.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     18.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     19.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    279.00,         0, 423427.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    279.00
      1.00,     20.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     21.00,3604339.00,         0, 864919.00,         0,         0, 123660299,         0,8293096.00,         0,         0,85925448.0,         0,34585805.0,         0,         0,2822325758,         0, 390023377,         0,         0,4268566.00,5462769.00, 141377673, 168165636, 780862.00,         0, 254111.00,         0,         0, 142675.00,         0,  19901.00,         0,         0,2680802.00,         0, 590907.00,         0,         0,17669719.0,         0,9265195.00,         0,         0,3421056.00,         0, 858749.00,         0,         0,64834673.0,         0,24461861.0,         0,         0, 914884.00,1134617.00, 169012.00, 217983.00,3184670.00,4110170.00
      1.00,     22.00,1994211.00,         0,         0,         0,         0,39739483.0,         0,         0,         0,         0,45934620.0,         0,         0,         0,         0, 905372884,         0,         0,         0,         0,2124212.00,2628279.00,42378073.0,53525215.0, 277122.00,         0,         0,         0,         0,1048408.00,         0,         0,         0,         0, 668681.00,         0,         0,         0,         0,6522897.00,         0,         0,         0,         0,24185023.0,         0,         0,         0,         0,15226700.0,         0,         0,         0,         0, 296521.00, 371787.00,1118506.00,1394398.00, 709185.00, 862094.00
      1.00,     23.00, 186095.00,     23.00,   1257.00,         0,         0,36577561.0, 180722.00,1101957.00,         0,         0,4023673.00,   1363.00,  58984.00,         0,         0, 710875960,10626477.0,54503477.0,         0,         0, 208757.00, 265392.00,39023549.0,45151302.0,  14960.00,         0,    224.00,         0,         0,   9483.00,     12.00,     74.00,         0,         0, 161651.00,     11.00,    960.00,         0,         0, 319390.00,         0,   9918.00,         0,         0, 202502.00,    714.00,   3474.00,         0,         0,3501781.00,    649.00,  45592.00,         0,         0,  16719.00,  21335.00,  10586.00,  13536.00, 181452.00, 230521.00
      1.00,     24.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     25.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
