SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     243.2,     542.4,     342.7,     435.8,    1564.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1421.1,    3169.4,    2002.5,    2546.5,    9139.5,    1158.1,    2468.2,    1517.5,    1962.2,    7106.0,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.36,     24.93,     55.61,     35.14,     44.69,    160.37,         0,     0.003,     0.005,     0.001,     0.009
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     246.0,     544.2,     345.2,     437.3,    1572.7,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.200,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     747.6,    1653.9,    1049.0,    1329.0,    4779.5,     610.9,    1289.1,     796.8,    1025.1,    3721.9,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     83.85,     13.11,     29.02,     18.40,     23.31,     83.84,     0.005,         0,     0.001,         0,     0.006
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     464.2,     725.6,     628.3,     614.2,    2432.3,      57.0,      57.0,      57.0,      56.9,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.13,      0.07,      0.13,      0.03,      0.13,     314.7,     492.0,     425.9,     416.5,    1649.1,     263.2,     383.4,     354.5,     348.6,    1349.7,       4.1,      21.7,       6.1,       3.4,      35.3,      32.5,      53.6,      45.4,      35.3,     166.8,      14.9,      33.2,      20.0,      29.1,      97.2,     28.92,      5.52,      8.63,      7.48,      7.31,     28.94,     0.004,         0,     0.002,     0.006,     0.012
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     559.0,     872.4,     737.6,     736.4,    2905.4,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.077,     2.077,     2.077,     2.077,     2.077,      6390,     12780,      6390,     25560,     51120,      0.14,      0.09,      0.15,      0.03,      0.15,    1103.0,    1721.4,    1455.3,    1453.0,    5732.7,     915.3,    1327.1,    1209.5,    1218.4,    4670.3,      14.2,      86.7,      27.0,      14.0,     141.9,     127.4,     189.6,     155.5,     122.1,     594.6,      46.0,     118.0,      63.4,      98.4,     325.8,    100.58,     19.36,     30.20,     25.54,     25.50,    100.60,     0.001,         0,         0,     0.005,     0.006
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     829.2,    1301.8,    1066.9,    1044.2,    4242.1,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.412,     0.413,     0.412,     0.412,     0.412,      5898,     11796,      5898,     23592,     47184,      0.21,      0.14,      0.23,      0.05,      0.23,     262.3,     411.7,     337.4,     330.3,    1341.7,     222.0,     318.6,     283.2,     279.4,    1103.2,       3.1,      21.9,       7.3,       4.5,      36.8,      26.9,      42.5,      33.2,      26.9,     129.5,      10.1,      28.8,      13.7,      19.7,      72.3,     29.15,      5.70,      8.94,      7.34,      7.17,     29.15,         0,     0.010,         0,     0.002,     0.012
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,    1135.2,    1872.3,    1454.7,    1509.4,    5971.6,      55.0,      54.9,      55.0,      54.9,      55.0,      54.9,     3.188,     3.194,     3.191,     3.197,     3.188,     3.192,      6311,     12622,      6311,     25243,     50487,      0.26,      0.17,      0.29,      0.07,      0.29,    3318.4,    5473.1,    4252.5,    4412.3,   17456.3,    2876.7,    4406.5,    3673.0,    3846.7,   14802.9,      38.0,     247.9,      91.8,      50.3,     428.0,     301.4,     504.0,     355.1,     303.1,    1463.6,     102.3,     314.8,     132.4,     212.2,     761.7,    317.28,     60.44,     99.56,     77.52,     80.19,    317.71,     0.120,     0.088,     0.233,     0.006,     0.447
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1147.4,    1891.5,    1471.1,    1533.4,    6043.4,      57.0,      57.0,      56.9,      56.8,      56.9,      56.9,     0.212,     0.213,     0.212,     0.213,     0.212,     0.213,      6390,     12780,      6390,     25560,     51120,      0.26,      0.17,      0.29,      0.07,      0.29,     231.3,     381.4,     296.6,     309.2,    1218.5,     200.8,     307.5,     256.5,     269.9,    1034.7,       2.6,      17.2,       6.2,       3.4,      29.4,      20.9,      35.0,      24.6,      21.2,     101.7,       7.0,      21.8,       9.1,      14.8,      52.7,     21.38,      4.06,      6.70,      5.22,      5.43,     21.41,     0.007,     0.005,     0.021,     0.005,     0.038
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       2.0,       2.6,Principal Arterial,      1016,    1668.8,    2903.3,    2146.8,    2420.0,    9138.9,      48.0,      45.5,      47.4,      43.9,      48.0,      46.3,     1.645,     1.740,     1.667,     1.801,     1.646,     1.707,      6096,     12192,      6096,     24384,     48768,      0.39,      0.27,      0.45,      0.12,      0.45,    2196.1,    3820.8,    2825.2,    3184.8,   12026.9,    1940.4,    3142.6,    2496.2,    2834.7,   10413.9,      25.8,     170.0,      53.4,      40.8,     290.0,     168.6,     303.0,     207.1,     183.2,     861.9,      61.4,     205.2,      68.4,     126.0,     461.0,    250.61,     48.31,     80.66,     64.34,     66.39,    259.70,     2.625,     1.054,     5.576,     0.037,     9.292
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       2.0,       0.5,Principal Arterial,      1016,    2990.4,    5127.0,    3817.1,    4410.5,   16345.0,      48.0,      43.2,      46.8,      40.8,      48.0,      44.9,     0.312,     0.348,     0.320,     0.369,     0.312,     0.335,      6096,     12192,      6096,     24384,     48768,      0.72,      0.47,      0.81,      0.22,      0.81,     746.6,    1280.0,     953.0,    1101.1,    4080.7,     668.8,    1073.4,     856.2,     995.7,    3594.1,       9.2,      51.0,      15.9,      14.4,      90.5,      49.4,      92.4,      60.3,      55.3,     257.4,      19.2,      63.5,      20.5,      35.7,     138.9,     84.94,     17.27,     27.34,     23.38,     22.94,     90.93,     1.787,     0.702,     3.615,     0.016,     6.120
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       2.0,       1.8,Principal Arterial,      1060,    2960.3,    5035.6,    3642.3,    4342.1,   15980.3,      55.9,      51.6,      54.7,      50.1,      55.8,      53.3,     0.986,     1.071,     1.007,     1.102,     0.987,     1.036,      6358,     12717,      6358,     25434,     50867,      0.67,      0.44,      0.73,      0.20,      0.73,    2718.6,    4624.4,    3344.9,    3987.6,   14675.5,    2432.4,    3866.8,    3007.0,    3599.6,   12905.8,      32.9,     182.6,      54.2,      50.6,     320.3,     180.6,     340.0,     209.6,     206.0,     936.2,      72.6,     234.9,      74.2,     131.4,     513.1,    262.74,     52.71,     84.52,     66.80,     71.45,    275.48,     4.159,     1.733,     7.036,     0.061,    12.989
