Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,M821_5YR2023,pk,     37.33,     83.02,     26.98,     30.00,      2.00,    447.96,    155.60,    155.64,     20.90,    134.70,     20.90,    134.74
      4.00,M823_5RY2023,pk,     19.12,     55.97,     20.50,     30.00,      2.00,    229.44,    121.16,    121.19,      9.02,    112.14,      8.99,    112.20
      4.00,M831_WPr,pk,     23.68,     79.42,     17.89,     30.00,      2.00,    284.16,    559.73,    559.77,     14.49,    545.24,     14.50,    545.27
      4.00,M833_CntPr,pk,      9.75,     28.27,     20.69,     60.00,      1.00,     58.50,     29.10,     29.09,      0.87,     28.23,      0.85,     28.24
      4.00,M834_EstPr,pk,     25.64,     79.18,     19.43,     30.00,      2.00,    307.68,    193.65,    193.63,     10.37,    183.28,     10.34,    183.29
      4.00,M841_UVU,pk,      5.32,     19.52,     16.35,     30.00,      2.00,     63.84,     56.28,     56.24,      1.04,     55.24,      1.02,     55.22
      4.00,M850_StateStree,pk,     45.58,    147.51,     18.54,     15.00,      4.00,   1093.92,   1053.10,   1053.07,    111.45,    941.65,    111.44,    941.63
      4.00,M862_Orem,pk,     28.28,     92.72,     18.30,     30.00,      2.00,    339.36,    655.78,    655.73,    109.81,    545.97,    109.82,    545.91
      4.00,M864_Thanksgivi,pk,      7.25,     24.73,     17.59,     30.00,      2.00,     87.00,     59.95,     59.96,      3.02,     56.93,      3.01,     56.95
      4.00,M871_SLtoUtahCn,pk,     26.46,     70.70,     22.46,     30.00,      2.00,    317.52,     64.50,     64.46,      9.00,     55.50,      8.99,     55.47
      4.00,O600,pk,     46.04,    145.95,     18.93,     15.00,      4.00,   1104.96,    702.69,    702.61,     45.67,    657.02,     45.67,    656.94
      4.00,O601,pk,      3.70,     16.47,     13.48,     20.00,      3.00,     66.60,     10.36,     10.32,      0.25,     10.11,      0.25,     10.07
      4.00,O604,pk,     14.00,     44.05,     19.07,     30.00,      2.00,    168.00,     45.93,     45.87,     10.84,     35.09,     10.84,     35.03
      4.00,O607,pk,     20.92,     61.85,     20.29,     30.00,      2.00,    251.04,    237.49,    237.46,     25.97,    211.52,     25.96,    211.50
      4.00,O609,pk,     42.50,    118.69,     21.48,     30.00,      2.00,    510.00,    679.22,    679.19,    234.18,    445.04,    234.19,    445.00
      4.00,O612,pk,     26.20,     78.37,     20.06,     15.00,      4.00,    628.80,    465.31,    465.29,     20.62,    444.69,     20.63,    444.66
      4.00,O614,pk,     17.94,     52.50,     20.50,     30.00,      2.00,    215.28,     50.76,     50.78,      0.57,     50.19,      0.58,     50.20
      4.00,O615,pk,     15.08,     43.70,     20.70,     30.00,      2.00,    180.96,    259.50,    259.55,     23.27,    236.23,     23.26,    236.29
      4.00,O626,pk,     28.38,     76.72,     22.19,     30.00,      2.00,    340.56,    133.73,    133.75,     11.60,    122.13,     11.61,    122.14
      4.00,O627,pk,     18.58,     54.97,     20.28,     30.00,      2.00,    222.96,     83.04,     83.08,      8.50,     74.54,      8.51,     74.57
      4.00,O628,pk,     12.92,     44.00,     17.62,     30.00,      2.00,    155.04,     86.44,     86.44,     13.43,     73.01,     13.45,     72.99
      4.00,O630,pk,     48.72,     97.88,     29.87,     60.00,      1.00,    292.32,    190.41,    190.45,     16.29,    174.12,     16.30,    174.15
      4.00,O640,pk,     35.10,    110.69,     19.03,     30.00,      2.00,    421.20,    549.08,    548.98,    135.99,    413.09,    135.97,    413.01
      4.00,O667,pk,      2.75,      9.46,     17.44,     30.00,      2.00,     33.00,      0.81,      0.82,         0,      0.81,         0,      0.82
      4.00,OF605,pk,     14.18,     48.56,     17.52,     60.00,      1.00,     85.08,    128.62,    128.63,      4.74,    123.88,      4.73,    123.90
      4.00,OF618,pk,     14.04,     42.00,     20.06,     30.00,      2.00,    168.48,     75.51,     75.50,      6.39,     69.12,      6.36,     69.14
      4.00,OF620,pk,     16.66,     44.97,     22.23,     30.00,      2.00,    199.92,     86.34,     86.31,      6.67,     79.67,      6.65,     79.66
      4.00,OF638,pk,     13.40,     34.23,     23.49,     60.00,      1.00,     80.40,     14.07,     14.09,      0.10,     13.97,      0.10,     13.99
      4.00,S002,pk,      8.42,     39.15,     12.90,     15.00,      4.00,    202.08,    989.56,    989.54,    112.70,    876.86,    112.67,    876.87
      4.00,S004,pk,     23.85,     79.47,     18.01,     30.00,      2.00,    286.20,    801.92,    801.88,     35.28,    766.64,     35.25,    766.63
      4.00,S009,pk,     19.62,     72.49,     16.24,     15.00,      4.00,    470.88,   1174.16,   1174.18,     30.80,   1143.36,     30.80,   1143.38
      4.00,S017,pk,     15.42,     61.53,     15.04,     30.00,      2.00,    185.04,    539.49,    539.44,     71.15,    468.34,     71.14,    468.30
      4.00,S021,pk,     15.70,     58.29,     16.16,     15.00,      4.00,    376.80,   1305.08,   1305.11,    189.40,   1115.68,    189.41,   1115.70
      4.00,S033,pk,     12.54,     36.51,     20.61,     15.00,      4.00,    300.96,    335.36,    335.33,     14.05,    321.31,     14.06,    321.27
      4.00,S035,pk,     28.18,     87.08,     19.42,     15.00,      4.00,    676.32,    546.04,    546.13,     35.60,    510.44,     35.62,    510.51
      4.00,S039,pk,     22.92,     73.59,     18.69,     15.00,      4.00,    550.08,    743.88,    743.92,     41.55,    702.33,     41.54,    702.38
      4.00,S045,pk,     16.22,     49.81,     19.54,     15.00,      4.00,    389.28,    333.06,    333.06,     20.39,    312.67,     20.40,    312.66
      4.00,S047,pk,     25.68,     79.32,     19.43,     30.00,      2.00,    308.16,    244.10,    244.02,     10.18,    233.92,     10.13,    233.89
      4.00,S054,pk,     17.78,     54.00,     19.76,     15.00,      4.00,    426.72,    291.93,    291.93,     23.50,    268.43,     23.50,    268.43
      4.00,S062,pk,     20.26,     61.47,     19.78,     60.00,      1.00,    121.56,     44.76,     44.75,      1.03,     43.73,      1.02,     43.73
      4.00,S072,pk,     11.06,     38.76,     17.12,     30.00,      2.00,    132.72,    144.48,    144.48,      9.43,    135.05,      9.45,    135.03
      4.00,S1,pk,     21.44,     85.28,     15.08,     15.00,      4.00,    514.56,   1299.98,   1299.91,      4.37,   1295.61,      4.35,   1295.56
      4.00,S200,pk,     22.56,     85.60,     15.81,     15.00,      4.00,    541.44,   1391.84,   1391.94,     33.99,   1357.85,     34.00,   1357.94
      4.00,S201,pk,     19.42,     66.63,     17.49,     30.00,      2.00,    233.04,    117.77,    117.67,     12.43,    105.34,     12.39,    105.28
      4.00,S205,pk,     28.62,    102.19,     16.80,     15.00,      4.00,    686.88,   1725.31,   1725.31,     23.71,   1701.60,     23.74,   1701.57
      4.00,S209,pk,     28.98,     99.67,     17.45,     15.00,      4.00,    695.52,   1623.27,   1623.18,     52.12,   1571.15,     52.07,   1571.11
      4.00,S213,pk,     31.02,    111.56,     16.68,     30.00,      2.00,    372.24,    962.07,    962.14,     27.66,    934.41,     27.66,    934.48
      4.00,S217,pk,     24.42,     76.68,     19.11,     15.00,      4.00,    586.08,    631.38,    631.46,     59.83,    571.55,     59.88,    571.58
      4.00,S218,pk,     13.84,     49.15,     16.90,     30.00,      2.00,    166.08,    158.46,    158.47,      5.62,    152.84,      5.62,    152.85
      4.00,S220,pk,     33.42,    110.92,     18.08,     30.00,      2.00,    401.04,    984.76,    984.68,    134.98,    849.78,    134.94,    849.74
      4.00,S223,pk,     33.17,    119.27,     16.69,     30.00,      2.00,    398.04,    936.65,    936.69,     57.29,    879.36,     57.26,    879.43
      4.00,S227,pk,     33.90,    112.41,     18.09,     30.00,      2.00,    406.80,    316.59,    316.58,     29.02,    287.57,     28.98,    287.60
      4.00,S236,pk,     15.93,     46.30,     20.64,     30.00,      2.00,    191.16,     60.73,     60.72,      4.51,     56.22,      4.50,     56.22
      4.00,S240,pk,     24.30,     82.38,     17.70,     15.00,      4.00,    583.20,    265.53,    265.53,     11.15,    254.38,     11.15,    254.38
      4.00,S248,pk,     45.08,    153.14,     17.66,     30.00,      2.00,    540.96,    267.24,    267.24,     14.10,    253.14,     14.13,    253.11
      4.00,S31,pk,     26.50,     94.99,     16.74,     30.00,      2.00,    318.00,    236.80,    236.78,     11.96,    224.84,     11.96,    224.82
      4.00,S455,pk,     46.84,    152.49,     18.43,     30.00,      2.00,    562.08,   1243.05,   1242.91,    182.41,   1060.64,    182.34,   1060.57
      4.00,S470,pk,     39.74,    125.08,     19.06,     30.00,      2.00,    476.88,    652.11,    652.08,     65.27,    586.84,     65.25,    586.83
      4.00,S509,pk,     10.34,     36.91,     16.81,     30.00,      2.00,    124.08,     96.12,     96.09,      8.81,     87.31,      8.78,     87.31
      4.00,SF11,pk,      7.80,     30.12,     15.54,     60.00,      1.00,     46.80,     49.79,     49.80,         0,     49.79,         0,     49.80
      4.00,SF202,pk,     10.44,     37.38,     16.76,     30.00,      2.00,    125.28,     42.86,     42.85,      0.90,     41.96,      0.88,     41.97
      4.00,SF232,pk,     15.34,     50.74,     18.14,     30.00,      2.00,    184.08,     46.21,     46.18,      0.83,     45.38,      0.81,     45.37
      4.00,SF453,pk,     39.47,     75.68,     31.29,     30.00,      2.00,    473.64,     20.78,     20.76,      4.67,     16.11,      4.67,     16.09
      4.00,SF514,pk,     12.18,     44.22,     16.53,     30.00,      2.00,    146.16,     77.63,     77.65,     13.92,     63.71,     13.92,     63.73
      4.00,SF525,pk,      8.90,     31.30,     17.06,     30.00,      2.00,    106.80,     37.27,     37.28,      7.81,     29.46,      7.81,     29.47
      4.00,SF570,pk,     14.72,     43.52,     20.29,     30.00,      2.00,    176.64,     76.75,     76.72,      0.35,     76.40,      0.35,     76.37
      4.00,SF578,pk,     13.44,     40.42,     19.95,     30.00,      2.00,    161.28,     34.70,     34.65,      0.15,     34.55,      0.13,     34.52
      4.00,SF590,pk,     11.44,     39.39,     17.43,     30.00,      2.00,    137.28,     61.88,     61.87,      4.70,     57.18,      4.71,     57.16
      4.00,SF94,pk,      7.22,     21.94,     19.74,     30.00,      2.00,     86.64,     53.88,     53.91,      4.73,     49.15,      4.75,     49.16
