STOPID,SegID,Direction
271160_4107340,3204_000.5,EB
272740_4108600,3172_001.6,EB
425280_4476360,2878_007.0,EB
377540_4504880,0080_087.9,EB
590660_4480240,2734_000.0,EB
390260_4487020,2686_001.4,EB
408600_4508040,WFRC_8252,EB
418460_4565500,WFRC_8208,EB
421680_4474060,0068_034.5,EB
421360_4469540,MAG_6684,EB
421360_4469540,MAG_6684,EB
421360_4469540,MAG_6684,EB
420440_4561140,3354_002.6,EB
424920_4502980,0089_372.6,EB
424780_4512080,2148_005.9,EB
426160_4489340,0071_007.7,EB
419940_4515300,2354_001.2,EB
423680_4510460,2290_006.4,EB
415360_4490640,2117_000.0,EB
413780_4546760,1467_000.5,EB
292440_4117040,3195_000.1,EB
645040_4314700,1715_000.0,EB
436140_4442360,MAG_6192,EB
424000_4525240,1410_001.5,EB
418220_4564640,3414_000.1,EB
425120_4566220,0039_010.7,EB
649860_4297100,1700_003.1,EB
409180_4492960,WFRC_8303,EB
410660_4554820,0108_007.5,EB
418900_4487780,2067_003.4,EB
564160_4412900,1533_000.0,EB
464900_4501100,0248_006.4,EB
437900_4459000,0114_005.0,EB
359660_4275380,0161_002.8,EB
408740_4466900,MAG_6315,EB
286220_4116260,0009_002.8,EB
412120_4492320,WFRC_8322,EB
427440_4512300,2266_008.4,EB
420520_4572080,3437_000.1,EB
492560_4589020,0016_000.0,EB
434340_4438900,MAG_6187,EB
412520_4487860,2060_001.9,EB
397960_4644240,1142_000.0,EB
441520_4453040,3000_000.4,EB
618980_4483280,2728_025.9,EB
630440_4265500,0191_119.0,EB
390480_4486540,2680_000.3,EB
423900_4488560,0175_004.5,EB
277440_4111680,3158_006.0,EB
417000_4574580,3459_001.0,EB
426220_4495780,0071_011.7,EB
293660_4114680,Dixie_5099,EB
438680_4437480,MAG_6154,EB
427500_4472700,0089_351.4,EB
315620_4178140,1789_000.0,EB
439260_4459080,UTA_7576,EB
518500_4409740,0191_262.1,EB
464960_4483360,0040_017.4,EB
