Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,193.24,193.23,26.97,166.27,26.96,166.27,ShiftP05
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,153.96,153.96,12.24,141.72,12.22,141.74,ShiftP05
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,563.56,563.59,15.56,548.0,15.59,548.0,ShiftP05
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,34.45,34.48,1.03,33.42,1.02,33.46,ShiftP05
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,208.34,208.35,14.26,194.08,14.27,194.08,ShiftP05
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,58.72,58.7,1.24,57.48,1.21,57.49,ShiftP05
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1150.23,1150.2,120.55,1029.68,120.52,1029.68,ShiftP05
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,656.99,656.93,110.06,546.93,110.02,546.91,ShiftP05
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,73.04,73.01,4.49,68.55,4.49,68.52,ShiftP05
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,81.79,81.79,10.84,70.95,10.87,70.92,ShiftP05
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,797.77,797.69,58.94,738.83,58.93,738.76,ShiftP05
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.81,10.8,0.24,10.57,0.24,10.56,ShiftP05
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,46.94,46.94,10.92,36.02,10.92,36.02,ShiftP05
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,251.07,251.05,29.07,222.0,29.04,222.01,ShiftP05
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,693.48,693.51,237.13,456.35,237.14,456.37,ShiftP05
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,473.5,473.41,19.51,453.99,19.47,453.94,ShiftP05
