SUBAREAID,PERIOD,TRIPPURP,MODE,TRIPS,scenario_id
1,pk,HBW,Walk,18627,ShiftP10
1,pk,HBC,Walk,26873,ShiftP10
1,pk,HBO,Walk,154345,ShiftP10
1,pk,NHB,Walk,56088,ShiftP10
1,pk,HBSch,Walk,69291,ShiftP10
1,pk,HBW,Bike,11390,ShiftP10
1,pk,HBC,Bike,2180,ShiftP10
1,pk,HBO,Bike,19426,ShiftP10
1,pk,NHB,Bike,5907,ShiftP10
1,pk,HBSch,Bike,9370,ShiftP10
1,pk,HBW,Auto,919897,ShiftP10
1,pk,HBC,Auto,79594,ShiftP10
1,pk,HBO,Auto,1898017,ShiftP10
1,pk,NHB,Auto,868430,ShiftP10
1,pk,HBSch,Auto,312819,ShiftP10
1,pk,HBW,RegAuto,919747,ShiftP10
1,pk,HBC,RegAuto,79594,ShiftP10
1,pk,HBO,RegAuto,1897146,ShiftP10
1,pk,NHB,RegAuto,868115,ShiftP10
1,pk,HBSch,RegAuto,312819,ShiftP10
1,pk,HBW,IMZD2D,150,ShiftP10
1,pk,HBC,IMZD2D,0,ShiftP10
1,pk,HBO,IMZD2D,871,ShiftP10
1,pk,NHB,IMZD2D,315,ShiftP10
1,pk,HBSch,IMZD2D,0,ShiftP10
1,pk,HBW,SchoolBus,0,ShiftP10
1,pk,HBC,SchoolBus,0,ShiftP10
1,pk,HBO,SchoolBus,0,ShiftP10
1,pk,NHB,SchoolBus,0,ShiftP10
1,pk,HBSch,SchoolBus,51271,ShiftP10
1,pk,HBW,LCL,9061,ShiftP10
1,pk,HBC,LCL,8719,ShiftP10
1,pk,HBO,LCL,4147,ShiftP10
1,pk,NHB,LCL,730,ShiftP10
1,pk,HBSch,LCL,0,ShiftP10
1,pk,HBW,COR,1018,ShiftP10
1,pk,HBC,COR,179,ShiftP10
1,pk,HBO,COR,529,ShiftP10
1,pk,NHB,COR,72,ShiftP10
1,pk,HBSch,COR,0,ShiftP10
1,pk,HBW,BRT,1247,ShiftP10
1,pk,HBC,BRT,4960,ShiftP10
1,pk,HBO,BRT,746,ShiftP10
1,pk,NHB,BRT,219,ShiftP10
1,pk,HBSch,BRT,0,ShiftP10
1,pk,HBW,EXP,567,ShiftP10
1,pk,HBC,EXP,109,ShiftP10
1,pk,HBO,EXP,44,ShiftP10
1,pk,NHB,EXP,15,ShiftP10
1,pk,HBSch,EXP,0,ShiftP10
1,pk,HBW,LRT,9008,ShiftP10
1,pk,HBC,LRT,4881,ShiftP10
1,pk,HBO,LRT,5006,ShiftP10
1,pk,NHB,LRT,770,ShiftP10
1,pk,HBSch,LRT,0,ShiftP10
1,pk,HBW,CRT,5935,ShiftP10
1,pk,HBC,CRT,4086,ShiftP10
1,pk,HBO,CRT,1099,ShiftP10
1,pk,NHB,CRT,222,ShiftP10
1,pk,HBSch,CRT,0,ShiftP10
1,ok,HBW,Walk,26703,ShiftP10
1,ok,HBC,Walk,0,ShiftP10
1,ok,HBO,Walk,297750,ShiftP10
1,ok,NHB,Walk,141383,ShiftP10
1,ok,HBSch,Walk,38855,ShiftP10
1,ok,HBW,Bike,7831,ShiftP10
1,ok,HBC,Bike,0,ShiftP10
1,ok,HBO,Bike,40683,ShiftP10
1,ok,NHB,Bike,12991,ShiftP10
1,ok,HBSch,Bike,5205,ShiftP10
1,ok,HBW,Auto,858754,ShiftP10
1,ok,HBC,Auto,0,ShiftP10
1,ok,HBO,Auto,3738300,ShiftP10
1,ok,NHB,Auto,1733067,ShiftP10
1,ok,HBSch,Auto,175711,ShiftP10
1,ok,HBW,RegAuto,858646,ShiftP10
1,ok,HBC,RegAuto,0,ShiftP10
1,ok,HBO,RegAuto,3736988,ShiftP10
1,ok,NHB,RegAuto,1732586,ShiftP10
1,ok,HBSch,RegAuto,175711,ShiftP10
1,ok,HBW,IMZD2D,108,ShiftP10
1,ok,HBC,IMZD2D,0,ShiftP10
1,ok,HBO,IMZD2D,1312,ShiftP10
1,ok,NHB,IMZD2D,481,ShiftP10
1,ok,HBSch,IMZD2D,0,ShiftP10
1,ok,HBW,SchoolBus,0,ShiftP10
1,ok,HBC,SchoolBus,0,ShiftP10
1,ok,HBO,SchoolBus,0,ShiftP10
1,ok,NHB,SchoolBus,0,ShiftP10
1,ok,HBSch,SchoolBus,28613,ShiftP10
1,ok,HBW,LCL,6815,ShiftP10
1,ok,HBC,LCL,0,ShiftP10
1,ok,HBO,LCL,11499,ShiftP10
1,ok,NHB,LCL,1825,ShiftP10
1,ok,HBSch,LCL,0,ShiftP10
1,ok,HBW,COR,739,ShiftP10
1,ok,HBC,COR,0,ShiftP10
1,ok,HBO,COR,1302,ShiftP10
1,ok,NHB,COR,186,ShiftP10
1,ok,HBSch,COR,0,ShiftP10
1,ok,HBW,BRT,618,ShiftP10
1,ok,HBC,BRT,0,ShiftP10
1,ok,HBO,BRT,1788,ShiftP10
1,ok,NHB,BRT,920,ShiftP10
1,ok,HBSch,BRT,0,ShiftP10
1,ok,HBW,EXP,0,ShiftP10
1,ok,HBC,EXP,0,ShiftP10
1,ok,HBO,EXP,0,ShiftP10
1,ok,NHB,EXP,0,ShiftP10
1,ok,HBSch,EXP,0,ShiftP10
1,ok,HBW,LRT,7529,ShiftP10
1,ok,HBC,LRT,0,ShiftP10
1,ok,HBO,LRT,10698,ShiftP10
1,ok,NHB,LRT,2176,ShiftP10
1,ok,HBSch,LRT,0,ShiftP10
1,ok,HBW,CRT,3260,ShiftP10
1,ok,HBC,CRT,0,ShiftP10
1,ok,HBO,CRT,2370,ShiftP10
1,ok,NHB,CRT,304,ShiftP10
1,ok,HBSch,CRT,0,ShiftP10
