SUBAREAID,PERIOD,TRIPPURP,MODE,TRIPS,scenario_id
1,pk,HBW,Walk,21340,ShiftM05
1,pk,HBC,Walk,26873,ShiftM05
1,pk,HBO,Walk,154345,ShiftM05
1,pk,NHB,Walk,56088,ShiftM05
1,pk,HBSch,Walk,69291,ShiftM05
1,pk,HBW,Bike,12810,ShiftM05
1,pk,HBC,Bike,2180,ShiftM05
1,pk,HBO,Bike,19426,ShiftM05
1,pk,NHB,Bike,5907,ShiftM05
1,pk,HBSch,Bike,9370,ShiftM05
1,pk,HBW,Auto,907519,ShiftM05
1,pk,HBC,Auto,79594,ShiftM05
1,pk,HBO,Auto,1898034,ShiftM05
1,pk,NHB,Auto,868436,ShiftM05
1,pk,HBSch,Auto,312819,ShiftM05
1,pk,HBW,RegAuto,907344,ShiftM05
1,pk,HBC,RegAuto,79594,ShiftM05
1,pk,HBO,RegAuto,1897180,ShiftM05
1,pk,NHB,RegAuto,868127,ShiftM05
1,pk,HBSch,RegAuto,312819,ShiftM05
1,pk,HBW,IMZD2D,175,ShiftM05
1,pk,HBC,IMZD2D,0,ShiftM05
1,pk,HBO,IMZD2D,854,ShiftM05
1,pk,NHB,IMZD2D,309,ShiftM05
1,pk,HBSch,IMZD2D,0,ShiftM05
1,pk,HBW,SchoolBus,0,ShiftM05
1,pk,HBC,SchoolBus,0,ShiftM05
1,pk,HBO,SchoolBus,0,ShiftM05
1,pk,NHB,SchoolBus,0,ShiftM05
1,pk,HBSch,SchoolBus,51271,ShiftM05
1,pk,HBW,LCL,9257,ShiftM05
1,pk,HBC,LCL,8719,ShiftM05
1,pk,HBO,LCL,4147,ShiftM05
1,pk,NHB,LCL,730,ShiftM05
1,pk,HBSch,LCL,0,ShiftM05
1,pk,HBW,COR,989,ShiftM05
1,pk,HBC,COR,179,ShiftM05
1,pk,HBO,COR,529,ShiftM05
1,pk,NHB,COR,72,ShiftM05
1,pk,HBSch,COR,0,ShiftM05
1,pk,HBW,BRT,1293,ShiftM05
1,pk,HBC,BRT,4960,ShiftM05
1,pk,HBO,BRT,746,ShiftM05
1,pk,NHB,BRT,219,ShiftM05
1,pk,HBSch,BRT,0,ShiftM05
1,pk,HBW,EXP,424,ShiftM05
1,pk,HBC,EXP,109,ShiftM05
1,pk,HBO,EXP,44,ShiftM05
