Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,M821_5YR2023,pk,37.33,83.02,26.98,30.0,2.0,447.96,160.37,160.32,23.04,137.33,22.99,137.33,ShiftM10
4.0,M823_5RY2023,pk,19.12,55.97,20.5,30.0,2.0,229.44,125.72,125.71,10.49,115.23,10.46,115.25,ShiftM10
4.0,M831_WPr,pk,23.68,79.42,17.89,30.0,2.0,284.16,557.2,557.22,14.67,542.53,14.68,542.54,ShiftM10
4.0,M833_CntPr,pk,9.75,28.27,20.69,60.0,1.0,58.5,28.5,28.5,0.92,27.58,0.91,27.59,ShiftM10
4.0,M834_EstPr,pk,25.64,79.18,19.43,30.0,2.0,307.68,190.08,190.02,10.99,179.09,10.93,179.09,ShiftM10
4.0,M841_UVU,pk,5.32,19.52,16.35,30.0,2.0,63.84,55.97,55.95,1.08,54.89,1.07,54.88,ShiftM10
4.0,M850_StateStree,pk,45.58,147.51,18.54,15.0,4.0,1093.92,1064.23,1064.26,115.84,948.39,115.84,948.42,ShiftM10
4.0,M862_Orem,pk,28.28,92.72,18.3,30.0,2.0,339.36,653.32,653.26,109.97,543.35,109.96,543.3,ShiftM10
4.0,M864_Thanksgivi,pk,7.25,24.73,17.59,30.0,2.0,87.0,60.29,60.29,3.18,57.11,3.18,57.11,ShiftM10
4.0,M871_SLtoUtahCn,pk,26.46,70.7,22.46,30.0,2.0,317.52,65.08,65.05,9.38,55.7,9.39,55.66,ShiftM10
4.0,O600,pk,46.04,145.95,18.93,15.0,4.0,1104.96,712.96,712.98,46.83,666.13,46.85,666.13,ShiftM10
4.0,O601,pk,3.7,16.47,13.48,20.0,3.0,66.6,10.29,10.28,0.24,10.05,0.24,10.04,ShiftM10
4.0,O604,pk,14.0,44.05,19.07,30.0,2.0,168.0,42.99,42.94,9.48,33.51,9.44,33.5,ShiftM10
4.0,O607,pk,20.92,61.85,20.29,30.0,2.0,251.04,234.2,234.3,25.2,209.0,25.23,209.07,ShiftM10
4.0,O609,pk,42.5,118.69,21.48,30.0,2.0,510.0,681.31,681.29,235.73,445.58,235.73,445.56,ShiftM10
4.0,O612,pk,26.2,78.37,20.06,15.0,4.0,628.8,472.42,472.41,20.19,452.23,20.17,452.24,ShiftM10
4.0,O614,pk,17.94,52.5,20.5,30.0,2.0,215.28,50.31,50.33,0.57,49.74,0.56,49.77,ShiftM10
4.0,O615,pk,15.08,43.7,20.7,30.0,2.0,180.96,258.63,258.63,23.21,235.42,23.18,235.45,ShiftM10
4.0,O626,pk,28.38,76.72,22.19,30.0,2.0,340.56,135.33,135.41,11.67,123.66,11.7,123.71,ShiftM10
4.0,O627,pk,18.58,54.97,20.28,30.0,2.0,222.96,84.13,84.18,8.37,75.76,8.37,75.81,ShiftM10
4.0,O628,pk,12.92,44.0,17.62,30.0,2.0,155.04,86.75,86.79,13.24,73.51,13.28,73.51,ShiftM10
4.0,O630,pk,48.72,97.88,29.87,60.0,1.0,292.32,193.53,193.42,16.25,177.28,16.23,177.19,ShiftM10
4.0,O640,pk,35.1,110.69,19.03,30.0,2.0,421.2,550.58,550.49,135.99,414.59,135.92,414.57,ShiftM10
4.0,O667,pk,2.75,9.46,17.44,30.0,2.0,33.0,0.79,0.79,0.0,0.79,0.0,0.79,ShiftM10
4.0,OF605,pk,14.18,48.56,17.52,60.0,1.0,85.08,128.14,128.13,4.48,123.66,4.48,123.65,ShiftM10
4.0,OF618,pk,14.04,42.0,20.06,30.0,2.0,168.48,74.17,74.19,5.72,68.45,5.7,68.49,ShiftM10
