Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,S072,pk,11.06,38.76,17.12,30.0,2.0,132.72,149.76,149.75,9.08,140.68,9.08,140.67,ShiftP10
4.0,S1,pk,21.44,85.28,15.08,15.0,4.0,514.56,1262.64,1262.56,4.78,1257.86,4.73,1257.83,ShiftP10
4.0,S200,pk,22.56,85.6,15.81,15.0,4.0,541.44,1393.68,1393.54,42.01,1351.67,41.99,1351.55,ShiftP10
4.0,S201,pk,19.42,66.63,17.49,30.0,2.0,233.04,129.82,129.85,16.54,113.28,16.57,113.28,ShiftP10
4.0,S205,pk,28.62,102.19,16.8,15.0,4.0,686.88,1686.8,1686.72,25.83,1660.97,25.77,1660.95,ShiftP10
4.0,S209,pk,28.98,99.67,17.45,15.0,4.0,695.52,1631.48,1631.41,59.55,1571.93,59.5,1571.91,ShiftP10
4.0,S213,pk,31.02,111.56,16.68,30.0,2.0,372.24,988.01,988.07,29.74,958.27,29.76,958.31,ShiftP10
4.0,S217,pk,24.42,76.68,19.11,15.0,4.0,586.08,656.58,656.59,59.84,596.74,59.9,596.69,ShiftP10
4.0,S218,pk,13.84,49.15,16.9,30.0,2.0,166.08,176.6,176.55,7.61,168.99,7.58,168.97,ShiftP10
4.0,S220,pk,33.42,110.92,18.08,30.0,2.0,401.04,1050.91,1050.89,146.31,904.6,146.32,904.57,ShiftP10
4.0,S223,pk,33.17,119.27,16.69,30.0,2.0,398.04,943.45,943.46,59.96,883.49,59.97,883.49,ShiftP10
4.0,S227,pk,33.9,112.41,18.09,30.0,2.0,406.8,330.4,330.38,29.38,301.02,29.36,301.02,ShiftP10
4.0,S236,pk,15.93,46.3,20.64,30.0,2.0,191.16,62.09,62.1,4.38,57.71,4.36,57.74,ShiftP10
4.0,S240,pk,24.3,82.38,17.7,15.0,4.0,583.2,274.46,274.38,10.69,263.77,10.65,263.73,ShiftP10
4.0,S248,pk,45.08,153.14,17.66,30.0,2.0,540.96,283.57,283.54,15.41,268.16,15.35,268.19,ShiftP10
4.0,S31,pk,26.5,94.99,16.74,30.0,2.0,318.0,237.36,237.38,12.11,225.25,12.11,225.27,ShiftP10
4.0,S455,pk,46.84,152.49,18.43,30.0,2.0,562.08,1321.15,1320.98,199.17,1121.98,199.14,1121.84,ShiftP10
4.0,S470,pk,39.74,125.08,19.06,30.0,2.0,476.88,734.54,734.33,73.4,661.14,73.35,660.98,ShiftP10
4.0,S509,pk,10.34,36.91,16.81,30.0,2.0,124.08,106.32,106.28,14.53,91.79,14.51,91.77,ShiftP10
4.0,SF11,pk,7.8,30.12,15.54,60.0,1.0,46.8,48.71,48.7,0.0,48.71,0.0,48.7,ShiftP10
4.0,SF202,pk,10.44,37.38,16.76,30.0,2.0,125.28,41.41,41.41,0.85,40.56,0.84,40.57,ShiftP10
4.0,SF232,pk,15.34,50.74,18.14,30.0,2.0,184.08,51.41,51.32,0.83,50.58,0.79,50.53,ShiftP10
4.0,SF453,pk,39.47,75.68,31.29,30.0,2.0,473.64,22.57,22.57,5.21,17.36,5.22,17.35,ShiftP10
4.0,SF514,pk,12.18,44.22,16.53,30.0,2.0,146.16,98.16,98.12,18.9,79.26,18.89,79.23,ShiftP10
4.0,SF525,pk,8.9,31.3,17.06,30.0,2.0,106.8,43.63,43.64,10.41,33.22,10.43,33.21,ShiftP10
4.0,SF570,pk,14.72,43.52,20.29,30.0,2.0,176.64,78.72,78.71,0.32,78.4,0.31,78.4,ShiftP10
4.0,SF578,pk,13.44,40.42,19.95,30.0,2.0,161.28,35.42,35.46,0.13,35.29,0.12,35.34,ShiftP10
4.0,SF590,pk,11.44,39.39,17.43,30.0,2.0,137.28,68.31,68.33,4.76,63.55,4.78,63.55,ShiftP10
4.0,SF94,pk,7.22,21.94,19.74,30.0,2.0,86.64,59.75,59.7,4.53,55.22,4.53,55.17,ShiftP10
4.0,M805_Santaquin,pk,61.64,110.05,33.61,40.0,1.5,554.76,463.67,463.69,237.41,226.26,237.43,226.26,ShiftP10
4.0,M806_EglMtn,pk,27.94,67.73,24.75,45.0,1.33,223.52,316.12,316.12,105.72,210.4,105.71,210.41,ShiftP10
4.0,M807_NoCnty,pk,22.21,65.02,20.5,40.0,1.5,199.89,583.24,583.24,213.72,369.52,213.73,369.51,ShiftP10
4.0,M822_Psn,pk,54.34,148.09,22.02,60.0,1.0,326.04,458.59,458.61,113.65,344.94,113.62,344.99,ShiftP10
4.0,MF809,pk,21.39,64.92,19.77,30.0,2.0,256.68,63.98,63.99,8.35,55.63,8.36,55.63,ShiftP10
4.0,O606,pk,4.96,13.82,21.53,360.0,0.17,4.96,0.01,0.01,0.0,0.01,0.0,0.01,ShiftP10
4.0,S513,pk,32.36,110.76,17.53,30.0,2.0,388.32,231.47,231.37,37.85,193.62,37.8,193.57,ShiftP10
4.0,S551,pk,15.23,44.32,20.62,30.0,2.0,182.76,28.44,28.45,6.26,22.18,6.26,22.19,ShiftP10
4.0,M821_5YR2023,ok,37.33,95.77,23.39,30.0,2.0,746.6,185.64,185.65,20.76,164.88,20.75,164.9,ShiftP10
4.0,M823_5RY2023,ok,19.12,60.44,18.98,30.0,2.0,382.4,194.42,194.39,11.5,182.92,11.5,182.89,ShiftP10
4.0,M831_WPr,ok,23.68,84.57,16.8,30.0,2.0,473.6,311.71,311.67,10.94,300.77,10.9,300.77,ShiftP10
4.0,M833_CntPr,ok,9.75,30.24,19.35,60.0,1.0,97.5,41.55,41.55,1.42,40.13,1.43,40.12,ShiftP10
4.0,M834_EstPr,ok,25.64,84.76,18.15,30.0,2.0,512.8,228.99,229.04,9.3,219.69,9.3,219.74,ShiftP10
4.0,M841_UVU,ok,5.32,20.63,15.47,30.0,2.0,106.4,31.37,31.35,1.06,30.31,1.05,30.3,ShiftP10
4.0,M850_StateStree,ok,45.58,161.87,16.9,15.0,4.0,1823.2,1254.39,1254.4,93.89,1160.5,93.85,1160.55,ShiftP10
4.0,M862_Orem,ok,28.28,100.6,16.87,30.0,2.0,565.6,173.76,173.76,8.99,164.77,9.02,164.74,ShiftP10
4.0,M864_Thanksgivi,ok,7.25,26.25,16.57,30.0,2.0,145.0,55.11,55.13,5.12,49.99,5.12,50.01,ShiftP10
4.0,M871_SLtoUtahCn,ok,26.46,80.12,19.82,60.0,1.0,264.6,28.93,28.92,2.39,26.54,2.39,26.53,ShiftP10
4.0,O600,ok,46.04,159.75,17.29,15.0,4.0,1841.6,705.04,704.98,47.83,657.21,47.8,657.18,ShiftP10
4.0,O601,ok,3.7,17.95,12.37,20.0,3.0,111.0,13.03,13.0,0.29,12.74,0.28,12.72,ShiftP10
4.0,O604,ok,14.0,47.43,17.71,30.0,2.0,280.0,54.5,54.51,9.23,45.27,9.24,45.27,ShiftP10
4.0,O607,ok,20.92,67.09,18.71,30.0,2.0,418.4,178.84,178.84,16.65,162.19,16.68,162.16,ShiftP10
4.0,O609,ok,42.5,135.11,18.87,30.0,2.0,850.0,157.41,157.39,19.75,137.66,19.76,137.63,ShiftP10
4.0,O612,ok,26.2,84.23,18.66,15.0,4.0,1048.0,586.83,586.88,19.48,567.35,19.51,567.37,ShiftP10
4.0,O614,ok,17.94,56.13,19.18,30.0,2.0,358.8,76.23,76.22,0.96,75.27,0.95,75.27,ShiftP10
4.0,O615,ok,15.08,45.88,19.72,30.0,2.0,301.6,79.23,79.27,5.42,73.81,5.43,73.84,ShiftP10
4.0,O626,ok,28.38,82.98,20.52,30.0,2.0,567.6,112.99,112.96,8.75,104.24,8.75,104.21,ShiftP10
4.0,O627,ok,18.58,60.02,18.57,30.0,2.0,371.6,83.62,83.65,6.0,77.62,6.0,77.65,ShiftP10
4.0,O628,ok,12.92,47.58,16.29,30.0,2.0,258.4,86.94,86.96,10.95,75.99,10.95,76.01,ShiftP10
4.0,O630,ok,48.72,108.36,26.98,60.0,1.0,487.2,206.65,206.61,14.45,192.2,14.43,192.18,ShiftP10
4.0,O640,ok,35.1,118.95,17.7,30.0,2.0,702.0,171.45,171.43,12.44,159.01,12.46,158.97,ShiftP10
4.0,O667,ok,2.75,9.93,16.62,30.0,2.0,55.0,1.48,1.47,0.01,1.47,0.01,1.46,ShiftP10
4.0,OF605,ok,14.18,52.37,16.25,60.0,1.0,141.8,65.12,65.18,4.76,60.36,4.76,60.42,ShiftP10
4.0,OF618,ok,14.04,45.02,18.71,30.0,2.0,280.8,99.32,99.28,8.71,90.61,8.69,90.59,ShiftP10
4.0,OF620,ok,16.66,48.56,20.58,30.0,2.0,333.2,83.55,83.51,8.84,74.71,8.8,74.71,ShiftP10
4.0,OF638,ok,13.4,37.45,21.47,60.0,1.0,134.0,24.66,24.66,0.16,24.5,0.16,24.5,ShiftP10
4.0,S002,ok,8.42,39.19,12.89,15.0,4.0,336.8,1055.41,1055.47,55.6,999.81,55.6,999.87,ShiftP10
4.0,S004,ok,23.85,85.2,16.8,30.0,2.0,477.0,681.99,682.04,12.2,669.79,12.23,669.81,ShiftP10
4.0,S009,ok,19.62,73.38,16.04,15.0,4.0,784.8,837.49,837.54,6.32,831.17,6.33,831.21,ShiftP10
4.0,S017,ok,15.42,61.75,14.98,30.0,2.0,308.4,282.58,282.61,19.85,262.73,19.83,262.78,ShiftP10
4.0,S021,ok,15.7,57.33,16.43,15.0,4.0,628.0,1011.09,1011.03,71.43,939.66,71.38,939.65,ShiftP10
4.0,S033,ok,12.54,39.88,18.87,15.0,4.0,501.6,425.71,425.68,18.72,406.99,18.7,406.98,ShiftP10
4.0,S035,ok,28.18,93.59,18.07,15.0,4.0,1127.2,541.7,541.67,27.13,514.57,27.11,514.56,ShiftP10
