SUBAREAID,PERIOD,TRIPPURP,MODE,TRIPS,scenario_id
1,pk,HBW,Walk,22420,ShiftM10
1,pk,HBC,Walk,26873,ShiftM10
1,pk,HBO,Walk,154345,ShiftM10
1,pk,NHB,Walk,56088,ShiftM10
1,pk,HBSch,Walk,69291,ShiftM10
1,pk,HBW,Bike,13223,ShiftM10
1,pk,HBC,Bike,2180,ShiftM10
1,pk,HBO,Bike,19426,ShiftM10
1,pk,NHB,Bike,5907,ShiftM10
1,pk,HBSch,Bike,9370,ShiftM10
1,pk,HBW,Auto,907130,ShiftM10
1,pk,HBC,Auto,79594,ShiftM10
1,pk,HBO,Auto,1898041,ShiftM10
1,pk,NHB,Auto,868438,ShiftM10
1,pk,HBSch,Auto,312819,ShiftM10
1,pk,HBW,RegAuto,906947,ShiftM10
1,pk,HBC,RegAuto,79594,ShiftM10
1,pk,HBO,RegAuto,1897194,ShiftM10
1,pk,NHB,RegAuto,868131,ShiftM10
1,pk,HBSch,RegAuto,312819,ShiftM10
1,pk,HBW,IMZD2D,183,ShiftM10
1,pk,HBC,IMZD2D,0,ShiftM10
1,pk,HBO,IMZD2D,847,ShiftM10
1,pk,NHB,IMZD2D,307,ShiftM10
1,pk,HBSch,IMZD2D,0,ShiftM10
1,pk,HBW,SchoolBus,0,ShiftM10
1,pk,HBC,SchoolBus,0,ShiftM10
1,pk,HBO,SchoolBus,0,ShiftM10
1,pk,NHB,SchoolBus,0,ShiftM10
1,pk,HBSch,SchoolBus,51271,ShiftM10
1,pk,HBW,LCL,9279,ShiftM10
1,pk,HBC,LCL,8719,ShiftM10
1,pk,HBO,LCL,4147,ShiftM10
1,pk,NHB,LCL,730,ShiftM10
1,pk,HBSch,LCL,0,ShiftM10
1,pk,HBW,COR,981,ShiftM10
1,pk,HBC,COR,179,ShiftM10
1,pk,HBO,COR,529,ShiftM10
1,pk,NHB,COR,72,ShiftM10
1,pk,HBSch,COR,0,ShiftM10
1,pk,HBW,BRT,1308,ShiftM10
1,pk,HBC,BRT,4960,ShiftM10
1,pk,HBO,BRT,746,ShiftM10
1,pk,NHB,BRT,219,ShiftM10
1,pk,HBSch,BRT,0,ShiftM10
1,pk,HBW,EXP,387,ShiftM10
1,pk,HBC,EXP,109,ShiftM10
1,pk,HBO,EXP,44,ShiftM10
1,pk,NHB,EXP,15,ShiftM10
1,pk,HBSch,EXP,0,ShiftM10
1,pk,HBW,LRT,8170,ShiftM10
1,pk,HBC,LRT,4881,ShiftM10
1,pk,HBO,LRT,5006,ShiftM10
1,pk,NHB,LRT,770,ShiftM10
1,pk,HBSch,LRT,0,ShiftM10
1,pk,HBW,CRT,3548,ShiftM10
1,pk,HBC,CRT,4086,ShiftM10
1,pk,HBO,CRT,1099,ShiftM10
1,pk,NHB,CRT,222,ShiftM10
1,pk,HBSch,CRT,0,ShiftM10
1,ok,HBW,Walk,32289,ShiftM10
1,ok,HBC,Walk,0,ShiftM10
1,ok,HBO,Walk,297750,ShiftM10
1,ok,NHB,Walk,141383,ShiftM10
1,ok,HBSch,Walk,38855,ShiftM10
1,ok,HBW,Bike,9073,ShiftM10
1,ok,HBC,Bike,0,ShiftM10
1,ok,HBO,Bike,40683,ShiftM10
1,ok,NHB,Bike,12991,ShiftM10
1,ok,HBSch,Bike,5205,ShiftM10
1,ok,HBW,Auto,843215,ShiftM10
1,ok,HBC,Auto,0,ShiftM10
1,ok,HBO,Auto,3738317,ShiftM10
1,ok,NHB,Auto,1733074,ShiftM10
1,ok,HBSch,Auto,175711,ShiftM10
1,ok,HBW,RegAuto,843084,ShiftM10
1,ok,HBC,RegAuto,0,ShiftM10
1,ok,HBO,RegAuto,3737022,ShiftM10
1,ok,NHB,RegAuto,1732600,ShiftM10
1,ok,HBSch,RegAuto,175711,ShiftM10
1,ok,HBW,IMZD2D,131,ShiftM10
1,ok,HBC,IMZD2D,0,ShiftM10
1,ok,HBO,IMZD2D,1295,ShiftM10
1,ok,NHB,IMZD2D,474,ShiftM10
1,ok,HBSch,IMZD2D,0,ShiftM10
1,ok,HBW,SchoolBus,0,ShiftM10
1,ok,HBC,SchoolBus,0,ShiftM10
1,ok,HBO,SchoolBus,0,ShiftM10
1,ok,NHB,SchoolBus,0,ShiftM10
1,ok,HBSch,SchoolBus,28613,ShiftM10
1,ok,HBW,LCL,7217,ShiftM10
1,ok,HBC,LCL,0,ShiftM10
1,ok,HBO,LCL,11499,ShiftM10
1,ok,NHB,LCL,1825,ShiftM10
1,ok,HBSch,LCL,0,ShiftM10
1,ok,HBW,COR,745,ShiftM10
1,ok,HBC,COR,0,ShiftM10
1,ok,HBO,COR,1302,ShiftM10
1,ok,NHB,COR,186,ShiftM10
1,ok,HBSch,COR,0,ShiftM10
1,ok,HBW,BRT,653,ShiftM10
1,ok,HBC,BRT,0,ShiftM10
1,ok,HBO,BRT,1788,ShiftM10
1,ok,NHB,BRT,920,ShiftM10
1,ok,HBSch,BRT,0,ShiftM10
1,ok,HBW,EXP,0,ShiftM10
1,ok,HBC,EXP,0,ShiftM10
1,ok,HBO,EXP,0,ShiftM10
1,ok,NHB,EXP,0,ShiftM10
1,ok,HBSch,EXP,0,ShiftM10
1,ok,HBW,LRT,7038,ShiftM10
1,ok,HBC,LRT,0,ShiftM10
1,ok,HBO,LRT,10698,ShiftM10
1,ok,NHB,LRT,2176,ShiftM10
1,ok,HBSch,LRT,0,ShiftM10
1,ok,HBW,CRT,1945,ShiftM10
1,ok,HBC,CRT,0,ShiftM10
1,ok,HBO,CRT,2370,ShiftM10
1,ok,NHB,CRT,304,ShiftM10
1,ok,HBSch,CRT,0,ShiftM10
