Purpose,TAZID,All,Walk,Bike,NonM,test_id
All,1.0,0.0,0.0,0.0,0.0,2
HBW,1.0,0.0,0.0,0.0,0.0,2
HBO,1.0,0.0,0.0,0.0,0.0,2
NHB,1.0,0.0,0.0,0.0,0.0,2
HBC,1.0,0.0,0.0,0.0,0.0,2
HBSch,1.0,0.0,0.0,0.0,0.0,2
All,2.0,168.01,5.51,0.67,6.19,2
HBW,2.0,22.26,0.0,0.04,0.04,2
HBO,2.0,115.03,5.35,0.61,5.96,2
NHB,2.0,8.4,0.16,0.02,0.18,2
HBC,2.0,0.0,0.0,0.0,0.0,2
HBSch,2.0,22.31,0.0,0.0,0.0,2
All,3.0,152.72,4.83,0.81,5.63,2
HBW,3.0,20.38,0.03,0.1,0.13,2
HBO,3.0,104.34,4.65,0.69,5.34,2
NHB,3.0,9.0,0.14,0.02,0.17,2
HBC,3.0,0.0,0.0,0.0,0.0,2
HBSch,3.0,18.99,0.0,0.0,0.0,2
All,4.0,24.26,0.56,0.1,0.65,2
HBW,4.0,3.16,0.0,0.01,0.01,2
HBO,4.0,16.53,0.54,0.08,0.62,2
NHB,4.0,1.51,0.02,0.0,0.02,2
HBC,4.0,0.0,0.0,0.0,0.0,2
HBSch,4.0,3.07,0.0,0.0,0.0,2
All,5.0,452.28,15.71,3.3,19.01,2
HBW,5.0,78.29,0.33,0.55,0.88,2
HBO,5.0,284.32,14.68,2.62,17.3,2
NHB,5.0,42.71,0.7,0.13,0.83,2
HBC,5.0,6.0,0.0,0.0,0.0,2
HBSch,5.0,40.96,0.0,0.0,0.0,2
All,6.0,35.56,0.96,0.23,1.19,2
HBW,6.0,5.09,0.04,0.03,0.07,2
HBO,6.0,22.11,0.86,0.18,1.04,2
NHB,6.0,4.55,0.06,0.02,0.07,2
HBC,6.0,0.0,0.0,0.0,0.0,2
HBSch,6.0,3.81,0.0,0.0,0.0,2
All,7.0,402.21,22.6,3.16,25.76,2
HBW,7.0,62.46,3.18,0.86,4.05,2
HBO,7.0,233.89,17.62,2.1,19.72,2
NHB,7.0,73.05,1.79,0.19,1.99,2
HBC,7.0,0.0,0.0,0.0,0.0,2
HBSch,7.0,32.82,0.0,0.0,0.0,2
All,8.0,554.12,11.06,5.2,16.26,2
HBW,8.0,68.02,0.76,1.0,1.76,2
HBO,8.0,270.32,8.84,3.64,12.48,2
NHB,8.0,116.21,1.46,0.57,2.02,2
HBC,8.0,57.0,0.0,0.0,0.0,2
HBSch,8.0,42.56,0.0,0.0,0.0,2
All,9.0,45.25,1.02,0.2,1.23,2
HBW,9.0,1.59,0.05,0.02,0.07,2
HBO,9.0,5.86,0.44,0.08,0.52,2
NHB,9.0,37.36,0.53,0.11,0.64,2
HBC,9.0,0.0,0.0,0.0,0.0,2
HBSch,9.0,0.44,0.0,0.0,0.0,2
All,10.0,192.58,4.56,1.57,6.13,2
HBW,10.0,24.82,0.53,0.34,0.86,2
HBO,10.0,106.49,3.64,1.09,4.73,2
NHB,10.0,43.71,0.39,0.15,0.54,2
HBC,10.0,0.0,0.0,0.0,0.0,2
HBSch,10.0,17.56,0.0,0.0,0.0,2
All,11.0,22.8,0.12,0.16,0.29,2
HBW,11.0,4.03,0.0,0.04,0.04,2
HBO,11.0,14.75,0.12,0.12,0.24,2
NHB,11.0,1.65,0.0,0.01,0.01,2
HBC,11.0,0.0,0.0,0.0,0.0,2
HBSch,11.0,2.37,0.0,0.0,0.0,2
All,12.0,127.53,2.77,1.19,3.96,2
HBW,12.0,20.49,0.02,0.25,0.27,2
HBO,12.0,83.17,2.7,0.9,3.61,2
NHB,12.0,9.38,0.04,0.04,0.09,2
HBC,12.0,0.0,0.0,0.0,0.0,2
HBSch,12.0,14.48,0.0,0.0,0.0,2
All,13.0,0.0,0.0,0.0,0.0,2
HBW,13.0,0.0,0.0,0.0,0.0,2
HBO,13.0,0.0,0.0,0.0,0.0,2
NHB,13.0,0.0,0.0,0.0,0.0,2
HBC,13.0,0.0,0.0,0.0,0.0,2
HBSch,13.0,0.0,0.0,0.0,0.0,2
All,14.0,0.0,0.0,0.0,0.0,2
HBW,14.0,0.0,0.0,0.0,0.0,2
HBO,14.0,0.0,0.0,0.0,0.0,2
NHB,14.0,0.0,0.0,0.0,0.0,2
HBC,14.0,0.0,0.0,0.0,0.0,2
HBSch,14.0,0.0,0.0,0.0,0.0,2
All,15.0,91.96,0.42,0.3,0.72,2
HBW,15.0,1.61,0.03,0.02,0.05,2
HBO,15.0,4.3,0.04,0.04,0.08,2
NHB,15.0,85.3,0.35,0.24,0.59,2
HBC,15.0,0.0,0.0,0.0,0.0,2
HBSch,15.0,0.75,0.0,0.0,0.0,2
All,16.0,44.31,0.68,0.3,0.99,2
HBW,16.0,1.67,0.05,0.03,0.08,2
HBO,16.0,4.96,0.14,0.07,0.21,2
NHB,16.0,36.91,0.5,0.2,0.7,2
HBC,16.0,0.0,0.0,0.0,0.0,2
HBSch,16.0,0.77,0.0,0.0,0.0,2
All,17.0,55.16,0.75,0.52,1.27,2
HBW,17.0,6.92,0.06,0.09,0.15,2
HBO,17.0,37.86,0.66,0.42,1.09,2
NHB,17.0,2.64,0.02,0.01,0.03,2
HBC,17.0,0.0,0.0,0.0,0.0,2
HBSch,17.0,7.74,0.0,0.0,0.0,2
All,18.0,187.26,4.47,0.93,5.4,2
HBW,18.0,0.0,0.0,0.0,0.0,2
HBO,18.0,0.0,0.0,0.0,0.0,2
NHB,18.0,187.26,4.47,0.93,5.4,2
HBC,18.0,0.0,0.0,0.0,0.0,2
HBSch,18.0,0.0,0.0,0.0,0.0,2
All,19.0,1725.79,98.06,23.88,197.82,2
HBW,19.0,273.6,5.49,5.49,10.98,2
HBO,19.0,1085.92,85.02,17.01,102.03,2
NHB,19.0,201.21,6.79,1.18,7.96,2
HBC,19.0,0.0,0.0,0.0,0.0,2
HBSch,19.0,165.06,0.77,0.21,76.85,2
All,20.0,1128.47,78.61,16.57,127.12,2
HBW,20.0,206.17,5.81,4.46,10.27,2
HBO,20.0,673.18,64.53,10.96,75.49,2
NHB,20.0,179.55,7.94,1.06,9.0,2
HBC,20.0,0.0,0.0,0.0,0.0,2
HBSch,20.0,69.57,0.32,0.09,32.36,2
All,21.0,106.14,2.78,0.6,3.37,2
HBW,21.0,0.0,0.0,0.0,0.0,2
HBO,21.0,0.0,0.0,0.0,0.0,2
NHB,21.0,106.14,2.78,0.6,3.37,2
HBC,21.0,0.0,0.0,0.0,0.0,2
HBSch,21.0,0.0,0.0,0.0,0.0,2
All,22.0,18.13,0.66,0.23,0.9,2
HBW,22.0,2.57,0.1,0.05,0.15,2
HBO,22.0,10.65,0.47,0.16,0.63,2
NHB,22.0,3.3,0.09,0.02,0.11,2
HBC,22.0,0.0,0.0,0.0,0.0,2
HBSch,22.0,1.61,0.0,0.0,0.0,2
All,23.0,61.91,3.19,0.75,8.28,2
HBW,23.0,6.19,0.24,0.12,0.35,2
HBO,23.0,34.16,2.38,0.51,2.89,2
NHB,23.0,16.25,0.53,0.1,0.64,2
HBC,23.0,0.0,0.0,0.0,0.0,2
HBSch,23.0,5.3,0.04,0.01,4.4,2
All,24.0,1057.79,86.88,15.57,201.6,2
HBW,24.0,161.31,5.66,3.55,9.21,2
HBO,24.0,714.11,76.48,11.26,87.74,2
NHB,24.0,73.83,3.73,0.46,4.2,2
HBC,24.0,3.0,0.0,0.0,0.0,2
HBSch,24.0,105.55,1.0,0.3,100.45,2
All,25.0,2541.33,262.83,39.24,462.73,2
HBW,25.0,446.02,28.89,10.9,39.8,2
HBO,25.0,1559.08,209.16,25.68,234.83,2
NHB,25.0,358.12,23.15,2.17,25.33,2
HBC,25.0,7.0,0.0,0.0,0.0,2
HBSch,25.0,171.12,1.62,0.48,162.77,2
All,26.0,1192.47,136.27,19.49,185.64,2
HBW,26.0,209.37,18.39,5.99,24.38,2
HBO,26.0,603.64,93.35,11.38,104.73,2
NHB,26.0,336.46,24.23,2.02,26.25,2
HBC,26.0,2.0,0.0,0.0,0.0,2
HBSch,26.0,40.99,0.3,0.09,30.28,2
All,27.0,0.0,0.0,0.0,0.0,2
HBW,27.0,0.0,0.0,0.0,0.0,2
HBO,27.0,0.0,0.0,0.0,0.0,2
NHB,27.0,0.0,0.0,0.0,0.0,2
