Purpose,TAZID,All,Walk,Bike,NonM,test_id
All,1.0,0.0,0.0,0.0,0.0,6
HBW,1.0,0.0,0.0,0.0,0.0,6
HBO,1.0,0.0,0.0,0.0,0.0,6
NHB,1.0,0.0,0.0,0.0,0.0,6
HBC,1.0,0.0,0.0,0.0,0.0,6
HBSch,1.0,0.0,0.0,0.0,0.0,6
All,2.0,163.48,3.98,0.45,4.43,6
HBW,2.0,22.39,0.0,0.02,0.02,6
HBO,2.0,115.37,3.91,0.42,4.34,6
NHB,2.0,3.41,0.06,0.01,0.07,6
HBC,2.0,0.0,0.0,0.0,0.0,6
HBSch,2.0,22.3,0.0,0.0,0.0,6
All,3.0,149.55,3.42,0.52,3.94,6
HBW,3.0,20.83,0.02,0.05,0.06,6
HBO,3.0,106.21,3.35,0.46,3.81,6
NHB,3.0,3.51,0.05,0.01,0.06,6
HBC,3.0,0.0,0.0,0.0,0.0,6
HBSch,3.0,19.0,0.0,0.0,0.0,6
All,4.0,23.86,0.36,0.05,0.41,6
HBW,4.0,3.23,0.0,0.0,0.0,6
HBO,4.0,17.03,0.35,0.05,0.4,6
NHB,4.0,0.54,0.01,0.0,0.01,6
HBC,4.0,0.0,0.0,0.0,0.0,6
HBSch,4.0,3.07,0.0,0.0,0.0,6
All,5.0,428.03,11.9,2.2,14.09,6
HBW,5.0,78.76,0.17,0.29,0.46,6
HBO,5.0,284.57,11.44,1.86,13.3,6
NHB,5.0,17.74,0.28,0.05,0.33,6
HBC,5.0,6.0,0.0,0.0,0.0,6
HBSch,5.0,40.95,0.0,0.0,0.0,6
All,6.0,33.24,0.66,0.14,0.8,6
HBW,6.0,5.32,0.02,0.02,0.04,6
HBO,6.0,22.36,0.62,0.12,0.73,6
NHB,6.0,1.72,0.02,0.01,0.03,6
HBC,6.0,0.0,0.0,0.0,0.0,6
HBSch,6.0,3.85,0.0,0.0,0.0,6
All,7.0,361.5,15.91,2.06,17.97,6
HBW,7.0,63.55,2.05,0.53,2.58,6
HBO,7.0,234.65,13.17,1.45,14.62,6
NHB,7.0,30.49,0.69,0.08,0.77,6
HBC,7.0,0.0,0.0,0.0,0.0,6
HBSch,7.0,32.81,0.0,0.0,0.0,6
All,8.0,486.92,8.28,3.68,11.96,6
HBW,8.0,68.46,0.41,0.53,0.94,6
HBO,8.0,269.67,7.26,2.91,10.17,6
NHB,8.0,49.21,0.61,0.24,0.85,6
HBC,8.0,57.0,0.0,0.0,0.0,6
HBSch,8.0,42.59,0.0,0.0,0.0,6
All,9.0,23.81,0.56,0.1,0.66,6
HBW,9.0,1.52,0.03,0.01,0.04,6
HBO,9.0,6.82,0.33,0.05,0.37,6
NHB,9.0,15.04,0.2,0.04,0.24,6
HBC,9.0,0.0,0.0,0.0,0.0,6
HBSch,9.0,0.43,0.0,0.0,0.0,6
All,10.0,167.54,3.27,0.95,4.22,6
HBW,10.0,25.21,0.31,0.17,0.48,6
HBO,10.0,107.02,2.81,0.72,3.53,6
NHB,10.0,17.78,0.15,0.06,0.21,6
HBC,10.0,0.0,0.0,0.0,0.0,6
HBSch,10.0,17.53,0.0,0.0,0.0,6
All,11.0,22.45,0.08,0.09,0.17,6
HBW,11.0,4.31,0.0,0.02,0.02,6
HBO,11.0,15.17,0.08,0.07,0.15,6
NHB,11.0,0.61,0.0,0.0,0.0,6
HBC,11.0,0.0,0.0,0.0,0.0,6
HBSch,11.0,2.36,0.0,0.0,0.0,6
All,12.0,121.93,2.08,0.74,2.82,6
HBW,12.0,20.4,0.01,0.1,0.11,6
HBO,12.0,83.29,2.06,0.62,2.68,6
NHB,12.0,3.74,0.02,0.02,0.03,6
HBC,12.0,0.0,0.0,0.0,0.0,6
HBSch,12.0,14.5,0.0,0.0,0.0,6
All,13.0,0.0,0.0,0.0,0.0,6
HBW,13.0,0.0,0.0,0.0,0.0,6
HBO,13.0,0.0,0.0,0.0,0.0,6
NHB,13.0,0.0,0.0,0.0,0.0,6
HBC,13.0,0.0,0.0,0.0,0.0,6
HBSch,13.0,0.0,0.0,0.0,0.0,6
All,14.0,0.0,0.0,0.0,0.0,6
HBW,14.0,0.0,0.0,0.0,0.0,6
HBO,14.0,0.0,0.0,0.0,0.0,6
NHB,14.0,0.0,0.0,0.0,0.0,6
HBC,14.0,0.0,0.0,0.0,0.0,6
HBSch,14.0,0.0,0.0,0.0,0.0,6
All,15.0,41.56,0.17,0.13,0.3,6
HBW,15.0,1.52,0.02,0.02,0.03,6
