TAZID,DISTMED,DMED_NAME
1,1,North of Brigham City
2,1,North of Brigham City
3,1,North of Brigham City
4,1,North of Brigham City
5,1,North of Brigham City
6,1,North of Brigham City
7,1,North of Brigham City
8,1,North of Brigham City
9,1,North of Brigham City
10,1,North of Brigham City
11,2,Brigham City Area - W of I-15
12,2,Brigham City Area - W of I-15
13,2,Brigham City Area - W of I-15
14,3,Brigham City - North Perry
15,1,North of Brigham City
16,1,North of Brigham City
17,2,Brigham City Area - W of I-15
18,3,Brigham City - North Perry
19,1,North of Brigham City
20,3,Brigham City - North Perry
21,3,Brigham City - North Perry
22,3,Brigham City - North Perry
23,3,Brigham City - North Perry
24,3,Brigham City - North Perry
25,3,Brigham City - North Perry
26,3,Brigham City - North Perry
27,3,Brigham City - North Perry
28,3,Brigham City - North Perry
29,3,Brigham City - North Perry
30,3,Brigham City - North Perry
31,3,Brigham City - North Perry
32,3,Brigham City - North Perry
33,3,Brigham City - North Perry
34,3,Brigham City - North Perry
35,3,Brigham City - North Perry
36,3,Brigham City - North Perry
37,3,Brigham City - North Perry
38,3,Brigham City - North Perry
39,3,Brigham City - North Perry
40,3,Brigham City - North Perry
41,3,Brigham City - North Perry
42,3,Brigham City - North Perry
43,3,Brigham City - North Perry
44,3,Brigham City - North Perry
45,3,Brigham City - North Perry
46,3,Brigham City - North Perry
47,2,Brigham City Area - W of I-15
48,2,Brigham City Area - W of I-15
49,3,Brigham City - North Perry
50,3,Brigham City - North Perry
51,3,Brigham City - North Perry
52,3,Brigham City - North Perry
53,3,Brigham City - North Perry
54,3,Brigham City - North Perry
55,3,Brigham City - North Perry
56,3,Brigham City - North Perry
57,3,Brigham City - North Perry
58,3,Brigham City - North Perry
59,3,Brigham City - North Perry
60,3,Brigham City - North Perry
61,3,Brigham City - North Perry
62,3,Brigham City - North Perry
63,3,Brigham City - North Perry
64,3,Brigham City - North Perry
65,3,Brigham City - North Perry
66,3,Brigham City - North Perry
67,3,Brigham City - North Perry
68,3,Brigham City - North Perry
69,3,Brigham City - North Perry
70,3,Brigham City - North Perry
71,3,Brigham City - North Perry
72,3,Brigham City - North Perry
73,5,Mantua - East Mountains
74,3,Brigham City - North Perry
75,3,Brigham City - North Perry
76,3,Brigham City - North Perry
77,3,Brigham City - North Perry
78,3,Brigham City - North Perry
79,3,Brigham City - North Perry
80,3,Brigham City - North Perry
81,3,Brigham City - North Perry
82,3,Brigham City - North Perry
83,3,Brigham City - North Perry
84,3,Brigham City - North Perry
85,3,Brigham City - North Perry
86,2,Brigham City Area - W of I-15
87,3,Brigham City - North Perry
88,3,Brigham City - North Perry
89,3,Brigham City - North Perry
90,3,Brigham City - North Perry
