Purpose,TAZID,All,Walk,Bike,NonM,test_id
All,1.0,0.0,0.0,0.0,0.0,4
HBW,1.0,0.0,0.0,0.0,0.0,4
HBO,1.0,0.0,0.0,0.0,0.0,4
NHB,1.0,0.0,0.0,0.0,0.0,4
HBC,1.0,0.0,0.0,0.0,0.0,4
HBSch,1.0,0.0,0.0,0.0,0.0,4
All,2.0,165.46,5.31,0.64,5.95,4
HBW,2.0,22.3,0.0,0.04,0.04,4
HBO,2.0,114.53,5.18,0.59,5.77,4
NHB,2.0,6.31,0.12,0.01,0.13,4
HBC,2.0,0.0,0.0,0.0,0.0,4
HBSch,2.0,22.33,0.0,0.0,0.0,4
All,3.0,150.77,4.61,0.76,5.36,4
HBW,3.0,20.9,0.03,0.09,0.12,4
HBO,3.0,104.07,4.47,0.65,5.12,4
NHB,3.0,6.79,0.11,0.02,0.12,4
HBC,3.0,0.0,0.0,0.0,0.0,4
HBSch,3.0,19.0,0.0,0.0,0.0,4
All,4.0,23.14,0.53,0.09,0.61,4
HBW,4.0,3.17,0.0,0.01,0.01,4
HBO,4.0,15.84,0.52,0.08,0.59,4
NHB,4.0,1.07,0.01,0.0,0.01,4
HBC,4.0,0.0,0.0,0.0,0.0,4
HBSch,4.0,3.07,0.0,0.0,0.0,4
All,5.0,442.39,15.14,3.11,18.25,4
HBW,5.0,78.51,0.29,0.51,0.8,4
HBO,5.0,283.47,14.3,2.51,16.81,4
NHB,5.0,33.42,0.54,0.1,0.64,4
HBC,5.0,6.0,0.0,0.0,0.0,4
HBSch,5.0,40.99,0.0,0.0,0.0,4
All,6.0,33.86,0.9,0.21,1.11,4
HBW,6.0,5.13,0.04,0.03,0.07,4
HBO,6.0,21.47,0.82,0.17,0.99,4
NHB,6.0,3.41,0.04,0.01,0.05,4
HBC,6.0,0.0,0.0,0.0,0.0,4
HBSch,6.0,3.85,0.0,0.0,0.0,4
All,7.0,386.66,21.42,2.97,24.39,4
HBW,7.0,62.87,3.07,0.82,3.89,4
HBO,7.0,233.85,16.98,2.0,18.98,4
NHB,7.0,57.16,1.37,0.15,1.52,4
HBC,7.0,0.0,0.0,0.0,0.0,4
HBSch,7.0,32.79,0.0,0.0,0.0,4
All,8.0,529.09,10.53,4.93,15.46,4
HBW,8.0,68.35,0.7,0.92,1.62,4
HBO,8.0,269.31,8.68,3.56,12.23,4
NHB,8.0,91.87,1.15,0.45,1.6,4
HBC,8.0,57.0,0.0,0.0,0.0,4
HBSch,8.0,42.56,0.0,0.0,0.0,4
All,9.0,36.34,0.86,0.17,1.04,4
HBW,9.0,1.55,0.05,0.02,0.07,4
HBO,9.0,5.68,0.41,0.07,0.48,4
NHB,9.0,28.68,0.4,0.08,0.49,4
HBC,9.0,0.0,0.0,0.0,0.0,4
HBSch,9.0,0.43,0.0,0.0,0.0,4
All,10.0,182.38,4.33,1.45,5.79,4
HBW,10.0,25.16,0.51,0.31,0.82,4
HBO,10.0,106.02,3.52,1.03,4.55,4
NHB,10.0,33.61,0.3,0.12,0.42,4
HBC,10.0,0.0,0.0,0.0,0.0,4
HBSch,10.0,17.58,0.0,0.0,0.0,4
All,11.0,21.91,0.12,0.14,0.26,4
HBW,11.0,4.2,0.0,0.03,0.03,4
HBO,11.0,14.16,0.11,0.11,0.22,4
NHB,11.0,1.18,0.0,0.0,0.01,4
HBC,11.0,0.0,0.0,0.0,0.0,4
HBSch,11.0,2.37,0.0,0.0,0.0,4
All,12.0,124.8,2.68,1.11,3.79,4
HBW,12.0,20.61,0.02,0.22,0.24,4
HBO,12.0,82.57,2.63,0.86,3.48,4
NHB,12.0,7.12,0.03,0.03,0.06,4
HBC,12.0,0.0,0.0,0.0,0.0,4
HBSch,12.0,14.5,0.0,0.0,0.0,4
All,13.0,0.0,0.0,0.0,0.0,4
HBW,13.0,0.0,0.0,0.0,0.0,4
HBO,13.0,0.0,0.0,0.0,0.0,4
NHB,13.0,0.0,0.0,0.0,0.0,4
HBC,13.0,0.0,0.0,0.0,0.0,4
HBSch,13.0,0.0,0.0,0.0,0.0,4
All,14.0,0.0,0.0,0.0,0.0,4
HBW,14.0,0.0,0.0,0.0,0.0,4
HBO,14.0,0.0,0.0,0.0,0.0,4
NHB,14.0,0.0,0.0,0.0,0.0,4
HBC,14.0,0.0,0.0,0.0,0.0,4
HBSch,14.0,0.0,0.0,0.0,0.0,4
All,15.0,72.72,0.33,0.24,0.57,4
HBW,15.0,1.58,0.02,0.02,0.05,4
HBO,15.0,4.06,0.04,0.03,0.07,4
NHB,15.0,66.34,0.27,0.19,0.45,4
HBC,15.0,0.0,0.0,0.0,0.0,4
HBSch,15.0,0.74,0.0,0.0,0.0,4
All,16.0,35.63,0.57,0.25,0.82,4
HBW,16.0,1.64,0.05,0.03,0.07,4
HBO,16.0,4.77,0.13,0.07,0.2,4
NHB,16.0,28.44,0.39,0.16,0.55,4
HBC,16.0,0.0,0.0,0.0,0.0,4
HBSch,16.0,0.78,0.0,0.0,0.0,4
All,17.0,53.66,0.72,0.49,1.2,4
HBW,17.0,6.91,0.06,0.08,0.14,4
HBO,17.0,36.91,0.64,0.4,1.04,4
NHB,17.0,2.05,0.01,0.01,0.02,4
HBC,17.0,0.0,0.0,0.0,0.0,4
HBSch,17.0,7.79,0.0,0.0,0.0,4
All,18.0,146.46,3.47,0.73,4.2,4
HBW,18.0,0.0,0.0,0.0,0.0,4
HBO,18.0,0.0,0.0,0.0,0.0,4
NHB,18.0,146.46,3.47,0.73,4.2,4
HBC,18.0,0.0,0.0,0.0,0.0,4
HBSch,18.0,0.0,0.0,0.0,0.0,4
All,19.0,1684.65,95.26,23.08,194.2,4
HBW,19.0,273.94,4.86,5.1,9.96,4
HBO,19.0,1085.73,84.22,16.83,101.05,4
NHB,19.0,159.89,5.42,0.94,6.35,4
HBC,19.0,0.0,0.0,0.0,0.0,4
HBSch,19.0,165.08,0.77,0.21,76.84,4
All,20.0,1092.22,75.61,15.91,123.48,4
HBW,20.0,206.41,5.1,4.14,9.24,4
HBO,20.0,673.68,63.85,10.84,74.69,4
NHB,20.0,142.53,6.34,0.85,7.18,4
HBC,20.0,0.0,0.0,0.0,0.0,4
HBSch,20.0,69.6,0.32,0.09,32.37,4
All,21.0,82.6,2.16,0.47,2.63,4
HBW,21.0,0.0,0.0,0.0,0.0,4
HBO,21.0,0.0,0.0,0.0,0.0,4
NHB,21.0,82.6,2.16,0.47,2.63,4
HBC,21.0,0.0,0.0,0.0,0.0,4
HBSch,21.0,0.0,0.0,0.0,0.0,4
All,22.0,17.07,0.62,0.22,0.84,4
HBW,22.0,2.46,0.1,0.04,0.14,4
HBO,22.0,10.46,0.46,0.16,0.62,4
NHB,22.0,2.54,0.07,0.02,0.09,4
HBC,22.0,0.0,0.0,0.0,0.0,4
HBSch,22.0,1.61,0.0,0.0,0.0,4
All,23.0,57.87,3.01,0.71,8.06,4
HBW,23.0,6.19,0.22,0.11,0.33,4
HBO,23.0,33.79,2.33,0.5,2.84,4
NHB,23.0,12.6,0.42,0.08,0.5,4
HBC,23.0,0.0,0.0,0.0,0.0,4
HBSch,23.0,5.29,0.04,0.01,4.39,4
All,24.0,1042.8,84.99,15.15,199.18,4
HBW,24.0,161.43,5.17,3.32,8.49,4
HBO,24.0,713.52,75.84,11.17,87.01,4
NHB,24.0,58.23,2.98,0.37,3.34,4
HBC,24.0,4.0,0.0,0.0,0.0,4
HBSch,24.0,105.63,1.0,0.3,100.34,4
All,25.0,2467.85,253.54,38.04,452.07,4
HBW,25.0,446.11,25.87,10.33,36.2,4
HBO,25.0,1558.43,207.56,25.49,233.05,4
NHB,25.0,285.09,18.5,1.73,20.23,4
HBC,25.0,7.0,0.0,0.0,0.0,4
HBSch,25.0,171.23,1.62,0.48,162.59,4
All,26.0,1123.74,128.95,18.73,177.52,4
HBW,26.0,210.06,16.62,5.72,22.34,4
HBO,26.0,602.98,92.67,11.31,103.98,4
NHB,26.0,267.69,19.35,1.61,20.97,4
HBC,26.0,2.0,0.0,0.0,0.0,4
HBSch,26.0,41.0,0.3,0.09,30.23,4
All,27.0,0.0,0.0,0.0,0.0,4
HBW,27.0,0.0,0.0,0.0,0.0,4
HBO,27.0,0.0,0.0,0.0,0.0,4
NHB,27.0,0.0,0.0,0.0,0.0,4
HBC,27.0,0.0,0.0,0.0,0.0,4
HBSch,27.0,0.0,0.0,0.0,0.0,4
All,28.0,32.35,1.84,0.4,2.54,4
HBW,28.0,3.95,0.28,0.1,0.38,4
HBO,28.0,11.14,0.91,0.2,1.11,4
NHB,28.0,16.27,0.64,0.11,0.75,4
HBC,28.0,0.0,0.0,0.0,0.0,4
HBSch,28.0,0.99,0.0,0.0,0.3,4
All,29.0,1153.18,119.76,18.05,213.24,4
HBW,29.0,219.98,14.39,5.1,19.48,4
HBO,29.0,745.42,98.41,12.13,110.54,4
NHB,29.0,92.52,6.2,0.59,6.79,4
HBC,29.0,14.0,0.0,0.0,0.0,4
HBSch,29.0,81.26,0.76,0.23,76.42,4
All,30.0,2363.74,308.91,39.44,479.63,4
HBW,30.0,439.11,38.42,11.45,49.87,4
HBO,30.0,1494.86,245.06,25.83,270.89,4
NHB,30.0,284.78,24.09,1.77,25.86,4
HBC,30.0,3.0,0.0,0.0,0.0,4
HBSch,30.0,141.98,1.33,0.39,133.0,4
All,31.0,1629.26,210.34,24.8,305.96,4
HBW,31.0,259.39,25.22,6.77,31.98,4
HBO,31.0,872.19,146.89,15.26,162.15,4
NHB,31.0,421.0,37.52,2.56,40.08,4
HBC,31.0,0.0,0.0,0.0,0.0,4
HBSch,31.0,76.68,0.72,0.21,71.75,4
All,32.0,947.24,100.69,14.84,175.09,4
HBW,32.0,163.29,6.02,3.86,9.87,4
HBO,32.0,633.26,88.93,10.38,99.3,4
NHB,32.0,69.32,5.15,0.43,5.58,4
HBC,32.0,0.0,0.0,0.0,0.0,4
HBSch,32.0,81.38,0.6,0.17,60.33,4
All,33.0,1355.26,167.64,21.47,301.97,4
HBW,33.0,217.08,12.45,5.34,17.79,4
HBO,33.0,925.07,146.02,15.22,161.23,4
NHB,33.0,91.47,8.04,0.57,8.61,4
HBC,33.0,0.0,0.0,0.0,0.0,4
HBSch,33.0,121.64,1.14,0.34,114.34,4
All,34.0,1465.35,151.56,22.57,249.17,4
HBW,34.0,274.65,9.36,6.12,15.48,4
HBO,34.0,953.36,132.48,15.45,147.93,4
NHB,34.0,124.37,8.96,0.78,9.74,4
HBC,34.0,0.0,0.0,0.0,0.0,4
HBSch,34.0,112.96,0.76,0.22,76.02,4
All,35.0,2097.18,224.11,33.15,375.06,4
HBW,35.0,402.85,13.96,9.44,23.4,4
HBO,35.0,1361.83,196.29,22.3,218.59,4
NHB,35.0,171.51,12.68,1.07,13.75,4
HBC,35.0,13.01,0.0,0.0,0.0,4
HBSch,35.0,147.98,1.19,0.35,119.33,4
All,36.0,471.12,41.38,8.3,60.91,4
HBW,36.0,105.5,2.05,2.63,4.69,4
HBO,36.0,292.78,36.1,5.3,41.4,4
NHB,36.0,52.7,3.11,0.34,3.45,4
